time_s,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
0.0012,-1,653,645,648,642,651,634,649,639,645,652,650,643,646,642,647,628,648,652,645,642,645,641,639,628,648,652,654,649,649,645,646,618,654,653,657,651,648,646,644,610,651,663,664,653,654,648,645,612,658,660,654,650,655,650,657,613,663,661,651,658,650,653,657
0.0022,-1,655,645,643,647,642,635,650,643,643,648,647,645,643,643,641,627,651,654,643,645,645,642,639,620,651,647,655,649,648,645,646,635,649,654,649,649,649,636,643,623,658,650,657,651,646,648,648,605,657,654,662,653,651,647,650,616,661,664,659,653,653,654,651
0.0037,628,648,650,643,648,636,634,647,641,654,646,646,648,639,648,640,627,653,658,649,645,647,645,645,631,649,651,656,643,646,643,639,634,659,663,649,652,643,643,644,605,659,656,647,651,644,651,646,603,654,655,656,645,650,648,643,625,666,655,662,659,647,656,656
0.0046,1385,647,647,643,649,642,651,651,646,646,650,651,646,643,642,649,639,652,652,647,650,650,644,636,625,651,655,654,653,649,648,649,633,650,658,652,652,650,646,644,613,652,659,658,653,652,651,651,595,654,653,650,652,649,649,651,609,657,658,653,654,659,655,656
0.0056,-1,650,644,643,646,647,640,646,645,647,648,649,657,646,644,641,629,650,650,649,653,649,645,639,624,650,651,650,647,647,652,647,624,645,653,654,653,652,645,643,613,650,658,655,653,651,649,649,617,659,657,650,655,649,645,646,606,663,659,664,654,657,648,656
0.0065,-1,643,647,650,642,638,640,640,646,654,652,650,643,648,640,642,633,649,661,648,647,649,650,638,632,651,655,650,649,650,643,643,636,654,651,655,646,654,649,650,600,655,651,654,655,640,650,652,593,654,661,659,654,655,650,647,627,658,664,656,654,659,654,651
0.0074,1334,644,645,641,645,645,640,646,643,649,646,650,646,643,648,643,628,651,651,650,650,648,640,645,627,656,660,652,647,640,645,648,631,653,655,650,648,655,643,648,616,656,661,660,644,652,655,650,597,655,654,660,654,649,648,651,625,654,663,661,660,656,650,655
0.0085,1354,641,644,644,638,642,636,638,638,647,649,648,650,650,647,643,626,655,652,652,643,642,643,644,627,649,650,646,652,644,642,637,620,655,649,652,647,650,643,646,617,652,655,659,652,656,646,641,595,651,662,660,649,649,647,654,632,664,655,655,651,656,657,656
0.0094,1413,646,644,644,645,635,641,645,654,650,652,655,652,644,645,648,624,649,653,649,648,648,649,649,633,647,651,650,650,650,649,645,625,656,657,647,643,643,644,640,619,652,655,652,654,654,647,644,600,661,660,656,650,653,648,656,597,652,660,659,655,660,651,656
0.0105,1391,641,645,641,639,636,640,643,649,648,652,649,649,644,650,641,624,648,652,648,648,644,646,648,633,651,646,649,653,645,645,641,637,656,652,647,651,651,650,642,603,650,657,649,656,653,646,647,608,655,661,658,652,654,654,651,597,663,659,653,660,659,655,649
