time_s,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63
0.0028,602,650,643,645,647,642,642,649,635,647,642,648,645,643,642,646,641,640,652,652,648,644,642,648,629,658,652,649,653,653,645,647,621,656,655,648,653,653,644,648,622,649,657,647,646,649,649,647,624,657,654,665,659,654,654,656,622,658,661,655,654,653,656,661
0.0037,-1,652,643,647,647,641,647,641,635,647,647,652,647,641,640,644,635,645,652,652,652,643,639,639,635,652,648,655,649,652,642,643,626,652,652,655,650,655,634,646,609,656,655,655,654,653,640,648,612,658,660,655,655,650,646,646,619,664,647,657,657,654,651,657
0.0047,-1,653,647,649,645,641,640,650,648,651,659,649,646,646,647,642,618,645,654,647,645,647,645,640,625,652,655,649,651,654,647,652,617,658,650,653,646,649,649,643,614,650,658,655,648,641,649,648,612,661,657,657,646,646,652,649,612,664,659,662,658,650,656,655
0.0056,-1,646,647,645,643,642,643,642,649,643,645,651,646,640,640,637,630,650,649,652,646,654,643,642,629,644,653,649,646,651,643,644,614,652,653,650,649,654,644,639,610,653,654,654,648,651,652,649,621,659,662,657,658,652,646,652,625,669,662,665,657,654,649,655
0.0065,-1,650,651,642,644,643,641,654,651,648,644,646,649,646,643,638,631,648,651,650,649,643,647,640,628,658,655,647,650,646,641,640,624,652,653,655,650,648,643,639,625,660,661,658,650,653,653,647,595,662,656,658,652,650,648,645,614,665,655,654,653,653,651,654
0.0075,-1,644,649,649,637,638,641,647,641,646,644,648,645,641,645,641,625,649,653,646,648,646,639,647,633,652,653,651,652,652,645,643,604,660,650,654,652,648,645,644,614,654,653,657,655,653,645,644,611,660,662,656,656,654,651,648,616,662,663,655,653,647,650,657
0.0086,617,643,646,642,643,641,640,648,644,645,644,648,644,651,634,647,638,654,656,649,653,648,647,642,630,648,656,647,648,647,653,643,630,652,654,652,651,644,647,650,615,654,656,652,649,653,644,646,594,655,658,657,659,652,645,651,613,662,656,656,654,654,649,653
0.0095,1399,647,648,633,643,637,649,644,649,650,650,648,640,647,646,640,631,655,652,654,651,646,640,642,635,652,652,654,649,652,648,649,624,652,657,660,652,651,647,652,613,650,654,654,652,646,643,645,590,655,646,661,654,649,655,649,627,659,656,657,656,649,654,648
0.0104,1349,639,641,643,645,646,649,644,645,654,648,644,651,653,647,646,633,655,650,651,650,641,648,643,635,653,658,650,655,649,646,645,629,654,657,652,651,648,648,643,619,654,662,652,652,650,651,650,624,655,659,654,656,647,651,649,607,665,656,663,650,649,651,655
0.0112,1410,649,645,643,639,643,640,634,642,649,651,652,645,644,650,648,632,647,655,650,647,645,644,646,622,651,658,650,651,649,650,648,622,647,657,651,645,645,645,647,612,652,662,658,654,652,651,655,597,653,658,659,657,653,647,648,626,663,655,658,655,649,654,654
0.0122,1373,649,649,643,647,642,637,648,643,649,652,648,653,644,646,649,634,648,650,652,650,647,644,642,631,646,656,650,647,641,642,642,631,648,652,649,650,641,645,643,614,665,648,653,655,649,649,650,598,660,655,652,654,650,646,654,627,663,655,655,664,654,653,660
0.0130,1372,645,644,639,647,644,644,648,649,646,649,644,644,647,646,645,629,656,650,647,654,645,640,644,637,652,655,649,652,645,637,639,621,650,656,658,649,647,648,643,605,650,659,654,653,650,648,647,584,656,664,653,646,657,650,654,611,660,653,653,654,650,651,653
0.0139,1401,651,646,646,645,642,646,630,640,650,652,644,647,646,634,642,626,652,653,647,650,649,644,646,627,650,652,654,653,651,643,642,629,647,655,653,659,652,647,648,609,652,658,656,647,652,648,647,613,658,659,652,649,653,651,651,638,665,653,661,655,655,653,655
0.0151,1406,648,642,643,642,642,642,640,650,648,646,647,640,646,645,645,634,656,648,650,649,650,641,641,638,655,654,648,647,650,645,645,625,652,651,657,651,646,642,646,613,658,656,653,653,653,647,644,603,657,658,650,649,652,652,648,620,655,664,664,656,651,654,656
0.0161,622,641,644,643,644,642,637,647,646,649,650,638,645,647,643,649,627,649,657,646,646,648,638,643,634,657,653,658,652,654,645,647,624,657,656,656,651,655,641,648,621,652,662,658,657,646,650,650,617,658,653,655,652,652,648,647,623,659,654,658,653,659,649,651
0.0171,-1,644,649,644,642,647,644,645,641,648,656,645,643,650,641,642,630,650,653,647,645,642,650,644,628,653,655,656,649,651,641,644,630,653,655,661,644,652,649,641,619,655,651,653,655,653,650,648,606,653,657,658,658,652,644,649,634,666,659,656,659,656,656,659
0.0188,621,645,641,640,648,642,639,638,646,653,641,642,652,647,640,645,628,651,656,650,650,644,645,648,628,649,655,652,652,650,652,642,618,655,653,650,646,650,642,644,606,659,663,656,648,654,648,648,601,658,660,658,651,654,644,647,619,658,660,656,657,656,655,652
0.0202,1433,646,647,647,646,644,635,634,639,653,646,651,640,643,640,640,624,649,651,652,652,645,646,647,625,651,655,653,653,647,647,644,618,651,653,653,653,648,645,647,615,655,659,659,653,647,650,642,597,654,655,657,655,655,655,651,601,656,659,656,652,653,650,655
0.0211,1391,643,648,642,642,644,644,648,639,650,646,645,651,635,650,646,630,650,660,653,646,638,644,643,618,650,655,653,649,650,647,640,632,654,661,653,649,655,644,644,627,658,658,661,655,649,650,655,600,657,653,663,653,654,651,652,625,663,658,650,654,657,650,659
0.0221,1397,643,646,649,648,644,643,637,645,653,656,645,648,641,647,650,635,652,651,650,646,644,648,642,624,649,661,650,648,652,650,650,634,648,654,651,652,654,641,645,620,655,665,660,652,650,644,649,597,652,657,661,656,646,656,650,616,661,654,655,654,651,653,656
0.0230,1429,646,651,643,644,641,641,638,641,654,647,646,641,645,645,645,632,649,658,649,650,644,640,642,623,649,651,651,651,652,650,640,618,657,653,660,646,649,646,650,641,651,656,645,650,645,647,648,600,656,657,660,655,652,649,650,621,659,658,658,656,659,658,655
0.0247,-1,640,644,642,646,644,647,638,646,655,643,651,655,646,645,648,626,655,651,655,648,639,644,645,616,654,650,654,648,647,652,643,623,658,656,645,645,645,652,647,604,657,658,657,648,653,648,644,611,654,661,658,649,650,648,658,610,666,657,659,659,650,656,650
0.0257,-1,638,639,649,642,640,639,643,648,642,652,642,644,649,646,649,633,649,651,653,648,649,641,648,624,658,651,647,649,647,648,647,634,650,658,660,646,647,644,649,611,659,655,653,655,647,646,653,598,653,657,661,654,657,654,653,617,661,662,660,656,656,653,657
0.0266,-1,644,644,647,641,642,650,647,646,646,653,647,643,647,643,638,639,646,650,649,649,645,644,640,632,660,659,655,650,653,642,642,614,653,662,651,648,650,653,644,619,654,659,653,647,645,650,643,619,661,656,663,658,651,649,651,595,668,661,653,654,657,656,655
0.0275,-1,646,643,643,648,640,638,649,644,641,643,648,648,642,644,650,627,655,651,649,653,641,645,637,633,646,651,652,652,641,645,645,642,655,656,655,652,650,650,646,618,661,655,655,655,653,651,645,601,648,661,656,647,650,652,649,594,667,659,660,659,654,653,647
0.0283,-1,646,645,651,648,646,647,641,643,654,653,642,650,648,641,650,632,651,647,647,650,644,652,641,612,655,656,650,654,651,647,641,606,648,655,655,660,653,646,649,613,647,657,660,648,654,656,647,602,655,657,659,651,654,652,654,623,665,660,658,654,653,650,656
0.0292,1421,642,645,642,640,639,639,637,639,652,645,651,646,641,642,647,624,647,651,647,652,650,645,642,626,649,650,649,650,653,650,637,618,660,656,654,644,652,639,646,608,653,661,652,652,651,649,655,613,659,657,654,652,645,653,647,614,664,658,657,650,654,651,653
0.0301,-1,646,640,639,640,637,638,639,648,651,641,652,644,646,649,643,632,648,655,648,649,650,650,638,620,652,656,648,652,650,651,642,636,653,659,655,648,648,648,649,624,651,651,660,653,650,647,644,613,650,658,653,653,653,650,654,606,668,656,657,650,647,654,658
0.0311,-1,648,637,643,650,644,640,638,644,653,654,647,646,651,643,646,625,650,652,648,648,653,644,644,640,651,650,656,653,653,645,643,637,654,658,654,649,647,649,646,614,652,660,651,649,652,645,647,596,659,659,658,657,655,658,651,605,661,658,660,655,647,652,654
0.0322,1393,647,648,648,649,643,642,644,647,647,652,646,647,647,642,645,629,651,648,652,649,645,647,640,623,652,656,651,651,649,646,640,628,655,652,654,648,650,648,646,607,649,654,652,653,649,651,645,610,655,660,660,653,643,653,655,607,661,657,655,658,652,650,651
0.0331,1396,639,646,640,641,646,636,653,649,652,648,651,643,647,647,644,633,656,649,651,649,646,647,644,640,651,650,653,652,648,641,646,618,659,658,653,654,648,649,648,625,656,654,656,659,652,651,646,616,646,654,657,653,651,646,659,606,658,652,665,650,655,645,658
0.0345,1389,645,645,645,649,650,639,646,650,653,655,642,647,646,641,644,633,653,654,653,647,649,645,649,630,653,655,655,654,647,645,645,629,651,655,653,644,650,653,651,613,654,659,654,655,653,654,647,599,655,655,661,653,654,649,654,614,663,656,662,651,650,649,650
0.0354,1422,648,644,649,647,641,635,651,651,651,646,651,641,650,646,645,633,647,653,652,650,644,639,641,625,644,647,655,646,650,649,645,628,651,653,656,653,652,650,642,625,651,659,657,652,650,651,652,610,648,656,664,655,653,654,648,609,657,660,660,652,651,653,650
0.0362,-1,644,650,640,640,631,647,644,647,649,650,644,640,643,642,640,623,651,656,644,656,650,648,642,627,653,650,645,650,651,651,647,614,653,657,653,651,649,651,643,607,647,655,653,653,654,645,641,588,656,655,654,647,654,655,652,621,666,660,656,655,655,656,651
0.0370,-1,646,643,644,651,645,641,647,644,648,643,650,643,639,641,644,634,654,649,646,652,647,641,646,635,655,657,653,649,649,649,646,635,648,656,657,653,647,650,650,629,658,660,653,651,653,650,644,612,660,658,658,649,651,647,651,618,664,662,661,652,656,662,646
0.0378,1396,643,643,649,645,644,641,640,642,644,645,645,646,640,647,643,629,648,655,652,646,645,639,639,628,654,660,653,653,649,648,638,616,652,653,652,645,648,648,650,613,651,660,660,653,649,648,650,615,656,660,656,656,649,650,653,627,656,657,660,644,654,658,661
0.0385,-1,646,643,639,638,642,636,643,651,649,652,641,641,647,639,646,626,652,654,653,649,652,645,648,625,650,660,653,653,644,650,640,615,655,659,657,648,649,647,643,607,658,659,659,648,659,647,647,609,654,651,658,649,651,652,650,613,665,662,660,655,652,658,663
0.0393,-1,637,642,645,646,635,643,642,644,653,651,645,649,644,647,645,629,649,654,649,649,645,645,640,622,655,655,646,652,652,646,644,627,651,661,654,648,648,649,643,616,645,654,652,651,651,645,645,605,651,654,662,655,654,648,650,591,662,661,661,658,652,649,659
