time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3327,55.072,-508.886,474.896,2.90238,-1.20214,-0.00002
0.4182,55.087,-508.854,473.333,2.90249,-1.20214,-0.00000
0.4606,55.057,-508.869,472.198,2.90240,-1.20228,0.00001
0.5263,55.046,-508.847,469.154,-2.90235,1.20240,0.00000
0.5884,55.024,-508.875,465.261,2.90232,-1.20227,-0.00001
0.6543,55.043,-508.856,461.087,-2.90236,1.20222,0.00009
0.7211,55.072,-508.825,457.078,-2.90229,1.20208,0.00010
0.7844,55.056,-508.915,453.088,2.90220,-1.20213,0.00004
0.8493,55.083,-508.852,449.967,-2.90243,1.20218,0.00002
0.9180,55.052,-508.887,445.034,2.90237,-1.20229,0.00002
0.9795,55.042,-508.898,442.034,2.90223,-1.20218,0.00003
1.0461,55.053,-508.888,437.916,2.90234,-1.20218,0.00002
1.1094,55.060,-508.860,433.901,2.90236,-1.20227,0.00004
1.1755,55.065,-508.905,429.799,2.90227,-1.20216,0.00006
1.2414,55.060,-508.833,425.791,2.90240,-1.20223,0.00002
1.3055,55.053,-508.869,421.705,-2.90232,1.20224,0.00006
1.3705,55.063,-508.874,417.691,2.90233,-1.20215,0.00004
1.4377,55.087,-508.834,413.568,-2.90224,1.20212,0.00007
1.5005,55.054,-508.903,410.631,2.90236,-1.20226,0.00003
1.5662,55.090,-508.902,406.510,2.90233,-1.20210,0.00014
1.6305,55.065,-508.871,402.455,-2.90237,1.20219,-0.00000
1.6964,55.057,-508.865,398.486,-2.90233,1.20230,0.00001
1.7621,55.047,-508.894,394.444,2.90217,-1.20223,0.00012
1.8264,55.062,-508.883,390.331,-2.90235,1.20222,0.00006
1.8913,55.068,-508.849,386.239,-2.90240,1.20219,0.00008
1.9583,55.057,-508.881,382.311,2.90223,-1.20223,0.00009
2.0214,55.087,-508.876,378.287,-2.90247,1.20219,0.00001
2.0863,55.067,-508.884,374.068,-2.90231,1.20218,0.00004
2.1550,55.064,-508.889,370.201,2.90222,-1.20214,0.00003
2.2174,55.061,-508.846,367.162,2.90231,-1.20227,0.00003
2.2833,55.059,-508.889,362.968,-2.90245,1.20224,0.00006
