time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned UNFITTED (using wood),filt_learned UNFITTED (using wood),vel_learned UNFITTED (using wood)
0.3021,1,475.000,618.30,604.2,604.20,0.0,609.3,609.33,0.0
0.3690,1,474.640,617.94,601.2,601.20,-44.7,606.5,606.47,-42.7
0.4360,1,472.850,616.15,605.7,604.50,13.4,610.8,609.92,34.2
0.4960,1,470.846,614.15,600.2,601.89,-12.6,605.5,606.57,-37.0
0.5618,1,467.305,610.61,601.7,601.46,-9.8,606.9,606.55,-6.3
0.6271,1,463.242,606.54,610.7,606.89,30.7,615.6,614.23,96.8
0.6921,1,459.143,602.44,601.7,605.11,5.3,606.9,608.94,-51.2
0.7600,1,455.084,598.38,583.7,594.72,-63.9,589.7,591.88,-221.1
0.8221,1,451.095,594.39,581.7,585.60,-95.5,587.8,586.29,-115.0
0.8870,1,447.038,590.34,580.2,579.82,-93.0,586.4,585.25,-32.8
0.9558,1,442.955,586.25,582.2,578.28,-64.1,588.3,587.57,24.0
1.0171,1,439.902,583.20,577.2,575.79,-55.5,583.5,584.35,-37.3
1.0820,1,435.910,579.21,568.7,570.34,-66.4,575.3,576.24,-110.1
1.1523,1,430.808,574.11,568.2,567.08,-58.3,574.8,573.96,-42.9
1.2131,1,427.868,571.17,568.7,566.30,-42.3,575.3,574.64,0.2
1.2781,1,423.768,567.07,557.7,560.43,-60.5,564.6,566.08,-109.5
1.3432,1,419.743,563.04,553.2,554.75,-70.7,560.2,560.06,-95.4
1.4081,1,415.683,558.98,549.7,549.91,-72.1,556.8,556.41,-62.9
1.4744,1,411.581,554.88,542.7,543.80,-79.8,550.0,550.34,-86.9
1.5381,1,407.568,550.87,541.7,540.34,-70.4,549.1,548.41,-40.4
1.6030,1,403.525,546.83,543.2,539.83,-46.6,550.5,549.82,11.2
1.6715,1,399.455,542.75,542.2,539.61,-29.3,549.5,549.68,-0.1
1.7341,1,396.442,539.74,528.2,532.76,-58.5,535.9,537.99,-151.8
1.7990,1,392.367,535.67,525.7,527.34,-67.8,533.4,532.63,-94.2
