time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0056,52.680,-508.923,475.029,2.90225,-1.20236,-0.00002
0.0100,52.690,-508.901,475.040,2.90231,-1.20238,0.00003
0.0280,52.715,-508.920,475.023,2.90237,-1.20233,0.00008
0.0439,52.691,-508.922,475.010,2.90235,-1.20248,0.00006
0.0599,52.698,-508.929,474.997,-2.90234,1.20243,-0.00003
0.0779,52.681,-508.936,474.985,-2.90233,1.20243,0.00003
0.0940,52.685,-508.926,474.991,-2.90234,1.20243,0.00005
0.1120,52.692,-508.944,474.983,-2.90237,1.20238,-0.00001
0.1279,52.691,-508.939,474.981,-2.90229,1.20250,-0.00003
0.1439,52.707,-508.934,475.004,-2.90238,1.20241,-0.00006
0.1619,52.711,-508.947,474.972,-2.90232,1.20242,-0.00004
0.1779,52.722,-508.924,474.982,-2.90236,1.20236,0.00001
0.1938,52.715,-508.928,474.986,-2.90238,1.20241,0.00004
0.2119,52.749,-508.928,475.021,2.90235,-1.20231,0.00005
0.2278,52.767,-508.917,475.008,-2.90240,1.20233,-0.00004
0.2440,52.798,-508.907,474.997,-2.90244,1.20225,-0.00004
0.2619,52.771,-508.930,475.000,2.90243,-1.20218,-0.00004
0.2779,52.795,-508.919,474.993,-2.90242,1.20226,0.00000
0.2943,52.773,-508.924,474.975,-2.90237,1.20226,0.00004
0.3206,52.762,-508.932,474.949,2.90241,-1.20228,-0.00003
0.3319,52.778,-508.926,474.865,2.90237,-1.20218,0.00002
0.3443,52.786,-508.871,474.724,2.90239,-1.20222,0.00000
0.3620,52.785,-508.829,474.455,2.90240,-1.20226,-0.00001
0.3781,52.810,-508.798,474.122,-2.90236,1.20218,0.00001
0.3940,52.785,-508.806,473.808,2.90240,-1.20229,-0.00003
0.4121,52.812,-508.831,473.400,2.90228,-1.20210,0.00009
0.4283,52.790,-508.800,472.863,2.90239,-1.20229,0.00002
0.4469,52.796,-508.826,472.282,2.90226,-1.20207,0.00003
0.4623,52.811,-508.829,471.637,2.90231,-1.20218,0.00006
0.4781,52.795,-508.827,470.924,2.90232,-1.20219,0.00005
