time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.2952,1,475.012,618.31,617.9,617.90,0.0,614.7,614.74,0.0
0.3612,1,474.641,617.94,617.9,617.90,0.0,614.7,614.74,0.0
0.4238,1,473.445,616.75,618.9,618.73,8.0,615.7,615.60,10.9
0.4887,1,470.792,614.09,615.9,616.82,-10.4,612.8,613.27,-27.8
0.5610,1,466.269,609.57,616.9,616.64,-6.5,613.7,613.43,-1.4
0.6186,1,463.332,606.63,610.4,612.66,-31.9,607.3,608.33,-68.8
0.6865,1,459.083,602.38,607.9,608.94,-43.0,604.8,604.65,-56.4
0.7487,1,455.132,598.43,601.9,603.63,-61.7,598.8,599.20,-81.7
0.8146,1,451.044,594.34,598.4,598.86,-66.6,595.4,595.14,-64.9
0.8827,1,447.017,590.32,594.9,594.68,-64.2,591.9,591.72,-52.4
0.9446,1,443.010,586.31,591.4,591.13,-61.3,588.4,588.41,-53.3
1.0096,1,439.971,583.27,588.4,587.92,-55.9,585.4,585.34,-48.2
1.0771,1,435.852,579.15,579.9,581.49,-74.4,576.9,577.65,-103.9
1.1396,1,431.819,575.12,579.9,578.67,-61.4,576.9,576.04,-40.4
1.2057,1,427.806,571.11,574.4,574.48,-62.4,571.5,571.72,-61.3
1.2757,1,423.721,567.02,570.9,570.61,-58.9,568.0,567.89,-55.7
1.3356,1,419.781,563.08,569.4,568.48,-49.1,566.5,566.15,-34.6
1.4025,1,415.626,558.93,563.9,564.39,-54.8,561.0,561.37,-65.7
1.4657,1,411.589,554.89,559.4,559.99,-61.5,556.5,556.59,-73.9
1.5306,1,407.526,550.83,557.4,556.87,-55.3,554.5,554.09,-44.6
1.5968,1,403.475,546.77,551.4,552.07,-63.4,548.5,548.86,-73.3
1.6606,1,400.464,543.76,545.9,546.70,-72.9,543.0,543.17,-86.4
1.7266,1,396.502,539.80,540.9,541.27,-77.4,538.0,537.91,-80.8
1.7924,1,392.299,535.60,536.9,536.63,-74.1,534.0,533.79,-65.7
1.8567,1,388.301,531.60,532.9,532.52,-69.4,530.0,529.92,-61.1
1.9216,1,384.254,527.55,529.9,529.21,-60.6,527.0,526.83,-49.9
1.9951,1,380.292,523.59,525.4,525.18,-57.5,522.5,522.56,-57.1
2.0516,1,376.165,519.47,526.4,524.67,-37.2,523.5,522.74,-11.0
2.1186,1,372.075,515.38,518.9,520.15,-52.4,516.0,516.81,-76.7
2.1817,1,368.206,511.51,515.4,515.95,-59.0,512.5,512.38,-71.3
2.2476,1,364.005,507.31,511.9,511.96,-59.7,509.0,508.77,-57.5
2.3152,1,359.964,503.26,506.9,507.27,-64.5,503.9,504.07,-67.7
2.3776,1,356.942,500.24,502.9,503.03,-66.0,499.9,499.92,-66.7
2.4426,1,353.008,496.31,498.9,498.84,-65.3,495.9,495.87,-63.1
2.5086,1,348.858,492.16,496.4,495.73,-56.4,493.4,493.17,-44.5
2.5727,1,344.847,488.15,492.9,492.62,-52.7,489.9,489.97,-49.0
2.6376,1,340.759,484.06,486.4,487.40,-66.1,483.4,483.88,-86.1
2.7085,1,336.700,480.00,482.9,482.84,-65.2,479.9,479.60,-63.7
2.7686,1,332.686,475.99,478.4,478.59,-67.7,475.4,475.42,-68.3
2.8357,1,328.503,471.80,472.9,473.31,-73.3,469.8,469.98,-79.2
2.8987,1,324.545,467.84,471.9,470.75,-57.7,468.8,468.24,-37.1
2.9637,1,321.508,464.81,467.4,467.26,-55.7,464.3,464.54,-53.7
3.0306,1,317.450,460.75,463.4,463.44,-56.3,460.3,460.39,-60.7
3.0937,1,313.464,456.76,458.9,459.25,-61.2,455.8,455.90,-69.2
3.1586,1,309.367,452.67,454.4,454.71,-65.6,451.3,451.28,-70.8
3.2268,1,305.421,448.72,451.9,451.34,-57.2,448.8,448.44,-46.0
3.2897,1,301.434,444.73,446.9,447.20,-61.4,443.7,444.01,-65.9
3.3547,1,297.316,440.62,444.4,443.99,-55.3,441.2,441.00,-49.6
3.4199,1,293.262,436.56,438.9,439.41,-62.9,435.7,436.00,-72.2
3.4847,1,289.114,432.41,434.9,435.05,-65.1,431.7,431.63,-68.2
3.5510,1,285.159,428.46,430.9,430.84,-64.2,427.7,427.58,-62.2
3.6148,1,282.108,425.41,429.9,428.83,-47.9,426.7,426.20,-28.9
3.6797,1,278.079,421.38,423.4,424.20,-59.9,420.1,420.74,-74.7
3.7486,1,273.972,417.27,421.4,420.97,-52.9,418.1,417.78,-47.5
3.8107,1,269.989,413.29,415.9,416.51,-62.1,412.6,412.94,-72.1
3.8757,1,265.845,409.14,413.4,413.09,-57.3,410.1,409.82,-52.2
3.9454,1,261.887,405.19,407.4,407.94,-66.4,404.1,404.34,-74.9
4.0057,1,257.902,401.20,404.9,404.57,-61.3,401.5,401.27,-55.9
4.0714,1,253.710,397.01,398.9,399.44,-70.1,395.5,395.82,-78.5
4.1358,1,249.684,392.98,396.4,395.91,-62.2,393.0,392.68,-54.0
4.2017,1,245.619,388.92,391.9,391.87,-61.7,388.5,388.59,-60.8
4.2672,1,242.637,385.94,388.9,388.56,-55.9,385.5,385.36,-51.2
4.3318,1,238.640,381.94,383.4,383.90,-64.4,380.0,380.27,-74.0
4.3967,1,234.488,377.79,379.9,379.84,-63.4,376.5,376.31,-63.2
4.4638,1,230.534,373.83,377.4,376.83,-53.2,373.9,373.68,-42.9
