time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3032,55.071,-508.711,475.051,2.90236,-1.20218,0.00003
0.3993,55.079,-508.792,473.818,2.90241,-1.20213,0.00005
0.4328,55.069,-508.800,472.793,-2.90241,1.20220,-0.00001
0.4987,55.038,-508.753,470.058,2.90244,-1.20223,-0.00003
0.5624,55.049,-508.757,466.175,2.90239,-1.20214,0.00004
0.6277,55.024,-508.767,462.244,2.90220,-1.20216,0.00004
0.6927,55.023,-508.705,459.120,-2.90230,1.20232,0.00011
0.7580,54.996,-508.785,455.165,2.90228,-1.20236,0.00003
0.8228,55.022,-508.746,451.051,2.90237,-1.20228,0.00003
0.8917,55.047,-508.759,447.051,2.90240,-1.20219,0.00006
0.9529,55.061,-508.760,442.980,2.90221,-1.20213,0.00011
1.0192,55.040,-508.748,438.876,-2.90241,1.20223,0.00013
1.0834,55.055,-508.708,434.954,2.90237,-1.20224,-0.00000
1.1487,55.039,-508.755,430.809,2.90232,-1.20227,0.00000
1.2148,55.069,-508.688,426.858,2.90236,-1.20217,0.00001
1.2788,55.037,-508.741,423.744,2.90242,-1.20229,-0.00004
1.3439,55.052,-508.774,419.703,2.90223,-1.20217,0.00005
1.4108,55.043,-508.729,415.693,2.90231,-1.20227,-0.00002
1.4740,55.059,-508.719,411.524,-2.90244,1.20219,0.00005
1.5395,55.051,-508.770,407.533,2.90233,-1.20221,-0.00000
1.6045,55.067,-508.729,403.512,-2.90245,1.20215,0.00004
1.6697,55.062,-508.737,399.464,2.90237,-1.20217,-0.00001
1.7351,55.060,-508.763,395.462,2.90226,-1.20218,0.00006
1.8000,55.086,-508.740,391.288,-2.90249,1.20213,-0.00001
1.8648,55.073,-508.713,387.238,-2.90232,1.20217,0.00008
1.9309,55.041,-508.740,383.335,2.90224,-1.20228,0.00005
1.9952,55.062,-508.781,380.329,2.90232,-1.20215,0.00007
2.0607,55.048,-508.765,376.096,-2.90235,1.20225,0.00002
2.1264,55.043,-508.762,372.151,2.90232,-1.20226,0.00009
2.1908,55.054,-508.722,368.115,2.90226,-1.20219,0.00007
2.2561,55.050,-508.745,364.059,2.90242,-1.20222,-0.00004
2.3211,55.055,-508.774,359.993,-2.90241,1.20226,0.00001
2.3859,55.061,-508.739,355.903,2.90242,-1.20221,0.00001
2.4525,55.078,-508.715,351.935,2.90238,-1.20224,0.00005
2.5163,55.079,-508.782,347.840,2.90231,-1.20216,0.00013
2.5816,55.062,-508.753,343.831,2.90233,-1.20221,0.00002
2.6483,55.058,-508.726,339.762,-2.90233,1.20227,-0.00001
2.7121,55.063,-508.741,336.744,-2.90237,1.20225,0.00003
2.7768,55.057,-508.776,332.573,-2.90232,1.20222,0.00004
2.8435,55.057,-508.751,328.592,-2.90224,1.20223,0.00006
2.9071,55.064,-508.749,324.461,-2.90227,1.20217,0.00000
2.9727,55.032,-508.775,320.524,2.90237,-1.20228,0.00002
3.0375,55.062,-508.720,316.493,-2.90233,1.20219,0.00009
3.1027,55.050,-508.742,312.403,-2.90242,1.20223,0.00005
3.1685,55.050,-508.779,308.479,2.90225,-1.20219,0.00013
3.2331,55.071,-508.710,305.441,2.90241,-1.20230,0.00004
3.2978,55.056,-508.725,301.357,2.90226,-1.20223,0.00001
3.3649,55.053,-508.767,297.346,2.90222,-1.20222,0.00014
3.4280,55.066,-508.750,293.305,2.90241,-1.20219,0.00005
3.4936,55.081,-508.712,289.133,-2.90238,1.20217,-0.00002
3.5615,55.065,-508.772,285.197,2.90229,-1.20218,0.00009
3.6238,55.046,-508.723,281.062,-2.90243,1.20225,-0.00001
3.6896,55.070,-508.741,277.036,-2.90246,1.20221,-0.00001
3.7543,55.067,-508.783,273.095,2.90232,-1.20209,0.00008
3.8190,55.063,-508.720,268.921,-2.90239,1.20225,-0.00002
3.8850,55.057,-508.756,264.914,-2.90243,1.20220,0.00003
3.9493,55.072,-508.763,261.891,2.90239,-1.20222,0.00003
4.0147,55.054,-508.739,257.804,2.90234,-1.20224,0.00006
4.0805,55.076,-508.727,253.789,-2.90245,1.20219,-0.00003
4.1449,55.048,-508.781,249.597,-2.90243,1.20224,0.00004
4.2097,55.038,-508.786,245.641,2.90241,-1.20224,0.00000
4.2784,55.070,-508.738,241.723,2.90233,-1.20213,0.00009
4.3399,55.075,-508.746,237.539,2.90241,-1.20225,0.00005
4.4058,55.057,-508.759,233.495,-2.90235,1.20227,0.00005
4.4705,55.050,-508.776,229.493,2.90227,-1.20219,0.00006
4.5358,55.053,-508.747,225.417,2.90241,-1.20227,0.00003
4.6015,55.038,-508.794,222.404,2.90239,-1.20216,0.00001
4.6661,55.046,-508.714,218.392,-2.90237,1.20229,0.00004
4.7309,55.064,-508.729,214.326,2.90238,-1.20226,0.00006
4.7974,55.040,-508.778,210.272,2.90235,-1.20224,0.00004
4.8614,55.049,-508.741,206.207,2.90237,-1.20232,0.00004
4.9266,55.047,-508.765,202.168,2.90245,-1.20218,-0.00003
4.9920,55.046,-508.751,198.178,2.90241,-1.20225,-0.00005
5.0568,55.067,-508.699,193.968,-2.90226,1.20216,0.00006
5.1225,55.062,-508.760,190.057,2.90242,-1.20223,0.00005
5.1872,55.056,-508.766,186.983,2.90240,-1.20218,0.00002
5.2519,55.054,-508.760,182.889,2.90244,-1.20224,-0.00002
5.3179,55.054,-508.762,178.893,2.90243,-1.20229,0.00004
5.3825,55.054,-508.790,174.958,2.90225,-1.20222,0.00009
5.4477,55.069,-508.706,170.808,-2.90245,1.20223,0.00001
5.5132,55.060,-508.722,166.811,2.90243,-1.20224,0.00002
5.5779,55.069,-508.756,162.655,-2.90245,1.20220,-0.00002
5.6429,55.051,-508.708,158.647,-2.90242,1.20221,0.00008
5.7084,55.049,-508.791,154.682,2.90236,-1.20222,0.00006
5.7731,55.062,-508.767,150.521,2.90246,-1.20221,0.00000
5.8393,55.049,-508.770,146.566,2.90241,-1.20229,0.00006
5.9036,55.054,-508.738,143.503,-2.90238,1.20224,-0.00001
5.9688,55.068,-508.777,139.475,2.90227,-1.20212,0.00012
6.0343,55.067,-508.748,135.438,2.90241,-1.20218,-0.00002
6.0992,55.070,-508.763,131.403,2.90244,-1.20216,-0.00001
6.1639,55.055,-508.763,127.251,-2.90241,1.20226,0.00004
6.2299,55.058,-508.729,123.218,-2.90222,1.20222,0.00003
