time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3373,1,474.895,618.20,636.7,636.70,0.0,633.1,633.05,0.0
0.4092,1,473.787,617.09,638.7,638.70,27.8,635.1,635.05,27.8
0.4674,1,471.635,614.94,630.2,632.18,-50.2,626.6,628.05,-84.4
0.5324,1,468.256,611.56,636.7,633.90,-12.2,633.1,631.53,30.1
0.6017,1,464.215,607.51,626.7,629.24,-37.3,623.1,624.46,-83.3
0.6624,1,461.196,604.50,624.2,625.44,-46.9,620.6,620.37,-70.6
0.7292,1,456.130,599.43,615.2,618.25,-72.0,611.6,612.18,-114.4
0.7925,1,453.121,596.42,623.2,618.80,-40.3,619.6,617.33,45.5
0.8574,1,448.939,592.24,610.2,613.16,-58.9,606.7,608.69,-102.8
0.9298,1,444.023,587.32,614.7,612.05,-40.4,611.1,609.89,2.1
0.9885,1,440.955,584.25,604.2,606.85,-56.8,600.8,602.33,-100.2
1.0534,1,436.854,580.15,604.2,603.71,-53.7,600.8,600.06,-46.0
1.1477,1,430.826,574.13,596.7,597.45,-60.1,593.4,593.56,-68.5
1.1839,1,428.781,572.08,596.7,595.96,-56.3,593.4,592.74,-43.5
1.2484,1,424.704,568.00,587.2,589.69,-71.9,584.0,584.86,-110.4
1.3179,1,420.738,564.04,586.2,585.51,-67.1,583.0,582.23,-48.3
1.3784,1,417.773,561.07,584.2,582.91,-58.6,581.0,580.74,-29.4
1.4457,1,413.547,556.85,575.2,576.91,-70.6,572.1,573.04,-101.6
1.5095,1,409.645,552.94,572.2,572.29,-71.2,569.1,568.75,-73.3
1.5744,1,405.472,548.77,570.7,569.33,-61.5,567.7,567.12,-33.4
1.6414,1,401.491,544.79,564.2,564.65,-64.8,561.2,561.72,-73.2
1.7045,1,397.496,540.80,560.7,560.64,-64.3,557.7,557.63,-66.3
1.7694,1,393.367,536.67,560.2,558.52,-52.1,557.2,556.66,-23.7
1.8374,1,389.357,532.66,554.7,554.82,-53.0,551.8,552.22,-59.1
1.9004,1,385.201,528.50,546.2,548.56,-70.4,543.3,544.11,-115.8
1.9654,1,381.253,524.55,542.2,543.02,-76.2,539.3,538.94,-85.8
2.0331,1,377.257,520.56,537.7,537.77,-76.8,534.9,534.63,-67.1
2.0955,1,374.242,517.54,537.7,535.58,-61.2,534.9,534.18,-18.5
2.1605,1,370.079,513.38,530.2,530.83,-65.8,527.4,528.21,-79.4
2.2255,1,366.050,509.35,527.2,526.91,-63.6,524.4,524.20,-64.6
2.2904,1,362.056,505.36,527.7,525.53,-47.1,524.9,524.19,-11.3
2.3579,1,357.990,501.29,523.7,523.10,-42.6,520.9,521.26,-38.4
2.4215,1,353.877,497.18,514.2,516.95,-63.3,511.4,512.55,-119.2
2.4865,1,349.858,493.16,520.2,516.82,-39.2,517.4,515.58,18.5
2.5537,1,345.884,489.18,513.7,513.93,-40.8,510.9,511.76,-45.2
2.6165,1,341.806,485.11,504.7,507.77,-62.1,502.0,503.02,-121.6
2.6815,1,338.732,482.03,500.2,501.87,-73.1,497.5,497.11,-96.1
2.7492,1,333.630,476.93,495.7,496.25,-77.0,493.0,492.63,-70.7
2.8115,1,330.655,473.95,485.7,488.35,-95.1,483.0,483.78,-128.6
2.8790,1,326.553,469.85,493.2,488.02,-59.6,490.5,488.33,37.7
2.9521,1,321.473,464.77,483.7,483.68,-59.5,481.0,482.20,-69.5
3.0075,1,318.395,461.69,483.2,481.78,-51.5,480.5,480.07,-46.1
3.0738,1,314.388,457.69,473.7,475.93,-65.2,470.9,471.81,-112.3
3.1375,1,310.409,453.71,473.2,472.52,-61.1,470.4,469.57,-49.0
3.2024,1,306.335,449.64,469.2,468.89,-59.2,466.4,466.43,-48.5
3.2696,1,302.336,445.64,468.7,466.95,-47.8,465.9,465.55,-18.5
3.3325,1,299.322,442.62,462.7,463.28,-51.5,459.9,460.61,-67.4
3.3984,1,295.235,438.54,462.2,461.13,-44.5,459.4,458.96,-32.0
3.4645,1,291.295,434.60,453.2,455.49,-59.8,450.4,451.33,-101.9
3.5290,1,287.192,430.49,451.2,451.41,-61.1,448.4,447.86,-62.1
3.5949,1,283.094,426.39,452.2,449.98,-46.3,449.4,448.60,-0.8
3.6588,1,279.084,422.38,444.2,445.52,-54.9,441.4,442.46,-79.1
3.7239,1,274.965,418.27,439.2,440.47,-63.3,436.4,436.51,-89.4
3.7895,1,270.883,414.18,435.2,435.71,-66.8,432.4,432.11,-70.7
3.8545,1,266.843,410.14,432.2,431.82,-64.2,429.3,429.08,-50.7
3.9224,1,262.918,406.22,431.2,429.53,-52.3,428.3,427.97,-21.5
3.9845,1,258.900,402.20,421.2,423.54,-68.2,418.3,419.61,-113.0
4.0495,1,255.845,399.14,416.2,417.55,-77.4,413.3,413.14,-101.8
