time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3020,52.801,-508.872,475.010,-2.75197,1.13986,-0.09975
0.3684,52.791,-508.862,474.490,-2.75195,1.13986,-0.09975
0.4338,52.792,-508.909,472.747,-2.75184,1.13984,-0.09981
0.4981,52.770,-508.885,470.066,-2.75202,1.13984,-0.09973
0.5592,52.772,-508.872,467.354,-2.75221,1.13989,-0.09981
0.6257,52.768,-508.915,463.162,-2.75212,1.13992,-0.09982
0.6903,52.763,-508.868,459.121,-2.75188,1.13988,-0.09971
0.7552,52.757,-508.885,455.168,-2.75199,1.14003,-0.09973
0.8214,52.741,-508.936,451.019,-2.75205,1.14001,-0.09980
0.8852,52.750,-508.897,447.001,-2.75189,1.13992,-0.09969
0.9502,52.777,-508.893,442.891,-2.75198,1.13991,-0.09975
1.0179,52.787,-508.868,438.902,-2.75193,1.13989,-0.09970
1.0803,52.757,-508.897,435.905,-2.75201,1.13994,-0.09975
1.1451,52.760,-508.944,431.914,-2.75220,1.13996,-0.09985
1.2214,52.761,-508.842,426.769,-2.75181,1.13994,-0.09970
1.2752,52.772,-508.875,423.718,-2.75183,1.13994,-0.09972
1.3426,52.759,-508.946,419.700,-2.75225,1.13996,-0.09979
1.4063,52.786,-508.866,415.677,-2.75197,1.13993,-0.09975
1.4712,52.771,-508.914,411.634,-2.75192,1.13990,-0.09971
1.5384,52.772,-508.887,407.560,-2.75205,1.13990,-0.09976
1.6012,52.760,-508.886,403.512,-2.75190,1.13992,-0.09971
1.6662,52.754,-508.898,400.533,-2.75202,1.14001,-0.09978
1.7347,52.774,-508.908,395.414,-2.75200,1.13996,-0.09981
1.7963,52.767,-508.864,392.439,-2.75200,1.13995,-0.09972
1.8622,52.742,-508.891,388.295,-2.75211,1.13995,-0.09972
1.9319,52.761,-508.911,384.247,-2.75198,1.13996,-0.09977
1.9923,52.748,-508.880,380.279,-2.75192,1.14002,-0.09971
2.0583,52.771,-508.889,376.176,-2.75205,1.13997,-0.09974
2.1222,52.782,-508.925,372.187,-2.75211,1.13993,-0.09981
2.1872,52.787,-508.894,368.036,-2.75200,1.13988,-0.09975
2.2540,52.765,-508.895,364.007,-2.75192,1.13991,-0.09971
2.3173,52.760,-508.915,360.064,-2.75211,1.13998,-0.09972
2.3833,52.767,-508.893,357.013,-2.75195,1.13992,-0.09969
2.4504,52.783,-508.903,352.824,-2.75185,1.13985,-0.09967
2.5132,52.768,-508.890,348.857,-2.75197,1.13992,-0.09971
2.5782,52.779,-508.857,344.786,-2.75196,1.13988,-0.09972
2.6672,52.753,-508.936,339.894,-2.75223,1.14000,-0.09975
2.7082,52.765,-508.926,336.763,-2.75207,1.13990,-0.09976
2.7742,52.772,-508.915,332.561,-2.75182,1.13984,-0.09969
2.8383,52.759,-508.945,328.627,-2.75195,1.13996,-0.09976
2.9042,52.756,-508.941,324.520,-2.75208,1.13994,-0.09975
2.9714,52.791,-508.879,320.474,-2.75182,1.13986,-0.09970
3.0343,52.755,-508.919,317.449,-2.75187,1.13986,-0.09968
3.0991,52.761,-508.932,313.419,-2.75192,1.13987,-0.09969
3.1674,52.752,-508.891,309.350,-2.75185,1.13992,-0.09967
3.2292,52.764,-508.942,305.432,-2.75210,1.13991,-0.09977
3.2952,52.763,-508.932,301.242,-2.75210,1.13990,-0.09970
3.3637,52.790,-508.860,297.259,-2.75191,1.13989,-0.09972
3.4251,52.773,-508.896,293.335,-2.75208,1.13999,-0.09981
3.4906,52.763,-508.893,289.217,-2.75214,1.14002,-0.09982
3.5553,52.765,-508.910,285.244,-2.75214,1.13999,-0.09979
3.6202,52.782,-508.908,282.136,-2.75204,1.13986,-0.09974
3.6892,52.769,-508.912,277.005,-2.75200,1.13993,-0.09972
3.7502,52.759,-508.930,273.984,-2.75198,1.13989,-0.09971
3.8162,52.753,-508.920,269.928,-2.75180,1.13990,-0.09966
3.8826,52.766,-508.925,265.909,-2.75204,1.13993,-0.09982
3.9462,52.763,-508.906,261.982,-2.75219,1.13998,-0.09976
4.0115,52.773,-508.870,257.797,-2.75197,1.13998,-0.09975
4.0838,52.752,-508.942,253.789,-2.75205,1.13997,-0.09972
4.1413,52.770,-508.886,249.713,-2.75182,1.13995,-0.09972
4.2077,52.776,-508.875,245.607,-2.75182,1.13986,-0.09968
4.2713,52.783,-508.912,241.691,-2.75208,1.13996,-0.09977
