time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0009,52.777,-508.863,474.978,-2.67555,1.10840,-0.14576
0.0148,52.787,-508.873,474.944,-2.67552,1.10834,-0.14575
0.0307,52.765,-508.887,474.935,-2.67551,1.10841,-0.14575
0.0487,52.769,-508.857,474.965,-2.67552,1.10841,-0.14574
0.0647,52.809,-508.849,474.984,-2.67566,1.10829,-0.14573
0.0807,52.796,-508.837,475.019,-2.67571,1.10836,-0.14580
0.0987,52.810,-508.820,475.041,-2.67570,1.10838,-0.14585
0.1147,52.813,-508.827,475.035,-2.67576,1.10830,-0.14582
0.1308,52.837,-508.819,475.052,-2.67579,1.10826,-0.14588
0.1487,52.806,-508.844,475.046,-2.67582,1.10832,-0.14586
0.1647,52.823,-508.828,475.020,-2.67569,1.10826,-0.14589
0.1827,52.810,-508.846,475.020,-2.67574,1.10825,-0.14590
0.1987,52.813,-508.858,475.004,-2.67572,1.10827,-0.14589
0.2147,52.810,-508.857,474.981,-2.67565,1.10824,-0.14585
0.2328,52.803,-508.869,474.991,-2.67573,1.10819,-0.14586
0.2487,52.817,-508.879,474.985,-2.67570,1.10822,-0.14589
0.2648,52.822,-508.868,474.988,-2.67567,1.10823,-0.14586
0.2827,52.818,-508.851,475.024,-2.67573,1.10827,-0.14595
0.2990,52.810,-508.857,475.035,-2.67579,1.10829,-0.14593
0.3149,52.842,-508.850,475.030,-2.67587,1.10819,-0.14597
0.3331,52.816,-508.849,474.979,-2.67600,1.10831,-0.14594
0.3489,52.829,-508.842,474.828,-2.67602,1.10822,-0.14594
0.3649,52.816,-508.895,474.585,-2.67599,1.10836,-0.14600
0.3830,52.793,-508.941,474.195,-2.67591,1.10827,-0.14596
0.3991,52.753,-508.968,473.815,-2.67582,1.10835,-0.14594
0.4150,52.753,-509.014,473.346,-2.67586,1.10831,-0.14591
0.4427,52.747,-509.018,472.756,-2.67577,1.10828,-0.14588
0.4489,52.778,-509.020,472.165,-2.67573,1.10818,-0.14597
0.4648,52.768,-508.987,471.530,-2.67563,1.10821,-0.14589
0.4830,52.770,-508.954,470.808,-2.67586,1.10822,-0.14594
0.4988,52.777,-508.912,470.075,-2.67584,1.10828,-0.14593
0.5169,52.788,-508.863,469.163,-2.67584,1.10823,-0.14591
0.5329,52.803,-508.879,468.282,-2.67591,1.10828,-0.14601
0.5488,52.785,-508.880,467.312,-2.67588,1.10828,-0.14597
0.5671,52.773,-508.857,466.222,-2.67577,1.10834,-0.14590
0.5830,52.768,-508.862,465.269,-2.67583,1.10834,-0.14591
0.5988,52.770,-508.902,464.231,-2.67575,1.10832,-0.14593
0.6169,52.755,-508.942,463.099,-2.67571,1.10829,-0.14591
0.6328,52.730,-508.953,462.085,-2.67557,1.10836,-0.14588
0.6490,52.747,-508.929,461.134,-2.67561,1.10831,-0.14590
0.6676,52.753,-508.914,460.073,-2.67560,1.10834,-0.14593
0.6829,52.736,-508.900,459.112,-2.67556,1.10835,-0.14586
0.6989,52.738,-508.917,458.184,-2.67568,1.10842,-0.14595
0.7168,52.741,-508.904,457.104,-2.67576,1.10837,-0.14592
0.7328,52.753,-508.875,456.177,-2.67581,1.10842,-0.14591
0.7500,52.759,-508.865,455.224,-2.67586,1.10839,-0.14596
0.7668,52.743,-508.894,454.101,-2.67581,1.10848,-0.14592
0.7830,52.749,-508.915,453.114,-2.67582,1.10845,-0.14593
0.7988,52.724,-508.932,452.151,-2.67587,1.10843,-0.14595
0.8168,52.716,-508.935,451.068,-2.67587,1.10850,-0.14597
0.8329,52.732,-508.905,450.038,-2.67563,1.10844,-0.14593
0.8517,52.744,-508.905,448.912,-2.67559,1.10830,-0.14587
0.8668,52.743,-508.907,447.924,-2.67554,1.10831,-0.14587
0.8829,52.749,-508.893,446.974,-2.67558,1.10830,-0.14583
0.9009,52.760,-508.882,445.908,-2.67561,1.10833,-0.14587
0.9167,52.760,-508.867,444.966,-2.67563,1.10835,-0.14588
0.9328,52.750,-508.921,444.055,-2.67589,1.10841,-0.14598
0.9508,52.788,-508.907,442.951,-2.67589,1.10834,-0.14597
0.9672,52.781,-508.893,441.968,-2.67583,1.10833,-0.14596
0.9829,52.755,-508.896,440.995,-2.67583,1.10837,-0.14587
1.0009,52.792,-508.886,439.905,-2.67585,1.10822,-0.14591
1.0169,52.761,-508.863,438.899,-2.67561,1.10837,-0.14584
1.0328,52.778,-508.885,437.896,-2.67555,1.10827,-0.14589
1.0509,52.748,-508.886,436.812,-2.67554,1.10830,-0.14582
1.0668,52.761,-508.924,435.851,-2.67566,1.10834,-0.14591
1.0829,52.755,-508.911,434.916,-2.67571,1.10839,-0.14594
1.1009,52.762,-508.901,433.815,-2.67571,1.10833,-0.14591
1.1168,52.752,-508.931,432.891,-2.67591,1.10840,-0.14600
1.1328,52.767,-508.918,431.909,-2.67589,1.10841,-0.14597
1.1521,52.777,-508.908,430.823,-2.67590,1.10835,-0.14596
1.1681,52.757,-508.905,429.860,-2.67581,1.10842,-0.14599
1.1848,52.754,-508.887,428.801,-2.67583,1.10842,-0.14593
1.2008,52.778,-508.864,427.804,-2.67572,1.10832,-0.14595
1.2168,52.742,-508.886,426.813,-2.67574,1.10840,-0.14591
1.2348,52.772,-508.898,425.689,-2.67567,1.10835,-0.14595
1.2507,52.761,-508.891,424.707,-2.67558,1.10835,-0.14587
1.2668,52.772,-508.866,423.690,-2.67547,1.10828,-0.14581
1.2848,52.769,-508.867,422.635,-2.67551,1.10836,-0.14590
1.3009,52.754,-508.912,421.674,-2.67570,1.10833,-0.14588
1.3168,52.769,-508.915,420.733,-2.67577,1.10832,-0.14592
1.3348,52.760,-508.911,419.682,-2.67590,1.10832,-0.14597
1.3509,52.761,-508.893,418.715,-2.67586,1.10832,-0.14591
1.3668,52.800,-508.862,417.722,-2.67570,1.10828,-0.14591
1.3848,52.765,-508.879,416.650,-2.67575,1.10831,-0.14592
1.4008,52.754,-508.887,415.648,-2.67566,1.10836,-0.14590
