time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned UNFITTED (using wood),filt_learned UNFITTED (using wood),vel_learned UNFITTED (using wood)
0.3320,1,474.909,618.21,615.7,615.70,0.0,620.6,620.61,0.0
0.3967,1,473.794,617.09,614.7,614.70,-15.4,619.6,619.61,-15.4
0.4624,1,471.594,614.89,611.2,611.59,-35.2,616.1,616.41,-42.4
0.5254,1,469.130,612.43,612.2,611.41,-19.8,617.1,616.60,-5.5
0.5893,1,465.232,608.53,606.7,607.88,-35.8,611.7,612.39,-55.2
0.6574,1,461.174,604.47,600.7,602.41,-57.0,606.0,606.36,-83.7
0.7204,1,457.013,600.31,600.2,599.65,-51.1,605.5,604.84,-35.0
0.7853,1,453.148,596.45,593.7,594.72,-62.6,599.3,599.79,-70.6
0.8523,1,448.932,592.23,589.7,590.01,-66.2,595.5,595.42,-66.0
0.9154,1,444.944,588.24,587.7,586.98,-58.0,593.6,593.21,-40.7
0.9803,1,441.012,584.31,583.2,583.21,-58.1,589.2,589.43,-55.2
1.0514,1,436.894,580.19,577.2,577.87,-66.6,583.5,583.73,-77.0
1.1113,1,433.823,577.12,576.7,575.61,-54.1,583.0,582.35,-34.2
1.1776,1,429.839,573.14,569.2,570.25,-66.9,575.8,576.37,-81.4
1.2414,1,425.733,569.03,565.7,565.81,-68.2,572.4,572.19,-68.4
1.3063,1,421.657,564.96,560.7,560.95,-71.3,567.5,567.56,-70.8
1.3743,1,417.735,561.04,556.2,556.17,-70.9,563.2,563.10,-66.3
1.4364,1,413.558,556.86,553.2,552.66,-64.3,560.2,560.05,-52.4
1.5013,1,409.602,552.90,550.2,549.57,-56.3,557.3,557.23,-45.0
1.5715,1,405.502,548.80,546.2,546.00,-53.5,553.4,553.52,-51.8
1.6323,1,401.466,544.77,541.2,541.77,-60.7,548.6,548.85,-71.7
1.6990,1,397.491,540.79,535.7,536.42,-70.4,543.2,543.32,-81.3
1.7689,1,393.371,536.67,533.2,532.62,-62.2,540.7,540.34,-47.9
1.8274,1,390.275,533.58,531.7,530.68,-49.4,539.3,538.99,-28.6
1.8943,1,386.288,529.59,527.2,527.26,-50.2,534.9,535.18,-52.5
1.9584,1,382.248,525.55,521.7,522.53,-61.6,529.5,529.83,-78.0
2.0234,1,378.210,521.51,519.7,519.29,-55.9,527.5,527.12,-48.0
2.0906,1,374.122,517.42,513.2,514.00,-67.5,521.1,521.51,-77.9
2.1534,1,370.152,513.45,510.7,510.37,-62.8,518.7,518.36,-55.4
2.2183,1,366.110,509.41,508.7,507.86,-50.7,516.7,516.42,-34.2
2.2861,1,361.935,505.24,504.2,504.27,-51.8,512.3,512.52,-54.0
2.3494,1,357.959,501.26,498.7,499.50,-63.4,506.8,507.18,-78.8
2.4150,1,354.004,497.30,495.2,495.25,-64.1,503.4,503.18,-63.9
2.4864,1,349.835,493.13,490.2,490.35,-66.6,498.4,498.46,-65.9
2.5444,1,346.877,490.18,487.2,486.94,-63.0,495.5,495.32,-56.7
2.6120,1,342.793,486.09,483.7,483.36,-57.6,492.0,491.93,-51.2
2.6745,1,338.679,481.98,479.7,479.72,-58.0,488.0,488.14,-58.9
2.7394,1,334.705,478.00,476.7,476.45,-54.1,485.1,484.95,-50.8
2.8085,1,330.614,473.91,471.2,471.68,-62.2,479.6,479.84,-70.6
2.8704,1,326.489,469.79,464.7,465.76,-78.7,473.1,473.50,-96.3
2.9354,1,322.573,465.87,462.7,462.00,-67.8,471.1,470.57,-53.7
3.0028,1,318.452,461.75,459.7,458.96,-55.6,468.2,467.99,-40.7
3.0654,1,315.416,458.72,456.2,455.96,-51.8,464.7,464.79,-49.1
3.1331,1,310.520,453.82,452.7,452.62,-50.5,461.2,461.22,-52.2
3.1955,1,307.348,450.65,444.7,446.30,-76.1,453.2,453.94,-104.5
3.2604,1,303.371,446.67,443.2,442.53,-66.6,451.7,451.04,-54.8
3.3278,1,299.401,442.70,437.2,437.48,-71.0,445.7,445.94,-72.5
3.3915,1,295.256,438.56,436.2,435.10,-54.2,444.7,444.21,-35.4
3.4564,1,291.205,434.50,428.7,429.70,-69.1,437.2,437.90,-86.6
3.5257,1,287.104,430.40,428.2,427.12,-51.9,436.7,436.08,-34.9
3.5864,1,283.139,426.44,423.2,423.48,-55.8,431.7,432.07,-59.6
3.6514,1,279.084,422.38,421.2,420.74,-48.8,429.7,429.49,-43.1
3.7246,1,275.003,418.30,417.7,417.53,-46.0,426.2,426.22,-44.4
3.7824,1,271.989,415.29,414.2,414.44,-49.4,422.7,422.86,-55.0
3.8493,1,267.895,411.19,409.2,409.85,-59.7,417.7,417.90,-71.3
3.9125,1,263.808,407.11,405.7,405.83,-61.6,414.2,414.06,-62.7
3.9775,1,259.853,403.15,400.7,401.08,-67.6,409.2,409.29,-71.7
4.0466,1,255.875,399.18,396.7,396.61,-66.0,405.2,405.04,-62.8
4.1075,1,251.683,394.98,395.2,394.31,-52.1,403.6,403.26,-36.0
4.1724,1,247.700,391.00,389.2,389.78,-61.4,397.6,398.11,-72.0
4.2402,1,243.651,386.95,383.2,383.97,-74.6,391.6,391.83,-89.6
4.3035,1,239.653,382.95,380.7,380.22,-66.8,389.1,388.65,-57.4
4.3700,1,235.543,378.84,375.7,375.72,-67.2,384.1,384.18,-65.6
4.4413,1,231.454,374.75,372.2,371.82,-60.1,380.6,380.42,-54.3
4.4984,1,228.518,371.82,367.2,367.61,-66.5,375.5,375.84,-74.2
4.5664,1,224.444,367.74,364.2,363.85,-60.2,372.5,372.28,-55.6
4.6285,1,220.343,363.64,361.2,360.84,-54.2,369.5,369.40,-48.2
4.6934,1,216.373,359.67,358.2,357.92,-49.2,366.5,366.46,-45.8
4.7615,1,212.347,355.65,354.2,354.31,-51.3,362.5,362.59,-55.2
4.8245,1,208.204,351.50,349.2,349.80,-62.0,357.4,357.70,-73.5
4.8894,1,204.234,347.53,346.2,346.07,-59.5,354.4,354.21,-57.0
4.9587,1,200.105,343.41,341.2,341.42,-63.9,349.4,349.52,-66.2
5.0195,1,197.111,340.41,336.7,336.97,-68.7,344.9,344.99,-73.0
5.0856,1,192.994,336.29,334.2,333.66,-58.3,342.4,342.06,-48.9
5.1495,1,189.068,332.37,328.7,329.08,-65.5,336.9,337.17,-71.7
5.2154,1,184.895,328.20,324.2,324.37,-68.9,332.3,332.35,-72.8
5.2810,1,180.982,324.28,320.2,320.10,-66.8,328.3,328.22,-64.7
5.3455,1,176.789,320.09,317.2,316.77,-58.3,325.3,325.12,-50.8
5.4104,1,172.936,316.24,313.2,313.14,-57.0,321.3,321.38,-56.6
5.4787,1,168.887,312.19,311.2,310.64,-45.1,319.3,319.05,-37.4
5.5405,1,164.742,308.04,306.7,307.06,-52.1,314.8,315.09,-59.0
5.6054,1,160.712,304.01,304.2,304.04,-48.8,312.3,312.13,-47.9
5.6769,1,156.547,299.85,299.2,299.57,-57.3,307.3,307.45,-63.2
5.7364,1,153.586,296.89,296.2,296.19,-57.0,304.3,304.16,-56.8
5.8033,1,149.559,292.86,291.7,291.89,-61.3,299.8,299.84,-63.5
5.8665,1,145.418,288.72,286.7,287.09,-69.6,294.7,294.91,-75.3
5.9314,1,141.509,284.81,282.7,282.66,-68.8,290.7,290.64,-67.4
6.0001,1,137.507,280.81,280.2,279.58,-54.3,288.2,287.94,-43.3
6.0615,1,133.295,276.60,275.7,275.87,-57.8,283.7,283.99,-60.3
6.1274,1,129.334,272.63,271.7,271.80,-60.1,279.8,279.79,-63.2
6.1943,1,125.198,268.50,268.2,268.08,-57.4,276.3,276.16,-55.6
6.2575,1,121.210,264.51,264.7,264.63,-55.8,272.8,272.75,-54.3
6.3224,1,117.198,260.50,259.7,260.07,-64.3,267.8,267.99,-70.0
6.3957,1,113.155,256.46,256.7,256.36,-55.5,264.8,264.55,-49.6
6.4524,1,110.121,253.42,252.7,252.86,-58.8,260.8,260.97,-60.0
6.5202,1,106.126,249.43,248.7,248.75,-60.0,256.8,256.84,-60.9
6.5825,1,101.907,245.21,244.7,244.79,-62.0,252.8,252.88,-63.0
6.6484,1,97.895,241.19,241.7,241.43,-55.3,249.9,249.70,-50.6
6.7158,1,93.950,237.25,234.7,235.49,-75.5,242.9,243.38,-87.1
6.7785,1,89.855,233.16,231.7,231.42,-69.3,239.9,239.63,-65.0
6.8434,1,85.857,229.16,226.7,226.76,-70.8,235.0,235.05,-69.7
6.9111,1,81.695,225.00,222.7,222.51,-65.9,231.0,230.93,-62.2
6.9734,1,78.661,221.96,219.2,218.97,-60.6,227.6,227.48,-56.6
7.0416,1,73.705,217.01,216.2,215.84,-51.4,224.6,224.47,-46.1
7.1035,1,70.738,214.04,212.7,212.69,-51.2,221.1,221.21,-51.3
7.1694,1,66.661,209.96,209.2,209.23,-51.9,217.7,217.71,-52.9
7.2382,1,62.594,205.89,206.2,206.06,-48.2,214.7,214.64,-45.8
7.2995,1,58.441,201.74,202.2,202.45,-54.4,210.8,210.95,-57.3
7.3644,1,54.474,197.77,197.7,198.03,-62.9,206.4,206.49,-66.8
7.4334,1,50.561,193.86,192.7,192.95,-69.8,201.4,201.51,-71.5
7.4945,1,46.398,189.70,188.2,188.34,-73.1,197.0,197.05,-72.7
7.5604,1,42.305,185.61,183.7,183.65,-71.8,192.6,192.57,-68.7
7.6301,1,38.206,181.51,180.7,180.20,-57.4,189.7,189.43,-48.3
7.6904,1,35.212,178.51,175.2,175.63,-68.1,184.3,184.67,-72.7
7.7585,1,30.296,173.60,170.2,170.40,-73.7,179.4,179.47,-75.8
7.8205,1,27.259,170.56,166.2,166.10,-71.1,175.5,175.41,-67.4
7.8854,1,23.036,166.34,164.2,163.50,-51.7,173.6,173.21,-39.6
7.9561,1,19.063,162.36,160.7,160.49,-45.7,170.2,170.21,-42.1
8.0155,1,14.996,158.30,156.7,157.00,-53.1,166.3,166.53,-57.7
8.0814,1,10.932,154.23,152.7,152.91,-58.8,162.4,162.46,-61.1
8.1485,1,6.938,150.24,149.2,149.14,-57.1,159.0,158.93,-54.0
8.2115,1,2.785,146.09,147.2,146.76,-45.4,157.1,156.85,-36.9
8.2764,1,-1.051,142.25,141.2,141.87,-64.1,151.3,151.75,-71.4
8.3477,1,-5.290,138.01,137.7,137.60,-61.3,147.9,147.75,-58.1
8.4065,1,-8.345,134.96,133.2,133.42,-66.9,143.6,143.70,-66.5
8.4741,1,-12.334,130.97,129.2,129.13,-64.8,139.7,139.66,-60.8
8.5377,1,-16.328,126.97,124.7,124.78,-67.0,135.4,135.47,-65.0
8.6026,1,-20.434,122.87,121.2,121.00,-61.5,132.1,131.94,-56.2
8.6720,1,-24.503,118.80,117.2,117.09,-58.1,128.2,128.21,-54.1
8.7326,1,-28.500,114.80,112.7,112.93,-64.3,123.9,124.09,-65.1
8.7976,1,-32.463,110.84,110.2,109.83,-53.8,121.5,121.30,-46.7
8.8650,1,-36.694,106.61,106.2,106.20,-53.8,117.7,117.80,-51.1
8.9277,1,-40.630,102.67,101.2,101.62,-65.7,113.0,113.24,-68.8
8.9927,1,-43.668,99.63,97.7,97.61,-63.1,109.7,109.54,-58.9
9.0641,1,-48.808,94.49,92.7,92.79,-66.1,104.9,104.99,-63.1
9.1236,1,-51.787,91.51,88.2,88.37,-71.0,100.7,100.78,-69.1
9.1942,1,-55.786,87.51,84.7,84.40,-60.9,97.4,97.19,-53.2
9.2537,1,-59.883,83.42,80.7,80.72,-61.5,93.6,93.69,-57.7
9.3186,1,-63.971,79.33,74.7,75.20,-76.9,88.0,88.28,-79.1
9.3864,1,-67.926,75.37,73.2,72.44,-52.6,86.6,86.08,-39.4
9.4485,1,-71.963,71.34,68.2,68.48,-59.6,81.9,82.18,-58.4
9.5144,1,-76.054,67.25,65.7,65.41,-51.3,79.6,79.40,-44.8
9.5838,1,-80.256,63.04,60.7,60.97,-59.6,74.9,75.10,-59.5
9.6444,1,-83.154,60.15,57.2,57.24,-60.8,71.7,71.64,-57.6
9.7109,1,-87.092,56.21,54.2,53.95,-53.5,68.9,68.73,-45.9
9.7745,1,-91.214,52.09,50.2,50.29,-56.1,65.2,65.27,-52.8
9.8393,1,-95.259,48.04,46.7,46.69,-55.7,61.9,61.93,-51.8
9.9077,1,-99.199,44.10,41.2,41.59,-68.1,56.9,57.08,-68.0
9.9707,1,-103.455,39.85,37.2,37.23,-68.9,53.2,53.14,-63.6
10.0354,1,-107.409,35.89,33.2,33.09,-65.7,49.5,49.46,-58.0
10.1031,1,-111.322,31.98,29.2,29.07,-61.6,45.9,45.83,-54.4
10.1655,1,-115.627,27.67,25.2,25.21,-61.8,42.2,42.26,-56.7
10.2310,1,-119.583,23.72,19.7,20.05,-72.9,37.2,37.41,-71.1
10.3032,1,-123.624,19.68,15.7,15.50,-65.9,33.6,33.43,-57.1
10.3604,1,-126.386,16.91,11.2,11.34,-70.0,29.5,29.63,-64.2
10.4289,1,-128.995,14.31,6.7,6.67,-68.8,25.5,25.43,-61.7
10.4904,1,-130.415,12.89,3.2,3.01,-62.9,22.3,22.21,-54.3
10.5564,2,-130.789,12.51,1.7,1.04,-40.9,21.0,20.63,-28.8
10.6239,2,-130.762,12.54,1.2,0.47,-18.8,20.5,20.27,-9.0
10.6864,2,-130.767,12.53,1.2,0.67,-5.1,20.5,20.39,-0.0
10.7514,2,-130.787,12.51,2.2,1.72,8.3,21.4,21.27,11.2
10.8233,2,-130.767,12.53,2.2,2.23,7.5,21.4,21.50,4.2
10.8814,2,-130.771,12.53,0.7,1.25,-6.5,20.1,20.36,-14.3
10.9508,2,-130.799,12.50,2.2,1.86,3.7,21.4,21.15,7.8
11.0125,2,-130.798,12.50,1.2,1.44,-2.7,20.5,20.70,-4.4
11.0774,2,-130.785,12.51,1.2,1.22,-3.1,20.5,20.51,-3.2
11.1461,2,-130.781,12.52,1.7,1.53,2.0,21.0,20.88,4.2
11.2074,2,-130.790,12.51,1.2,1.32,-1.3,20.5,20.62,-2.6
11.2724,2,-130.783,12.52,1.7,1.58,2.1,21.0,20.89,3.1
11.3409,2,-130.787,12.51,1.2,1.32,-1.8,20.5,20.60,-3.2
11.4034,2,-130.807,12.49,1.2,1.20,-1.9,20.5,20.50,-1.9
11.4684,2,-130.770,12.53,1.7,1.55,2.8,21.0,20.88,4.6
11.5401,2,-130.800,12.50,1.7,1.71,2.4,21.0,21.00,2.0
11.5984,2,-130.794,12.51,1.7,1.74,1.3,21.0,20.99,0.4
11.6661,2,-130.800,12.50,1.7,1.73,0.3,21.0,20.98,-0.2
11.7295,2,-130.798,12.50,1.2,1.33,-3.9,20.5,20.59,-5.0
11.7944,2,-130.813,12.49,1.7,1.55,0.9,21.0,20.87,2.7
11.8610,2,-130.794,12.51,1.2,1.30,-2.3,20.5,20.60,-3.0
11.9245,2,-130.807,12.49,1.2,1.19,-1.9,20.5,20.50,-1.7
11.9894,2,-130.815,12.49,1.7,1.55,3.0,21.0,20.88,4.6
12.0573,2,-130.809,12.49,1.7,1.71,2.6,21.0,21.00,2.1
12.1204,2,-130.804,12.50,2.2,2.12,5.1,21.4,21.38,5.2
12.1869,2,-130.797,12.50,1.2,1.49,-4.8,20.5,20.69,-7.8
12.2585,2,-130.802,12.50,1.7,1.58,-0.4,21.0,20.86,1.1
12.3154,2,-130.802,12.50,1.2,1.29,-3.3,20.5,20.59,-3.4
12.3855,2,-130.807,12.49,1.7,1.57,1.8,21.0,20.89,3.2
12.4454,2,-130.802,12.50,1.2,1.32,-1.9,20.5,20.61,-3.0
12.5104,2,-130.788,12.51,1.2,1.20,-1.9,20.5,20.51,-1.9
12.5784,2,-130.792,12.51,2.2,1.96,7.2,21.4,21.28,9.3
12.6414,2,-130.799,12.50,2.2,2.25,5.5,21.4,21.49,4.5
12.7064,2,-130.782,12.52,1.2,1.51,-6.0,20.5,20.70,-9.2
12.7766,2,-130.793,12.51,1.7,1.58,-1.1,21.0,20.85,0.5
