time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3320,55.034,-508.865,474.909,2.90228,-1.20218,0.00005
0.3967,55.047,-508.805,473.794,-2.90242,1.20226,-0.00002
0.4624,55.044,-508.849,471.594,-2.90244,1.20218,0.00006
0.5254,55.053,-508.802,469.130,2.90244,-1.20225,0.00001
0.5893,55.010,-508.865,465.232,2.90224,-1.20222,0.00000
0.6574,55.000,-508.807,461.174,-2.90236,1.20231,0.00010
0.7204,55.003,-508.824,457.013,-2.90223,1.20230,0.00011
0.7853,55.031,-508.864,453.148,2.90226,-1.20216,0.00004
0.8523,55.055,-508.799,448.932,-2.90234,1.20219,0.00010
0.9154,55.040,-508.843,444.944,-2.90239,1.20224,0.00002
0.9803,55.025,-508.858,441.012,2.90223,-1.20220,0.00002
1.0514,55.047,-508.830,436.894,2.90240,-1.20222,0.00010
1.1113,55.023,-508.837,433.823,2.90240,-1.20233,-0.00004
1.1776,55.056,-508.868,429.839,2.90237,-1.20212,0.00005
1.2414,55.052,-508.806,425.733,2.90242,-1.20219,0.00001
1.3063,55.037,-508.839,421.657,-2.90233,1.20223,0.00003
1.3743,55.026,-508.837,417.735,2.90235,-1.20224,-0.00002
1.4364,55.050,-508.803,413.558,-2.90231,1.20223,0.00003
1.5013,55.034,-508.876,409.602,2.90237,-1.20224,-0.00002
1.5715,55.045,-508.870,405.502,2.90228,-1.20212,0.00009
1.6323,55.055,-508.852,401.466,-2.90243,1.20223,-0.00004
1.6990,55.047,-508.853,397.491,2.90241,-1.20223,0.00008
1.7689,55.039,-508.857,393.371,2.90230,-1.20224,0.00004
1.8274,55.073,-508.837,390.275,-2.90235,1.20211,0.00001
1.8943,55.055,-508.805,386.288,-2.90234,1.20213,0.00005
1.9584,55.041,-508.850,382.248,2.90228,-1.20220,0.00009
2.0234,55.034,-508.830,378.210,-2.90232,1.20229,0.00000
2.0906,55.036,-508.851,374.122,-2.90226,1.20220,0.00005
2.1534,55.058,-508.842,370.152,2.90227,-1.20213,0.00011
2.2183,55.047,-508.789,366.110,-2.90241,1.20225,0.00007
2.2861,55.036,-508.848,361.935,-2.90236,1.20230,0.00003
2.3494,55.049,-508.896,357.959,2.90236,-1.20220,-0.00000
