time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned UNFITTED (using wood),filt_learned UNFITTED (using wood),vel_learned UNFITTED (using wood)
0.3038,1,474.818,618.12,612.2,612.20,0.0,617.1,617.11,0.0
0.3697,1,473.387,616.69,610.7,610.70,-22.7,615.6,615.61,-22.7
0.4366,1,470.815,614.12,609.2,609.20,-22.6,614.1,614.11,-22.5
0.5002,1,468.217,611.52,609.2,608.79,-14.8,614.1,613.90,-6.9
0.5636,1,464.221,607.52,605.2,606.12,-27.1,610.3,610.76,-41.7
0.6286,1,460.186,603.49,600.2,601.72,-45.7,605.5,605.89,-69.4
0.6977,1,456.014,599.31,595.2,596.45,-60.6,600.7,600.79,-73.2
0.7596,1,452.133,595.43,594.2,593.61,-54.1,599.8,599.23,-34.4
0.8259,1,447.934,591.23,588.2,588.88,-62.2,594.0,594.45,-66.1
0.8897,1,443.988,587.29,584.2,584.47,-65.4,590.2,590.21,-66.5
0.9546,1,439.977,583.28,576.7,578.03,-81.2,583.0,583.41,-98.2
1.0213,1,435.853,579.15,579.7,577.04,-49.4,585.9,584.60,-0.5
1.0856,1,431.821,575.12,572.2,572.91,-56.2,578.6,579.53,-65.2
1.1506,1,428.879,572.18,571.2,570.43,-48.1,577.7,577.33,-39.2
1.2176,1,424.709,568.01,564.7,565.66,-58.7,571.4,571.86,-75.0
1.2806,1,420.716,564.02,561.7,561.81,-59.8,568.5,568.29,-60.1
1.3455,1,416.743,560.04,558.2,558.09,-58.6,565.1,565.00,-52.3
1.4144,1,412.553,555.85,551.2,552.26,-71.0,558.3,558.72,-85.5
1.4766,1,408.590,551.89,547.2,547.45,-73.8,554.4,554.25,-74.4
1.5424,1,404.463,547.76,544.7,543.90,-64.6,552.0,551.60,-45.9
1.6067,1,400.472,543.77,542.7,541.57,-51.7,550.0,549.82,-30.8
1.6715,1,396.525,539.83,537.7,537.90,-54.0,545.1,545.54,-60.1
1.7386,1,392.344,535.64,531.7,532.66,-65.5,539.3,539.59,-84.2
1.8017,1,389.294,532.59,531.2,530.18,-53.6,538.8,538.10,-34.8
1.8666,1,385.306,528.61,521.7,523.59,-76.0,529.5,530.41,-104.3
1.9340,1,381.316,524.62,520.2,519.52,-68.4,528.0,527.37,-54.3
1.9976,1,377.178,520.48,515.7,515.50,-66.1,523.6,523.64,-57.8
2.0615,1,372.986,516.29,509.7,510.30,-73.0,517.7,518.02,-82.5
2.1331,1,369.181,512.48,508.2,507.09,-58.9,516.2,515.69,-38.9
2.1927,1,365.110,508.41,506.2,505.17,-47.5,514.2,514.09,-29.3
2.2592,1,360.897,504.20,500.2,500.88,-55.6,508.3,508.86,-70.9
2.3227,1,356.952,500.25,496.7,496.94,-58.5,504.9,504.78,-65.4
2.3876,1,353.957,497.26,491.2,491.92,-67.4,499.4,499.59,-77.6
2.4552,1,348.888,492.19,491.7,490.14,-47.5,499.9,499.15,-17.3
2.5187,1,345.903,489.20,487.7,487.48,-44.9,496.0,496.28,-40.2
2.5835,1,341.828,485.13,479.7,481.53,-66.9,488.0,488.86,-101.7
2.6514,1,337.687,480.99,478.2,477.74,-61.5,486.5,485.91,-52.2
2.7136,1,333.675,476.98,472.7,473.17,-66.8,481.1,481.33,-69.5
2.7785,1,329.499,472.80,470.7,469.99,-58.5,479.1,478.77,-44.6
2.8485,1,325.554,468.85,465.7,465.77,-59.4,474.1,474.33,-60.8
2.9086,1,321.546,464.85,462.7,462.51,-57.2,471.1,471.07,-55.6
2.9748,1,317.425,460.73,457.2,457.76,-64.1,465.7,465.91,-74.3
3.0397,1,313.482,456.78,454.7,454.29,-59.1,463.2,462.87,-51.6
3.1046,1,310.466,453.77,449.7,449.98,-62.6,458.2,458.39,-66.1
3.1731,1,305.408,448.71,444.2,444.73,-69.6,452.7,452.86,-78.5
3.2347,1,302.347,445.65,441.2,440.92,-66.1,449.7,449.45,-60.0
3.2996,1,298.429,441.73,438.2,437.63,-58.7,446.7,446.54,-47.3
3.3664,1,294.200,437.50,435.2,434.67,-51.5,443.7,443.67,-43.7
3.4306,1,290.199,433.50,431.2,431.26,-52.3,439.7,439.89,-56.2
3.4955,1,286.157,429.46,425.2,426.15,-65.1,433.7,434.09,-83.8
3.5658,1,282.072,425.37,422.2,421.99,-62.1,430.7,430.38,-56.9
3.6256,1,278.105,421.41,418.2,418.23,-62.4,426.7,426.75,-59.9
3.6925,1,273.998,417.30,411.2,412.20,-76.5,419.7,420.12,-93.0
3.7557,1,270.966,414.27,410.2,409.18,-62.7,418.7,418.01,-44.4
3.8205,1,266.934,410.23,404.7,404.85,-64.7,413.2,413.47,-65.7
3.8870,1,262.790,406.09,402.2,401.63,-56.5,410.7,410.45,-48.6
3.9517,1,258.905,402.20,398.2,398.12,-55.4,406.7,406.75,-55.7
4.0165,1,254.834,398.13,393.7,393.99,-59.5,402.1,402.29,-66.6
4.0844,1,250.633,393.93,392.2,391.44,-48.1,400.6,400.24,-35.6
4.1466,1,246.686,389.99,385.7,386.67,-61.9,394.1,394.72,-78.7
4.2130,1,242.669,385.97,385.2,384.29,-48.5,393.6,393.03,-34.0
4.2767,1,238.639,381.94,378.7,379.58,-61.1,387.1,387.65,-75.3
4.3416,1,234.490,377.79,374.7,375.01,-65.8,383.1,383.02,-72.0
4.4098,1,230.496,373.80,368.2,368.97,-77.8,376.5,376.75,-89.0
4.4727,1,227.533,370.83,366.2,365.47,-67.0,374.5,374.01,-52.0
4.5375,1,223.482,366.78,361.7,361.50,-64.0,370.0,370.10,-58.9
4.6051,1,219.324,362.62,358.2,357.87,-58.6,366.5,366.44,-54.9
4.6677,1,215.412,358.71,354.2,354.20,-58.6,362.5,362.55,-60.7
4.7325,1,211.201,354.50,351.2,350.93,-54.4,359.5,359.33,-51.5
4.8002,1,207.224,350.52,346.2,346.54,-60.0,354.4,354.63,-66.8
4.8636,1,203.175,346.48,341.7,342.05,-65.5,349.9,349.99,-72.1
