time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3038,55.055,-508.880,474.818,2.90224,-1.20208,0.00008
0.3697,54.999,-508.889,473.387,2.90233,-1.20223,-0.00006
0.4366,55.040,-508.903,470.815,2.90245,-1.20208,0.00002
0.5002,55.012,-508.888,468.217,2.90233,-1.20228,0.00001
0.5636,55.014,-508.917,464.221,2.90230,-1.20224,0.00010
0.6286,54.999,-508.884,460.186,-2.90238,1.20231,0.00001
0.6977,54.990,-508.906,456.014,-2.90228,1.20226,0.00007
0.7596,55.004,-508.953,452.133,2.90224,-1.20223,0.00008
0.8259,55.018,-508.865,447.934,-2.90233,1.20222,0.00010
0.8897,55.021,-508.918,443.988,2.90233,-1.20223,0.00009
0.9546,55.029,-508.921,439.977,2.90237,-1.20215,0.00004
1.0213,55.021,-508.859,435.853,-2.90237,1.20227,0.00002
1.0856,55.037,-508.884,431.821,-2.90239,1.20220,0.00002
1.1506,55.018,-508.925,428.879,2.90229,-1.20209,0.00007
1.2176,55.013,-508.889,424.709,2.90243,-1.20227,0.00001
1.2806,55.017,-508.898,420.716,2.90240,-1.20223,0.00001
1.3455,55.011,-508.898,416.743,2.90235,-1.20215,-0.00006
1.4144,55.027,-508.878,412.553,-2.90236,1.20223,0.00006
1.4766,55.017,-508.907,408.590,2.90239,-1.20230,0.00005
1.5424,55.028,-508.911,404.463,2.90241,-1.20221,0.00002
1.6067,55.033,-508.925,400.472,-2.90244,1.20225,-0.00004
1.6715,55.014,-508.949,396.525,2.90222,-1.20216,0.00007
1.7386,55.029,-508.914,392.344,2.90238,-1.20221,0.00003
1.8017,55.000,-508.915,389.294,-2.90238,1.20226,0.00011
1.8666,55.017,-508.906,385.306,-2.90241,1.20230,0.00001
1.9340,55.022,-508.933,381.316,2.90214,-1.20210,0.00007
1.9976,55.027,-508.885,377.178,-2.90234,1.20219,0.00006
2.0615,55.020,-508.894,372.986,-2.90229,1.20219,0.00015
2.1331,55.011,-508.909,369.181,2.90218,-1.20222,0.00014
2.1927,55.006,-508.879,365.110,2.90239,-1.20235,-0.00002
2.2592,55.029,-508.880,360.897,-2.90230,1.20215,0.00010
2.3227,55.023,-508.944,356.952,2.90238,-1.20222,-0.00004
2.3876,55.024,-508.880,353.957,2.90241,-1.20232,0.00004
2.4552,55.031,-508.893,348.888,2.90240,-1.20223,0.00000
2.5187,55.018,-508.973,345.903,2.90216,-1.20215,0.00014
2.5835,55.030,-508.901,341.828,2.90243,-1.20228,0.00002
2.6514,55.051,-508.879,337.687,-2.90240,1.20216,-0.00001
2.7136,55.006,-508.962,333.675,2.90240,-1.20220,-0.00000
2.7785,54.992,-508.929,329.499,-2.90218,1.20223,0.00018
