phase,dx_m,dy_m,z_abs_m,seed
3,-0.00877,0.00998,-0.09136,2
3,0.02040,-0.01159,0.08565,
3,-0.00952,0.02287,0.03692,
3,0.00021,0.00089,0.02391,
3,0.00440,-0.00941,-0.08144,
3,0.00059,0.02171,0.01723,
3,-0.02123,0.01602,0.04161,
3,0.02038,-0.01543,0.04609,
3,-0.02206,0.00765,-0.06594,
3,-0.01367,0.01877,-0.10556,
3,0.00112,0.01770,-0.07265,
4,0.02280,0.02239,-0.11737,
4,-0.02076,0.01677,0.04399,
4,0.00849,-0.00959,0.01311,
4,0.00534,0.00406,-0.09318,
4,-0.00347,-0.00532,0.04092,
4,0.02474,0.02247,-0.00156,
4,-0.00276,-0.01159,-0.12227,
4,-0.02363,-0.00176,-0.05516,
4,-0.00600,0.01959,-0.00593,
4,0.00303,-0.01319,-0.12513,
4,-0.00874,-0.01817,-0.00962,
4,0.02493,0.00872,-0.08761,
4,0.01968,0.01484,0.04362,
4,0.02033,0.01314,0.05677,
4,-0.00731,0.02405,0.09765,
4,-0.01694,0.01270,0.03905,
4,-0.00193,0.00152,-0.01442,
4,0.02124,0.00004,0.06669,
4,-0.00730,0.01914,0.08288,
4,-0.00195,0.00339,0.08778,
4,0.01119,-0.00067,-0.07812,
