time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0044,52.652,-508.985,475.023,2.90230,-1.20235,0.00000
0.0110,52.645,-508.989,475.033,2.90229,-1.20247,0.00012
0.0291,52.640,-508.966,475.031,2.90234,-1.20237,-0.00003
0.0451,52.654,-508.980,475.019,2.90235,-1.20242,0.00001
0.0610,52.638,-508.978,475.004,2.90237,-1.20242,-0.00005
0.0790,52.643,-508.989,475.012,2.90233,-1.20243,0.00004
0.0949,52.645,-508.997,474.962,-2.90229,1.20239,0.00003
0.1130,52.661,-508.997,474.976,-2.90231,1.20244,-0.00004
0.1290,52.644,-509.018,474.984,2.90237,-1.20243,0.00002
0.1450,52.652,-508.984,474.995,-2.90233,1.20247,0.00004
0.1629,52.666,-508.994,474.989,-2.90235,1.20246,0.00002
0.1789,52.669,-508.991,475.000,2.90233,-1.20247,-0.00003
0.1949,52.684,-508.988,475.000,-2.90234,1.20241,-0.00007
0.2130,52.693,-508.975,474.983,-2.90234,1.20235,0.00004
0.2289,52.719,-508.989,475.022,2.90235,-1.20235,0.00006
0.2450,52.743,-508.984,474.983,-2.90241,1.20220,0.00002
0.2629,52.739,-508.984,474.981,-2.90243,1.20219,0.00003
0.2789,52.756,-508.974,475.014,2.90243,-1.20221,-0.00002
0.2952,52.739,-508.969,474.991,-2.90242,1.20222,0.00001
0.3132,52.721,-509.000,474.931,-2.90243,1.20225,0.00004
0.3295,52.732,-508.999,474.839,2.90240,-1.20225,-0.00002
0.3452,52.733,-508.971,474.726,2.90231,-1.20219,-0.00001
0.3631,52.753,-508.905,474.459,2.90242,-1.20227,0.00004
0.3792,52.748,-508.874,474.144,-2.90241,1.20224,0.00010
0.3950,52.763,-508.868,473.832,2.90239,-1.20216,0.00004
0.4191,52.767,-508.897,473.380,2.90231,-1.20212,0.00002
0.4292,52.758,-508.867,472.877,2.90238,-1.20216,0.00002
0.4471,52.761,-508.883,472.267,2.90231,-1.20218,0.00005
0.4631,52.741,-508.871,471.641,2.90231,-1.20229,0.00003
0.4797,52.753,-508.903,470.925,2.90232,-1.20219,0.00009
0.4972,52.727,-508.894,470.041,2.90232,-1.20232,-0.00001
0.5159,52.745,-508.907,469.158,-2.90242,1.20226,0.00002
0.5291,52.709,-508.937,468.247,-2.90241,1.20233,0.00011
0.5469,52.707,-508.957,467.090,-2.90225,1.20223,0.00011
0.5631,52.717,-508.972,466.145,-2.90238,1.20226,0.00008
0.5791,52.723,-508.997,465.234,2.90236,-1.20220,0.00002
0.5970,52.729,-508.952,464.177,2.90232,-1.20229,-0.00003
0.6140,52.701,-508.965,463.254,2.90221,-1.20222,0.00002
0.6290,52.741,-508.934,462.272,2.90228,-1.20225,0.00003
0.6470,52.761,-508.903,461.113,-2.90240,1.20225,-0.00000
0.6634,52.734,-508.897,460.147,-2.90236,1.20226,0.00008
0.6790,52.751,-508.897,459.171,-2.90231,1.20226,0.00001
0.6971,52.744,-508.912,458.069,-2.90236,1.20221,0.00008
0.7131,52.729,-508.934,457.100,-2.90237,1.20225,0.00009
0.7292,52.718,-508.930,456.094,-2.90228,1.20220,0.00014
0.7470,52.744,-508.999,455.103,2.90231,-1.20220,0.00004
0.7633,52.731,-509.011,454.129,2.90225,-1.20219,0.00005
0.7810,52.744,-509.011,453.036,2.90232,-1.20210,0.00006
0.7970,52.726,-508.991,452.073,2.90229,-1.20223,0.00002
0.8130,52.746,-508.966,451.094,2.90235,-1.20219,0.00001
0.8310,52.753,-508.927,449.979,-2.90241,1.20226,0.00002
0.8469,52.765,-508.898,449.016,-2.90240,1.20223,0.00000
0.8632,52.753,-508.918,448.045,-2.90240,1.20221,0.00003
0.8811,52.744,-508.955,447.027,2.90229,-1.20217,0.00002
0.8970,52.748,-508.957,446.024,2.90237,-1.20215,-0.00000
0.9130,52.743,-508.945,445.025,2.90243,-1.20223,0.00005
0.9310,52.764,-508.965,443.945,2.90235,-1.20221,0.00007
0.9470,52.742,-508.973,442.982,2.90230,-1.20221,0.00005
0.9631,52.750,-508.963,442.004,2.90232,-1.20221,0.00003
0.9811,52.729,-508.964,440.903,2.90234,-1.20224,0.00003
0.9971,52.741,-508.978,439.973,2.90225,-1.20220,0.00009
1.0132,52.735,-508.962,438.981,2.90236,-1.20228,0.00001
1.0310,52.757,-508.961,437.913,2.90236,-1.20212,0.00004
1.0470,52.744,-508.920,436.963,2.90236,-1.20220,0.00003
1.0630,52.764,-508.892,435.984,2.90239,-1.20219,-0.00001
1.0811,52.739,-508.926,434.872,2.90240,-1.20227,0.00002
1.0971,52.758,-508.919,433.901,2.90246,-1.20213,-0.00003
1.1151,52.747,-508.941,432.777,-2.90241,1.20227,-0.00003
1.1311,52.735,-508.942,431.799,2.90240,-1.20230,-0.00004
1.1473,52.750,-508.977,430.841,2.90238,-1.20217,0.00005
1.1651,52.746,-509.002,429.774,2.90230,-1.20219,0.00006
1.1811,52.741,-508.990,428.831,2.90224,-1.20218,0.00009
1.1970,52.745,-508.972,427.882,2.90224,-1.20216,0.00012
1.2151,52.759,-508.904,426.765,2.90242,-1.20219,-0.00001
1.2312,52.756,-508.915,425.752,-2.90241,1.20221,0.00000
1.2470,52.748,-508.934,424.811,2.90238,-1.20229,0.00002
1.2651,52.748,-508.937,423.679,-2.90243,1.20227,0.00001
1.2810,52.750,-508.913,422.675,-2.90236,1.20215,0.00008
1.2970,52.736,-508.935,421.730,-2.90239,1.20219,0.00004
1.3151,52.760,-508.960,420.678,2.90240,-1.20220,0.00002
1.3331,52.754,-508.991,419.714,2.90233,-1.20215,0.00010
1.3470,52.719,-509.010,418.810,2.90210,-1.20221,0.00014
1.3651,52.762,-508.957,417.665,2.90232,-1.20220,0.00007
1.3811,52.741,-508.939,416.701,2.90236,-1.20221,0.00001
1.3971,52.729,-508.937,415.694,-2.90240,1.20233,0.00003
1.4151,52.750,-508.937,414.603,-2.90244,1.20222,0.00002
1.4310,52.753,-508.895,413.605,-2.90234,1.20218,0.00007
1.4490,52.733,-508.937,412.542,-2.90240,1.20226,-0.00001
1.4650,52.752,-508.932,411.605,2.90242,-1.20222,-0.00001
1.4812,52.747,-508.956,410.667,2.90230,-1.20221,0.00004
1.4991,52.743,-508.969,409.583,2.90227,-1.20217,0.00003
1.5151,52.776,-508.957,408.571,2.90239,-1.20217,0.00011
1.5310,52.732,-508.964,407.556,2.90243,-1.20221,0.00000
1.5490,52.727,-508.988,406.464,2.90235,-1.20225,0.00003
1.5650,52.733,-508.993,405.518,2.90236,-1.20215,-0.00000
1.5811,52.733,-508.966,404.539,2.90243,-1.20224,-0.00001
1.6002,52.752,-508.944,403.426,-2.90237,1.20219,-0.00001
1.6150,52.756,-508.943,402.470,-2.90239,1.20217,0.00001
1.6311,52.753,-508.949,401.522,-2.90243,1.20221,0.00006
1.6491,52.736,-508.965,400.476,2.90233,-1.20220,-0.00003
1.6650,52.755,-508.960,399.524,2.90232,-1.20219,0.00006
1.6811,52.748,-508.943,398.537,2.90237,-1.20219,0.00003
1.6991,52.761,-508.944,397.439,2.90238,-1.20219,0.00006
1.7149,52.730,-508.970,396.480,2.90225,-1.20217,-0.00000
1.7311,52.732,-508.972,395.532,2.90220,-1.20220,0.00004
1.7505,52.709,-508.969,394.383,2.90231,-1.20220,-0.00005
1.7650,52.730,-508.987,393.378,2.90239,-1.20224,0.00001
1.7831,52.748,-508.978,392.233,-2.90236,1.20222,0.00003
1.7991,52.741,-508.962,391.316,-2.90241,1.20224,0.00002
1.8151,52.736,-508.957,390.337,-2.90232,1.20230,-0.00001
1.8330,52.739,-508.955,389.264,-2.90244,1.20216,0.00008
1.8491,52.747,-508.952,388.272,-2.90243,1.20219,0.00005
1.8656,52.757,-508.930,387.316,-2.90237,1.20223,0.00001
1.8831,52.753,-508.913,386.264,-2.90240,1.20221,-0.00000
1.8991,52.720,-508.938,385.325,2.90235,-1.20223,0.00001
1.9150,52.734,-508.940,384.329,2.90234,-1.20222,0.00001
1.9331,52.732,-508.977,383.268,2.90224,-1.20221,0.00005
1.9496,52.744,-508.955,382.281,2.90234,-1.20217,0.00002
1.9650,52.743,-508.992,381.354,2.90225,-1.20212,0.00007
1.9833,52.747,-509.001,380.258,2.90229,-1.20216,0.00010
1.9990,52.736,-508.970,379.251,2.90243,-1.20223,-0.00001
2.0149,52.731,-508.953,378.234,-2.90235,1.20224,0.00008
2.0330,52.736,-508.940,377.113,-2.90228,1.20224,0.00003
2.0490,52.719,-508.974,376.143,-2.90237,1.20226,0.00008
2.0651,52.725,-508.957,375.166,-2.90235,1.20220,0.00007
2.0830,52.739,-508.940,374.099,-2.90235,1.20227,0.00001
2.0990,52.738,-508.924,373.135,-2.90239,1.20221,0.00001
2.1170,52.757,-508.951,372.077,2.90240,-1.20216,0.00005
2.1331,52.727,-508.991,371.155,2.90218,-1.20216,0.00004
2.1513,52.746,-508.952,370.193,2.90228,-1.20219,0.00006
2.1684,52.745,-508.950,369.138,2.90223,-1.20218,0.00009
2.1830,52.741,-508.935,368.133,2.90230,-1.20220,0.00003
2.1991,52.758,-508.918,367.152,2.90239,-1.20216,0.00000
2.2170,52.741,-508.922,366.035,-2.90244,1.20223,0.00004
2.2330,52.749,-508.930,365.033,-2.90238,1.20218,0.00000
2.2497,52.756,-508.958,364.096,2.90246,-1.20217,0.00001
2.2670,52.724,-508.957,362.951,-2.90237,1.20229,0.00008
2.2830,52.724,-508.937,361.958,-2.90227,1.20223,0.00009
2.2991,52.746,-508.948,360.963,-2.90226,1.20217,0.00005
2.3171,52.723,-508.975,359.908,-2.90235,1.20226,0.00004
2.3330,52.761,-508.981,358.960,2.90245,-1.20220,0.00003
2.3490,52.747,-508.989,358.027,2.90236,-1.20220,0.00004
2.3670,52.731,-508.951,356.905,-2.90243,1.20228,0.00001
2.3829,52.732,-508.937,355.949,2.90241,-1.20225,-0.00002
2.3991,52.758,-508.932,355.003,2.90245,-1.20218,0.00003
2.4171,52.740,-508.885,353.937,2.90241,-1.20230,-0.00000
2.4331,52.738,-508.912,352.966,2.90241,-1.20225,-0.00004
2.4510,52.723,-508.918,351.884,2.90237,-1.20221,-0.00004
2.4669,52.718,-508.953,350.899,2.90234,-1.20223,0.00001
2.4830,52.759,-508.924,349.887,-2.90239,1.20221,0.00003
2.5011,52.730,-508.965,348.825,2.90237,-1.20225,-0.00003
2.5170,52.733,-509.000,347.882,2.90232,-1.20214,0.00004
2.5331,52.711,-509.008,346.922,2.90223,-1.20224,0.00005
2.5509,52.718,-509.000,345.842,2.90222,-1.20219,0.00007
2.5681,52.734,-508.970,344.843,2.90232,-1.20223,0.00001
2.5829,52.731,-508.968,343.862,2.90234,-1.20227,0.00003
2.6010,52.767,-508.929,342.763,2.90246,-1.20217,0.00001
2.6170,52.753,-508.951,341.838,2.90239,-1.20220,0.00009
2.6331,52.748,-508.933,340.814,-2.90243,1.20221,0.00001
2.6510,52.774,-508.919,339.702,-2.90241,1.20212,0.00002
2.6669,52.747,-508.951,338.710,-2.90243,1.20214,0.00006
2.6839,52.744,-508.938,337.724,-2.90230,1.20216,0.00005
2.7011,52.746,-508.971,336.666,-2.90242,1.20216,0.00005
2.7171,52.727,-508.998,335.713,2.90241,-1.20229,-0.00003
2.7330,52.716,-509.040,334.740,2.90234,-1.20215,-0.00003
2.7510,52.727,-508.997,333.622,-2.90243,1.20225,0.00001
2.7670,52.751,-509.001,332.657,-2.90243,1.20224,-0.00004
2.7851,52.749,-508.991,331.531,-2.90237,1.20217,-0.00001
2.8010,52.745,-508.993,330.614,-2.90243,1.20221,0.00001
2.8171,52.745,-508.958,329.618,-2.90229,1.20219,0.00009
2.8350,52.762,-508.964,328.508,-2.90230,1.20208,0.00004
2.8510,52.739,-509.002,327.571,-2.90237,1.20222,-0.00001
2.8670,52.720,-508.959,326.542,-2.90222,1.20220,0.00014
2.8857,52.735,-508.978,325.489,-2.90231,1.20221,0.00005
2.9010,52.741,-508.964,324.530,-2.90234,1.20220,0.00005
2.9171,52.737,-508.987,323.584,2.90245,-1.20225,0.00001
2.9350,52.715,-509.003,322.496,2.90234,-1.20228,-0.00006
2.9509,52.751,-508.958,321.497,-2.90240,1.20226,-0.00000
2.9680,52.773,-508.942,320.540,-2.90239,1.20217,-0.00004
2.9850,52.735,-508.944,319.447,-2.90238,1.20226,0.00001
3.0011,52.740,-508.955,318.515,-2.90242,1.20229,0.00002
3.0171,52.754,-508.941,317.552,-2.90240,1.20226,0.00001
3.0351,52.755,-508.931,316.454,-2.90241,1.20215,0.00009
3.0510,52.756,-508.951,315.466,-2.90239,1.20220,0.00001
3.0670,52.723,-508.944,314.479,-2.90231,1.20228,0.00011
3.0853,52.733,-508.962,313.393,-2.90240,1.20225,0.00007
3.1011,52.739,-508.963,312.445,-2.90241,1.20222,0.00005
3.1191,52.732,-508.993,311.396,2.90237,-1.20222,0.00003
3.1350,52.722,-508.993,310.400,2.90236,-1.20219,-0.00001
3.1510,52.743,-508.999,309.453,2.90234,-1.20219,0.00004
3.1700,52.710,-508.983,308.383,2.90228,-1.20228,0.00002
3.1851,52.721,-508.971,307.385,2.90234,-1.20228,-0.00000
