time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3627,1,474.842,618.14,612.5,612.50,0.0,615.8,615.76,0.0
0.4286,1,473.354,616.65,620.0,619.99,113.5,623.3,623.27,113.9
0.4914,1,470.836,614.14,613.0,615.38,0.7,616.3,618.07,-41.5
0.5568,1,467.313,610.61,614.0,614.60,-5.5,617.3,616.99,-20.8
0.6238,1,463.261,606.56,606.0,609.27,-37.1,609.2,610.11,-89.8
0.6869,1,459.173,602.47,600.5,603.46,-58.1,603.7,603.81,-98.1
0.7520,1,455.095,598.39,603.0,601.44,-47.6,606.2,604.93,-2.3
0.8172,1,451.073,594.37,594.5,596.25,-59.8,597.7,598.70,-79.8
0.8822,1,448.025,591.33,592.5,592.44,-59.4,595.7,595.34,-56.5
0.9485,1,443.935,587.24,587.0,587.67,-64.3,590.1,590.33,-72.5
1.0124,1,439.924,583.22,581.0,582.15,-72.6,584.1,584.33,-90.1
1.0777,1,435.939,579.24,577.0,577.18,-74.0,580.1,579.83,-72.4
1.1435,1,431.783,575.08,573.5,572.97,-70.0,576.5,576.33,-56.3
1.2080,1,427.883,571.18,568.5,568.48,-69.9,571.5,571.70,-69.2
1.2729,1,423.663,566.96,569.5,567.05,-51.1,572.5,571.75,-11.2
1.3407,1,419.750,563.05,560.0,561.59,-63.2,563.0,564.08,-97.7
1.4031,1,415.691,558.99,559.0,558.39,-58.7,562.0,561.35,-53.9
1.4702,1,411.566,554.87,554.5,554.48,-58.5,557.4,557.49,-57.1
1.5332,1,408.552,551.85,552.0,551.46,-54.4,554.9,554.78,-45.6
1.5987,1,404.531,547.83,550.0,549.08,-47.2,552.9,552.76,-33.2
1.6644,1,400.424,543.72,544.0,544.86,-54.1,546.9,547.43,-73.3
1.7290,1,396.456,539.76,539.5,540.31,-60.6,542.4,542.42,-76.7
1.7939,1,392.376,535.68,535.0,535.60,-65.4,537.9,537.79,-72.3
1.8599,1,388.262,531.56,527.0,528.82,-80.6,529.8,530.27,-107.1
1.9241,1,384.346,527.65,529.0,526.67,-61.8,531.8,530.57,-15.0
1.9895,1,380.224,523.52,520.5,521.44,-69.2,523.3,524.20,-83.7
2.0576,1,376.111,519.41,515.0,515.73,-75.3,517.8,517.86,-91.6
2.1196,1,372.152,515.45,515.5,513.56,-59.8,518.3,517.31,-24.8
2.1851,1,369.275,512.58,509.5,509.56,-60.3,512.2,512.73,-62.4
2.2500,1,365.034,508.33,508.0,506.99,-52.0,510.7,510.43,-40.2
2.3149,1,360.952,504.25,509.0,506.69,-32.8,511.7,511.16,2.5
2.3805,1,356.929,500.23,501.0,502.56,-45.2,503.7,504.80,-80.5
2.4452,1,352.954,496.25,493.5,496.16,-66.8,496.2,496.67,-117.8
2.5107,1,348.955,492.26,494.5,493.29,-57.5,497.2,495.98,-28.4
2.5758,1,344.815,488.12,485.5,487.26,-71.5,488.1,489.01,-93.7
2.6409,1,340.800,484.10,485.5,484.23,-61.5,488.1,487.37,-36.7
2.7057,1,336.673,479.97,484.5,482.65,-46.7,487.1,486.82,-13.4
2.7722,1,332.616,475.92,475.0,476.97,-62.6,477.6,478.78,-103.8
2.8360,1,329.601,472.90,473.5,473.27,-60.8,476.1,475.50,-60.7
2.9023,1,325.590,468.89,470.0,469.67,-58.1,472.6,472.43,-48.7
2.9665,1,321.506,464.81,465.5,465.69,-59.7,468.1,468.25,-62.1
3.0317,1,317.540,460.84,460.0,460.77,-66.1,462.6,462.79,-80.1
3.0969,1,313.401,456.70,455.5,455.91,-69.5,458.0,457.97,-75.0
3.1620,1,309.456,452.76,449.5,450.30,-76.3,452.0,452.18,-86.6
3.2269,1,305.483,448.78,449.5,447.74,-61.2,452.0,451.22,-27.0
3.2929,1,301.386,444.69,444.0,443.87,-60.1,446.5,446.93,-58.8
3.3572,1,297.375,440.68,444.0,442.30,-45.6,446.5,446.01,-22.1
3.4225,1,294.309,437.61,437.5,438.28,-52.2,440.0,440.66,-71.9
3.4874,1,290.128,433.43,433.5,434.08,-57.3,436.0,435.99,-71.9
3.5528,1,286.213,429.51,429.5,429.85,-60.4,432.0,431.88,-64.3
3.6187,1,282.031,425.33,425.5,425.65,-61.8,428.0,427.93,-60.7
3.6831,1,278.028,421.33,420.5,420.99,-66.2,423.0,423.13,-72.1
3.7480,1,274.038,417.34,419.0,418.04,-57.5,421.5,421.03,-39.2
3.8135,1,269.939,413.24,412.0,412.94,-66.2,414.5,415.04,-82.7
3.8781,1,265.913,409.21,408.0,408.27,-68.7,410.5,410.35,-74.4
3.9437,1,261.819,405.12,404.5,404.20,-65.9,407.0,406.74,-58.2
4.0093,1,257.833,401.13,401.5,400.85,-59.5,404.0,403.81,-47.0
4.0737,1,253.805,397.11,400.0,398.78,-47.8,402.5,402.21,-28.7
4.1391,1,250.712,394.01,392.5,393.78,-60.3,395.0,395.74,-87.3
4.2042,1,246.610,389.91,389.0,389.34,-63.7,391.5,391.25,-72.0
4.2691,1,242.704,386.00,385.5,385.38,-62.5,388.0,387.76,-56.9
4.3361,1,238.571,381.87,381.0,381.08,-63.3,383.5,383.53,-62.2
4.3993,1,234.451,377.75,381.5,379.72,-45.5,384.0,383.30,-14.4
4.4648,1,230.565,373.87,373.5,374.82,-58.5,376.0,376.89,-84.0
4.5306,1,226.454,369.75,369.5,370.09,-64.4,372.0,371.89,-77.3
4.5949,1,222.422,365.72,365.5,365.68,-66.2,368.0,367.82,-65.7
4.6598,1,218.367,361.67,363.5,362.66,-57.6,366.0,365.63,-39.2
4.7268,1,214.360,357.66,357.5,358.01,-63.0,360.0,360.42,-71.8
4.7902,1,211.285,354.59,352.5,353.10,-69.2,355.0,355.14,-81.2
4.8560,1,207.279,350.58,346.5,347.30,-77.7,349.0,349.14,-89.6
4.9204,1,203.135,346.44,344.5,343.64,-68.5,347.0,346.49,-49.6
4.9856,1,199.184,342.48,343.5,341.82,-50.1,346.0,345.63,-19.2
5.0510,1,195.022,338.32,338.5,338.52,-50.3,341.1,341.54,-55.4
5.1160,1,190.984,334.28,334.5,334.79,-53.5,337.1,337.20,-64.9
5.1808,1,187.039,330.34,329.5,330.21,-61.2,332.1,332.22,-74.7
5.2482,1,182.942,326.24,328.5,327.59,-50.8,331.1,330.55,-32.5
5.3111,1,178.933,322.23,321.5,322.62,-63.1,324.1,324.79,-80.5
5.3765,1,175.911,319.21,318.0,318.19,-65.3,320.6,320.48,-68.4
5.4444,1,170.848,314.15,315.0,314.54,-59.8,317.7,317.40,-48.7
5.5069,1,167.809,311.11,311.5,311.23,-56.8,314.2,314.20,-50.8
5.5721,1,163.781,307.08,307.5,307.51,-56.9,310.2,310.30,-58.4
5.6371,1,159.621,302.92,302.0,302.68,-64.9,304.7,304.99,-77.7
5.7021,1,155.606,298.91,297.5,297.86,-69.2,300.3,300.21,-74.2
5.7688,1,151.498,294.80,296.0,294.99,-56.8,298.8,298.27,-36.2
5.8323,1,147.523,290.82,290.0,290.52,-63.0,292.8,293.29,-70.9
5.8979,1,143.573,286.87,288.0,287.40,-55.6,290.8,290.51,-47.1
5.9627,1,139.511,282.81,282.0,282.66,-63.9,284.9,285.25,-75.3
6.0280,1,135.479,278.78,280.5,279.77,-54.6,283.4,282.94,-42.1
6.0928,1,132.367,275.67,279.0,277.98,-41.7,281.9,281.64,-23.7
6.1617,1,127.277,270.58,273.5,274.07,-49.3,276.4,276.92,-62.2
6.2231,1,124.259,267.56,269.5,270.07,-56.5,272.5,272.57,-69.1
6.2887,1,120.104,263.40,267.0,266.77,-53.5,270.0,269.71,-47.8
6.3534,1,116.179,259.48,260.0,261.19,-69.3,263.1,263.59,-86.6
6.4187,1,112.160,255.46,257.0,256.88,-67.7,260.1,259.78,-63.0
6.4843,1,108.040,251.34,252.0,252.16,-69.8,255.1,255.21,-68.5
6.5490,1,104.030,247.33,249.5,248.83,-60.9,252.7,252.39,-47.9
6.6141,1,99.839,243.14,245.0,244.95,-60.3,248.2,248.37,-59.4
6.6800,1,95.936,239.24,241.5,241.32,-57.7,244.8,244.71,-56.1
6.7443,1,92.948,236.25,239.0,238.51,-50.9,242.3,242.11,-43.2
6.8100,1,88.989,232.29,233.0,233.75,-61.6,236.4,236.77,-74.9
6.8744,1,84.804,228.10,230.5,230.25,-58.1,233.9,233.60,-53.8
6.9398,1,80.709,224.01,225.5,225.83,-62.8,228.9,229.11,-66.1
7.0058,1,76.581,219.88,224.0,223.21,-51.1,227.5,227.08,-36.5
7.0703,1,72.674,215.97,221.5,220.95,-43.1,225.0,224.96,-33.5
7.1349,1,68.758,212.06,212.0,214.12,-74.6,215.6,216.69,-111.7
7.2008,1,64.542,207.84,210.0,209.69,-70.8,213.7,213.04,-64.6
7.2652,1,60.464,203.76,206.5,206.00,-64.3,210.2,210.01,-50.1
7.3305,1,57.464,200.76,202.0,201.93,-63.3,205.8,205.92,-60.5
7.3960,1,53.412,196.71,199.0,198.57,-57.5,202.8,202.70,-51.1
7.4609,1,49.464,192.76,195.0,194.94,-56.7,198.9,198.96,-56.5
7.5260,1,45.472,188.77,190.0,190.44,-62.8,194.0,194.16,-70.8
7.5911,1,41.240,184.54,186.0,186.12,-64.5,190.0,189.97,-65.5
7.6561,1,37.218,180.52,182.5,182.30,-61.7,186.6,186.47,-55.8
7.7215,1,33.214,176.51,179.5,179.07,-55.5,183.6,183.53,-46.7
7.7862,1,29.261,172.56,173.0,173.86,-68.0,177.3,177.74,-82.1
7.8517,1,25.147,168.45,170.5,170.13,-62.5,174.8,174.46,-55.5
7.9173,1,21.024,164.32,166.0,166.01,-62.6,170.4,170.46,-60.0
7.9818,1,17.034,160.33,162.0,161.99,-62.4,166.5,166.49,-61.2
8.0467,1,14.117,157.42,158.0,157.98,-62.1,162.6,162.55,-60.8
8.1142,1,9.868,153.17,154.5,154.26,-58.4,159.1,159.03,-53.5
8.1771,1,5.855,149.16,149.5,149.87,-64.1,154.2,154.45,-69.2
8.2433,1,1.871,145.17,146.0,145.88,-62.1,150.8,150.67,-59.0
8.3074,1,-2.129,141.17,140.5,140.97,-69.5,145.4,145.64,-75.0
8.3726,1,-6.230,137.07,137.5,137.15,-63.8,142.5,142.24,-56.1
8.4385,1,-10.409,132.89,133.0,132.98,-63.5,138.1,138.16,-61.0
8.5030,1,-14.285,129.02,128.0,128.29,-68.3,133.2,133.36,-72.0
8.5680,1,-18.246,125.05,124.5,124.29,-64.8,129.8,129.63,-59.9
8.6335,1,-22.519,120.78,121.0,120.69,-59.5,126.4,126.28,-52.5
8.6980,1,-25.569,117.73,116.0,116.28,-64.2,121.5,121.71,-67.7
8.7634,1,-29.395,113.91,112.0,112.02,-64.6,117.6,117.56,-64.2
8.8303,1,-33.556,109.74,108.5,108.25,-60.2,114.2,114.07,-54.1
8.8936,1,-37.654,105.65,103.5,103.81,-65.4,109.3,109.53,-68.5
8.9593,1,-41.705,101.60,100.5,100.18,-59.8,106.4,106.21,-53.4
9.0239,1,-45.694,97.61,95.5,95.76,-64.5,101.5,101.73,-66.7
9.0889,1,-49.722,93.58,91.0,91.18,-67.7,97.2,97.21,-69.0
9.1543,1,-53.865,89.44,87.5,87.27,-63.4,93.8,93.62,-57.2
9.2189,1,-57.807,85.49,84.0,83.74,-58.6,90.4,90.31,-52.3
9.2843,1,-60.857,82.44,79.0,79.28,-63.9,85.5,85.72,-67.1
9.3497,1,-65.048,78.25,74.5,74.69,-67.4,81.2,81.19,-69.0
9.4146,1,-68.958,74.34,71.0,70.79,-63.3,77.8,77.61,-57.4
9.4793,1,-72.914,70.39,67.0,66.90,-61.5,73.9,73.90,-57.5
9.5479,1,-77.183,66.12,63.0,62.91,-59.7,70.0,70.02,-56.8
9.6100,1,-81.152,62.15,58.5,58.72,-63.8,65.7,65.80,-65.7
9.6752,1,-85.098,58.20,55.0,54.87,-61.2,62.3,62.17,-57.3
9.7401,1,-89.187,54.11,51.0,50.97,-60.5,58.4,58.43,-57.7
9.8053,1,-93.239,50.06,46.5,46.65,-63.7,54.1,54.16,-64.1
9.8705,1,-97.226,46.07,43.0,42.85,-60.7,50.7,50.59,-56.3
9.9355,1,-101.269,42.03,40.0,39.68,-53.9,47.8,47.68,-46.8
10.0005,1,-104.387,38.91,35.5,35.70,-58.1,43.5,43.64,-59.6
10.0666,1,-108.432,34.87,30.5,30.89,-66.6,38.6,38.80,-70.9
10.1308,1,-112.430,30.87,27.0,26.89,-64.2,35.3,35.12,-59.7
10.1961,1,-116.576,26.72,23.5,23.27,-59.1,31.9,31.81,-52.2
10.2611,1,-120.644,22.66,18.0,18.41,-68.1,26.6,26.88,-71.7
10.3264,1,-124.542,18.76,14.0,13.99,-67.9,22.8,22.69,-65.4
10.3915,1,-127.898,15.40,10.5,10.24,-61.9,19.4,19.27,-54.8
10.4566,1,-129.846,13.45,8.0,7.49,-50.3,17.0,16.83,-40.5
10.5217,1,-130.716,12.58,6.5,5.86,-35.5,15.6,15.38,-25.4
10.5884,2,-130.744,12.56,6.0,5.30,-19.1,15.1,14.90,-10.0
10.6520,2,-130.753,12.55,6.0,5.44,-6.8,15.1,14.97,-0.9
10.7173,2,-130.745,12.56,6.5,6.07,2.9,15.6,15.48,6.4
10.7831,2,-130.761,12.54,5.0,5.35,-5.3,14.1,14.39,-12.8
10.8476,2,-130.781,12.52,6.5,6.08,4.4,15.6,15.28,9.2
10.9125,2,-130.773,12.53,6.0,6.10,2.0,15.1,15.21,0.7
10.9793,2,-130.803,12.50,6.5,6.43,3.7,15.6,15.53,4.2
11.0427,2,-130.784,12.52,7.0,6.91,6.0,16.1,16.02,7.0
11.1086,2,-130.783,12.52,7.0,7.08,4.0,16.1,16.12,2.4
11.1729,2,-130.793,12.51,6.5,6.73,-1.6,15.6,15.68,-5.2
11.2383,2,-130.795,12.51,6.0,6.17,-5.9,15.1,15.13,-7.8
11.3035,2,-130.802,12.50,6.0,5.94,-4.4,15.1,15.03,-2.7
11.3686,2,-130.800,12.50,5.0,5.18,-8.9,14.1,14.24,-10.5
11.4334,2,-130.797,12.50,6.0,5.62,0.7,15.1,14.87,6.3
11.4994,2,-130.797,12.50,6.0,5.91,3.0,15.1,15.13,4.2
11.5640,2,-130.793,12.51,6.5,6.40,5.7,15.6,15.55,6.2
11.6292,2,-130.805,12.50,6.0,6.20,0.4,15.1,15.22,-3.2
11.6941,2,-130.814,12.49,6.0,6.06,-1.2,15.1,15.09,-2.3
11.7596,2,-130.802,12.50,6.5,6.36,2.4,15.6,15.49,4.7
11.8259,2,-130.787,12.51,6.0,6.13,-1.3,15.1,15.20,-2.9
11.8896,2,-130.793,12.51,6.5,6.38,1.9,15.6,15.49,3.3
11.9548,2,-130.776,12.52,5.5,5.76,-5.3,14.6,14.78,-8.6
12.0200,2,-130.799,12.50,6.5,6.22,2.5,15.6,15.38,6.2
12.0850,2,-130.781,12.52,7.5,7.22,10.5,16.5,16.43,14.4
12.1502,2,-130.791,12.51,6.5,6.85,0.4,15.6,15.84,-5.1
12.2170,2,-130.797,12.50,5.5,5.84,-9.7,14.6,14.74,-14.6
12.2806,2,-130.807,12.49,6.0,5.80,-4.0,15.1,14.91,-0.6
12.3462,2,-130.810,12.49,6.0,5.89,-0.6,15.1,15.07,2.0
12.4106,2,-130.801,12.50,6.0,5.96,0.5,15.1,15.11,0.9
12.4756,2,-130.812,12.49,7.0,6.75,8.0,16.1,15.93,10.6
12.5412,2,-130.792,12.51,5.0,5.55,-9.0,14.1,14.50,-16.4
12.6060,2,-130.789,12.51,6.5,6.11,2.3,15.6,15.26,7.0
