time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3627,55.058,-508.773,474.842,2.90223,-1.20214,0.00013
0.4286,55.023,-508.817,473.354,2.90233,-1.20223,-0.00002
0.4914,55.023,-508.804,470.836,2.90240,-1.20227,-0.00001
0.5568,55.035,-508.763,467.313,2.90236,-1.20221,-0.00003
0.6238,55.005,-508.803,463.261,2.90213,-1.20213,0.00000
0.6869,55.008,-508.741,459.173,-2.90241,1.20226,0.00010
0.7520,54.990,-508.810,455.095,2.90223,-1.20227,-0.00002
0.8172,55.010,-508.783,451.073,2.90232,-1.20232,0.00001
0.8822,55.052,-508.737,448.025,-2.90239,1.20225,0.00003
0.9485,55.065,-508.791,443.935,2.90234,-1.20219,0.00009
1.0124,55.045,-508.785,439.924,2.90236,-1.20221,0.00007
1.0777,55.044,-508.715,435.939,2.90243,-1.20225,-0.00003
1.1435,55.021,-508.750,431.783,-2.90238,1.20234,0.00004
1.2080,55.042,-508.762,427.883,2.90224,-1.20219,0.00008
1.2729,55.076,-508.768,423.663,2.90247,-1.20219,0.00003
1.3407,55.072,-508.788,419.750,2.90223,-1.20215,0.00012
1.4031,55.057,-508.755,415.691,2.90246,-1.20218,-0.00001
1.4702,55.039,-508.751,411.566,2.90242,-1.20222,-0.00005
1.5332,55.036,-508.764,408.552,2.90238,-1.20223,0.00001
1.5987,55.048,-508.786,404.531,2.90241,-1.20217,0.00002
1.6644,55.036,-508.790,400.424,2.90240,-1.20227,0.00005
1.7290,55.067,-508.802,396.456,2.90229,-1.20207,0.00006
1.7939,55.085,-508.766,392.376,2.90249,-1.20212,-0.00002
1.8599,55.064,-508.774,388.262,-2.90245,1.20218,0.00004
1.9241,55.068,-508.767,384.346,2.90229,-1.20212,0.00008
1.9895,55.059,-508.801,380.224,2.90234,-1.20220,0.00010
2.0576,55.034,-508.796,376.111,-2.90232,1.20226,0.00004
2.1196,55.041,-508.774,372.152,2.90240,-1.20227,0.00006
2.1851,55.024,-508.768,369.275,2.90213,-1.20223,0.00010
2.2500,55.039,-508.730,365.034,-2.90233,1.20235,0.00003
2.3149,55.072,-508.754,360.952,-2.90226,1.20214,0.00006
2.3805,55.081,-508.772,356.929,2.90238,-1.20218,0.00005
2.4452,55.079,-508.733,352.954,2.90243,-1.20216,0.00001
2.5107,55.046,-508.757,348.955,2.90238,-1.20228,0.00000
2.5758,55.041,-508.782,344.815,2.90235,-1.20227,0.00003
2.6409,55.066,-508.748,340.800,-2.90241,1.20227,0.00001
2.7057,55.042,-508.781,336.673,2.90242,-1.20229,0.00002
