time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3645,1,474.734,618.03,634.9,634.90,0.0,630.7,630.73,0.0
0.4286,1,473.327,616.63,631.4,631.40,-54.5,627.2,627.23,-54.5
0.4960,1,470.827,614.13,630.4,629.99,-33.3,626.2,625.92,-25.8
0.5566,1,467.343,610.64,630.4,629.70,-20.2,626.2,625.93,-5.2
0.6216,1,463.156,606.46,628.4,628.40,-20.1,624.2,624.42,-20.1
0.6894,1,459.114,602.41,623.9,625.01,-34.2,619.7,620.18,-56.1
0.7516,1,455.168,598.47,615.4,618.27,-67.3,611.3,612.13,-115.5
0.8166,1,452.120,595.42,616.4,615.31,-57.0,612.3,611.16,-31.9
0.8862,1,446.998,590.30,606.9,608.61,-75.8,602.8,603.65,-97.3
0.9467,1,444.020,587.32,609.9,607.45,-52.3,605.8,604.52,-8.4
1.0139,1,439.858,583.16,596.9,599.86,-80.1,592.9,594.44,-128.3
1.0776,1,435.894,579.19,599.9,597.59,-61.0,595.9,594.43,-23.1
1.1436,1,431.944,575.24,593.4,593.47,-61.7,589.4,589.92,-61.1
1.2200,1,426.755,570.06,588.4,588.54,-63.0,584.4,584.53,-69.5
1.2732,1,423.731,567.03,585.9,585.58,-60.5,582.0,581.74,-57.0
1.3383,1,419.688,562.99,580.9,581.22,-63.3,577.0,577.12,-68.6
1.4270,1,414.706,558.01,580.4,578.74,-44.0,576.5,575.99,-14.9
1.4682,1,411.653,554.95,573.4,575.09,-55.8,569.5,570.96,-80.2
1.5335,1,408.510,551.81,567.4,569.19,-70.9,563.5,563.83,-104.8
1.6025,1,403.505,546.81,560.4,562.02,-85.8,556.5,556.54,-105.7
1.6637,1,400.509,543.81,564.9,561.40,-55.8,561.0,559.27,14.9
1.7303,1,396.417,539.72,556.4,556.99,-60.2,552.5,553.62,-69.1
1.7937,1,392.418,535.72,554.4,553.86,-55.9,550.5,550.34,-54.9
1.8587,1,388.266,531.57,542.4,545.78,-83.6,538.5,539.75,-144.7
1.9283,1,384.254,527.55,540.9,540.48,-80.4,537.0,536.07,-65.6
1.9887,1,380.257,523.56,544.4,540.41,-51.0,540.5,539.18,27.5
2.0546,1,376.126,519.43,533.4,535.15,-62.6,529.5,531.18,-97.2
2.1221,1,372.192,515.49,532.4,531.74,-57.8,528.5,528.00,-54.9
2.1847,1,369.081,512.38,527.9,528.00,-58.5,524.0,524.13,-60.6
2.2499,1,364.990,508.29,526.9,525.68,-49.7,523.0,522.63,-29.3
2.3164,1,361.057,504.36,521.4,521.83,-52.9,517.5,517.98,-63.3
2.3797,1,357.002,500.30,519.4,518.99,-49.9,515.5,515.30,-46.2
2.4472,1,352.819,496.12,511.4,513.24,-64.1,507.5,508.17,-96.6
2.5107,1,348.871,492.17,506.9,507.92,-71.7,503.0,502.87,-85.8
2.5756,1,344.773,488.07,510.9,507.52,-45.9,507.0,505.60,20.3
2.6422,1,340.844,484.14,498.4,501.21,-65.6,494.5,496.27,-114.7
2.7057,1,336.757,480.06,499.9,498.56,-56.6,496.0,494.95,-37.8
2.7706,1,333.654,476.95,497.4,496.25,-48.5,493.5,493.36,-26.8
2.8388,1,328.609,471.91,491.9,492.36,-51.9,488.0,488.48,-64.9
2.9017,1,325.630,468.93,485.4,487.07,-63.8,481.5,481.93,-96.9
2.9680,1,321.466,464.77,484.9,483.98,-57.1,481.0,480.20,-37.3
3.0318,1,317.419,460.72,477.9,478.99,-65.1,474.0,474.54,-79.5
3.0967,1,313.443,456.74,477.4,476.23,-56.3,473.5,472.86,-35.0
3.1635,1,309.340,452.64,467.9,469.90,-71.8,463.9,464.86,-106.4
3.2277,1,305.405,448.70,466.9,466.18,-66.4,462.9,462.20,-52.8
3.2916,1,301.229,444.53,459.9,460.81,-73.2,455.9,456.35,-84.7
3.3595,1,297.276,440.58,455.9,455.87,-73.0,451.9,451.72,-70.6
3.4227,1,293.373,436.67,454.4,453.02,-62.3,450.4,449.92,-36.2
3.4876,1,290.334,433.63,450.9,450.06,-55.7,446.9,446.99,-43.7
3.5556,1,285.248,428.55,444.4,445.20,-62.2,440.4,440.87,-83.1
3.6177,1,282.152,425.45,442.4,441.93,-58.6,438.4,437.95,-54.0
3.6836,1,277.984,421.28,438.4,438.26,-57.4,434.3,434.35,-54.4
3.7488,1,273.968,417.27,433.4,433.88,-61.4,429.3,429.55,-70.5
3.8127,1,269.939,413.24,428.4,429.07,-66.9,424.3,424.43,-78.4
3.8796,1,265.923,409.22,428.4,426.80,-53.1,424.3,423.60,-22.7
3.9437,1,261.963,405.26,422.4,422.82,-56.7,418.3,418.87,-64.7
4.0087,1,257.785,401.08,417.4,418.14,-63.0,413.3,413.49,-79.8
4.0769,1,253.787,397.09,414.9,414.46,-59.1,410.8,410.41,-50.3
4.1387,1,250.690,393.99,409.9,410.29,-62.4,405.8,406.01,-67.1
4.2037,1,246.621,389.92,404.4,405.17,-69.2,400.3,400.46,-82.4
4.2744,1,241.722,385.02,401.4,400.95,-65.0,397.2,396.91,-54.5
4.3347,1,238.724,382.02,397.4,397.24,-63.6,393.2,393.30,-58.7
4.4023,1,234.505,377.81,394.4,393.81,-58.0,390.2,390.11,-49.0
4.4648,1,230.539,373.84,390.4,390.31,-57.2,386.2,386.35,-58.0
4.5297,1,226.398,369.70,383.9,385.01,-67.6,379.7,380.13,-89.4
4.5961,1,222.405,365.71,385.4,383.43,-48.5,381.2,380.21,-13.3
4.6608,1,218.388,361.69,375.4,377.45,-67.2,371.2,372.40,-102.3
