time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0029,52.716,-508.902,475.008,-2.67563,1.10846,-0.14576
0.0127,52.747,-508.925,474.958,-2.67561,1.10836,-0.14577
0.0287,52.735,-508.896,474.976,-2.67563,1.10833,-0.14570
0.0467,52.721,-508.907,474.959,-2.67556,1.10835,-0.14574
0.0626,52.758,-508.902,475.002,-2.67567,1.10837,-0.14578
0.0786,52.766,-508.874,475.034,-2.67573,1.10835,-0.14584
0.0967,52.750,-508.863,475.028,-2.67572,1.10838,-0.14581
0.1126,52.782,-508.873,475.075,-2.67586,1.10834,-0.14592
0.1286,52.785,-508.863,475.076,-2.67588,1.10820,-0.14593
0.1465,52.762,-508.884,475.062,-2.67584,1.10831,-0.14593
0.1626,52.781,-508.866,475.042,-2.67577,1.10824,-0.14592
0.1806,52.766,-508.891,475.018,-2.67577,1.10819,-0.14591
0.1967,52.777,-508.892,475.014,-2.67577,1.10819,-0.14590
0.2127,52.747,-508.904,474.994,-2.67569,1.10827,-0.14583
0.2307,52.777,-508.909,474.978,-2.67564,1.10816,-0.14592
0.2467,52.785,-508.911,474.977,-2.67566,1.10819,-0.14586
0.2627,52.771,-508.900,475.010,-2.67573,1.10818,-0.14593
0.2807,52.754,-508.913,475.016,-2.67582,1.10820,-0.14588
0.2969,52.752,-508.909,475.034,-2.67581,1.10825,-0.14590
0.3128,52.773,-508.902,475.013,-2.67582,1.10824,-0.14597
0.3308,52.782,-508.882,474.966,-2.67595,1.10825,-0.14593
0.3468,52.775,-508.882,474.824,-2.67598,1.10824,-0.14597
0.3672,52.750,-508.913,474.573,-2.67598,1.10824,-0.14592
0.3808,52.723,-508.979,474.178,-2.67585,1.10830,-0.14590
0.3968,52.721,-508.987,473.777,-2.67571,1.10822,-0.14587
0.4127,52.691,-509.041,473.314,-2.67576,1.10829,-0.14584
0.4309,52.707,-509.080,472.725,-2.67570,1.10824,-0.14593
0.4469,52.701,-509.086,472.147,-2.67574,1.10819,-0.14593
0.4628,52.718,-509.041,471.516,-2.67572,1.10810,-0.14590
0.4807,52.709,-508.994,470.772,-2.67576,1.10819,-0.14589
0.4968,52.728,-508.966,470.076,-2.67593,1.10817,-0.14594
0.5150,52.735,-508.911,469.160,-2.67579,1.10826,-0.14592
0.5308,52.719,-508.914,468.275,-2.67588,1.10832,-0.14599
0.5468,52.736,-508.920,467.283,-2.67585,1.10822,-0.14592
0.5670,52.734,-508.915,466.216,-2.67578,1.10831,-0.14598
0.5820,52.715,-508.946,465.226,-2.67584,1.10831,-0.14591
0.5968,52.712,-508.956,464.201,-2.67566,1.10833,-0.14592
0.6149,52.686,-508.979,463.086,-2.67561,1.10835,-0.14589
0.6308,52.679,-508.988,462.080,-2.67555,1.10835,-0.14583
0.6468,52.702,-508.983,461.107,-2.67552,1.10832,-0.14592
0.6649,52.695,-508.954,460.044,-2.67551,1.10835,-0.14590
0.6808,52.704,-508.947,459.109,-2.67559,1.10828,-0.14587
0.6967,52.664,-508.958,458.163,-2.67565,1.10837,-0.14588
0.7149,52.695,-508.936,457.098,-2.67574,1.10838,-0.14588
0.7308,52.695,-508.937,456.198,-2.67586,1.10846,-0.14601
0.7468,52.685,-508.907,455.220,-2.67584,1.10843,-0.14593
0.7648,52.700,-508.938,454.088,-2.67582,1.10843,-0.14596
0.7807,52.685,-508.950,453.132,-2.67586,1.10843,-0.14600
0.7968,52.670,-508.961,452.170,-2.67585,1.10850,-0.14598
0.8150,52.655,-508.974,451.063,-2.67589,1.10849,-0.14595
0.8308,52.667,-508.951,450.059,-2.67572,1.10843,-0.14596
0.8487,52.690,-508.933,448.902,-2.67550,1.10838,-0.14587
0.8649,52.671,-508.958,447.930,-2.67556,1.10843,-0.14587
0.8823,52.687,-508.930,446.984,-2.67553,1.10840,-0.14590
0.8988,52.710,-508.915,445.930,-2.67563,1.10837,-0.14590
0.9149,52.679,-508.913,444.982,-2.67568,1.10843,-0.14587
0.9309,52.695,-508.961,444.036,-2.67587,1.10837,-0.14594
