time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3517,52.746,-508.872,474.797,-2.82775,1.17135,-0.05122
0.4143,52.787,-508.804,473.529,-2.82796,1.17134,-0.05134
0.4846,52.755,-508.864,470.814,-2.82752,1.17126,-0.05112
0.5435,52.750,-508.909,468.183,-2.82757,1.17123,-0.05106
0.6095,52.730,-508.961,464.211,-2.82776,1.17135,-0.05116
0.6748,52.770,-508.870,460.237,-2.82761,1.17122,-0.05116
0.7396,52.750,-508.915,456.041,-2.82751,1.17119,-0.05107
0.8045,52.737,-508.967,452.074,-2.82770,1.17122,-0.05112
0.8708,52.735,-508.887,448.016,-2.82762,1.17132,-0.05111
0.9346,52.778,-508.923,443.932,-2.82756,1.17116,-0.05116
0.9994,52.748,-508.919,439.930,-2.82754,1.17117,-0.05105
1.0662,52.769,-508.940,436.982,-2.82768,1.17122,-0.05122
1.1305,52.743,-508.934,432.852,-2.82768,1.17130,-0.05115
1.1944,52.759,-508.982,428.839,-2.82769,1.17128,-0.05122
1.2606,52.747,-508.922,424.705,-2.82757,1.17125,-0.05112
1.3256,52.738,-508.961,420.736,-2.82770,1.17130,-0.05119
1.3925,52.746,-508.935,416.683,-2.82754,1.17126,-0.05112
1.4556,52.745,-508.953,412.574,-2.82760,1.17122,-0.05111
1.5205,52.747,-508.956,408.610,-2.82771,1.17132,-0.05124
1.5866,52.741,-508.905,404.442,-2.82750,1.17121,-0.05107
1.6515,52.749,-508.921,400.519,-2.82764,1.17127,-0.05115
1.7165,52.737,-508.975,396.471,-2.82766,1.17132,-0.05114
1.7833,52.727,-508.936,393.436,-2.82758,1.17128,-0.05110
1.8466,52.733,-508.939,389.310,-2.82758,1.17129,-0.05117
1.9115,52.746,-508.948,385.320,-2.82765,1.17130,-0.05120
1.9766,52.728,-508.942,381.197,-2.82747,1.17134,-0.05107
2.0415,52.747,-508.926,377.203,-2.82757,1.17124,-0.05114
2.1092,52.761,-508.936,373.231,-2.82770,1.17127,-0.05119
2.1726,52.754,-508.939,369.017,-2.82744,1.17118,-0.05106
2.2375,52.745,-508.935,365.050,-2.82748,1.17128,-0.05108
2.3043,52.745,-508.958,361.125,-2.82798,1.17140,-0.05123
2.3676,52.748,-508.937,358.019,-2.82782,1.17131,-0.05118
2.4325,52.750,-508.931,353.843,-2.82735,1.17122,-0.05108
2.5003,52.742,-508.984,349.834,-2.82770,1.17132,-0.05121
2.5635,52.738,-508.949,345.829,-2.82764,1.17129,-0.05115
2.6285,52.715,-508.913,341.864,-2.82761,1.17137,-0.05110
2.6936,52.735,-508.937,337.756,-2.82774,1.17134,-0.05116
2.7585,52.764,-508.917,333.691,-2.82762,1.17120,-0.05117
2.8250,52.748,-508.921,329.535,-2.82744,1.17117,-0.05108
2.8886,52.748,-509.009,325.578,-2.82763,1.17122,-0.05115
2.9536,52.751,-508.974,321.512,-2.82747,1.17119,-0.05112
3.0211,52.741,-508.952,317.371,-2.82740,1.17118,-0.05112
3.0846,52.723,-508.979,314.415,-2.82749,1.17132,-0.05112
3.1495,52.741,-508.974,310.420,-2.82765,1.17123,-0.05117
3.2171,52.745,-508.928,306.299,-2.82748,1.17121,-0.05107
3.2796,52.742,-508.932,302.338,-2.82756,1.17127,-0.05114
3.3445,52.756,-508.945,298.356,-2.82776,1.17124,-0.05123
3.4111,52.748,-508.899,294.249,-2.82760,1.17131,-0.05111
3.4756,52.756,-508.934,290.295,-2.82774,1.17129,-0.05125
3.5422,52.740,-508.970,286.137,-2.82778,1.17126,-0.05122
3.6056,52.764,-508.929,282.081,-2.82757,1.17118,-0.05115
3.6706,52.743,-508.934,278.128,-2.82768,1.17122,-0.05115
3.7379,52.737,-508.968,275.127,-2.82780,1.17134,-0.05117
3.8006,52.755,-508.939,270.941,-2.82757,1.17117,-0.05116
3.8666,52.760,-508.921,266.815,-2.82731,1.17113,-0.05102
3.9325,52.752,-509.004,262.813,-2.82771,1.17124,-0.05114
3.9966,52.765,-508.928,258.780,-2.82750,1.17115,-0.05113
4.0616,52.733,-508.945,254.875,-2.82770,1.17127,-0.05113
4.1317,52.756,-508.961,250.782,-2.82781,1.17134,-0.05125
4.1916,52.732,-508.947,246.693,-2.82754,1.17128,-0.05112
4.2584,52.731,-509.000,242.558,-2.82758,1.17126,-0.05112
4.3217,52.764,-508.919,239.558,-2.82761,1.17119,-0.05111
4.3875,52.735,-508.961,235.626,-2.82773,1.17132,-0.05118
4.4556,52.738,-508.931,231.537,-2.82750,1.17124,-0.05106
4.5177,52.750,-508.940,227.434,-2.82752,1.17127,-0.05118
4.5826,52.747,-508.966,223.520,-2.82776,1.17132,-0.05124
4.6522,52.752,-508.918,219.377,-2.82760,1.17124,-0.05116
4.7126,52.743,-508.921,215.283,-2.82742,1.17132,-0.05113
4.7776,52.754,-508.944,211.356,-2.82765,1.17127,-0.05118
4.8442,52.766,-508.951,207.239,-2.82760,1.17127,-0.05120
4.9086,52.744,-508.958,203.192,-2.82755,1.17121,-0.05117
4.9753,52.743,-508.934,199.104,-2.82757,1.17126,-0.05115
5.0387,52.762,-508.940,196.032,-2.82745,1.17116,-0.05110
5.1036,52.743,-508.958,192.060,-2.82758,1.17129,-0.05116
5.1701,52.731,-508.995,187.935,-2.82767,1.17128,-0.05112
5.2337,52.769,-508.923,183.922,-2.82752,1.17125,-0.05117
5.2986,52.750,-508.936,179.928,-2.82756,1.17118,-0.05112
5.3673,52.755,-508.945,175.850,-2.82767,1.17131,-0.05119
5.4297,52.740,-508.944,171.891,-2.82765,1.17127,-0.05116
5.4947,52.749,-508.951,167.740,-2.82760,1.17131,-0.05120
5.5613,52.766,-508.958,163.705,-2.82757,1.17123,-0.05118
5.6246,52.746,-508.932,159.749,-2.82757,1.17129,-0.05121
5.6910,52.744,-508.946,156.628,-2.82740,1.17127,-0.05110
5.7547,52.748,-508.982,152.576,-2.82770,1.17125,-0.05118
5.8207,52.757,-508.911,148.493,-2.82740,1.17118,-0.05107
5.8862,52.736,-508.970,144.459,-2.82762,1.17128,-0.05116
5.9507,52.724,-508.984,140.482,-2.82772,1.17138,-0.05121
6.0157,52.746,-508.918,136.483,-2.82754,1.17132,-0.05118
6.0823,52.748,-508.955,132.339,-2.82759,1.17125,-0.05116
6.1457,52.761,-508.922,128.321,-2.82760,1.17122,-0.05119
6.2106,52.764,-508.893,124.156,-2.82734,1.17114,-0.05107
6.2757,52.771,-508.925,121.137,-2.82744,1.17122,-0.05117
6.3417,52.752,-509.002,117.218,-2.82777,1.17128,-0.05127
6.4085,52.763,-508.939,113.233,-2.82763,1.17124,-0.05123
6.4716,52.767,-508.939,109.127,-2.82768,1.17121,-0.05122
6.5366,52.738,-509.006,105.117,-2.82775,1.17131,-0.05121
6.6033,52.751,-508.941,100.942,-2.82745,1.17123,-0.05117
6.6667,52.758,-508.962,96.938,-2.82755,1.17122,-0.05113
6.7326,52.744,-508.997,92.962,-2.82766,1.17131,-0.05126
6.8001,52.760,-508.923,88.845,-2.82753,1.17119,-0.05113
6.8627,52.761,-508.904,84.852,-2.82758,1.17122,-0.05115
6.9276,52.749,-509.016,81.881,-2.82784,1.17132,-0.05124
6.9927,52.743,-508.971,77.700,-2.82759,1.17118,-0.05107
7.0576,52.774,-508.971,73.668,-2.82761,1.17120,-0.05124
7.1259,52.767,-508.949,69.671,-2.82765,1.17119,-0.05116
7.1877,52.745,-508.950,65.624,-2.82767,1.17126,-0.05117
7.2536,52.759,-508.936,61.619,-2.82761,1.17126,-0.05119
7.3210,52.759,-508.936,57.422,-2.82751,1.17117,-0.05113
7.3837,52.744,-508.951,53.399,-2.82742,1.17121,-0.05112
7.4487,52.769,-508.918,49.423,-2.82753,1.17116,-0.05116
7.5164,52.744,-509.003,45.420,-2.82780,1.17135,-0.05122
7.5786,52.747,-508.968,41.420,-2.82768,1.17132,-0.05124
7.6446,52.765,-508.914,38.284,-2.82748,1.17119,-0.05119
7.7097,52.754,-508.951,34.134,-2.82751,1.17125,-0.05119
7.7746,52.764,-508.870,30.126,-2.82739,1.17122,-0.05109
7.8434,52.738,-508.991,26.151,-2.82776,1.17137,-0.05124
7.9046,52.751,-509.029,22.129,-2.82774,1.17128,-0.05125
7.9695,52.773,-508.878,17.983,-2.82734,1.17117,-0.05112
8.0371,52.736,-508.961,13.907,-2.82755,1.17123,-0.05115
8.0996,52.754,-508.942,10.015,-2.82766,1.17127,-0.05117
8.1656,52.756,-508.945,5.895,-2.82768,1.17123,-0.05112
8.2336,52.751,-508.984,1.811,-2.82766,1.17126,-0.05121
8.2956,52.752,-508.945,-1.257,-2.82752,1.17114,-0.05109
8.3606,52.746,-508.888,-5.216,-2.82748,1.17124,-0.05110
8.4257,52.720,-509.067,-9.153,-2.82792,1.17141,-0.05124
8.4907,52.764,-508.928,-13.350,-2.82750,1.17118,-0.05115
8.5588,52.722,-509.016,-17.460,-2.82757,1.17128,-0.05115
8.6207,52.750,-508.924,-21.433,-2.82758,1.17128,-0.05115
8.6867,52.735,-509.031,-25.305,-2.82779,1.17136,-0.05122
8.7548,52.760,-508.863,-29.610,-2.82736,1.17123,-0.05107
8.8168,52.758,-508.967,-33.589,-2.82760,1.17122,-0.05115
8.8817,52.739,-508.957,-36.550,-2.82759,1.17132,-0.05114
8.9504,52.761,-508.971,-41.598,-2.82774,1.17123,-0.05118
9.0118,52.752,-508.955,-44.714,-2.82759,1.17123,-0.05114
9.0768,52.762,-508.953,-48.698,-2.82753,1.17125,-0.05114
9.1419,52.733,-508.966,-52.732,-2.82768,1.17133,-0.05116
9.2079,52.747,-508.914,-56.793,-2.82756,1.17129,-0.05118
9.2777,52.771,-508.875,-61.014,-2.82731,1.17115,-0.05107
9.3379,52.774,-508.981,-64.892,-2.82766,1.17121,-0.05122
9.4028,52.746,-509.036,-68.818,-2.82792,1.17129,-0.05124
9.4715,52.772,-508.842,-73.130,-2.82731,1.17115,-0.05105
9.5327,52.748,-508.944,-77.073,-2.82749,1.17119,-0.05112
9.5987,52.733,-509.065,-79.977,-2.82786,1.17131,-0.05123
9.6673,52.738,-509.006,-85.095,-2.82772,1.17125,-0.05122
9.7287,52.749,-508.876,-88.267,-2.82735,1.17119,-0.05109
9.7959,52.745,-508.911,-92.215,-2.82757,1.17124,-0.05114
9.8587,52.757,-508.925,-96.257,-2.82763,1.17128,-0.05121
9.9237,52.775,-508.893,-100.382,-2.82742,1.17115,-0.05113
9.9909,52.734,-509.010,-104.406,-2.82766,1.17131,-0.05119
10.0537,52.718,-509.095,-108.296,-2.82788,1.17141,-0.05127
10.1197,52.711,-509.030,-112.398,-2.82763,1.17130,-0.05114
10.1870,52.746,-508.976,-116.561,-2.82757,1.17118,-0.05111
10.2498,52.721,-509.055,-119.493,-2.82787,1.17132,-0.05120
10.3146,52.754,-508.927,-123.536,-2.82759,1.17126,-0.05108
10.3851,52.770,-508.766,-127.849,-2.82722,1.17111,-0.05097
10.4447,52.786,-508.738,-129.465,-2.82721,1.17117,-0.05103
10.5116,52.774,-508.807,-130.648,-2.82741,1.17121,-0.05107
10.5747,52.772,-508.872,-130.788,-2.82750,1.17122,-0.05116
10.6407,52.740,-508.979,-130.743,-2.82767,1.17128,-0.05119
10.7068,52.754,-508.954,-130.767,-2.82761,1.17130,-0.05119
10.7707,52.744,-508.966,-130.761,-2.82764,1.17127,-0.05112
10.8357,52.762,-508.977,-130.758,-2.82769,1.17125,-0.05121
10.9028,52.732,-508.968,-130.781,-2.82762,1.17132,-0.05116
10.9657,52.720,-508.930,-130.799,-2.82755,1.17132,-0.05106
11.0316,52.742,-508.955,-130.790,-2.82756,1.17134,-0.05118
11.1032,52.748,-508.947,-130.787,-2.82761,1.17126,-0.05111
11.1617,52.765,-508.924,-130.804,-2.82753,1.17127,-0.05112
11.2298,52.744,-508.935,-130.796,-2.82755,1.17128,-0.05109
11.2918,52.755,-508.942,-130.794,-2.82758,1.17127,-0.05113
11.3567,52.730,-508.931,-130.816,-2.82752,1.17126,-0.05110
11.4235,52.751,-508.930,-130.798,-2.82757,1.17124,-0.05109
11.4867,52.755,-508.945,-130.789,-2.82761,1.17126,-0.05114
11.5527,52.757,-508.952,-130.782,-2.82763,1.17125,-0.05117
11.6219,52.758,-508.936,-130.809,-2.82752,1.17121,-0.05119
11.6827,52.747,-508.948,-130.795,-2.82757,1.17128,-0.05110
11.7476,52.729,-508.966,-130.780,-2.82759,1.17133,-0.05113
11.8143,52.743,-508.944,-130.797,-2.82756,1.17124,-0.05113
11.8777,52.739,-508.942,-130.792,-2.82755,1.17128,-0.05107
11.9457,52.744,-508.918,-130.812,-2.82754,1.17125,-0.05107
12.0087,52.741,-508.936,-130.792,-2.82757,1.17126,-0.05112
12.0737,52.756,-508.939,-130.785,-2.82757,1.17125,-0.05113
12.1401,52.764,-508.911,-130.804,-2.82755,1.17120,-0.05110
12.2037,52.762,-508.921,-130.797,-2.82760,1.17116,-0.05111
12.2686,52.762,-508.925,-130.804,-2.82755,1.17120,-0.05114
12.3375,52.733,-508.934,-130.797,-2.82754,1.17129,-0.05113
12.3987,52.762,-508.937,-130.795,-2.82758,1.17125,-0.05113
12.4646,52.739,-508.945,-130.789,-2.82760,1.17129,-0.05113
12.5297,52.750,-508.923,-130.806,-2.82755,1.17124,-0.05111
12.5947,52.753,-508.942,-130.788,-2.82754,1.17127,-0.05118
12.6619,52.748,-508.951,-130.787,-2.82761,1.17128,-0.05119
12.7247,52.764,-508.933,-130.801,-2.82754,1.17125,-0.05116
12.7897,52.772,-508.937,-130.794,-2.82758,1.17115,-0.05118
12.8586,52.742,-508.965,-130.785,-2.82761,1.17128,-0.05113
12.9207,52.743,-508.938,-130.781,-2.82757,1.17128,-0.05110
12.9856,52.730,-508.966,-130.782,-2.82761,1.17134,-0.05118
13.0546,52.745,-508.957,-130.784,-2.82758,1.17127,-0.05120
13.1157,52.750,-508.940,-130.794,-2.82757,1.17122,-0.05113
13.1824,52.764,-508.945,-130.783,-2.82760,1.17124,-0.05116
13.2467,52.741,-508.931,-130.801,-2.82756,1.17120,-0.05107
13.3107,52.746,-508.960,-130.783,-2.82763,1.17125,-0.05115
13.3787,52.754,-508.933,-130.815,-2.82754,1.17122,-0.05114
13.4417,52.758,-508.946,-130.783,-2.82760,1.17124,-0.05116
13.5067,52.747,-508.956,-130.784,-2.82762,1.17125,-0.05115
13.5746,52.742,-508.940,-130.788,-2.82758,1.17125,-0.05106
13.6367,52.757,-508.950,-130.795,-2.82759,1.17121,-0.05116
13.7016,52.770,-508.961,-130.785,-2.82763,1.17119,-0.05118
13.7728,52.758,-508.912,-130.810,-2.82755,1.17118,-0.05110
13.8327,52.751,-508.961,-130.782,-2.82767,1.17120,-0.05112
13.8985,52.751,-508.920,-130.820,-2.82748,1.17127,-0.05113
13.9628,52.744,-508.937,-130.801,-2.82760,1.17123,-0.05110
14.0277,52.757,-508.952,-130.785,-2.82759,1.17125,-0.05119
14.0943,52.720,-508.962,-130.782,-2.82762,1.17132,-0.05108
14.1577,52.773,-508.929,-130.784,-2.82758,1.17121,-0.05115
14.2226,52.757,-508.932,-130.801,-2.82757,1.17117,-0.05112
14.2906,52.761,-508.954,-130.787,-2.82762,1.17120,-0.05108
14.3536,52.765,-508.907,-130.806,-2.82752,1.17119,-0.05113
14.4187,52.757,-508.971,-130.770,-2.82765,1.17128,-0.05120
14.4889,52.754,-508.951,-130.795,-2.82759,1.17121,-0.05117
14.5487,52.740,-508.922,-130.801,-2.82752,1.17127,-0.05108
14.6150,52.755,-508.950,-130.786,-2.82756,1.17127,-0.05121
14.6797,52.776,-508.930,-130.793,-2.82760,1.17116,-0.05117
14.7446,52.760,-508.968,-130.771,-2.82766,1.17124,-0.05121
14.8129,52.776,-508.901,-130.818,-2.82748,1.17122,-0.05118
14.8747,52.750,-508.934,-130.806,-2.82757,1.17124,-0.05109
14.9397,52.748,-508.962,-130.773,-2.82765,1.17125,-0.05114
15.0085,52.747,-508.959,-130.788,-2.82759,1.17129,-0.05118
15.0697,52.752,-508.954,-130.784,-2.82763,1.17125,-0.05111
15.1346,52.750,-508.922,-130.792,-2.82752,1.17127,-0.05114
15.2063,52.742,-508.932,-130.803,-2.82758,1.17121,-0.05112
