time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3145,55.037,-508.864,474.984,2.90243,-1.20221,-0.00006
0.3928,55.053,-508.839,474.243,2.90234,-1.20215,0.00006
0.4442,55.029,-508.872,472.811,-2.90246,1.20217,0.00004
0.5106,55.026,-508.875,470.060,2.90247,-1.20208,0.00002
0.5732,55.028,-508.874,466.190,2.90235,-1.20215,0.00007
0.6381,55.015,-508.865,462.234,2.90225,-1.20220,0.00005
0.7050,54.997,-508.855,458.118,-2.90233,1.20228,0.00010
0.7682,55.002,-508.917,454.122,2.90215,-1.20218,0.00011
0.8331,55.008,-508.839,450.069,2.90241,-1.20228,0.00000
0.9018,55.040,-508.859,445.921,-2.90238,1.20217,-0.00000
0.9642,55.006,-508.873,441.966,2.90230,-1.20223,0.00007
1.0291,55.014,-508.881,437.980,2.90232,-1.20229,0.00009
1.1009,54.997,-508.874,433.848,2.90231,-1.20231,0.00005
1.1591,55.013,-508.903,430.786,2.90235,-1.20220,0.00002
1.2258,55.034,-508.805,426.848,2.90238,-1.20228,0.00003
1.2902,55.018,-508.830,422.591,-2.90225,1.20219,0.00010
1.3541,55.018,-508.907,418.760,2.90215,-1.20217,0.00013
1.4218,55.027,-508.824,414.682,-2.90240,1.20223,0.00003
1.4851,55.016,-508.892,410.586,2.90231,-1.20223,0.00003
1.5501,55.016,-508.897,406.564,2.90230,-1.20219,0.00008
1.6176,55.038,-508.852,402.426,-2.90242,1.20223,-0.00003
1.6801,55.015,-508.895,399.448,2.90236,-1.20227,0.00005
1.7468,55.031,-508.897,395.464,2.90225,-1.20213,0.00013
1.8132,55.009,-508.861,391.393,-2.90241,1.20220,0.00007
1.8761,55.036,-508.840,387.234,-2.90231,1.20212,0.00005
1.9434,55.028,-508.864,383.320,2.90233,-1.20217,0.00007
2.0061,55.030,-508.901,379.220,2.90233,-1.20227,0.00006
2.0711,55.020,-508.899,375.122,-2.90239,1.20222,-0.00000
2.1378,55.008,-508.896,371.173,2.90229,-1.20224,0.00004
2.2011,55.016,-508.823,367.127,2.90232,-1.20221,0.00000
2.2671,55.024,-508.873,363.050,2.90239,-1.20226,0.00006
