time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned UNFITTED (using wood),filt_learned UNFITTED (using wood),vel_learned UNFITTED (using wood)
0.3583,1,474.831,618.13,602.7,602.70,0.0,607.9,607.90,0.0
0.4264,1,473.475,616.77,603.7,603.70,14.7,608.9,608.85,14.0
0.4887,1,470.807,614.11,601.7,602.21,-8.2,606.9,607.31,-16.5
0.5537,1,467.256,610.56,598.2,599.16,-27.2,603.6,603.99,-45.2
0.6196,1,463.245,606.55,594.2,595.27,-41.9,599.8,599.96,-58.5
0.6837,1,459.126,602.43,591.2,591.71,-48.0,596.9,596.81,-50.8
0.7487,1,455.192,598.49,587.2,587.72,-54.2,593.1,593.14,-55.5
0.8163,1,451.055,594.36,583.2,583.51,-58.1,589.2,589.26,-57.1
0.8787,1,447.977,591.28,579.2,579.46,-61.2,585.4,585.44,-60.4
0.9447,1,443.994,587.29,574.7,574.97,-64.5,581.1,581.12,-64.7
1.0116,1,439.876,583.18,572.7,571.96,-55.0,579.1,578.80,-39.3
1.0747,1,435.907,579.21,568.2,568.31,-56.3,574.8,575.02,-56.1
1.1404,1,431.877,575.18,563.7,564.03,-60.6,570.4,570.56,-65.9
1.2063,1,427.847,571.15,558.7,559.18,-66.8,565.6,565.68,-72.8
1.2697,1,423.766,567.07,555.2,555.11,-65.7,562.2,562.02,-60.5
1.3367,1,419.716,563.02,552.2,551.67,-58.5,559.3,559.09,-46.3
1.4007,1,415.638,558.94,548.7,548.42,-54.8,555.9,555.91,-49.1
1.4657,1,411.641,554.94,544.2,544.44,-58.0,551.5,551.67,-62.5
1.5320,1,408.513,551.81,537.7,538.71,-72.1,545.1,545.49,-88.3
1.5967,1,404.502,547.80,537.2,536.07,-56.8,544.7,543.94,-35.0
1.6607,1,400.528,543.83,532.7,532.60,-55.6,540.3,540.48,-50.7
1.7293,1,396.420,539.72,530.2,529.72,-48.6,537.8,537.70,-41.9
1.7917,1,392.352,535.65,524.7,525.41,-58.2,532.4,532.84,-71.1
1.8580,1,388.212,531.51,520.2,520.67,-64.9,528.0,528.02,-72.3
1.9232,1,384.293,527.59,515.7,515.96,-68.6,523.6,523.55,-69.3
1.9866,1,380.339,523.64,513.7,512.96,-58.2,521.6,521.25,-42.2
2.0535,1,376.115,519.41,508.2,508.50,-62.6,516.2,516.52,-66.3
2.1167,1,372.102,515.40,504.2,504.32,-64.3,512.3,512.27,-67.0
2.1816,1,369.223,512.52,500.2,500.18,-64.0,508.3,508.26,-62.7
2.2486,1,365.021,508.32,496.7,496.43,-59.9,504.9,504.75,-54.0
2.3127,1,360.930,504.23,492.7,492.66,-59.3,500.9,500.97,-58.2
2.3776,1,356.983,500.28,488.2,488.41,-62.5,496.5,496.56,-66.1
2.4453,1,352.924,496.22,484.2,484.19,-62.4,492.5,492.44,-61.8
2.5077,1,348.919,492.22,480.7,480.56,-60.3,489.0,488.96,-56.9
2.5738,1,344.765,488.06,476.2,476.32,-62.3,484.6,484.65,-63.8
2.6387,1,340.759,484.06,472.2,472.23,-62.7,480.6,480.58,-62.9
2.7027,1,336.764,480.06,468.7,468.54,-60.1,477.1,477.03,-56.8
2.7703,1,332.592,475.89,466.2,465.65,-50.7,474.6,474.43,-41.3
2.8337,1,329.528,472.83,461.7,461.94,-54.7,470.1,470.40,-59.4
2.8986,1,325.584,468.88,456.2,456.91,-66.7,464.7,464.95,-79.8
2.9650,1,321.460,464.76,453.2,452.97,-62.8,461.7,461.39,-57.7
3.0287,1,317.504,460.80,449.2,449.13,-61.5,457.7,457.70,-58.0
3.0936,1,313.500,456.80,444.2,444.50,-66.7,452.7,452.89,-71.4
3.1618,1,309.418,452.72,441.7,441.16,-56.8,450.2,449.91,-47.8
3.2246,1,305.443,448.74,438.7,438.34,-50.6,447.2,447.17,-44.4
3.2896,1,301.359,444.66,433.7,434.13,-58.3,442.2,442.52,-67.0
3.3547,1,297.380,440.68,430.2,430.24,-59.1,438.7,438.64,-60.9
3.4196,1,293.303,436.60,426.7,426.61,-57.4,435.2,435.14,-55.1
3.4859,1,290.240,433.54,422.2,422.38,-60.9,430.7,430.82,-63.5
3.5497,1,286.180,429.48,419.2,418.98,-56.8,427.7,427.57,-53.2
3.6146,1,282.097,425.40,412.7,413.50,-72.1,421.2,421.62,-85.1
3.6818,1,278.023,421.32,410.2,409.73,-63.0,418.7,418.30,-55.0
3.7457,1,274.021,417.32,406.2,406.05,-60.1,414.7,414.70,-56.2
3.8106,1,269.996,413.30,400.7,401.14,-68.7,409.2,409.44,-76.7
3.8800,1,265.890,409.19,398.2,397.67,-57.7,406.7,406.32,-49.4
3.9406,1,261.925,405.23,394.7,394.53,-54.6,403.1,403.18,-51.4
4.0080,1,257.823,401.12,389.2,389.69,-64.7,397.6,397.92,-74.0
4.0717,1,253.753,397.05,385.2,385.31,-66.9,393.6,393.55,-69.5
4.1357,1,250.655,393.96,382.2,381.85,-59.8,390.6,390.38,-53.1
4.2033,1,246.569,389.87,378.7,378.44,-54.3,387.1,387.04,-49.9
4.2667,1,242.696,386.00,373.2,373.74,-65.3,381.6,381.91,-75.3
4.3317,1,238.651,381.95,370.7,370.35,-57.8,379.0,378.75,-53.1
4.3979,1,234.406,377.71,366.7,366.65,-56.7,375.0,375.06,-55.4
4.4617,1,230.544,373.84,363.2,363.15,-55.6,371.5,371.52,-55.5
4.5266,1,226.405,369.71,358.7,358.94,-60.9,367.0,367.13,-65.5
4.5963,1,222.393,365.69,355.2,355.06,-57.7,363.5,363.35,-55.7
4.6577,1,218.435,361.74,350.2,350.59,-66.1,358.5,358.69,-72.0
4.7233,1,214.341,357.64,347.2,346.93,-60.0,355.4,355.22,-55.9
4.7877,1,211.253,354.55,343.2,343.16,-59.1,351.4,351.45,-58.2
4.8527,1,207.273,350.57,338.7,338.87,-63.2,346.9,347.01,-66.6
4.9186,1,203.121,346.42,334.2,334.34,-66.5,342.4,342.41,-69.2
4.9827,1,199.177,342.48,331.2,330.88,-59.2,339.4,339.16,-54.0
5.0476,1,195.092,338.39,327.7,327.52,-54.8,335.9,335.82,-51.8
5.1155,1,191.002,334.30,324.7,324.46,-48.8,332.8,332.77,-46.1
5.1787,1,186.957,330.26,319.7,320.17,-59.9,327.8,328.13,-68.3
5.2436,1,182.906,326.21,316.2,316.22,-60.5,324.3,324.22,-61.6
5.3145,1,178.886,322.19,313.2,312.88,-51.9,321.3,321.11,-46.2
5.3737,1,174.953,318.25,308.2,308.67,-62.7,316.3,316.63,-69.4
5.4400,1,171.990,315.29,305.7,305.38,-54.5,313.8,313.53,-50.4
5.5037,1,167.781,311.08,300.2,300.67,-66.2,308.3,308.57,-72.9
5.5687,1,163.733,307.03,295.7,295.88,-70.8,303.8,303.77,-73.8
5.6365,1,159.604,302.90,294.2,293.40,-49.1,302.3,301.77,-36.1
5.6997,1,155.551,298.85,288.2,288.81,-63.2,296.2,296.74,-71.7
5.7646,1,151.576,294.88,284.2,284.34,-66.6,292.2,292.22,-69.9
5.8336,1,147.540,290.84,281.2,280.82,-56.8,289.2,289.00,-50.1
5.8947,1,143.506,286.81,278.2,277.96,-51.1,286.2,286.20,-46.7
5.9596,1,139.483,282.78,274.2,274.32,-54.1,282.2,282.38,-56.7
6.0303,1,135.442,278.74,270.2,270.27,-56.1,278.3,278.27,-58.0
6.0897,1,132.334,275.63,266.7,266.77,-57.8,274.8,274.77,-58.7
6.1564,1,128.334,271.63,262.2,262.39,-62.7,270.3,270.35,-65.0
6.2207,1,124.236,267.54,257.7,257.88,-67.3,265.8,265.84,-69.3
6.2856,1,120.223,263.52,253.7,253.65,-65.9,261.8,261.73,-64.3
6.3536,1,116.169,259.47,249.7,249.57,-62.2,257.8,257.76,-59.4
6.4157,1,112.153,255.45,246.7,246.43,-55.2,254.8,254.72,-51.0
6.4806,1,108.102,251.40,242.7,242.74,-56.2,250.9,250.94,-56.9
6.5496,1,104.003,247.30,239.2,239.12,-53.8,247.4,247.33,-53.0
6.6117,1,99.949,243.25,234.2,234.62,-65.0,242.4,242.67,-70.8
6.6766,1,95.928,239.23,229.7,229.88,-70.1,238.0,237.97,-72.1
6.7476,1,91.996,235.30,225.2,225.13,-67.9,233.5,233.42,-65.3
6.8066,1,88.946,232.25,222.2,221.90,-60.2,230.5,230.37,-54.6
6.8742,1,84.756,228.06,218.2,218.11,-57.5,226.6,226.59,-55.7
6.9383,1,80.670,223.97,214.2,214.26,-59.2,222.6,222.68,-60.0
7.0026,1,76.689,219.99,210.2,210.26,-61.0,218.7,218.70,-61.6
7.0698,1,72.669,215.97,208.2,207.71,-45.9,216.7,216.40,-38.4
7.1327,1,68.716,212.02,203.2,203.62,-57.9,211.8,212.11,-62.7
7.1976,1,64.517,207.82,198.7,198.99,-66.5,207.3,207.45,-70.3
7.2655,1,60.438,203.74,193.7,193.88,-72.3,202.4,202.46,-72.9
7.3277,1,56.494,199.79,190.2,189.99,-66.2,199.0,198.83,-61.3
7.3926,1,53.527,196.83,187.2,186.83,-54.8,196.1,195.88,-48.1
7.4634,1,48.467,191.77,181.7,181.98,-64.3,190.7,190.90,-67.4
7.5236,1,45.425,188.73,178.2,178.17,-63.6,187.2,187.17,-62.9
7.5906,1,41.207,184.51,174.7,174.52,-57.6,183.8,183.70,-53.6
7.6537,1,37.188,180.49,171.2,171.12,-55.2,180.4,180.39,-52.7
7.7186,1,33.321,176.62,167.7,167.66,-53.9,177.0,176.99,-52.5
7.7862,1,29.215,172.52,163.2,163.39,-60.3,172.6,172.73,-61.5
7.8487,1,25.114,168.41,158.7,158.92,-67.4,168.2,168.34,-68.6
7.9136,1,20.996,164.30,155.7,155.43,-58.4,165.3,165.11,-52.9
7.9818,1,17.038,160.34,150.2,150.48,-68.1,160.0,160.20,-69.2
8.0447,1,13.095,156.40,145.7,145.82,-72.0,155.6,155.67,-71.5
8.1096,1,9.934,153.23,141.7,141.57,-67.6,151.8,151.66,-63.4
8.1808,1,4.886,148.19,138.2,137.90,-56.2,148.4,148.23,-50.1
8.2396,1,1.867,145.17,133.7,133.92,-63.3,144.1,144.26,-63.7
8.3072,1,-2.147,141.15,130.2,130.08,-58.9,140.7,140.59,-55.8
8.3707,1,-6.254,137.05,127.2,127.00,-52.0,137.8,137.70,-47.4
8.4347,1,-10.280,133.02,123.2,123.31,-55.8,134.0,134.08,-55.0
8.5028,1,-14.318,128.98,121.7,121.23,-38.1,132.5,132.24,-31.2
8.5657,1,-18.289,125.01,117.2,117.60,-51.2,128.2,128.54,-53.6
8.6307,1,-22.580,120.72,111.7,112.29,-71.8,123.0,123.28,-76.3
8.6979,1,-26.569,116.73,107.2,107.26,-73.8,118.7,118.62,-70.5
8.7607,1,-29.425,113.88,105.7,104.95,-50.0,117.3,116.79,-36.7
8.8256,1,-33.467,109.83,99.2,99.87,-68.8,111.1,111.58,-72.9
8.8965,1,-38.653,104.65,94.2,94.39,-74.6,106.4,106.36,-73.5
8.9556,1,-41.601,101.70,91.2,90.87,-65.8,103.5,103.27,-56.9
9.0225,1,-45.715,97.59,88.2,87.77,-53.1,100.7,100.51,-43.6
9.0867,1,-49.777,93.52,83.2,83.49,-61.6,96.0,96.23,-62.6
9.1517,1,-53.751,89.55,78.2,78.52,-71.2,91.3,91.40,-72.4
9.2192,1,-57.784,85.52,75.2,74.85,-60.1,88.5,88.19,-51.4
9.2817,1,-61.887,81.41,69.7,70.05,-70.4,83.3,83.57,-69.7
9.3466,1,-64.944,78.36,66.2,66.02,-65.1,80.0,79.90,-58.8
9.4166,1,-69.916,73.38,61.2,61.26,-67.1,75.4,75.44,-63.0
9.4766,1,-72.951,70.35,57.7,57.58,-63.6,72.1,72.05,-57.7
9.5426,1,-77.238,66.06,53.2,53.24,-65.0,68.0,68.00,-60.8
9.6118,1,-81.186,62.11,50.7,50.26,-50.1,65.6,65.39,-40.9
9.6726,1,-85.009,58.29,44.7,45.35,-69.2,60.1,60.55,-71.8
9.7397,1,-89.252,54.05,43.2,42.58,-50.4,58.7,58.30,-39.4
9.8027,1,-93.279,50.02,36.7,37.42,-70.2,52.7,53.21,-73.1
9.8687,1,-97.268,46.03,33.7,33.46,-63.7,50.0,49.76,-55.7
9.9365,1,-101.316,41.98,28.2,28.43,-70.4,45.0,45.10,-66.7
9.9987,1,-105.404,37.90,23.2,23.43,-76.5,40.4,40.49,-72.8
10.0636,1,-108.336,34.96,18.2,18.27,-78.4,35.9,35.85,-71.7
10.1325,1,-113.450,29.85,14.2,13.88,-68.7,32.2,32.06,-57.5
10.1937,1,-116.609,26.69,8.2,8.59,-79.4,26.8,27.09,-76.4
10.2586,1,-120.627,22.67,1.7,2.14,-92.1,21.0,21.14,-89.1
10.3275,1,-124.565,18.74,-4.3,-4.28,-92.8,15.6,15.52,-82.7
10.3887,1,-127.846,15.45,2.2,-2.43,-18.1,21.4,19.67,38.1
10.4556,1,-129.831,13.47,-1.3,-1.77,-1.3,18.3,18.83,-4.7
10.5198,1,-130.703,12.60,-2.3,-2.18,-4.6,17.4,17.56,-17.2
10.5847,2,-130.765,12.54,-3.3,-3.10,-10.6,16.5,16.48,-16.6
10.6510,2,-130.743,12.56,-2.8,-3.04,-3.2,16.9,16.72,0.3
10.7147,2,-130.750,12.55,-3.3,-3.29,-3.6,16.5,16.53,-2.4
10.7797,2,-130.749,12.55,-3.3,-3.35,-2.0,16.5,16.47,-1.1
10.8485,2,-130.775,12.53,-2.8,-2.96,3.2,16.9,16.86,4.7
10.9107,2,-130.784,12.52,-3.3,-3.16,-0.8,16.5,16.59,-2.6
10.9757,2,-130.804,12.50,-3.8,-3.66,-5.3,16.0,16.10,-6.8
11.0423,2,-130.780,12.52,-3.3,-3.47,0.1,16.5,16.37,2.4
11.1057,2,-130.793,12.51,-3.3,-3.34,1.3,16.5,16.49,2.0
11.1724,2,-130.789,12.51,-3.3,-3.29,1.0,16.5,16.51,0.5
11.2368,2,-130.782,12.52,-2.8,-2.90,4.2,16.9,16.88,4.8
11.3007,2,-130.806,12.49,-3.3,-3.14,-0.9,16.5,16.59,-2.8
11.3685,2,-130.816,12.48,-3.3,-3.28,-1.7,16.5,16.48,-1.9
11.4317,2,-130.798,12.50,-3.3,-3.32,-1.0,16.5,16.47,-0.4
11.4967,2,-130.797,12.50,-3.3,-3.32,-0.3,16.5,16.48,0.1
11.5639,2,-130.799,12.50,-3.3,-3.31,-0.0,16.5,16.49,0.1
11.6267,2,-130.803,12.50,-3.8,-3.68,-3.9,16.0,16.11,-4.9
11.6923,2,-130.797,12.50,-3.3,-3.45,1.2,16.5,16.39,2.7
11.7577,2,-130.795,12.51,-2.8,-2.93,5.7,16.9,16.88,6.7
11.8227,2,-130.776,12.52,-3.3,-3.13,-0.2,16.5,16.61,-2.3
11.8906,2,-130.793,12.51,-3.3,-3.27,-1.5,16.5,16.48,-1.9
11.9527,2,-130.784,12.52,-3.8,-3.70,-5.0,16.0,16.09,-5.5
12.0176,2,-130.794,12.51,-3.8,-3.85,-3.2,16.0,16.00,-2.1
12.0848,2,-130.798,12.50,-3.3,-3.46,3.0,16.5,16.40,4.7
12.1477,2,-130.790,12.51,-2.8,-2.91,6.9,16.9,16.90,7.4
12.2127,2,-130.800,12.50,-2.8,-2.73,4.1,16.9,17.00,2.5
12.2836,2,-130.816,12.48,-3.3,-3.13,-3.0,16.5,16.58,-4.8
12.3437,2,-130.791,12.51,-3.3,-3.30,-2.9,16.5,16.46,-2.6
12.4094,2,-130.788,12.51,-3.3,-3.34,-1.3,16.5,16.46,-0.4
12.4737,2,-130.803,12.50,-3.3,-3.33,-0.3,16.5,16.48,0.2
12.5387,2,-130.787,12.51,-3.8,-3.70,-4.1,16.0,16.11,-4.7
12.6054,2,-130.772,12.53,-3.8,-3.84,-2.6,16.0,16.01,-2.0
12.6697,2,-130.805,12.50,-3.8,-3.84,-0.9,16.0,16.02,-0.2
12.7347,2,-130.787,12.51,-3.8,-3.82,-0.0,16.0,16.04,0.2
12.8017,2,-130.799,12.50,-3.3,-3.41,4.4,16.5,16.43,5.0
12.8647,2,-130.800,12.50,-3.3,-3.26,3.0,16.5,16.53,2.2
12.9297,2,-130.810,12.49,-3.3,-3.25,1.0,16.5,16.52,0.2
12.9986,2,-130.794,12.51,-2.8,-2.88,4.3,16.9,16.88,4.6
13.0607,2,-130.794,12.51,-2.8,-2.76,2.6,16.9,16.97,2.1
13.1267,2,-130.774,12.53,-3.8,-3.55,-7.9,16.0,16.19,-9.5
13.1907,2,-130.790,12.51,-3.3,-3.46,-1.3,16.5,16.35,0.4
13.2557,2,-130.788,12.51,-2.8,-2.95,5.1,16.9,16.85,6.5
13.3222,2,-130.787,12.51,-3.8,-3.56,-5.2,16.0,16.22,-7.0
13.3857,2,-130.797,12.50,-4.3,-4.21,-8.8,15.6,15.62,-9.0
13.4507,2,-130.781,12.52,-2.8,-3.20,8.7,16.9,16.66,11.7
13.5169,2,-130.784,12.52,-3.3,-3.16,2.9,16.5,16.62,1.5
13.5817,2,-130.791,12.51,-3.3,-3.23,0.0,16.5,16.52,-1.0
13.6467,2,-130.816,12.48,-3.3,-3.29,-0.6,16.5,16.48,-0.7
13.7171,2,-130.808,12.49,-2.3,-2.49,8.3,17.4,17.26,9.5
13.7767,2,-130.773,12.53,-3.8,-3.40,-7.4,16.0,16.34,-10.3
13.8438,2,-130.802,12.50,-3.3,-3.42,-2.2,16.5,16.37,-1.1
13.9067,2,-130.793,12.51,-2.8,-2.96,4.4,16.9,16.84,5.8
13.9728,2,-130.781,12.52,-3.8,-3.57,-5.4,16.0,16.21,-7.0
14.0394,2,-130.789,12.51,-3.3,-3.43,0.1,16.5,16.38,1.1
14.1028,2,-130.793,12.51,-4.3,-4.12,-7.6,15.6,15.73,-8.3
14.1677,2,-130.782,12.52,-3.3,-3.57,3.9,16.5,16.30,5.9
14.2356,2,-130.801,12.50,-3.8,-3.70,-0.5,16.0,16.13,-1.2
14.2977,2,-130.801,12.50,-3.3,-3.39,3.4,16.5,16.42,3.5
14.3627,2,-130.803,12.50,-3.3,-3.27,2.2,16.5,16.51,1.8
14.4320,2,-130.804,12.50,-2.8,-2.86,5.1,16.9,16.90,5.0
14.4937,2,-130.793,12.51,-3.3,-3.14,-1.7,16.5,16.60,-2.9
14.5611,2,-130.792,12.51,-3.8,-3.70,-6.6,16.0,16.09,-6.8
14.6237,2,-130.811,12.49,-3.8,-3.86,-3.8,16.0,15.98,-2.7
14.6887,2,-130.798,12.50,-3.8,-3.86,-1.0,16.0,16.01,-0.1
14.7560,2,-130.804,12.50,-4.3,-4.23,-4.3,15.6,15.65,-4.5
14.8187,2,-130.786,12.51,-3.8,-3.94,2.0,16.0,15.94,2.9
14.8837,2,-130.784,12.52,-3.3,-3.40,6.7,16.5,16.44,6.9
14.9514,2,-130.781,12.52,-3.8,-3.64,-1.1,16.0,16.16,-2.4
15.0147,2,-130.788,12.51,-4.3,-4.18,-6.4,15.6,15.66,-6.9
15.0796,2,-130.767,12.53,-3.3,-3.55,5.5,16.5,16.30,7.1
15.1463,2,-130.793,12.51,-4.3,-4.09,-4.7,15.6,15.76,-5.7
15.2097,2,-130.802,12.50,-3.8,-3.92,0.7,16.0,15.95,1.3
15.2771,2,-130.798,12.50,-3.3,-3.40,6.0,16.5,16.43,6.3
15.3397,2,-130.793,12.51,-3.3,-3.25,3.5,16.5,16.54,2.6
15.4057,2,-130.793,12.51,-4.3,-4.06,-8.4,15.6,15.76,-9.5
15.4727,2,-130.784,12.52,-3.3,-3.54,3.9,16.5,16.30,5.3
15.5357,2,-130.797,12.50,-3.3,-3.30,3.8,16.5,16.51,3.8
15.6007,2,-130.802,12.50,-4.3,-4.07,-7.9,15.6,15.77,-8.9
15.6679,2,-130.800,12.50,-3.8,-3.94,-0.4,16.0,15.92,0.6
15.7307,2,-130.781,12.52,-3.8,-3.83,1.2,16.0,16.03,1.5
15.7963,2,-130.797,12.50,-2.8,-2.98,10.2,16.9,16.82,10.3
15.8607,2,-130.795,12.51,-2.8,-2.71,5.6,16.9,17.02,4.3
15.9267,2,-130.793,12.51,-3.8,-3.54,-8.2,16.0,16.22,-9.4
15.9945,2,-130.812,12.49,-3.3,-3.44,-0.7,16.5,16.37,0.4
16.0567,2,-130.783,12.52,-3.3,-3.34,1.0,16.5,16.47,1.5
16.1217,2,-130.777,12.52,-3.8,-3.70,-4.0,16.0,16.12,-4.3
16.1881,2,-130.805,12.50,-3.3,-3.42,2.3,16.5,16.40,2.8
16.2517,2,-130.798,12.50,-3.8,-3.70,-2.7,16.0,16.12,-3.0
