time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3580,55.072,-508.663,474.796,2.90224,-1.20225,0.00009
0.4249,55.059,-508.700,473.382,2.90231,-1.20225,-0.00001
0.4883,55.064,-508.700,470.894,2.90233,-1.20230,0.00005
0.5536,55.068,-508.675,467.236,2.90234,-1.20229,0.00005
0.6191,55.091,-508.710,463.300,2.90221,-1.20208,0.00012
0.6840,55.094,-508.672,459.043,-2.90237,1.20210,0.00008
0.7490,55.088,-508.725,455.149,2.90230,-1.20206,0.00003
0.8194,55.086,-508.714,451.123,2.90237,-1.20210,0.00002
0.8790,55.060,-508.671,448.048,-2.90232,1.20228,0.00003
0.9452,55.060,-508.720,443.956,2.90234,-1.20225,-0.00001
1.0095,55.051,-508.726,439.978,2.90230,-1.20225,0.00003
1.0750,55.048,-508.663,435.836,-2.90243,1.20227,0.00006
1.1426,55.080,-508.688,431.824,-2.90242,1.20227,-0.00004
1.2050,55.050,-508.694,427.936,2.90218,-1.20218,0.00008
1.2700,55.068,-508.702,423.678,-2.90240,1.20224,0.00003
1.3363,55.043,-508.737,419.773,2.90221,-1.20223,0.00007
1.4002,55.064,-508.697,415.604,2.90241,-1.20232,0.00004
1.4660,55.082,-508.707,411.589,2.90249,-1.20213,-0.00002
1.5317,55.053,-508.717,407.599,2.90233,-1.20222,-0.00000
1.5960,55.052,-508.698,404.568,2.90240,-1.20227,-0.00001
1.6611,55.051,-508.709,400.459,2.90239,-1.20229,0.00003
1.7261,55.048,-508.731,396.471,2.90227,-1.20226,0.00004
1.7910,55.072,-508.695,392.286,-2.90243,1.20217,0.00004
1.8568,55.093,-508.691,388.252,-2.90229,1.20212,0.00005
1.9214,55.063,-508.700,384.376,2.90225,-1.20223,0.00006
1.9869,55.080,-508.737,380.262,2.90230,-1.20218,0.00007
2.0541,55.066,-508.718,376.161,-2.90233,1.20226,-0.00004
2.1171,55.077,-508.702,372.070,2.90239,-1.20227,0.00010
2.1821,55.075,-508.687,369.163,2.90223,-1.20214,0.00006
2.2471,55.074,-508.658,365.058,-2.90235,1.20222,0.00005
2.3124,55.083,-508.675,360.882,-2.90229,1.20219,0.00004
2.3779,55.069,-508.702,356.974,2.90234,-1.20219,-0.00004
2.4427,55.083,-508.688,353.008,2.90236,-1.20216,0.00005
2.5080,55.064,-508.703,348.848,2.90242,-1.20226,0.00001
2.5739,55.060,-508.712,344.870,2.90230,-1.20229,0.00003
2.6382,55.073,-508.669,340.722,-2.90241,1.20229,-0.00003
2.7030,55.074,-508.713,336.664,-2.90235,1.20226,0.00000
2.7717,55.065,-508.743,332.687,2.90244,-1.20225,-0.00000
2.8335,55.055,-508.718,329.629,-2.90227,1.20220,0.00015
2.8996,55.056,-508.721,325.514,-2.90231,1.20224,0.00003
2.9636,55.074,-508.718,321.516,-2.90240,1.20223,0.00002
3.0289,55.066,-508.676,317.405,-2.90226,1.20228,0.00006
3.0959,55.076,-508.711,313.448,2.90246,-1.20219,-0.00003
3.1595,55.058,-508.721,309.481,2.90233,-1.20224,0.00003
3.2242,55.069,-508.658,305.376,-2.90242,1.20226,-0.00001
3.2899,55.059,-508.687,301.421,2.90229,-1.20220,-0.00001
3.3547,55.063,-508.719,297.298,2.90223,-1.20219,0.00012
3.4199,55.079,-508.708,293.239,2.90243,-1.20228,0.00003
3.4890,55.068,-508.680,289.223,-2.90238,1.20231,0.00000
3.5504,55.059,-508.741,286.244,2.90224,-1.20221,0.00003
3.6159,55.073,-508.675,282.097,2.90240,-1.20226,0.00003
3.6805,55.087,-508.703,278.067,-2.90245,1.20217,-0.00002
3.7453,55.066,-508.705,273.964,2.90237,-1.20224,0.00002
3.8125,55.092,-508.705,269.983,2.90241,-1.20221,0.00007
3.8758,55.052,-508.729,265.919,-2.90239,1.20219,0.00005
3.9410,55.077,-508.734,261.842,2.90236,-1.20224,0.00007
4.0064,55.071,-508.686,257.877,2.90237,-1.20221,0.00003
4.0712,55.080,-508.679,253.725,-2.90243,1.20226,-0.00002
4.1363,55.061,-508.724,250.637,-2.90237,1.20225,0.00008
4.2032,55.078,-508.743,245.710,2.90242,-1.20227,0.00006
4.2666,55.071,-508.710,242.739,2.90235,-1.20223,0.00011
4.3323,55.081,-508.695,238.622,2.90235,-1.20221,0.00006
4.3969,55.066,-508.709,234.494,-2.90238,1.20221,0.00009
4.4622,55.062,-508.718,230.491,2.90236,-1.20224,0.00000
4.5275,55.087,-508.693,226.511,2.90238,-1.20217,0.00010
4.5925,55.080,-508.743,222.460,2.90239,-1.20220,0.00006
4.6574,55.079,-508.696,218.371,2.90242,-1.20225,0.00003
4.7267,55.067,-508.688,214.405,2.90235,-1.20225,0.00001
4.7875,55.053,-508.740,211.342,2.90228,-1.20221,0.00003
4.8536,55.083,-508.686,207.214,-2.90243,1.20225,-0.00005
4.9180,55.086,-508.691,203.189,-2.90246,1.20220,0.00003
4.9833,55.043,-508.757,199.076,2.90231,-1.20231,0.00003
5.0499,55.065,-508.695,195.053,-2.90236,1.20228,0.00003
5.1135,55.054,-508.715,191.046,2.90240,-1.20235,0.00001
5.1787,55.070,-508.735,186.953,2.90237,-1.20223,0.00004
5.2444,55.062,-508.715,182.975,2.90240,-1.20229,0.00002
5.3089,55.089,-508.687,178.823,-2.90246,1.20214,0.00002
