time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3164,1,474.947,618.25,616.3,616.30,0.0,613.7,613.65,0.0
0.3830,1,473.794,617.09,618.8,618.80,37.5,616.2,616.18,37.9
0.4479,1,471.562,614.86,616.8,617.53,2.6,614.2,614.71,-10.8
0.5121,1,469.189,612.49,612.3,613.81,-26.7,609.6,610.27,-58.8
0.5768,1,465.204,608.50,611.8,611.90,-27.9,609.1,608.72,-29.9
0.6424,1,461.137,604.44,607.3,608.33,-39.9,604.6,604.88,-53.8
0.7072,1,457.052,600.35,602.3,603.62,-54.8,599.5,599.79,-74.3
0.7726,1,453.096,596.40,597.3,598.36,-66.6,594.5,594.53,-79.4
0.8376,1,449.040,592.34,594.8,594.50,-63.2,591.9,591.56,-51.4
0.9028,1,444.930,588.23,589.8,590.02,-65.8,586.9,587.09,-65.8
0.9676,1,440.952,584.25,584.3,584.85,-72.2,581.3,581.56,-81.9
1.0365,1,436.867,580.17,582.3,581.42,-61.3,579.3,578.86,-45.3
1.0980,1,433.818,577.12,577.3,577.43,-62.9,574.3,574.56,-65.1
1.1635,1,429.849,573.15,581.8,578.63,-24.6,578.8,577.59,27.8
1.2281,1,425.826,569.13,574.8,575.81,-33.5,571.8,572.88,-55.4
1.2938,1,421.643,564.94,565.8,568.97,-65.5,562.7,563.62,-126.9
1.3586,1,417.706,561.01,563.8,564.21,-69.0,560.7,559.88,-69.5
1.4238,1,413.526,556.83,561.3,560.63,-62.9,558.1,557.73,-39.2
1.4887,1,409.597,552.90,557.3,556.99,-60.1,554.1,554.26,-51.0
1.5547,1,405.569,548.87,555.8,554.67,-49.4,552.6,552.35,-32.6
1.6191,1,401.445,544.75,544.8,547.55,-75.2,541.5,542.80,-128.2
1.6845,1,397.452,540.75,546.8,544.97,-59.8,543.5,542.20,-29.0
1.7521,1,393.314,536.61,540.3,540.56,-62.1,537.0,537.42,-64.4
1.8146,1,390.285,533.59,539.8,538.47,-50.6,536.5,535.99,-30.7
1.8800,1,386.275,529.58,530.8,532.63,-66.9,527.4,528.35,-102.5
1.9451,1,382.359,525.66,527.8,528.00,-68.7,524.4,523.98,-73.1
2.0099,1,378.175,521.48,522.8,523.11,-71.5,519.3,519.32,-72.1
2.0760,1,374.131,517.43,518.3,518.34,-71.8,514.8,514.77,-69.4
2.1401,1,370.123,513.42,517.8,516.11,-56.4,514.3,513.70,-25.9
2.2055,1,366.083,509.38,515.8,514.39,-43.6,512.3,512.25,-22.9
2.2708,1,362.017,505.32,509.3,510.23,-52.1,505.7,506.47,-77.4
2.3356,1,357.949,501.25,505.3,505.94,-58.1,501.7,501.68,-74.5
2.4004,1,354.964,498.26,499.3,500.48,-69.2,495.7,495.85,-87.3
2.4691,1,350.930,494.23,497.8,496.98,-61.0,494.2,493.59,-40.8
2.5306,1,346.865,490.16,493.3,493.27,-60.7,489.6,489.87,-56.6
2.5966,1,342.810,486.11,486.8,487.80,-70.5,483.1,483.54,-89.6
2.6610,1,338.740,482.04,486.3,485.07,-58.4,482.6,481.89,-36.8
2.7263,1,334.654,477.95,481.3,481.28,-58.2,477.6,477.86,-57.6
2.7917,1,330.629,473.93,479.8,478.87,-48.8,476.1,475.79,-36.0
2.8566,1,326.467,469.77,474.8,475.16,-52.5,471.0,471.40,-62.2
2.9215,1,322.549,465.85,474.3,473.29,-42.1,470.5,470.08,-27.5
2.9874,1,318.529,461.83,465.3,467.35,-63.6,461.5,462.48,-101.0
3.0517,1,315.366,458.67,461.3,462.11,-71.4,457.5,457.26,-84.5
3.1171,1,311.412,454.71,454.8,455.86,-82.1,451.0,451.07,-92.9
3.1830,1,307.424,450.72,454.3,452.78,-66.4,450.5,449.67,-33.1
3.2473,1,303.364,446.66,452.8,451.06,-49.1,449.0,448.75,-17.6
3.3126,1,299.417,442.72,444.8,446.05,-61.4,440.9,441.90,-90.3
3.3776,1,295.236,438.54,441.8,441.90,-62.4,437.9,437.64,-69.6
3.4425,1,291.177,434.48,436.3,436.92,-68.7,432.4,432.51,-77.5
3.5084,1,287.190,430.49,433.8,433.25,-62.9,429.9,429.54,-50.4
3.5728,1,283.149,426.45,430.8,430.16,-56.3,426.9,426.80,-43.9
3.6381,1,279.081,422.38,425.8,426.07,-59.2,421.9,422.18,-66.3
3.7033,1,276.025,419.33,422.3,422.27,-58.8,418.4,418.30,-60.7
3.7683,1,271.945,415.25,419.8,419.27,-53.1,415.9,415.65,-44.2
3.8336,1,267.922,411.22,412.3,413.65,-68.0,408.4,409.00,-92.1
3.8986,1,263.876,407.18,412.8,411.40,-52.9,408.9,408.00,-28.3
3.9635,1,259.852,403.15,408.3,408.17,-51.5,404.4,404.62,-48.1
4.0294,1,255.868,399.17,405.8,405.41,-47.2,401.9,401.80,-43.7
4.0940,1,251.686,394.99,397.8,399.56,-66.6,393.9,394.61,-99.6
4.1591,1,247.681,390.98,396.3,395.87,-62.1,392.4,391.73,-53.5
4.2244,1,243.709,387.01,389.3,390.28,-72.8,385.4,385.77,-84.9
4.2894,1,239.631,382.93,387.3,386.62,-65.3,383.4,382.90,-51.1
4.3544,1,236.528,379.83,383.3,382.95,-61.4,379.4,379.39,-53.5
4.4204,1,232.498,375.80,378.3,378.53,-63.9,374.4,374.57,-69.7
4.4845,1,228.500,371.80,378.3,376.81,-47.1,374.4,373.72,-23.2
4.5500,1,224.431,367.73,371.3,372.24,-57.6,367.4,368.07,-75.9
4.6148,1,220.428,363.73,367.3,367.76,-62.9,363.4,363.34,-73.4
4.6801,1,216.356,359.66,366.8,365.61,-49.1,362.9,362.25,-26.3
4.7455,1,212.360,355.66,358.8,360.17,-64.9,354.9,355.72,-87.6
4.8107,1,208.208,351.51,357.8,357.08,-56.8,353.9,353.33,-45.1
4.8754,1,204.202,347.50,350.8,351.79,-68.2,346.9,347.43,-83.2
4.9417,1,200.196,343.50,347.3,347.29,-68.1,343.4,343.22,-66.8
5.0056,1,197.228,340.53,342.8,342.85,-68.7,338.9,338.95,-66.8
5.0710,1,192.994,336.29,342.8,341.14,-48.8,338.9,338.32,-19.2
5.1378,1,189.096,332.40,334.8,335.98,-62.4,331.0,331.83,-84.8
5.2012,1,184.852,328.15,331.3,331.58,-65.6,327.5,327.34,-73.4
5.2665,1,180.993,324.29,327.3,327.30,-65.6,323.5,323.38,-62.8
5.3313,1,176.898,320.20,322.3,322.58,-68.9,318.5,318.66,-71.1
5.3963,1,172.908,316.21,322.3,320.73,-50.1,318.5,317.88,-22.0
5.4627,1,168.854,312.15,315.8,316.41,-57.2,312.1,312.70,-69.1
5.5266,1,164.727,308.03,312.3,312.47,-59.2,308.6,308.55,-65.6
5.5921,1,160.688,303.99,307.8,308.10,-62.8,304.1,304.15,-67.0
5.6586,1,156.655,299.96,304.3,304.16,-61.1,300.7,300.52,-56.6
5.7223,1,153.551,296.85,302.8,301.85,-49.6,299.2,298.83,-31.9
5.7872,1,149.519,292.82,298.3,298.42,-51.1,294.7,295.00,-54.4
5.8560,1,145.556,288.86,293.8,294.19,-56.3,290.2,290.37,-65.4
5.9174,1,141.490,284.79,286.3,287.96,-76.6,282.8,283.36,-104.6
5.9834,1,137.480,280.78,286.8,285.31,-58.9,283.3,282.31,-30.2
6.0477,1,133.267,276.57,282.8,282.31,-53.2,279.3,279.48,-41.6
6.1131,1,129.295,272.60,277.8,278.18,-57.9,274.4,274.72,-67.6
6.1785,1,125.294,268.59,275.8,275.28,-51.5,272.4,272.09,-44.8
6.2433,1,121.141,264.44,271.8,271.85,-52.1,268.4,268.54,-53.0
6.3082,1,118.158,261.46,265.8,266.78,-64.4,262.5,262.87,-81.5
6.3741,1,114.230,257.53,261.3,261.75,-70.2,258.0,257.96,-75.7
6.4386,1,110.110,253.41,257.8,257.59,-67.5,254.6,254.36,-59.4
6.5040,1,106.081,249.38,254.3,253.89,-62.2,251.1,251.02,-52.3
6.5688,1,102.022,245.32,250.3,250.14,-60.1,247.2,247.23,-57.4
6.6343,1,97.867,241.17,247.8,247.23,-52.5,244.7,244.52,-44.1
6.7004,1,93.931,237.23,242.3,242.82,-59.5,239.3,239.60,-69.5
6.7645,1,89.857,233.16,239.3,239.19,-58.1,236.3,236.13,-56.8
6.8294,1,85.853,229.15,236.3,235.99,-53.8,233.3,233.21,-47.0
6.8948,1,81.810,225.11,230.8,231.39,-62.0,227.9,228.23,-71.2
6.9596,1,78.809,222.11,227.3,227.32,-62.3,224.5,224.34,-62.0
7.0250,1,74.634,217.93,222.8,222.96,-64.6,220.0,220.06,-64.8
7.0913,1,70.688,213.99,220.3,219.74,-56.4,217.6,217.31,-45.3
7.1553,1,66.595,209.90,216.3,216.24,-55.6,213.6,213.74,-53.9
7.2212,1,62.560,205.86,210.8,211.41,-64.6,208.2,208.49,-75.4
7.2855,1,58.526,201.83,207.3,207.28,-64.4,204.8,204.60,-63.1
7.3506,1,54.427,197.73,204.3,203.89,-58.2,201.8,201.62,-48.7
7.4175,1,50.508,193.81,200.3,200.20,-56.6,197.9,197.95,-53.9
7.4808,1,46.338,189.64,195.8,196.08,-60.8,193.5,193.62,-65.7
7.5461,1,42.262,185.56,190.3,190.91,-70.3,188.1,188.24,-79.6
7.6116,1,38.274,181.57,185.3,185.63,-75.6,183.1,183.13,-78.3
7.6763,1,35.330,178.63,181.3,181.11,-72.7,179.2,179.05,-65.7
7.7411,1,31.238,174.54,179.8,178.67,-54.5,177.8,177.32,-33.4
7.8092,1,27.213,170.51,174.8,174.85,-55.4,172.8,173.15,-57.1
7.8714,1,23.045,166.34,170.3,170.68,-61.2,168.4,168.62,-69.8
7.9370,1,19.039,162.34,167.3,167.09,-57.8,165.5,165.29,-53.9
8.0017,1,15.099,158.40,162.3,162.65,-63.4,160.6,160.78,-66.9
8.0671,1,10.936,154.24,158.8,158.70,-61.8,157.2,157.07,-58.5
8.1327,1,6.929,150.23,153.8,154.08,-66.4,152.3,152.42,-68.8
8.1973,1,2.746,146.05,148.8,149.12,-71.8,147.4,147.48,-75.1
8.2623,1,-0.137,143.16,145.8,145.36,-64.4,144.5,144.19,-54.8
8.3294,1,-5.157,138.14,141.3,141.22,-63.0,140.1,140.13,-59.6
8.3923,1,-8.359,134.94,137.3,137.29,-62.7,136.2,136.20,-62.0
8.4577,1,-12.358,130.94,133.8,133.60,-59.3,132.8,132.66,-55.4
