time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.2985,55.069,-508.781,474.944,2.90232,-1.20212,0.00006
0.3653,55.043,-508.779,473.866,2.90233,-1.20218,-0.00004
0.4288,55.038,-508.827,471.559,2.90239,-1.20220,-0.00001
0.4939,55.033,-508.775,468.268,2.90235,-1.20229,-0.00002
0.5626,55.017,-508.782,464.149,2.90233,-1.20225,-0.00005
0.6244,55.019,-508.767,460.131,-2.90239,1.20230,0.00006
0.6895,55.012,-508.753,456.101,-2.90230,1.20229,0.00004
0.7546,55.038,-508.819,452.087,2.90224,-1.20219,-0.00001
0.8194,55.053,-508.763,448.946,-2.90234,1.20221,0.00004
0.8854,55.055,-508.783,444.987,-2.90246,1.20219,0.00004
0.9498,55.045,-508.790,440.916,2.90228,-1.20220,0.00005
1.0152,55.030,-508.764,436.944,2.90230,-1.20228,0.00002
1.0806,55.041,-508.772,432.900,2.90237,-1.20229,0.00001
1.1454,55.044,-508.796,428.815,2.90225,-1.20217,0.00007
1.2102,55.035,-508.772,424.789,2.90237,-1.20221,0.00002
1.2763,55.029,-508.796,420.655,2.90237,-1.20221,0.00001
1.3404,55.051,-508.786,416.690,2.90235,-1.20213,0.00004
1.4068,55.053,-508.756,412.631,-2.90236,1.20229,0.00002
1.4707,55.061,-508.787,409.622,2.90244,-1.20222,0.00000
1.5361,55.055,-508.809,405.501,2.90239,-1.20213,0.00005
1.6015,55.069,-508.797,401.507,2.90247,-1.20217,0.00001
1.6665,55.040,-508.787,397.402,2.90238,-1.20223,-0.00001
1.7312,55.049,-508.811,393.390,2.90235,-1.20212,0.00002
1.7975,55.038,-508.792,389.394,2.90242,-1.20226,-0.00004
1.8614,55.075,-508.747,385.287,2.90246,-1.20220,0.00002
1.9270,55.054,-508.814,381.330,2.90231,-1.20207,0.00005
1.9919,55.063,-508.771,377.084,-2.90230,1.20211,0.00005
2.0572,55.070,-508.762,373.090,-2.90233,1.20219,-0.00000
2.1227,55.050,-508.770,369.269,2.90218,-1.20212,0.00008
2.1873,55.063,-508.734,366.134,-2.90241,1.20225,0.00003
2.2522,55.023,-508.770,361.940,-2.90227,1.20229,0.00010
2.3179,55.066,-508.838,358.016,2.90233,-1.20217,0.00009
2.3825,55.072,-508.756,353.893,2.90244,-1.20223,-0.00000
2.4480,55.066,-508.750,349.871,-2.90239,1.20225,-0.00003
2.5133,55.046,-508.826,345.923,2.90227,-1.20224,0.00005
2.5783,55.050,-508.764,341.794,2.90243,-1.20220,-0.00004
2.6432,55.046,-508.768,337.739,-2.90234,1.20230,0.00005
2.7085,55.031,-508.840,333.614,2.90239,-1.20223,-0.00004
2.7734,55.050,-508.813,330.549,-2.90230,1.20222,0.00006
