time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3007,1,474.995,618.30,620.2,620.20,0.0,616.5,616.50,0.0
0.3650,1,474.859,618.16,618.2,618.20,-31.0,614.5,614.54,-30.6
0.4300,1,473.401,616.70,616.2,616.20,-30.9,612.6,612.56,-30.4
0.4948,1,470.859,614.16,618.2,617.10,-9.0,614.5,613.96,12.5
0.5606,1,467.288,610.59,614.7,615.32,-17.3,611.1,611.62,-27.7
0.6252,1,463.262,606.56,607.7,610.10,-46.0,604.2,605.02,-89.3
0.6902,1,459.140,602.44,604.2,605.41,-58.0,600.7,600.51,-72.8
0.7564,1,455.087,598.39,598.2,599.53,-72.3,594.8,594.93,-82.4
0.8204,1,451.093,594.39,598.7,597.19,-56.4,595.3,594.45,-20.7
0.8858,1,447.062,590.36,599.2,596.93,-32.8,595.8,595.40,8.6
0.9515,1,442.987,586.29,590.2,592.11,-51.1,586.9,588.20,-90.1
1.0160,1,439.915,583.22,588.2,588.45,-53.5,584.9,584.54,-62.5
1.0809,1,435.904,579.20,581.2,582.73,-68.6,578.0,578.34,-89.8
1.1477,1,431.730,575.03,578.2,578.18,-68.4,575.0,574.63,-61.0
1.2113,1,427.871,571.17,575.2,574.64,-62.9,572.0,571.83,-47.0
1.2768,1,423.780,567.08,571.7,571.23,-58.2,568.6,568.58,-49.2
1.3413,1,419.725,563.03,565.7,566.41,-65.4,562.6,563.01,-80.0
1.4068,1,415.669,558.97,565.2,563.98,-52.8,562.1,561.47,-32.8
1.4722,1,411.525,554.83,562.2,561.54,-46.0,559.1,559.15,-35.1
1.5371,1,407.532,550.83,554.7,556.22,-61.9,551.7,552.42,-92.0
1.6020,1,403.533,546.83,551.2,551.60,-66.0,548.2,547.92,-73.1
1.6678,1,400.527,543.83,544.2,545.40,-78.7,541.2,541.48,-93.9
1.7323,1,396.447,539.75,541.2,540.85,-75.1,538.2,537.80,-63.4
1.7975,1,392.346,535.65,539.2,537.93,-61.5,536.2,535.84,-35.6
1.8661,1,388.199,531.50,538.2,536.49,-42.5,535.2,534.97,-16.0
1.9279,1,384.315,527.62,525.7,529.05,-75.8,522.7,524.51,-139.7
1.9940,1,380.344,523.64,527.7,526.05,-61.9,524.7,523.39,-36.6
2.0581,1,376.100,519.40,528.7,525.87,-36.7,525.7,525.04,14.7
