time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3130,1,474.999,618.30,619.5,619.50,0.0,613.8,613.79,0.0
0.3821,1,474.257,617.56,620.0,620.00,7.2,614.3,614.27,7.1
0.4432,1,472.870,616.17,621.0,620.90,11.6,615.2,615.17,13.1
0.5081,1,470.033,613.33,615.5,617.21,-22.1,609.9,610.77,-53.9
0.5746,1,466.247,609.55,615.5,615.59,-23.2,609.9,609.50,-24.7
0.6387,1,462.181,605.48,607.5,610.02,-51.2,602.1,602.93,-88.8
0.7042,1,458.090,601.39,608.0,607.44,-45.9,602.5,601.76,-29.6
0.7688,1,454.189,597.49,605.0,604.79,-43.8,599.6,599.64,-32.2
0.8342,1,450.014,593.31,597.5,599.26,-61.8,592.3,593.02,-89.7
0.8993,1,446.054,589.35,600.0,598.06,-42.7,594.7,593.61,-7.7
0.9645,1,441.933,585.23,591.0,592.77,-59.6,585.9,586.92,-86.5
1.0294,1,438.873,582.17,585.5,586.92,-72.9,580.5,580.59,-95.9
1.0953,1,434.920,578.22,578.5,579.97,-87.1,573.6,573.67,-103.4
1.1597,1,430.775,574.08,578.5,576.80,-71.0,573.6,572.59,-31.8
1.2251,1,426.815,570.12,576.0,574.41,-56.0,571.1,571.02,-25.4
1.2913,1,422.705,566.00,569.0,569.70,-62.6,564.2,564.93,-81.2
1.3552,1,418.717,562.02,565.5,565.58,-63.4,560.7,560.59,-70.3
1.4209,1,414.640,557.94,563.5,562.66,-55.2,558.8,558.36,-39.9
1.4855,1,410.541,553.84,559.5,559.34,-53.6,554.8,554.95,-50.6
1.5504,1,406.534,549.83,555.5,555.64,-55.0,550.8,550.97,-59.5
1.6161,1,402.490,545.79,552.0,552.01,-55.1,547.4,547.33,-56.0
1.6807,1,399.524,542.82,543.0,545.17,-77.2,538.5,539.23,-113.4
1.7460,1,395.425,538.73,543.5,542.09,-63.9,539.0,537.91,-35.8
1.8114,1,391.365,534.66,541.0,539.74,-51.7,536.5,536.34,-26.0
1.8762,1,387.207,530.51,534.5,535.27,-59.2,530.0,530.69,-76.7
1.9414,1,383.296,526.60,529.5,530.27,-66.8,525.0,525.14,-83.8
2.0068,1,379.317,522.62,529.5,528.06,-52.3,525.0,524.26,-25.2
2.0714,1,375.082,518.38,523.0,523.68,-59.1,518.6,519.17,-69.5
2.1373,1,371.181,514.48,517.5,518.41,-68.4,513.1,513.31,-85.8
2.2017,1,367.044,510.34,516.0,515.21,-60.2,511.6,511.03,-44.1
2.2671,1,362.971,506.27,511.5,511.41,-59.3,507.1,507.26,-55.4
2.3332,1,359.016,502.32,507.5,507.50,-59.2,503.1,503.19,-60.6
2.3973,1,356.038,499.34,502.5,502.97,-64.2,498.1,498.31,-73.4
2.4623,1,351.877,495.18,502.5,501.06,-48.6,498.1,497.46,-23.3
2.5315,1,347.933,491.23,497.0,497.26,-51.6,492.6,493.07,-57.8
2.5928,1,343.784,487.08,492.0,492.84,-60.3,487.6,487.94,-78.5
2.6587,1,339.753,483.05,485.5,486.80,-74.7,481.1,481.37,-96.2
2.7228,1,335.738,479.04,482.5,482.31,-72.6,478.1,477.70,-64.2
2.7880,1,331.574,474.87,480.5,479.37,-60.1,476.1,475.76,-35.6
2.8532,1,327.580,470.88,475.0,475.18,-62.0,470.6,471.04,-66.2
2.9183,1,323.495,466.80,471.5,471.36,-60.5,467.1,467.07,-61.9
2.9832,1,320.465,463.76,467.5,467.48,-60.2,463.1,463.11,-61.1
3.0490,1,316.472,459.77,462.5,462.88,-64.7,458.1,458.25,-71.8
3.1136,1,312.493,455.79,460.5,459.82,-56.7,456.1,455.73,-44.6
3.1790,1,308.431,451.73,456.5,456.35,-55.0,452.1,452.20,-52.5
3.2452,1,304.406,447.71,452.0,452.26,-58.2,447.6,447.74,-65.0
3.3092,1,300.339,443.64,446.5,447.26,-67.4,442.1,442.28,-81.7
3.3747,1,296.348,439.65,443.0,442.94,-66.7,438.5,438.31,-64.2
3.4394,1,292.259,435.56,441.0,440.12,-55.9,436.5,436.18,-38.2
3.5042,1,288.170,431.47,436.5,436.50,-55.8,432.0,432.26,-56.6
3.5713,1,284.209,427.51,432.5,432.59,-57.0,428.0,428.06,-61.7
3.6347,1,281.096,424.40,430.0,429.62,-52.3,425.5,425.28,-47.1
3.7000,1,276.970,420.27,426.0,426.08,-53.3,421.5,421.58,-55.2
3.7671,1,273.025,416.33,422.5,422.50,-53.3,418.0,417.94,-54.3
3.8302,1,268.866,412.17,416.0,417.14,-68.2,411.4,411.89,-88.2
3.8967,1,264.843,408.14,414.0,413.50,-61.5,409.4,408.93,-51.4
3.9604,1,260.900,404.20,408.5,408.89,-66.7,403.9,404.15,-70.9
4.0254,1,256.817,400.12,404.5,404.52,-67.0,399.9,399.81,-67.4
4.0910,1,252.807,396.11,399.5,399.72,-70.0,394.8,394.91,-73.5
4.1556,1,248.535,391.84,398.5,397.33,-53.9,393.8,393.29,-33.5
4.2210,1,244.663,387.96,392.5,392.97,-60.2,387.8,388.27,-69.5
4.2862,1,240.676,383.98,390.0,389.66,-55.6,385.3,385.06,-52.8
4.3511,1,237.639,380.94,384.5,385.05,-63.2,379.8,380.03,-73.3
4.4160,1,233.466,376.77,380.5,380.66,-65.4,375.7,375.66,-68.3
4.4855,1,229.543,372.84,377.5,377.04,-58.4,372.7,372.48,-48.9
4.5464,1,225.402,368.70,373.5,373.49,-58.3,368.7,368.82,-57.8
4.6124,1,221.420,364.72,370.5,370.21,-54.0,365.7,365.58,-50.5
4.6767,1,217.443,360.74,365.0,365.60,-62.8,360.1,360.47,-74.3
4.7420,1,213.316,356.62,362.0,361.83,-60.2,357.1,356.91,-57.9
4.8071,1,209.226,352.53,357.0,357.31,-64.9,352.1,352.26,-69.2
4.8722,1,205.194,348.49,352.0,352.37,-70.5,347.1,347.19,-76.5
4.9369,1,202.114,345.41,347.5,347.60,-72.1,342.6,342.52,-72.9
5.0038,1,197.166,340.47,345.5,344.61,-57.7,340.6,340.15,-41.3
5.0675,1,194.074,337.37,342.0,341.64,-52.1,337.0,337.12,-46.5
5.1329,1,190.029,333.33,337.5,337.74,-56.0,332.5,332.75,-63.3
5.1993,1,185.986,329.29,334.5,334.35,-53.4,329.5,329.38,-52.8
5.2631,1,181.931,325.23,330.0,330.31,-58.4,325.0,325.15,-63.9
5.3286,1,177.873,321.17,326.5,326.49,-58.3,321.5,321.41,-58.1
5.3932,1,173.963,317.26,320.0,320.89,-73.1,315.0,315.37,-87.4
5.4581,1,169.813,313.11,319.5,318.39,-55.0,314.5,313.77,-35.4
5.5236,1,165.807,309.11,313.5,313.93,-61.9,308.5,308.89,-68.0
5.5884,1,162.736,306.04,311.0,310.65,-56.1,306.0,305.74,-52.0
5.6538,1,158.566,301.87,306.0,306.32,-61.4,300.9,301.15,-67.1
5.7210,1,154.618,297.92,302.0,302.06,-62.4,296.9,296.90,-63.8
5.7840,1,150.604,293.90,297.0,297.37,-68.6,291.9,292.08,-74.1
5.8492,1,146.518,289.82,295.0,294.32,-57.0,289.9,289.55,-44.8
5.9143,1,142.552,285.85,291.0,290.88,-54.8,285.9,286.04,-52.3
5.9790,1,138.455,281.75,286.5,286.77,-59.4,281.4,281.62,-65.6
6.0449,1,134.389,277.69,283.5,283.29,-55.8,278.4,278.28,-53.1
6.1093,1,130.393,273.69,280.0,279.90,-54.1,275.0,274.94,-52.1
6.1750,1,126.278,269.58,276.0,276.11,-56.1,271.0,271.04,-58.2
6.2398,1,122.231,265.53,271.0,271.46,-64.6,266.0,266.16,-72.3
6.3050,1,119.234,262.53,267.0,267.08,-66.0,262.0,261.91,-66.4
