time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3457,55.042,-508.678,474.795,2.90227,-1.20224,0.00006
0.4111,55.065,-508.704,473.426,2.90231,-1.20210,0.00004
0.4765,55.037,-508.713,470.845,2.90237,-1.20224,0.00000
0.5415,55.032,-508.713,467.244,2.90242,-1.20228,-0.00002
0.6072,55.025,-508.721,463.210,2.90219,-1.20222,0.00005
0.6731,55.023,-508.674,459.137,-2.90235,1.20234,0.00005
0.7366,55.010,-508.746,455.196,2.90223,-1.20223,0.00005
0.8023,55.072,-508.714,451.069,2.90233,-1.20212,0.00005
0.8668,55.067,-508.684,447.967,-2.90237,1.20220,0.00001
0.9323,55.056,-508.731,443.995,2.90238,-1.20227,0.00003
0.9972,55.050,-508.728,439.896,2.90236,-1.20219,0.00002
1.0625,55.042,-508.669,435.900,-2.90244,1.20227,0.00002
1.1275,55.044,-508.703,431.834,-2.90237,1.20226,0.00003
1.1936,55.035,-508.706,427.837,2.90224,-1.20216,0.00003
1.2575,55.063,-508.717,423.770,2.90241,-1.20218,0.00003
1.3231,55.036,-508.736,419.693,2.90225,-1.20218,0.00002
1.3879,55.049,-508.696,415.670,2.90242,-1.20220,-0.00000
1.4534,55.060,-508.682,411.637,-2.90240,1.20220,-0.00001
1.5184,55.050,-508.709,408.532,2.90234,-1.20222,0.00002
1.5835,55.046,-508.699,404.512,2.90240,-1.20221,0.00000
1.6485,55.043,-508.728,400.540,2.90239,-1.20221,0.00005
1.7152,55.040,-508.743,396.411,2.90230,-1.20219,0.00004
1.7786,55.052,-508.728,392.332,-2.90243,1.20224,0.00005
1.8442,55.045,-508.719,388.196,-2.90237,1.20219,0.00009
1.9123,55.057,-508.712,384.284,2.90232,-1.20211,-0.00001
1.9744,55.060,-508.752,380.327,2.90229,-1.20214,0.00005
2.0403,55.017,-508.731,376.084,-2.90231,1.20229,0.00006
2.1047,55.063,-508.705,372.123,2.90243,-1.20222,0.00002
2.1695,55.061,-508.724,369.236,2.90216,-1.20212,0.00014
2.2371,55.056,-508.671,365.001,-2.90239,1.20221,0.00005
2.2999,55.046,-508.696,360.904,-2.90222,1.20222,0.00012
2.3654,55.047,-508.719,356.987,2.90238,-1.20227,-0.00000
2.4309,55.055,-508.710,352.948,2.90231,-1.20217,0.00007
2.4956,55.030,-508.726,348.912,2.90232,-1.20232,-0.00000
2.5603,55.038,-508.720,344.786,2.90237,-1.20225,-0.00001
2.6269,55.070,-508.685,340.762,-2.90241,1.20223,-0.00002
2.6906,55.027,-508.717,336.729,-2.90233,1.20231,0.00010
2.7565,55.027,-508.748,332.602,-2.90239,1.20229,0.00006
2.8209,55.066,-508.715,329.546,-2.90223,1.20217,0.00007
2.8864,55.063,-508.735,325.564,-2.90234,1.20223,0.00001
2.9514,55.056,-508.744,321.467,-2.90244,1.20224,-0.00002
3.0167,55.056,-508.682,317.459,-2.90233,1.20219,0.00007
3.0816,55.053,-508.726,313.498,-2.90247,1.20218,0.00002
3.1473,55.036,-508.739,309.398,2.90236,-1.20222,-0.00001
3.2118,55.055,-508.689,305.445,2.90241,-1.20220,0.00002
3.2773,55.060,-508.685,301.356,2.90228,-1.20220,0.00003
3.3422,55.062,-508.744,297.366,2.90220,-1.20207,0.00012
3.4074,55.043,-508.721,293.299,2.90239,-1.20225,-0.00002
3.4729,55.050,-508.672,290.216,-2.90235,1.20229,0.00003
3.5378,55.048,-508.758,286.163,2.90225,-1.20221,0.00008
3.6025,55.071,-508.709,282.154,2.90236,-1.20221,0.00004
