time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3161,55.114,-508.798,474.992,2.90237,-1.20224,0.00003
0.3817,55.120,-508.712,474.230,2.90237,-1.20221,0.00001
0.4504,55.104,-508.793,472.244,2.90242,-1.20215,-0.00002
0.5117,55.113,-508.742,470.100,2.90234,-1.20229,0.00003
0.5772,55.096,-508.777,466.165,2.90236,-1.20225,0.00001
0.6421,55.075,-508.791,462.221,2.90229,-1.20219,0.00004
0.7070,55.074,-508.767,458.121,-2.90228,1.20237,0.00004
0.7741,55.122,-508.844,454.104,2.90222,-1.20210,0.00013
0.8372,55.093,-508.767,450.046,2.90245,-1.20223,-0.00006
0.9026,55.087,-508.806,445.946,2.90239,-1.20226,0.00004
0.9679,55.112,-508.808,441.976,2.90227,-1.20216,0.00010
1.0328,55.094,-508.792,437.959,2.90240,-1.20226,0.00002
1.0977,55.097,-508.763,434.944,2.90236,-1.20223,-0.00001
1.1631,55.122,-508.826,430.791,2.90234,-1.20219,0.00010
1.2281,55.115,-508.742,426.853,2.90235,-1.20219,0.00001
1.2937,55.118,-508.747,422.611,-2.90234,1.20213,0.00009
1.3581,55.097,-508.840,418.767,2.90213,-1.20209,0.00013
1.4236,55.090,-508.766,414.681,-2.90241,1.20230,0.00006
1.4888,55.112,-508.799,410.578,2.90239,-1.20223,0.00006
1.5539,55.107,-508.821,406.569,2.90230,-1.20219,0.00002
1.6187,55.119,-508.762,402.397,-2.90238,1.20215,0.00010
1.6846,55.112,-508.776,398.447,2.90246,-1.20221,-0.00002
1.7490,55.105,-508.810,394.482,2.90226,-1.20211,0.00004
1.8145,55.118,-508.784,391.382,-2.90239,1.20224,-0.00001
1.8793,55.096,-508.775,387.235,-2.90233,1.20221,0.00009
1.9449,55.119,-508.802,383.316,2.90230,-1.20216,0.00010
2.0113,55.118,-508.813,379.214,2.90238,-1.20219,0.00003
2.0750,55.092,-508.800,375.099,-2.90233,1.20226,0.00007
2.1399,55.105,-508.810,371.194,2.90230,-1.20216,0.00004
2.2060,55.096,-508.759,367.102,2.90235,-1.20231,0.00003
2.2702,55.097,-508.785,363.014,-2.90237,1.20227,0.00003
2.3357,55.114,-508.836,358.888,2.90242,-1.20225,0.00004
2.4014,55.131,-508.768,354.949,2.90244,-1.20218,-0.00001
2.4659,55.109,-508.783,350.961,2.90237,-1.20223,0.00003
2.5312,55.093,-508.834,347.829,2.90227,-1.20227,0.00006
2.5959,55.104,-508.799,343.816,2.90236,-1.20218,0.00005
2.6610,55.099,-508.768,339.769,-2.90234,1.20232,-0.00002
2.7273,55.089,-508.834,335.672,2.90241,-1.20222,-0.00005
2.7913,55.107,-508.818,331.599,-2.90237,1.20213,0.00004
2.8567,55.110,-508.831,327.479,-2.90230,1.20222,0.00007
2.9221,55.095,-508.822,323.552,2.90243,-1.20229,0.00005
2.9869,55.098,-508.801,319.495,-2.90240,1.20225,-0.00001
3.0517,55.099,-508.754,316.504,-2.90232,1.20224,0.00009
3.1198,55.100,-508.826,311.459,2.90235,-1.20219,0.00000
3.1820,55.098,-508.827,308.454,2.90226,-1.20219,0.00002
