time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.2310,1,475.014,618.31,624.7,624.70,0.0,616.8,616.77,0.0
0.2962,1,474.674,617.97,624.2,624.20,-7.7,616.3,616.27,-7.7
0.3632,1,472.880,616.18,622.2,622.43,-19.4,614.4,614.52,-22.7
0.4310,1,470.098,613.40,619.7,620.08,-27.0,612.0,612.11,-33.6
0.4912,1,467.293,610.59,615.7,616.68,-39.5,608.1,608.46,-55.1
0.5568,1,463.251,606.55,611.7,612.58,-50.2,604.3,604.38,-61.0
0.6218,1,459.103,602.40,608.2,608.61,-55.2,600.9,600.87,-55.2
0.6870,1,455.185,598.49,605.7,605.44,-52.1,598.5,598.36,-41.3
0.7528,1,451.061,594.36,599.2,600.24,-65.0,592.3,592.77,-77.8
0.8172,1,447.039,590.34,598.2,597.40,-55.2,591.3,590.79,-38.9
0.8821,1,442.945,586.25,594.2,594.06,-53.4,587.5,587.58,-47.7
0.9480,1,438.929,582.23,589.2,589.69,-59.6,582.6,582.89,-67.3
1.0123,1,434.941,578.24,587.7,587.02,-51.0,581.2,580.79,-38.7
1.0778,1,431.859,575.16,580.2,581.46,-67.4,573.9,574.54,-86.0
1.1440,1,427.857,571.16,573.7,574.90,-82.8,567.6,567.77,-99.5
1.2080,1,423.773,567.07,571.7,570.92,-73.1,565.7,565.01,-53.1
1.2737,1,419.695,563.00,569.2,568.08,-58.6,563.2,562.97,-34.7
1.3382,1,415.658,558.96,565.2,564.87,-54.4,559.3,559.53,-50.2
1.4031,1,411.631,554.93,561.2,561.25,-55.1,555.4,555.54,-59.5
1.4687,1,407.527,550.83,556.2,556.71,-61.9,550.5,550.69,-71.5
1.5332,1,403.494,546.79,553.7,553.35,-57.3,548.1,547.79,-49.6
1.5988,1,399.460,542.76,550.2,549.98,-54.3,544.7,544.64,-48.2
1.6662,1,395.458,538.76,543.7,544.61,-67.1,538.3,538.72,-81.8
1.7291,1,392.329,535.63,541.2,540.91,-63.2,535.8,535.48,-57.0
1.7951,1,388.348,531.65,536.2,536.39,-65.8,530.9,531.03,-65.8
1.8591,1,384.286,527.59,532.2,532.19,-65.7,527.0,526.96,-64.0
1.9242,1,380.324,523.62,527.7,527.78,-66.8,522.5,522.58,-66.7
1.9904,1,376.084,519.38,525.7,524.89,-55.0,520.6,520.23,-40.5
2.0544,1,372.114,515.41,522.2,521.91,-50.9,517.1,517.20,-46.2
2.1200,1,368.233,511.53,515.2,516.36,-68.0,510.2,510.78,-89.3
2.1859,1,364.044,507.34,514.7,513.71,-53.8,509.7,509.03,-37.0
2.2501,1,359.988,503.29,510.2,510.22,-54.1,505.3,505.47,-52.1
2.3150,1,356.986,500.29,507.2,507.03,-51.6,502.3,502.27,-49.8
2.3846,1,351.931,495.23,500.7,501.60,-65.6,495.9,496.25,-81.4
2.4452,1,348.897,492.20,496.2,496.71,-72.7,491.4,491.38,-80.5
2.5111,1,344.796,488.10,493.7,493.09,-63.6,488.9,488.50,-49.7
2.5757,1,340.760,484.06,490.2,489.78,-57.3,485.4,485.41,-48.1
2.6410,1,336.750,480.05,484.2,484.82,-66.9,479.5,479.87,-78.7
2.7061,1,332.564,475.86,481.7,481.29,-60.5,477.0,476.65,-54.4
2.7713,1,328.549,471.85,477.2,477.25,-61.2,472.5,472.59,-61.0
2.8361,1,324.480,467.78,474.2,473.89,-56.4,469.5,469.38,-51.5
2.9021,1,320.493,463.79,470.2,470.19,-56.2,465.5,465.59,-56.5
2.9662,1,316.488,459.79,464.2,465.00,-69.0,459.5,459.90,-83.1
3.0320,1,313.508,456.81,461.2,460.96,-65.0,456.5,456.24,-60.1
3.0967,1,309.413,452.71,456.7,456.72,-65.3,452.0,452.09,-63.5
3.1620,1,305.431,448.73,454.7,453.97,-53.0,450.0,449.74,-40.5
3.2271,1,301.320,444.62,448.7,449.29,-63.0,444.0,444.50,-73.8
3.2922,1,297.352,440.65,446.2,445.87,-57.4,441.5,441.28,-53.6
3.3571,1,293.289,436.59,440.7,441.17,-65.4,436.0,436.30,-72.7
3.4235,1,289.141,432.44,437.7,437.42,-60.5,433.0,432.82,-55.8
3.4874,1,285.191,428.49,433.7,433.65,-59.7,429.0,429.07,-58.1
3.5529,1,281.012,424.31,428.2,428.69,-68.4,423.5,423.77,-77.1
3.6198,1,277.009,420.31,427.2,426.25,-50.8,422.5,421.97,-34.8
3.6831,1,274.001,417.30,419.7,420.80,-69.5,415.0,415.72,-87.1
3.7481,1,270.053,413.35,419.7,418.56,-50.5,415.0,414.28,-33.2
