time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.2952,55.022,-508.810,475.012,-2.90245,1.20222,0.00003
0.3612,55.021,-508.781,474.641,2.90219,-1.20208,0.00009
0.4238,55.019,-508.829,473.445,2.90224,-1.20211,0.00009
0.4887,54.993,-508.821,470.792,2.90247,-1.20215,-0.00004
0.5610,54.985,-508.810,466.269,2.90240,-1.20207,-0.00007
0.6186,54.969,-508.830,463.332,2.90211,-1.20214,0.00007
0.6865,54.963,-508.800,459.083,-2.90234,1.20231,0.00008
0.7487,54.959,-508.861,455.132,2.90230,-1.20225,0.00004
0.8146,54.951,-508.825,451.044,2.90225,-1.20229,-0.00003
0.8827,54.953,-508.837,447.017,2.90233,-1.20232,0.00000
0.9446,54.976,-508.812,443.010,2.90235,-1.20229,0.00000
1.0096,54.993,-508.841,439.971,2.90236,-1.20221,-0.00001
1.0771,55.002,-508.772,435.852,-2.90238,1.20227,0.00004
1.1396,54.991,-508.813,431.819,-2.90238,1.20232,-0.00002
1.2057,54.990,-508.819,427.806,2.90223,-1.20220,0.00004
1.2757,54.969,-508.810,423.721,2.90240,-1.20234,-0.00002
1.3356,54.981,-508.848,419.781,2.90222,-1.20219,0.00005
1.4025,55.026,-508.807,415.626,2.90249,-1.20211,0.00002
1.4657,55.024,-508.819,411.589,-2.90244,1.20217,-0.00004
1.5306,54.990,-508.832,407.526,2.90226,-1.20220,0.00004
1.5968,55.021,-508.799,403.475,-2.90236,1.20223,-0.00002
1.6606,54.979,-508.821,400.464,-2.90244,1.20227,0.00006
1.7266,54.979,-508.852,396.502,2.90226,-1.20222,0.00007
1.7924,54.984,-508.841,392.299,2.90240,-1.20230,-0.00001
1.8567,55.036,-508.806,388.301,-2.90240,1.20210,0.00003
1.9216,55.016,-508.811,384.254,2.90232,-1.20219,0.00008
1.9951,55.014,-508.851,380.292,2.90231,-1.20215,0.00004
2.0516,54.995,-508.839,376.165,-2.90232,1.20224,0.00003
2.1186,54.999,-508.829,372.075,2.90241,-1.20227,0.00003
2.1817,54.983,-508.785,368.206,2.90225,-1.20221,-0.00001
2.2476,54.965,-508.826,364.005,2.90239,-1.20232,-0.00004
2.3152,54.985,-508.859,359.964,2.90240,-1.20231,0.00002
2.3776,55.022,-508.817,356.942,2.90246,-1.20222,-0.00004
2.4426,55.025,-508.790,353.008,2.90244,-1.20219,0.00002
2.5086,54.998,-508.808,348.858,2.90242,-1.20224,-0.00003
2.5727,55.026,-508.839,344.847,2.90242,-1.20219,0.00006
2.6376,54.999,-508.800,340.759,2.90240,-1.20222,-0.00004
2.7085,54.980,-508.828,336.700,-2.90237,1.20233,0.00004
2.7686,54.977,-508.880,332.686,2.90240,-1.20231,-0.00004
2.8357,54.982,-508.807,328.503,-2.90212,1.20218,0.00015
2.8987,55.009,-508.833,324.545,-2.90231,1.20221,0.00002
2.9637,54.997,-508.848,321.508,-2.90237,1.20225,0.00005
3.0306,55.026,-508.788,317.450,-2.90233,1.20223,0.00000
3.0937,55.022,-508.822,313.464,-2.90246,1.20222,0.00003
3.1586,55.011,-508.850,309.367,2.90237,-1.20215,0.00005
3.2268,55.004,-508.788,305.421,2.90238,-1.20227,0.00006
3.2897,55.007,-508.796,301.434,2.90233,-1.20214,0.00002
3.3547,54.986,-508.862,297.316,2.90219,-1.20215,0.00010
3.4199,54.989,-508.814,293.262,2.90240,-1.20231,-0.00005
3.4847,54.990,-508.788,289.114,-2.90240,1.20229,0.00007
3.5510,55.011,-508.846,285.159,2.90228,-1.20216,0.00006
3.6148,55.022,-508.810,282.108,2.90242,-1.20215,0.00001
3.6797,55.018,-508.800,278.079,-2.90242,1.20220,0.00002
3.7486,55.022,-508.834,273.972,2.90238,-1.20221,0.00002
3.8107,55.000,-508.825,269.989,2.90240,-1.20225,-0.00002
3.8757,55.000,-508.846,265.845,-2.90245,1.20223,0.00004
3.9454,54.991,-508.843,261.887,2.90231,-1.20222,0.00003
4.0057,55.002,-508.820,257.902,2.90233,-1.20222,0.00005
4.0714,55.001,-508.801,253.710,-2.90234,1.20229,0.00001
4.1358,54.984,-508.866,249.684,-2.90240,1.20227,-0.00001
4.2017,54.994,-508.874,245.619,2.90237,-1.20214,0.00003
4.2672,55.012,-508.805,242.637,2.90239,-1.20216,0.00003
4.3318,55.021,-508.809,238.640,2.90239,-1.20217,0.00005
4.3967,55.021,-508.805,234.488,-2.90231,1.20216,0.00007
4.4638,55.026,-508.846,230.534,2.90237,-1.20213,0.00009
4.5268,55.019,-508.817,226.530,2.90236,-1.20219,0.00006
4.5917,55.002,-508.850,222.340,2.90243,-1.20221,-0.00004
4.6620,55.002,-508.804,218.416,2.90241,-1.20219,0.00000
4.7227,55.011,-508.820,214.441,2.90232,-1.20221,0.00006
4.7877,54.996,-508.829,210.206,2.90243,-1.20225,-0.00003
4.8528,55.000,-508.804,206.247,-2.90237,1.20227,-0.00002
4.9177,55.014,-508.790,203.165,-2.90238,1.20214,0.00005
4.9844,54.990,-508.888,199.126,2.90228,-1.20218,0.00008
5.0478,55.019,-508.802,195.073,-2.90237,1.20220,0.00001
5.1137,55.013,-508.821,191.068,-2.90244,1.20219,0.00004
5.1840,55.011,-508.841,186.939,2.90242,-1.20221,0.00003
5.2438,55.022,-508.840,183.009,2.90240,-1.20218,0.00002
5.3086,55.017,-508.816,178.840,-2.90243,1.20215,0.00004
5.3788,54.997,-508.880,174.943,2.90221,-1.20211,0.00005
5.4387,55.001,-508.795,170.910,2.90240,-1.20229,-0.00000
5.5074,54.988,-508.801,166.736,-2.90235,1.20229,0.00002
5.5687,55.009,-508.855,163.725,2.90236,-1.20219,0.00008
5.6347,55.025,-508.768,159.686,-2.90237,1.20216,0.00003
5.7008,54.987,-508.821,155.547,-2.90233,1.20223,0.00004
5.7647,55.001,-508.834,151.549,-2.90242,1.20230,-0.00001
5.8297,54.996,-508.814,147.480,-2.90241,1.20222,-0.00001
5.8972,54.989,-508.830,143.515,2.90238,-1.20224,0.00004
5.9597,54.990,-508.830,139.539,2.90226,-1.20224,0.00004
6.0257,54.983,-508.823,135.394,2.90243,-1.20225,-0.00004
6.0898,55.008,-508.836,131.383,2.90243,-1.20217,0.00001
6.1557,55.015,-508.827,127.214,-2.90241,1.20220,0.00005
6.2249,55.016,-508.802,123.185,-2.90227,1.20220,0.00005
6.2857,55.000,-508.770,120.173,-2.90236,1.20224,0.00012
6.3506,55.015,-508.845,116.248,2.90234,-1.20214,0.00007
6.4181,55.034,-508.816,112.143,2.90240,-1.20226,0.00013
6.4807,55.032,-508.805,108.096,-2.90247,1.20218,-0.00001
6.5466,54.992,-508.810,103.943,-2.90239,1.20226,0.00008
6.6173,55.023,-508.780,99.905,-2.90232,1.20214,0.00005
6.6767,55.004,-508.853,95.996,2.90239,-1.20216,-0.00002
6.7429,55.019,-508.863,91.937,2.90236,-1.20214,0.00014
6.8068,54.983,-508.865,87.969,2.90225,-1.20219,0.00005
6.8717,54.999,-508.851,84.868,2.90234,-1.20219,-0.00000
6.9413,55.001,-508.812,79.706,-2.90236,1.20220,0.00002
7.0028,54.998,-508.785,76.649,-2.90229,1.20222,0.00007
7.0677,54.983,-508.904,72.767,2.90221,-1.20213,0.00009
7.1368,54.980,-508.854,68.666,2.90233,-1.20225,0.00001
7.1977,55.017,-508.793,64.598,-2.90241,1.20220,0.00005
7.2627,55.019,-508.803,60.410,-2.90239,1.20218,-0.00001
7.3331,55.002,-508.797,56.433,-2.90234,1.20224,0.00009
7.3927,55.027,-508.812,52.513,2.90247,-1.20218,0.00001
7.4612,55.025,-508.811,48.403,2.90239,-1.20220,0.00011
7.5238,55.008,-508.812,44.369,-2.90238,1.20226,-0.00001
7.5888,55.016,-508.846,41.316,-2.90246,1.20217,-0.00004
7.6564,54.992,-508.816,37.174,2.90245,-1.20220,-0.00007
7.7188,54.988,-508.796,33.254,-2.90243,1.20227,0.00001
7.7837,55.009,-508.857,29.302,2.90230,-1.20217,0.00007
7.8513,55.005,-508.832,25.081,-2.90238,1.20230,0.00001
7.9138,55.019,-508.812,21.087,-2.90240,1.20220,0.00002
7.9797,55.016,-508.809,17.011,2.90236,-1.20224,0.00010
8.0507,54.988,-508.862,13.065,2.90228,-1.20225,0.00009
8.1097,55.016,-508.789,8.937,-2.90230,1.20219,0.00003
8.1775,54.979,-508.880,4.857,2.90230,-1.20233,0.00008
8.2398,55.014,-508.761,1.833,-2.90239,1.20226,0.00002
8.3047,55.003,-508.866,-2.068,2.90227,-1.20215,0.00005
8.3715,55.027,-508.824,-6.319,2.90242,-1.20226,0.00009
8.4348,55.009,-508.800,-10.316,-2.90235,1.20220,0.00001
8.5007,55.003,-508.857,-14.329,2.90235,-1.20214,0.00003
8.5681,55.011,-508.877,-18.329,2.90229,-1.20220,0.00011
8.6309,54.995,-508.786,-22.455,-2.90230,1.20221,0.00007
8.6958,55.029,-508.790,-26.576,-2.90236,1.20217,0.00002
8.7609,54.980,-508.937,-30.399,2.90216,-1.20211,0.00010
8.8259,54.989,-508.789,-33.505,-2.90241,1.20226,0.00005
8.8944,55.007,-508.869,-38.643,-2.90246,1.20219,-0.00001
8.9560,55.001,-508.882,-41.648,2.90241,-1.20215,0.00005
9.0219,55.016,-508.737,-45.656,-2.90236,1.20220,0.00006
9.0897,55.010,-508.810,-49.785,-2.90237,1.20225,0.00004
