phase,dx_m,dy_m,z_abs_m,seed
3,0.01770,0.02449,-0.10978,3
3,0.01503,-0.00448,-0.09499,
3,-0.01031,0.01344,0.07648,
3,-0.02279,0.00573,-0.12013,
3,0.01092,-0.00845,0.07842,
3,0.02403,0.00027,0.10635,
3,-0.00952,-0.02115,0.01164,
3,-0.02343,-0.01513,-0.03392,
3,0.00552,-0.01719,-0.12072,
4,-0.01310,0.00221,-0.04294,
4,0.00520,0.00629,-0.11524,
4,-0.02434,0.01687,-0.06920,
4,-0.01328,0.02478,-0.01911,
4,0.01682,-0.00118,0.02098,
4,-0.01747,0.00674,0.07536,
4,0.00116,0.01206,0.02866,
4,-0.02180,0.01291,0.00959,
4,-0.00994,-0.02345,0.07476,
4,-0.00136,0.01094,0.07792,
4,0.01071,0.02105,-0.03700,
4,0.01505,-0.00277,0.09140,
4,0.01894,-0.02013,-0.09851,
4,-0.01415,0.02327,-0.02721,
4,0.00633,-0.00995,-0.01033,
4,-0.00571,-0.00745,0.00816,
4,0.00421,0.02021,0.03117,
4,0.02145,0.01782,0.10456,
4,0.00856,-0.01685,0.07360,
4,0.02323,0.02023,0.00436,
4,0.01069,-0.01444,0.06671,
4,0.00368,-0.01075,-0.11573,
