phase,dx_m,dy_m,z_abs_m,seed
3,0.00991,-0.02437,0.05399,6
3,-0.02415,-0.00835,0.08400,
3,0.00601,-0.00969,-0.04117,
3,-0.00554,-0.01866,0.10667,
3,-0.02231,-0.00386,0.04645,
3,-0.00511,0.02405,-0.07254,
3,0.02396,0.01961,0.02838,
3,0.01948,-0.00264,0.06662,
3,0.01480,0.00083,-0.01895,
4,0.01467,0.01610,-0.01560,
4,-0.01192,-0.02498,0.02662,
4,-0.00149,0.01299,-0.04217,
4,0.01351,-0.01137,0.05965,
4,0.01149,-0.00430,-0.00295,
4,0.00910,-0.01535,0.00068,
4,0.01526,-0.01172,0.06000,
4,0.00928,0.01721,-0.05110,
4,-0.02034,0.01501,0.06034,
4,-0.00274,-0.02031,-0.08397,
4,0.00675,-0.01044,0.09515,
4,0.00443,-0.01496,0.02486,
4,-0.00698,0.02164,0.08521,
4,0.00073,0.00723,0.03495,
4,0.01528,0.02382,-0.12405,
4,-0.00693,0.00509,-0.05852,
4,0.00446,-0.02052,0.07822,
4,0.00126,-0.01916,0.02660,
4,-0.00939,-0.01519,-0.01591,
4,-0.01809,-0.01451,0.07477,
