time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3155,1,474.983,618.28,618.2,618.20,0.0,613.6,613.59,0.0
0.3885,1,474.251,617.55,623.2,623.20,68.3,618.6,618.55,67.9
0.4451,1,472.818,616.12,618.2,620.00,0.3,613.6,614.95,-30.1
0.5101,1,470.131,613.43,617.2,618.16,-13.9,612.6,612.66,-34.3
0.5778,1,466.216,609.52,612.7,614.31,-33.4,608.2,608.48,-57.6
0.6402,1,462.278,605.58,607.7,609.53,-51.1,603.3,603.51,-75.4
0.7067,1,458.043,601.34,600.7,602.94,-72.2,596.4,596.67,-98.7
0.7762,1,454.144,597.44,603.2,601.02,-51.9,598.8,597.63,-1.9
0.8361,1,450.096,593.40,600.2,599.18,-43.6,595.9,596.14,-20.1
0.9038,1,445.985,589.29,591.2,593.29,-62.7,587.0,588.06,-104.5
0.9662,1,442.011,585.31,587.2,588.15,-70.6,583.0,582.81,-88.1
1.0311,1,438.944,582.24,585.2,584.51,-64.5,581.1,580.48,-44.7
1.1004,1,433.893,577.19,587.7,584.61,-35.4,583.5,582.71,21.4
1.1611,1,430.816,574.12,575.2,578.57,-60.5,571.2,573.23,-120.3
1.2271,1,426.760,570.06,575.2,574.91,-58.4,571.2,570.33,-56.4
1.2947,1,422.646,565.95,566.7,568.55,-73.2,562.7,563.27,-97.1
1.3572,1,418.798,562.10,563.2,563.55,-75.9,559.3,558.96,-74.3
1.4221,1,414.609,557.91,563.7,561.47,-58.4,559.8,558.95,-12.7
1.4939,1,410.613,553.91,559.2,558.38,-51.7,555.3,555.66,-41.7
1.5521,1,406.484,549.78,549.7,552.26,-70.7,545.9,547.13,-123.2
1.6208,1,402.442,545.74,551.7,549.79,-56.1,547.9,546.63,-23.8
1.6822,1,399.481,542.78,545.7,546.00,-58.3,541.9,542.42,-59.7
1.7481,1,395.501,538.80,538.7,540.22,-70.1,534.9,535.45,-98.3
1.8149,1,391.287,534.59,539.2,537.62,-57.5,535.4,534.52,-27.3
1.8781,1,387.290,530.59,532.7,533.26,-61.8,529.0,529.56,-69.1
1.9431,1,383.269,526.57,530.2,529.78,-58.5,526.5,526.28,-53.6
2.0133,1,379.267,522.57,521.7,523.36,-72.7,518.0,518.61,-101.7
2.0731,1,375.161,518.46,519.2,519.12,-72.0,515.5,515.04,-68.5
2.1421,1,371.105,514.40,521.7,518.50,-45.1,518.0,516.99,14.6
2.2032,1,367.141,510.44,512.2,513.87,-56.8,508.5,510.04,-88.1
2.2692,1,362.952,506.25,508.7,509.34,-61.7,505.1,504.94,-79.1
2.3374,1,358.961,502.26,508.7,507.17,-49.3,505.1,504.31,-19.6
2.3991,1,355.949,499.25,504.7,504.44,-47.4,501.1,501.39,-41.9
2.4641,1,351.977,495.28,500.7,500.99,-49.7,497.1,497.31,-59.3
2.5340,1,347.887,491.19,492.7,494.73,-66.7,489.1,489.62,-103.0
2.5942,1,343.847,487.15,490.7,490.70,-66.7,487.1,486.49,-62.5
2.6601,1,339.702,483.00,487.2,486.81,-63.6,483.6,483.41,-49.2
