time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3155,55.020,-508.820,474.983,2.90240,-1.20215,-0.00001
0.3885,55.032,-508.740,474.251,2.90238,-1.20215,0.00001
0.4451,55.028,-508.790,472.818,-2.90248,1.20212,0.00002
0.5101,55.002,-508.776,470.131,2.90240,-1.20207,0.00002
0.5778,55.013,-508.802,466.216,2.90240,-1.20208,0.00012
0.6402,54.972,-508.801,462.278,2.90224,-1.20223,0.00005
0.7067,54.970,-508.779,458.043,-2.90231,1.20234,0.00004
0.7762,54.972,-508.846,454.144,2.90221,-1.20224,0.00011
0.8361,54.994,-508.793,450.096,2.90241,-1.20226,-0.00001
0.9038,55.012,-508.813,445.985,2.90241,-1.20223,0.00005
0.9662,54.985,-508.825,442.011,2.90222,-1.20222,0.00005
1.0311,55.009,-508.804,438.944,2.90245,-1.20222,0.00001
1.1004,55.001,-508.793,433.893,2.90237,-1.20222,0.00003
1.1611,55.010,-508.832,430.816,2.90239,-1.20220,0.00006
1.2271,55.011,-508.738,426.760,2.90241,-1.20223,0.00000
1.2947,55.006,-508.775,422.646,-2.90234,1.20213,0.00006
1.3572,54.990,-508.859,418.798,2.90213,-1.20211,0.00014
1.4221,54.982,-508.781,414.609,2.90239,-1.20231,-0.00002
1.4939,54.985,-508.813,410.613,2.90239,-1.20219,-0.00006
1.5521,54.975,-508.843,406.484,2.90226,-1.20224,0.00005
1.6208,55.011,-508.794,402.442,-2.90238,1.20217,-0.00000
1.6822,55.000,-508.820,399.481,2.90238,-1.20224,0.00003
1.7481,54.997,-508.844,395.501,2.90221,-1.20219,0.00010
1.8149,54.984,-508.795,391.287,-2.90234,1.20219,0.00005
1.8781,54.991,-508.790,387.290,-2.90237,1.20225,0.00011
1.9431,54.993,-508.811,383.269,2.90221,-1.20216,0.00007
2.0133,54.985,-508.816,379.267,2.90235,-1.20222,0.00000
2.0731,54.997,-508.832,375.161,-2.90239,1.20224,0.00005
2.1421,55.021,-508.832,371.105,2.90228,-1.20213,0.00007
2.2032,55.010,-508.788,367.141,2.90235,-1.20214,0.00004
2.2692,54.998,-508.805,362.952,-2.90243,1.20229,0.00000
2.3374,54.989,-508.854,358.961,2.90235,-1.20228,0.00008
2.3991,54.981,-508.802,355.949,2.90240,-1.20225,-0.00005
2.4641,55.012,-508.787,351.977,2.90236,-1.20223,-0.00002
2.5340,55.001,-508.850,347.887,2.90227,-1.20211,0.00008
2.5942,55.009,-508.826,343.847,2.90237,-1.20219,0.00001
2.6601,54.994,-508.778,339.702,-2.90240,1.20230,0.00008
2.7315,54.997,-508.852,335.696,2.90241,-1.20221,-0.00001
2.7902,54.988,-508.870,331.659,-2.90240,1.20229,0.00002
2.8588,54.990,-508.829,327.516,-2.90226,1.20219,0.00009
2.9202,55.002,-508.837,323.551,-2.90240,1.20218,0.00002
2.9852,54.979,-508.824,320.519,-2.90239,1.20229,0.00008
3.0537,54.988,-508.808,315.487,2.90240,-1.20220,-0.00004
3.1162,54.997,-508.796,312.465,2.90244,-1.20226,-0.00001
3.1812,54.999,-508.850,308.498,2.90223,-1.20218,0.00007
3.2492,55.006,-508.754,304.367,-2.90245,1.20223,0.00001
3.3112,55.010,-508.781,300.420,2.90229,-1.20217,0.00005
3.3764,54.983,-508.844,296.296,2.90215,-1.20218,0.00009
3.4413,54.989,-508.784,292.198,-2.90238,1.20223,0.00006
3.5062,55.017,-508.791,288.271,2.90238,-1.20214,0.00001
3.5807,55.018,-508.833,284.153,2.90223,-1.20218,0.00015
3.6374,55.006,-508.806,280.123,2.90246,-1.20221,-0.00002
3.7021,54.990,-508.809,277.054,2.90243,-1.20228,-0.00004
3.7726,54.990,-508.861,272.047,2.90221,-1.20218,0.00012
3.8323,54.998,-508.789,268.934,-2.90234,1.20226,0.00003
3.8973,55.007,-508.818,264.828,-2.90240,1.20226,-0.00001
3.9704,54.988,-508.823,260.848,2.90233,-1.20218,0.00002
4.0273,55.004,-508.799,256.905,2.90233,-1.20217,0.00006
4.0951,54.994,-508.834,252.732,2.90240,-1.20230,0.00003
4.1583,54.995,-508.839,248.655,-2.90245,1.20216,0.00004
4.2232,55.014,-508.814,244.612,2.90246,-1.20221,-0.00001
4.2906,55.008,-508.783,240.654,2.90237,-1.20222,0.00010
4.3532,54.994,-508.819,237.593,2.90237,-1.20221,0.00001
4.4182,54.965,-508.827,233.504,-2.90233,1.20228,0.00011
4.4866,55.016,-508.809,229.480,2.90243,-1.20216,0.00009
4.5493,54.989,-508.824,225.461,2.90238,-1.20222,0.00003
4.6158,54.983,-508.856,221.347,2.90238,-1.20224,0.00006
4.6814,54.998,-508.803,217.380,2.90232,-1.20222,0.00002
4.7442,55.004,-508.821,213.396,2.90230,-1.20219,0.00008
4.8132,55.026,-508.791,209.196,-2.90242,1.20218,-0.00003
4.8753,55.023,-508.825,205.276,2.90237,-1.20212,0.00007
4.9402,55.016,-508.835,202.207,2.90241,-1.20219,0.00008
5.0075,55.019,-508.816,197.138,2.90239,-1.20227,0.00008
5.0703,55.015,-508.782,194.018,-2.90229,1.20221,0.00003
5.1352,55.008,-508.813,190.049,-2.90238,1.20229,0.00000
5.2045,54.989,-508.824,185.911,-2.90239,1.20225,0.00000
5.2662,55.005,-508.829,181.977,2.90240,-1.20217,0.00003
5.3331,55.013,-508.830,177.807,-2.90243,1.20228,-0.00004
5.3964,54.999,-508.853,173.931,2.90218,-1.20221,0.00015
5.4612,55.017,-508.796,169.857,-2.90243,1.20228,-0.00009
5.5306,55.007,-508.828,165.764,2.90234,-1.20219,0.00003
5.5913,55.008,-508.782,161.729,-2.90242,1.20226,-0.00000
5.6562,55.013,-508.769,158.644,-2.90232,1.20219,0.00004
5.7240,55.003,-508.837,154.547,2.90244,-1.20225,0.00001
5.7872,54.996,-508.826,150.532,-2.90243,1.20228,0.00002
5.8522,54.996,-508.816,146.575,-2.90243,1.20226,0.00001
5.9229,55.016,-508.817,142.475,2.90241,-1.20226,0.00008
5.9822,55.003,-508.810,138.506,2.90239,-1.20220,0.00003
6.0503,54.993,-508.828,134.391,2.90233,-1.20225,0.00006
6.1122,55.002,-508.823,130.343,2.90240,-1.20219,0.00005
6.1782,55.008,-508.822,126.356,2.90243,-1.20222,0.00002
6.2462,55.016,-508.781,122.194,-2.90233,1.20221,0.00008
6.3082,54.996,-508.819,119.162,-2.90240,1.20229,-0.00003
6.3732,55.014,-508.847,115.239,2.90234,-1.20217,0.00013
6.4409,55.008,-508.805,111.102,2.90242,-1.20217,0.00005
6.5033,55.012,-508.824,107.071,2.90242,-1.20221,0.00003
6.5696,55.013,-508.768,102.872,-2.90223,1.20216,0.00006
6.6333,55.016,-508.744,98.859,-2.90223,1.20213,0.00005
