time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3550,1,474.849,618.15,622.2,622.20,0.0,616.4,616.45,0.0
0.4210,1,473.433,616.73,621.7,621.70,-7.6,615.9,615.95,-7.6
0.4867,1,470.826,614.13,618.2,618.68,-31.2,612.5,612.84,-39.7
0.5512,1,467.239,610.54,615.2,615.61,-39.2,609.5,609.65,-47.8
0.6143,1,464.226,607.53,614.7,614.16,-32.0,609.0,608.68,-21.3
0.6802,1,460.198,603.50,607.7,609.28,-51.5,602.2,602.89,-76.9
0.7469,1,456.016,599.32,605.2,605.45,-54.3,599.7,599.42,-55.9
0.8102,1,452.155,595.45,602.7,602.43,-51.3,597.2,597.03,-41.1
0.8751,1,447.958,591.26,596.7,597.61,-62.0,591.3,591.77,-74.3
0.9403,1,443.987,587.29,594.2,593.96,-59.1,588.9,588.57,-53.2
1.0052,1,440.006,583.31,588.2,588.92,-67.8,582.9,583.25,-77.1
1.0721,1,435.868,579.17,584.2,584.27,-68.7,579.0,578.86,-67.5
1.1363,1,431.818,575.12,578.7,579.13,-73.9,573.5,573.69,-78.2
1.2012,1,428.918,572.22,578.2,576.77,-56.1,573.0,572.40,-29.8
1.2680,1,423.734,567.03,572.7,572.82,-57.6,567.6,568.00,-60.2
1.3312,1,420.697,564.00,571.7,570.75,-46.1,566.6,566.25,-33.6
1.3961,1,416.737,560.04,566.2,566.78,-53.3,561.2,561.59,-65.3
1.4662,1,412.569,555.87,560.2,561.19,-66.7,555.2,555.46,-84.5
1.5262,1,408.590,551.89,556.2,556.58,-71.2,551.3,551.11,-74.9
1.5951,1,404.441,547.74,553.7,552.98,-61.6,548.8,548.39,-44.5
1.6573,1,400.479,543.78,550.7,550.13,-54.3,545.8,545.77,-42.7
1.7222,1,396.485,539.78,548.7,547.94,-44.4,543.8,543.69,-33.8
1.7893,1,392.313,535.61,542.7,543.50,-55.3,537.8,538.34,-72.5
1.8523,1,388.312,531.61,534.2,536.30,-83.1,529.4,530.06,-120.6
1.9172,1,385.362,528.66,532.7,531.99,-75.0,527.9,527.07,-58.8
1.9872,1,380.304,523.60,528.2,527.68,-68.2,523.4,523.36,-53.8
2.0483,1,377.157,520.46,524.7,524.25,-62.8,519.9,519.95,-55.3
2.1132,1,373.006,516.31,523.2,522.08,-48.8,518.4,518.14,-32.7
