time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3612,55.075,-508.796,474.783,2.90232,-1.20216,0.00007
0.4434,55.053,-508.837,472.778,-2.90246,1.20217,-0.00000
0.4918,55.029,-508.837,470.776,-2.90248,1.20216,0.00003
0.5570,55.039,-508.799,467.220,2.90243,-1.20226,-0.00004
0.6208,55.030,-508.814,463.331,2.90216,-1.20210,0.00011
0.6856,55.024,-508.777,459.089,-2.90235,1.20228,0.00006
0.7524,55.023,-508.840,455.177,2.90225,-1.20218,0.00007
0.8157,55.014,-508.850,452.142,2.90221,-1.20224,0.00005
0.8816,55.027,-508.787,447.935,-2.90238,1.20222,0.00010
0.9496,55.056,-508.818,443.005,2.90235,-1.20224,0.00007
1.0117,55.025,-508.826,439.981,2.90233,-1.20222,-0.00004
1.0781,55.037,-508.759,435.847,-2.90238,1.20227,0.00006
1.1437,55.039,-508.791,431.834,-2.90239,1.20232,-0.00000
1.2067,55.042,-508.792,427.822,2.90225,-1.20215,0.00004
1.2742,55.051,-508.810,423.746,2.90244,-1.20215,0.00005
1.3367,55.035,-508.846,419.820,2.90216,-1.20214,0.00008
1.4026,55.040,-508.811,415.629,2.90242,-1.20222,0.00001
1.4705,55.053,-508.797,411.613,-2.90243,1.20223,0.00002
1.5327,55.040,-508.837,408.593,2.90237,-1.20223,0.00003
1.5976,55.040,-508.810,404.465,2.90241,-1.20223,-0.00004
1.6663,55.026,-508.826,400.497,2.90239,-1.20225,-0.00004
1.7277,55.043,-508.823,396.513,2.90232,-1.20218,0.00005
1.7957,55.049,-508.827,392.336,2.90240,-1.20220,-0.00001
1.8587,55.042,-508.802,388.300,-2.90237,1.20217,0.00004
1.9237,55.063,-508.797,384.254,2.90239,-1.20212,0.00005
1.9915,55.030,-508.846,380.318,2.90226,-1.20219,0.00007
2.0537,55.029,-508.819,376.166,-2.90232,1.20220,0.00017
2.1186,55.019,-508.814,373.013,-2.90232,1.20228,0.00007
2.1879,55.046,-508.788,368.231,2.90221,-1.20215,0.00003
2.2497,55.047,-508.787,365.122,2.90242,-1.20224,-0.00003
2.3146,55.052,-508.788,360.903,-2.90227,1.20222,0.00012
2.3854,55.066,-508.807,355.990,2.90244,-1.20220,0.00002
2.4447,55.062,-508.780,352.876,2.90245,-1.20219,0.00002
2.5125,55.030,-508.813,348.874,2.90240,-1.20223,-0.00003
2.5758,55.043,-508.830,344.892,2.90233,-1.20224,0.00006
2.6397,55.062,-508.788,340.725,-2.90243,1.20215,0.00005
2.7076,55.078,-508.820,336.704,-2.90241,1.20218,-0.00003
2.7708,55.025,-508.860,333.673,2.90239,-1.20230,0.00001
2.8357,55.054,-508.827,329.500,-2.90224,1.20213,0.00011
2.9041,55.055,-508.818,324.581,-2.90237,1.20215,0.00006
2.9657,55.055,-508.820,321.552,-2.90242,1.20221,0.00003
3.0309,55.050,-508.798,317.447,-2.90236,1.20222,0.00005
3.1035,55.056,-508.829,313.474,2.90244,-1.20227,0.00003
3.1617,55.047,-508.847,309.396,2.90230,-1.20216,0.00007
3.2291,55.044,-508.780,305.391,2.90242,-1.20230,-0.00002
3.2918,55.063,-508.785,301.418,2.90239,-1.20216,0.00004
3.3567,55.026,-508.832,297.315,2.90219,-1.20216,0.00002
3.4245,55.046,-508.821,293.255,2.90242,-1.20223,0.00002
3.4867,55.064,-508.778,290.189,-2.90239,1.20222,-0.00001
