time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned UNFITTED (using wood),filt_learned UNFITTED (using wood),vel_learned UNFITTED (using wood)
0.3209,1,474.999,618.30,612.2,612.20,0.0,617.1,617.11,0.0
0.3860,1,474.262,617.56,612.7,612.70,7.7,617.6,617.61,7.7
0.4518,1,472.199,615.50,610.7,611.10,-12.2,615.6,615.91,-19.5
0.5155,1,470.062,613.36,606.7,607.71,-31.9,611.7,612.15,-51.8
0.5788,1,466.287,609.59,605.2,605.37,-34.2,610.3,610.07,-36.4
0.6437,1,462.309,605.61,601.7,602.24,-40.6,606.9,607.06,-44.7
0.7103,1,458.051,601.35,599.2,599.32,-42.1,604.6,604.50,-39.5
0.7738,1,454.187,597.49,594.7,595.44,-50.8,600.3,600.53,-58.4
0.8402,1,449.994,593.29,588.7,589.94,-66.1,594.5,594.82,-81.5
0.9048,1,445.999,589.30,585.2,585.37,-68.2,591.2,590.92,-63.9
0.9697,1,442.042,585.34,583.7,582.68,-55.7,589.7,589.29,-31.8
1.0362,1,437.910,581.21,576.7,577.53,-66.1,583.0,583.58,-77.2
1.0998,1,434.883,578.18,573.2,573.25,-66.7,579.6,579.47,-66.9
1.1647,1,430.861,574.16,570.2,569.73,-60.8,576.7,576.48,-49.6
1.2316,1,426.761,570.06,564.7,565.04,-65.3,571.4,571.65,-68.7
1.2948,1,422.666,565.97,564.7,563.31,-47.7,571.4,570.78,-23.9
1.3607,1,418.705,562.00,560.2,560.19,-47.5,567.0,567.35,-47.4
1.4279,1,414.637,557.94,555.7,556.16,-53.6,562.7,562.88,-63.5
1.4907,1,410.616,553.92,550.2,551.16,-65.7,557.3,557.57,-80.6
1.5566,1,406.518,549.82,545.7,546.11,-71.1,553.0,552.85,-73.2
1.6209,1,402.475,545.78,543.7,542.92,-60.8,551.0,550.58,-42.0
1.6857,1,399.484,542.78,539.7,539.44,-57.3,547.1,547.21,-50.2
1.7542,1,394.392,537.69,532.7,533.67,-71.0,540.3,540.74,-88.1
1.8158,1,391.331,534.63,532.2,531.13,-57.1,539.8,539.07,-39.0
1.8818,1,387.314,530.61,527.2,527.26,-57.9,534.9,535.11,-56.6
1.9487,1,383.296,526.60,520.7,521.63,-71.1,528.5,528.90,-87.1
2.0118,1,379.296,522.60,518.2,517.82,-66.0,526.0,525.64,-58.1
2.0767,1,375.033,518.33,516.2,515.26,-52.9,524.1,523.76,-34.0
2.1444,1,371.131,514.43,510.7,511.04,-57.7,518.7,519.05,-64.1
2.2068,1,367.154,510.45,505.2,506.00,-68.7,513.3,513.53,-83.9
2.2755,1,362.979,506.28,503.7,502.88,-56.5,511.8,511.23,-40.7
2.3368,1,358.985,502.29,500.2,499.92,-52.6,508.3,508.38,-45.3
2.4028,1,355.955,499.26,495.7,495.96,-56.4,503.9,504.09,-61.9
2.4708,1,350.901,494.20,490.7,491.17,-63.7,498.9,499.06,-72.1
2.5329,1,347.907,491.21,487.7,487.53,-61.3,496.0,495.75,-57.0
2.5978,1,343.864,487.16,482.7,482.99,-65.7,491.0,491.16,-68.4
2.6662,1,339.703,483.00,479.7,479.31,-59.4,488.0,487.82,-51.6
2.7278,1,335.733,479.03,474.2,474.70,-66.9,482.6,482.90,-74.4
2.7937,1,331.521,474.82,470.2,470.23,-67.4,478.6,478.52,-67.8
2.8625,1,327.560,470.86,468.2,467.37,-53.5,476.6,476.24,-38.1
2.9238,1,323.595,466.90,464.7,464.49,-50.3,473.1,473.26,-46.6
