phase,dx_m,dy_m,z_abs_m,seed
3,-0.01286,0.01487,-0.03240,1
3,-0.01635,0.00244,0.03617,
3,0.00872,-0.00626,-0.02655,
3,0.00042,0.01392,-0.00708,
3,-0.00534,-0.00052,-0.12378,
3,-0.02283,0.01017,0.10271,
3,0.00466,-0.00532,-0.09034,
3,0.00011,0.02410,0.05220,
4,-0.01828,0.01737,0.05060,
4,-0.01225,-0.00023,-0.02405,
4,0.00758,0.01444,-0.10851,
4,-0.02358,0.01679,-0.02802,
4,0.01311,-0.02489,-0.02502,
4,0.01108,-0.01356,0.09370,
4,0.02007,-0.02347,-0.12476,
4,0.00207,0.02196,-0.04026,
4,-0.01417,-0.00389,-0.12390,
4,-0.01392,-0.00311,-0.01304,
4,-0.01335,-0.01346,-0.07884,
4,-0.00202,-0.01051,-0.12570,
4,0.01688,0.00282,0.02174,
4,-0.01570,0.02463,0.07344,
4,-0.01896,-0.00837,0.04055,
4,0.01056,0.02182,-0.03055,
4,0.01650,0.00852,-0.05875,
4,0.00438,0.01912,0.07017,
4,0.00026,0.00445,-0.12260,
