time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3343,55.126,-508.837,474.956,2.90228,-1.20210,0.00008
0.3984,55.136,-508.788,474.295,2.90231,-1.20218,0.00009
0.4626,55.097,-508.851,472.237,2.90234,-1.20229,-0.00007
0.5266,55.130,-508.790,469.196,-2.90244,1.20227,0.00001
0.5915,55.080,-508.869,465.190,2.90222,-1.20217,-0.00002
0.6604,55.153,-508.796,461.140,-2.90245,1.20214,0.00002
0.7216,55.137,-508.811,457.101,-2.90230,1.20215,0.00006
0.7886,55.124,-508.862,453.067,2.90237,-1.20206,-0.00001
0.8516,55.116,-508.813,448.981,-2.90234,1.20215,0.00009
0.9175,55.099,-508.835,444.929,2.90241,-1.20228,0.00003
0.9840,55.129,-508.834,440.965,2.90230,-1.20217,0.00009
1.0476,55.095,-508.838,437.905,2.90242,-1.20231,0.00003
1.1125,55.108,-508.793,433.947,2.90233,-1.20222,-0.00004
1.1810,55.138,-508.836,429.807,2.90237,-1.20208,0.00002
1.2426,55.151,-508.787,425.821,2.90241,-1.20215,0.00002
1.3085,55.124,-508.791,421.643,-2.90241,1.20215,0.00008
1.3779,55.123,-508.816,417.716,2.90230,-1.20220,0.00006
1.4386,55.125,-508.786,413.605,-2.90226,1.20219,0.00002
1.5045,55.092,-508.862,409.576,2.90231,-1.20227,0.00007
1.5686,55.118,-508.850,405.543,2.90234,-1.20229,0.00010
1.6335,55.124,-508.814,402.495,-2.90240,1.20220,0.00004
1.6995,55.136,-508.819,398.430,2.90238,-1.20224,0.00004
1.7636,55.132,-508.848,394.427,2.90231,-1.20209,0.00005
1.8295,55.125,-508.820,390.373,-2.90239,1.20221,0.00008
1.8976,55.128,-508.795,386.246,-2.90233,1.20223,0.00004
1.9596,55.135,-508.821,382.288,2.90241,-1.20214,0.00002
2.0245,55.130,-508.823,378.184,-2.90245,1.20218,0.00006
2.0947,55.099,-508.828,374.080,-2.90224,1.20228,0.00009
2.1546,55.113,-508.832,370.240,2.90222,-1.20215,0.00008
2.2213,55.138,-508.767,366.083,2.90244,-1.20226,-0.00003
2.2847,55.133,-508.825,362.995,-2.90243,1.20221,0.00002
2.3506,55.119,-508.876,358.995,2.90236,-1.20217,-0.00001
2.4184,55.138,-508.821,354.883,2.90245,-1.20218,0.00001
2.4807,55.131,-508.816,350.924,2.90236,-1.20228,0.00008
2.5456,55.121,-508.881,346.846,2.90221,-1.20217,0.00006
2.6127,55.115,-508.804,342.777,-2.90242,1.20226,-0.00002
2.6756,55.131,-508.809,338.749,-2.90243,1.20218,0.00001
2.7405,55.104,-508.911,334.678,2.90229,-1.20213,0.00003
2.8111,55.140,-508.856,330.592,-2.90231,1.20210,0.00007
2.8716,55.111,-508.838,326.429,-2.90221,1.20214,0.00015
2.9391,55.107,-508.899,322.529,2.90236,-1.20225,0.00009
3.0017,55.091,-508.856,319.469,2.90242,-1.20230,-0.00003
3.0666,55.111,-508.831,315.473,-2.90236,1.20227,0.00005
3.1335,55.079,-508.865,311.409,2.90237,-1.20228,-0.00004
3.1966,55.125,-508.836,307.416,2.90239,-1.20216,0.00002
3.2626,55.139,-508.782,303.332,2.90242,-1.20215,-0.00004
3.3280,55.138,-508.821,299.378,2.90228,-1.20214,0.00001
3.3927,55.122,-508.842,295.313,2.90233,-1.20217,0.00004
3.4581,55.117,-508.813,291.171,-2.90240,1.20227,-0.00001
3.5281,55.113,-508.830,287.185,2.90237,-1.20223,-0.00002
3.5876,55.127,-508.839,284.166,2.90232,-1.20220,0.00006
3.6548,55.110,-508.817,279.043,-2.90241,1.20226,0.00003
3.7177,55.126,-508.828,276.003,-2.90240,1.20226,0.00000
3.7836,55.088,-508.898,272.087,2.90221,-1.20220,0.00006
3.8506,55.128,-508.825,267.857,-2.90231,1.20221,0.00005
3.9137,55.135,-508.827,263.880,-2.90242,1.20218,-0.00000
3.9786,55.119,-508.853,259.820,2.90231,-1.20212,-0.00001
4.0453,55.141,-508.791,255.806,-2.90249,1.20214,-0.00000
4.1087,55.118,-508.829,251.747,-2.90235,1.20219,0.00006
4.1753,55.097,-508.896,247.635,2.90237,-1.20224,-0.00004
4.2440,55.118,-508.827,243.721,2.90239,-1.20220,0.00002
4.3046,55.112,-508.798,240.696,2.90234,-1.20221,-0.00000
4.3715,55.119,-508.848,236.507,2.90244,-1.20221,-0.00001
4.4347,55.096,-508.828,232.479,-2.90230,1.20224,0.00005
4.4997,55.107,-508.841,228.580,2.90232,-1.20225,0.00006
4.5661,55.121,-508.883,224.404,2.90239,-1.20221,0.00009
4.6297,55.139,-508.833,220.419,-2.90247,1.20219,-0.00005
4.6956,55.128,-508.810,216.338,2.90237,-1.20219,0.00004
4.7627,55.123,-508.877,212.334,2.90229,-1.20207,0.00008
4.8257,55.126,-508.830,208.320,2.90239,-1.20226,0.00003
4.8906,55.133,-508.845,205.198,2.90235,-1.20215,0.00003
4.9607,55.113,-508.875,200.171,2.90231,-1.20223,0.00006
5.0207,55.137,-508.861,197.198,2.90234,-1.20217,0.00007
5.0879,55.121,-508.835,192.940,-2.90227,1.20223,0.00003
5.1507,55.118,-508.860,189.049,2.90238,-1.20224,0.00007
5.2167,55.117,-508.816,184.844,-2.90225,1.20222,0.00001
5.2830,55.106,-508.879,180.961,2.90228,-1.20219,0.00001
5.3467,55.115,-508.838,176.863,2.90242,-1.20229,-0.00001
5.4116,55.127,-508.857,172.880,2.90227,-1.20218,0.00010
5.4786,55.118,-508.851,168.842,2.90234,-1.20223,0.00004
5.5417,55.114,-508.867,165.838,2.90227,-1.20214,0.00002
5.6076,55.121,-508.826,161.678,-2.90244,1.20227,-0.00001
5.6718,55.113,-508.813,157.585,-2.90228,1.20222,0.00012
5.7377,55.112,-508.886,153.656,2.90232,-1.20220,0.00005
5.8054,55.147,-508.831,149.519,-2.90245,1.20217,-0.00006
5.8677,55.115,-508.863,145.540,2.90239,-1.20224,0.00002
5.9326,55.126,-508.848,141.476,2.90226,-1.20214,0.00016
5.9990,55.138,-508.812,137.462,2.90243,-1.20225,0.00004
6.0627,55.141,-508.804,133.401,-2.90243,1.20220,-0.00002
6.1286,55.114,-508.859,129.279,2.90236,-1.20222,0.00005
6.1950,55.138,-508.816,125.272,-2.90235,1.20219,0.00001
6.2587,55.131,-508.818,122.224,-2.90231,1.20220,0.00005
6.3245,55.137,-508.868,118.126,2.90239,-1.20224,0.00009
6.3887,55.096,-508.849,114.200,2.90234,-1.20226,-0.00002
6.4536,55.141,-508.841,110.199,2.90236,-1.20216,0.00009
6.5211,55.126,-508.871,106.060,2.90232,-1.20213,0.00010
6.5837,55.117,-508.796,101.962,-2.90227,1.20215,0.00011
6.6496,55.132,-508.788,97.850,-2.90227,1.20222,0.00007
6.7168,55.098,-508.868,93.926,2.90236,-1.20225,0.00002
6.7797,55.129,-508.784,89.927,-2.90238,1.20225,-0.00002
6.8446,55.128,-508.828,86.967,2.90240,-1.20212,0.00002
6.9129,55.113,-508.862,81.767,2.90244,-1.20227,0.00001
6.9746,55.134,-508.816,78.712,-2.90232,1.20217,0.00002
7.0403,55.128,-508.796,74.598,-2.90233,1.20223,0.00005
7.1047,55.105,-508.850,70.698,2.90231,-1.20219,0.00002
7.1706,55.104,-508.833,66.728,2.90233,-1.20229,0.00006
7.2376,55.092,-508.851,62.543,2.90234,-1.20226,-0.00005
7.3007,55.108,-508.877,58.512,2.90241,-1.20217,-0.00004
7.3656,55.094,-508.825,54.394,-2.90240,1.20224,0.00010
7.4337,55.108,-508.896,50.514,2.90216,-1.20215,0.00012
7.4957,55.132,-508.837,46.457,2.90240,-1.20227,0.00009
7.5617,55.137,-508.793,43.201,-2.90231,1.20215,0.00003
7.6301,55.096,-508.889,38.284,2.90232,-1.20226,0.00001
7.6917,55.120,-508.845,35.275,-2.90241,1.20230,-0.00003
7.7584,55.124,-508.816,31.217,2.90238,-1.20224,-0.00000
7.8217,55.123,-508.892,27.224,2.90224,-1.20218,0.00009
7.8867,55.127,-508.841,22.990,-2.90236,1.20220,-0.00003
7.9529,55.109,-508.841,19.027,-2.90242,1.20229,-0.00000
8.0167,55.137,-508.847,15.091,2.90234,-1.20211,0.00003
8.0826,55.134,-508.788,10.911,-2.90238,1.20222,0.00002
8.1502,55.132,-508.869,6.891,-2.90245,1.20221,0.00003
