time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3165,55.113,-508.853,475.024,2.90240,-1.20222,0.00006
0.3845,55.098,-508.798,474.325,2.90224,-1.20211,0.00008
0.4435,55.071,-508.855,472.915,2.90227,-1.20220,-0.00002
0.5085,55.054,-508.872,470.024,2.90227,-1.20232,-0.00003
0.5757,55.087,-508.857,466.207,2.90238,-1.20224,0.00002
0.6386,55.063,-508.846,462.314,2.90220,-1.20218,0.00006
0.7053,55.051,-508.834,458.061,-2.90232,1.20230,0.00008
0.7696,55.088,-508.900,454.157,2.90223,-1.20215,0.00005
0.8346,55.110,-508.858,451.112,2.90235,-1.20215,0.00008
0.9006,55.077,-508.866,446.996,2.90235,-1.20220,0.00003
0.9646,55.083,-508.879,442.983,2.90229,-1.20217,0.00001
1.0295,55.098,-508.859,438.942,-2.90241,1.20229,-0.00004
1.0970,55.101,-508.837,434.853,2.90243,-1.20220,0.00002
1.1596,55.071,-508.897,430.840,2.90232,-1.20223,0.00005
1.2256,55.104,-508.809,426.786,2.90235,-1.20220,0.00001
1.2925,55.091,-508.829,422.653,-2.90229,1.20221,0.00004
1.3556,55.064,-508.898,418.816,2.90210,-1.20222,0.00012
1.4213,55.080,-508.827,414.590,-2.90243,1.20220,0.00007
1.4857,55.096,-508.850,411.583,2.90240,-1.20224,0.00003
1.5506,55.106,-508.885,407.583,2.90233,-1.20213,0.00005
1.6188,55.109,-508.827,403.445,-2.90239,1.20224,-0.00001
1.6806,55.094,-508.871,399.490,2.90244,-1.20217,0.00002
1.7466,55.090,-508.875,395.504,2.90227,-1.20218,0.00006
1.8138,55.102,-508.852,391.309,-2.90238,1.20221,0.00000
1.8766,55.102,-508.835,387.275,-2.90229,1.20219,0.00005
1.9415,55.123,-508.856,383.254,2.90233,-1.20215,0.00017
2.0098,55.087,-508.875,379.281,2.90235,-1.20218,-0.00001
2.0716,55.084,-508.871,375.140,-2.90227,1.20227,0.00007
2.1399,55.094,-508.901,371.141,2.90223,-1.20213,0.00009
2.2026,55.112,-508.856,368.173,2.90222,-1.20217,0.00012
2.2676,55.072,-508.869,364.081,2.90238,-1.20230,-0.00004
2.3337,55.094,-508.893,359.949,2.90240,-1.20224,0.00003
2.3976,55.086,-508.843,355.926,-2.90240,1.20229,0.00006
2.4625,55.092,-508.836,351.999,2.90233,-1.20224,0.00004
2.5304,55.085,-508.874,347.886,2.90230,-1.20228,0.00006
2.5926,55.078,-508.882,343.846,2.90235,-1.20224,0.00001
2.6585,55.099,-508.837,339.704,-2.90239,1.20225,0.00001
2.7259,55.079,-508.902,335.740,2.90233,-1.20224,0.00001
2.7886,55.085,-508.883,331.637,-2.90230,1.20223,0.00005
2.8557,55.093,-508.851,328.470,-2.90214,1.20214,0.00009
2.9187,55.102,-508.876,324.534,-2.90239,1.20214,0.00008
2.9836,55.086,-508.877,320.521,-2.90238,1.20225,0.00001
3.0515,55.078,-508.847,316.447,-2.90241,1.20227,0.00005
3.1137,55.090,-508.872,312.477,2.90240,-1.20222,-0.00002
3.1796,55.086,-508.872,308.362,2.90236,-1.20226,0.00006
3.2470,55.091,-508.812,304.379,-2.90239,1.20233,-0.00001
3.3096,55.109,-508.842,300.421,2.90233,-1.20217,0.00007
3.3745,55.086,-508.899,296.293,2.90221,-1.20213,0.00009
3.4441,55.096,-508.826,292.226,-2.90243,1.20223,0.00005
3.5046,55.100,-508.816,289.206,-2.90242,1.20227,-0.00001
3.5723,55.111,-508.900,285.119,2.90227,-1.20215,0.00010
3.6357,55.095,-508.829,281.045,-2.90232,1.20220,0.00003
3.7006,55.082,-508.873,277.101,2.90238,-1.20224,-0.00002
3.7669,55.106,-508.898,273.003,2.90234,-1.20210,0.00009
3.8306,55.092,-508.852,268.929,-2.90236,1.20222,0.00005
3.8955,55.086,-508.865,264.823,-2.90239,1.20216,0.00003
3.9649,55.080,-508.887,260.864,2.90229,-1.20222,-0.00002
4.0266,55.077,-508.856,256.917,2.90234,-1.20215,-0.00002
4.0915,55.091,-508.817,253.784,-2.90232,1.20220,0.00005
4.1613,55.077,-508.871,248.653,-2.90238,1.20218,0.00005
4.2216,55.089,-508.903,245.700,2.90236,-1.20222,0.00004
4.2894,55.101,-508.843,241.665,2.90229,-1.20224,0.00009
4.3516,55.078,-508.892,237.607,2.90232,-1.20219,0.00003
4.4166,55.098,-508.862,233.515,-2.90234,1.20216,0.00004
4.4853,55.093,-508.886,229.515,2.90227,-1.20226,0.00009
4.5466,55.099,-508.864,225.486,2.90238,-1.20224,0.00001
4.6125,55.078,-508.914,221.384,2.90230,-1.20223,0.00003
4.6798,55.075,-508.860,217.439,2.90227,-1.20220,0.00002
4.7426,55.092,-508.890,213.414,2.90228,-1.20220,0.00010
4.8075,55.105,-508.846,210.268,-2.90243,1.20216,-0.00001
4.8744,55.103,-508.853,206.237,2.90240,-1.20226,0.00004
4.9376,55.104,-508.886,202.191,-2.90243,1.20223,-0.00005
5.0048,55.105,-508.884,198.115,2.90236,-1.20224,0.00013
5.0686,55.110,-508.849,194.037,-2.90237,1.20213,0.00003
5.1336,55.087,-508.862,190.055,-2.90241,1.20224,0.00002
5.2004,55.096,-508.909,185.938,2.90245,-1.20219,0.00002
5.2636,55.102,-508.895,182.033,2.90229,-1.20219,0.00006
5.3285,55.090,-508.868,177.808,-2.90241,1.20231,-0.00000
5.3976,55.082,-508.872,173.930,2.90225,-1.20218,0.00007
5.4586,55.100,-508.834,170.864,2.90244,-1.20227,0.00001
5.5258,55.089,-508.844,166.710,2.90241,-1.20233,0.00002
5.5897,55.101,-508.877,162.693,2.90242,-1.20219,0.00002
5.6546,55.104,-508.797,158.628,-2.90225,1.20216,0.00007
5.7221,55.081,-508.885,154.589,2.90239,-1.20222,-0.00003
5.7846,55.096,-508.893,150.576,2.90243,-1.20219,0.00001
5.8496,55.092,-508.891,146.507,2.90238,-1.20223,0.00002
5.9172,55.114,-508.862,142.503,2.90240,-1.20223,0.00007
5.9806,55.092,-508.873,138.530,2.90234,-1.20224,0.00006
6.0456,55.087,-508.856,135.456,2.90244,-1.20225,0.00003
6.1125,55.085,-508.905,130.368,2.90232,-1.20220,0.00007
6.1756,55.097,-508.884,127.282,-2.90240,1.20226,-0.00004
6.2416,55.095,-508.838,123.134,-2.90224,1.20216,0.00003
6.3057,55.109,-508.865,119.185,2.90243,-1.20228,0.00008
6.3706,55.110,-508.883,115.242,2.90238,-1.20215,0.00012
6.4395,55.082,-508.885,111.153,2.90227,-1.20223,0.00007
6.5017,55.084,-508.884,107.096,2.90238,-1.20225,0.00006
6.5666,55.102,-508.828,102.901,-2.90224,1.20215,0.00008
6.6329,55.082,-508.795,98.865,-2.90218,1.20224,0.00011
6.6966,55.103,-508.885,94.958,2.90239,-1.20221,0.00006
6.7616,55.091,-508.910,92.027,2.90227,-1.20221,0.00006
6.8303,55.088,-508.863,86.914,2.90240,-1.20224,0.00004
6.8916,55.088,-508.929,83.876,2.90220,-1.20212,0.00009
6.9590,55.127,-508.831,79.661,-2.90234,1.20211,0.00002
7.0228,55.118,-508.813,75.646,-2.90233,1.20214,0.00003
7.0877,55.086,-508.915,71.763,2.90227,-1.20216,0.00012
7.1542,55.100,-508.907,67.682,2.90229,-1.20216,0.00009
7.2178,55.111,-508.869,63.606,2.90245,-1.20219,0.00008
7.2827,55.081,-508.847,59.420,-2.90235,1.20226,0.00007
7.3499,55.097,-508.860,55.447,-2.90240,1.20221,0.00002
7.4128,55.099,-508.848,52.460,-2.90243,1.20223,-0.00000
7.4787,55.097,-508.881,48.527,2.90227,-1.20220,0.00015
7.5458,55.083,-508.848,44.308,-2.90236,1.20227,0.00001
7.6087,55.083,-508.927,40.306,2.90242,-1.20226,0.00003
7.6752,55.104,-508.857,36.180,-2.90239,1.20226,-0.00004
7.7388,55.091,-508.848,32.268,2.90239,-1.20226,0.00007
7.8037,55.074,-508.941,28.292,2.90221,-1.20216,0.00011
7.8701,55.124,-508.837,24.057,-2.90238,1.20210,0.00003
7.9338,55.078,-508.851,20.070,-2.90238,1.20226,0.00005
7.9997,55.106,-508.861,15.995,2.90236,-1.20219,0.00005
8.0662,55.096,-508.875,12.006,2.90241,-1.20219,0.00003
8.1298,55.102,-508.835,8.879,-2.90229,1.20217,0.00005
8.1947,55.080,-508.933,4.833,2.90228,-1.20222,0.00005
8.2653,55.095,-508.876,0.880,2.90235,-1.20221,0.00003
8.3247,55.101,-508.867,-3.098,2.90235,-1.20219,-0.00001
8.3916,55.098,-508.843,-7.345,-2.90232,1.20226,0.00002
8.4548,55.088,-508.823,-11.332,-2.90232,1.20222,0.00006
8.5207,55.100,-508.895,-15.341,2.90234,-1.20214,0.00012
8.5891,55.091,-508.896,-19.372,2.90236,-1.20222,0.00005
8.6508,55.117,-508.778,-23.509,-2.90220,1.20216,0.00007
8.7157,55.104,-508.823,-26.507,-2.90232,1.20222,0.00005
8.7830,55.077,-508.970,-30.427,2.90213,-1.20214,0.00010
8.8458,55.102,-508.825,-34.560,-2.90236,1.20216,0.00001
8.9107,55.075,-508.911,-38.708,-2.90242,1.20229,0.00001
8.9817,55.095,-508.916,-42.635,2.90237,-1.20218,0.00009
9.0417,55.101,-508.812,-46.651,-2.90243,1.20226,0.00002
9.1095,55.089,-508.887,-50.823,2.90245,-1.20223,-0.00001
9.1718,55.089,-508.891,-54.781,-2.90241,1.20229,-0.00006
9.2367,55.096,-508.862,-58.823,2.90230,-1.20215,0.00008
9.3036,55.103,-508.830,-62.948,-2.90244,1.20220,0.00001
9.3666,55.110,-508.864,-65.973,-2.90242,1.20218,-0.00002
9.4315,55.103,-508.927,-69.864,2.90233,-1.20220,0.00011
9.4992,55.104,-508.863,-74.021,2.90239,-1.20223,0.00004
9.5626,55.127,-508.761,-78.145,-2.90222,1.20210,0.00005
9.6277,55.091,-508.840,-82.183,-2.90240,1.20226,0.00003
9.6984,55.067,-508.925,-86.071,2.90220,-1.20216,0.00010
9.7577,55.090,-508.840,-90.209,-2.90233,1.20223,0.00002
9.8256,55.090,-508.948,-94.275,2.90235,-1.20218,0.00010
9.8877,55.072,-508.997,-98.200,2.90212,-1.20217,0.00019
9.9537,55.073,-508.893,-102.422,-2.90243,1.20226,0.00002
10.0199,55.093,-508.891,-106.396,2.90242,-1.20219,0.00001
10.0837,55.084,-508.908,-109.345,2.90233,-1.20212,0.00001
10.1486,55.094,-508.876,-113.416,2.90239,-1.20221,0.00001
10.2163,55.115,-508.752,-117.643,-2.90223,1.20208,0.00010
10.2787,55.096,-508.764,-121.540,-2.90237,1.20223,0.00006
10.3447,55.109,-508.761,-125.543,-2.90230,1.20220,-0.00002
10.4099,55.125,-508.744,-128.453,-2.90223,1.20209,0.00008
10.4748,55.105,-508.798,-130.133,-2.90235,1.20216,0.00005
10.5435,55.093,-508.858,-130.767,2.90239,-1.20228,0.00003
10.6049,55.064,-508.866,-130.753,2.90237,-1.20227,-0.00006
10.6698,55.092,-508.896,-130.748,2.90233,-1.20230,0.00010
10.7380,55.116,-508.848,-130.773,-2.90246,1.20221,0.00001
10.8008,55.093,-508.872,-130.755,2.90239,-1.20222,-0.00002
10.8657,55.093,-508.882,-130.767,2.90238,-1.20224,0.00006
10.9342,55.064,-508.861,-130.792,2.90238,-1.20229,-0.00006
10.9958,55.094,-508.848,-130.801,-2.90242,1.20227,0.00003
11.0618,55.095,-508.868,-130.803,2.90244,-1.20226,-0.00000
11.1270,55.118,-508.841,-130.809,-2.90242,1.20221,-0.00002
11.1908,55.112,-508.858,-130.802,2.90244,-1.20226,0.00002
11.2592,55.111,-508.860,-130.801,2.90243,-1.20226,-0.00002
11.3220,55.107,-508.850,-130.806,-2.90241,1.20225,-0.00004
11.3868,55.107,-508.848,-130.811,-2.90244,1.20224,-0.00001
11.4544,55.082,-508.886,-130.773,2.90238,-1.20224,-0.00000
11.5168,55.111,-508.881,-130.780,2.90241,-1.20219,0.00006
11.5817,55.107,-508.851,-130.792,2.90245,-1.20223,0.00006
11.6528,55.091,-508.893,-130.780,2.90241,-1.20219,0.00002
11.7118,55.098,-508.845,-130.812,-2.90243,1.20222,0.00002
11.7792,55.099,-508.843,-130.813,-2.90247,1.20217,0.00001
11.8429,55.089,-508.880,-130.785,2.90240,-1.20220,0.00000
11.9078,55.105,-508.860,-130.787,2.90242,-1.20221,-0.00001
11.9744,55.095,-508.864,-130.791,2.90241,-1.20223,-0.00003
12.0378,55.078,-508.856,-130.790,2.90239,-1.20232,-0.00004
12.1028,55.089,-508.867,-130.785,2.90240,-1.20230,0.00001
12.1715,55.117,-508.864,-130.805,-2.90244,1.20226,-0.00005
12.2339,55.112,-508.835,-130.806,-2.90243,1.20220,0.00002
12.2988,55.101,-508.870,-130.790,2.90241,-1.20223,0.00005
12.3705,55.091,-508.854,-130.795,-2.90243,1.20224,0.00001
12.4288,55.103,-508.853,-130.796,-2.90241,1.20229,-0.00003
12.4982,55.095,-508.845,-130.790,-2.90243,1.20226,-0.00001
12.5589,55.113,-508.852,-130.801,-2.90245,1.20223,-0.00005
12.6238,55.083,-508.844,-130.804,-2.90242,1.20229,0.00003
12.6906,55.106,-508.855,-130.799,2.90244,-1.20226,0.00002
12.7538,55.079,-508.850,-130.792,2.90239,-1.20230,-0.00003
12.8198,55.083,-508.846,-130.803,-2.90243,1.20224,0.00003
12.8875,55.081,-508.861,-130.784,2.90240,-1.20229,0.00002
12.9498,55.087,-508.859,-130.803,2.90240,-1.20231,-0.00002
13.0165,55.093,-508.863,-130.787,2.90240,-1.20226,0.00003
13.0801,55.097,-508.867,-130.794,2.90244,-1.20226,-0.00002
13.1448,55.097,-508.872,-130.788,2.90242,-1.20225,0.00002
13.2129,55.119,-508.839,-130.807,-2.90242,1.20221,-0.00010
13.2760,55.089,-508.866,-130.791,2.90241,-1.20225,0.00001
13.3408,55.080,-508.868,-130.795,2.90240,-1.20228,0.00003
13.4088,55.090,-508.883,-130.779,2.90240,-1.20224,0.00003
13.4709,55.089,-508.852,-130.792,2.90241,-1.20231,0.00002
13.5358,55.089,-508.861,-130.783,2.90237,-1.20232,-0.00003
13.6070,55.097,-508.845,-130.798,2.90243,-1.20228,-0.00004
13.6658,55.077,-508.861,-130.801,-2.90241,1.20233,0.00005
13.7333,55.113,-508.874,-130.783,2.90242,-1.20221,0.00009
13.7969,55.112,-508.873,-130.777,2.90242,-1.20221,0.00001
13.8618,55.086,-508.875,-130.793,2.90239,-1.20234,0.00006
13.9305,55.081,-508.875,-130.796,2.90241,-1.20225,-0.00003
13.9919,55.101,-508.869,-130.794,2.90241,-1.20231,0.00004
14.0568,55.099,-508.857,-130.798,2.90244,-1.20222,-0.00002
14.1252,55.077,-508.843,-130.799,2.90244,-1.20228,-0.00006
14.1878,55.096,-508.851,-130.800,-2.90245,1.20220,0.00005
14.2528,55.111,-508.848,-130.789,2.90244,-1.20226,0.00007
