time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned UNFITTED (using wood),filt_learned UNFITTED (using wood),vel_learned UNFITTED (using wood)
0.2836,1,474.829,618.13,612.7,612.70,0.0,617.6,617.61,0.0
0.3504,1,473.391,616.69,615.7,615.70,44.8,620.6,620.61,44.9
0.4183,1,470.857,614.16,616.2,616.60,25.2,621.1,621.41,17.6
0.4834,1,468.282,611.58,613.7,614.97,0.9,618.6,619.19,-25.2
0.5444,1,464.197,607.50,607.2,610.07,-34.1,612.2,613.06,-85.6
0.6094,1,460.152,603.45,602.2,604.65,-56.6,607.4,607.43,-86.3
0.6793,1,456.102,599.40,598.7,599.52,-64.5,604.1,603.73,-57.5
0.7404,1,452.110,595.41,594.2,594.78,-69.8,599.8,599.86,-62.3
0.8067,1,448.018,591.32,592.2,591.37,-61.8,597.9,597.57,-38.9
0.8705,1,443.920,587.22,588.2,587.89,-58.8,594.0,594.20,-50.4
0.9354,1,439.948,583.25,587.7,586.23,-44.3,593.6,593.17,-21.6
1.0019,1,435.929,579.23,580.7,581.74,-54.6,586.8,587.53,-74.8
1.0654,1,432.791,576.09,578.2,578.23,-54.9,584.4,584.18,-56.7
1.1304,1,428.854,572.15,571.7,572.89,-66.9,578.2,578.51,-82.2
1.1974,1,424.800,568.10,567.2,567.67,-71.8,573.8,573.70,-73.3
1.2614,1,420.682,563.98,565.7,564.66,-61.1,572.4,571.87,-36.6
1.3258,1,416.678,559.98,558.2,559.20,-71.5,565.1,565.76,-84.8
1.3931,1,412.526,555.83,557.7,556.42,-57.7,564.6,563.98,-35.4
1.4564,1,408.525,551.83,553.7,553.33,-53.8,560.7,560.89,-46.4
1.5241,1,404.526,547.83,546.7,547.85,-66.4,553.9,554.45,-87.7
1.5865,1,400.449,543.75,546.2,545.21,-56.0,553.4,552.75,-38.8
1.6514,1,397.415,540.72,543.2,542.56,-49.1,550.5,550.47,-35.7
1.7183,1,393.407,536.71,535.2,536.75,-66.6,542.7,543.46,-93.9
1.7824,1,389.248,532.55,534.2,533.52,-59.4,541.7,541.09,-47.1
1.8473,1,385.289,528.59,525.7,527.24,-76.2,533.4,534.08,-97.6
1.9141,1,381.349,524.65,524.7,523.71,-65.4,532.4,531.74,-44.9
1.9774,1,377.138,520.44,521.2,520.56,-58.5,529.0,528.98,-43.9
2.0450,1,373.075,516.38,516.2,516.35,-60.3,524.1,524.35,-64.8
2.1075,1,369.156,512.46,513.7,513.27,-55.5,521.6,521.42,-50.3
2.1734,1,365.056,508.36,510.7,510.28,-50.8,518.7,518.59,-44.1
2.2403,1,360.978,504.28,505.7,506.14,-56.0,513.7,514.01,-64.6
2.3035,1,356.929,500.23,502.7,502.67,-55.6,510.8,510.66,-55.2
2.3684,1,353.900,497.20,496.2,497.28,-68.2,504.4,504.76,-84.7
2.4351,1,349.903,493.20,495.2,494.28,-57.2,503.4,502.78,-38.4
2.4984,1,345.852,489.15,489.7,490.06,-61.5,497.9,498.31,-64.8
2.5634,1,341.774,485.07,485.2,485.53,-65.4,493.5,493.57,-71.5
2.6309,1,337.745,481.05,479.7,480.21,-71.8,488.0,488.13,-79.2
2.6944,1,333.608,476.91,476.7,476.31,-67.1,485.1,484.76,-57.8
2.7600,1,329.587,472.89,474.2,473.36,-56.5,482.6,482.34,-40.3
2.8245,1,325.501,468.80,469.7,469.71,-56.6,478.1,478.35,-58.2
2.8894,1,321.520,464.82,463.2,464.23,-69.8,471.6,472.07,-90.1
2.9570,1,317.520,460.82,461.7,460.92,-59.5,470.1,469.57,-45.0
3.0195,1,314.465,457.76,456.7,456.89,-61.9,465.2,465.42,-62.5
3.0843,1,310.437,453.74,452.2,452.44,-65.1,460.7,460.79,-69.9
3.1520,1,306.448,449.75,449.7,449.12,-57.1,458.2,457.90,-46.8
3.2154,1,302.320,445.62,447.2,446.59,-48.9,455.7,455.58,-38.4
3.2804,1,298.413,441.71,441.2,441.99,-59.7,449.7,450.20,-75.3
3.3496,1,294.302,437.60,435.7,436.43,-70.3,444.2,444.32,-83.6
3.4104,1,290.167,433.47,433.2,432.82,-65.2,441.7,441.32,-56.2
3.4783,1,286.209,429.51,429.7,429.25,-58.7,438.2,438.12,-48.5
3.5405,1,282.033,425.33,427.2,426.63,-50.8,435.7,435.62,-41.8
3.6064,1,278.044,421.34,422.2,422.57,-56.2,430.7,431.02,-65.2
3.6737,1,274.046,417.35,417.7,418.07,-61.8,426.2,426.27,-69.9
3.7364,1,270.926,414.23,410.2,411.60,-81.9,418.7,419.18,-104.9
3.8014,1,266.894,410.19,410.2,408.78,-62.4,418.7,417.77,-35.9
3.8700,1,262.877,406.18,406.2,405.60,-54.0,414.7,414.77,-42.6
3.9314,1,258.874,402.17,402.7,402.55,-52.0,411.2,411.33,-53.3
3.9964,1,254.781,398.08,400.7,400.16,-44.4,409.2,408.98,-39.1
4.0667,1,250.595,393.89,394.2,395.14,-58.7,402.6,403.11,-77.4
4.1274,1,246.626,389.93,389.7,390.38,-67.9,398.1,398.18,-80.6
4.1944,1,242.742,386.04,387.2,386.73,-61.0,395.6,395.22,-49.7
4.2576,1,238.580,381.88,382.2,382.44,-64.4,390.6,390.82,-65.9
4.3224,1,235.473,378.77,378.7,378.55,-62.2,387.1,387.01,-60.1
4.3887,1,231.509,374.81,373.7,373.94,-65.9,382.1,382.20,-70.5
4.4524,1,227.484,370.78,369.2,369.39,-68.7,377.5,377.57,-72.3
4.5174,1,223.420,366.72,365.2,365.11,-67.3,373.5,373.43,-65.2
4.5848,1,219.404,362.70,362.7,362.00,-56.1,371.0,370.74,-43.8
4.6484,1,215.381,358.68,358.7,358.61,-54.7,367.0,367.14,-54.3
4.7133,1,211.290,354.59,353.2,353.82,-64.5,361.5,361.78,-77.7
4.7785,1,207.219,350.52,352.2,351.34,-50.8,360.5,359.92,-36.9
4.8434,1,203.149,346.45,345.7,346.49,-63.3,353.9,354.46,-76.1
4.9126,1,199.198,342.50,342.2,342.17,-62.8,350.4,350.25,-62.9
4.9734,1,196.168,339.47,338.7,338.58,-60.9,346.9,346.82,-57.7
5.0384,1,191.960,335.26,335.7,335.34,-55.1,343.9,343.77,-48.9
5.1052,1,188.044,331.34,331.7,331.69,-54.9,339.9,339.96,-55.7
5.1694,1,183.852,327.15,326.2,326.84,-65.6,334.3,334.65,-77.9
5.2344,1,179.920,323.22,324.2,323.68,-56.7,332.3,331.94,-47.9
5.3013,1,175.925,319.23,319.7,319.76,-57.7,327.8,327.95,-57.7
5.3644,1,171.876,315.18,315.7,315.84,-60.0,323.8,323.88,-63.2
5.4308,1,167.824,311.12,312.7,312.43,-55.2,320.8,320.64,-51.2
5.4945,1,163.656,306.96,307.7,308.09,-62.1,315.8,316.02,-68.6
5.5595,1,159.634,302.93,304.2,304.15,-61.3,312.3,312.17,-60.9
5.6274,1,155.617,298.92,299.7,299.79,-63.0,307.8,307.80,-63.8
5.6904,1,152.636,295.94,294.2,294.71,-72.2,302.3,302.49,-80.5
5.7554,1,148.530,291.83,292.2,291.52,-59.6,300.3,299.81,-47.8
5.8233,1,144.540,287.84,286.7,286.93,-64.1,294.7,295.00,-67.5
5.8854,1,140.472,283.77,282.7,282.78,-65.6,290.7,290.75,-68.1
5.9504,1,136.456,279.76,279.7,279.34,-58.6,287.7,287.54,-52.7
6.0190,1,132.408,275.71,275.7,275.59,-56.3,283.7,283.77,-54.6
6.0814,1,128.274,271.57,273.2,272.85,-49.6,281.2,281.11,-44.9
6.1467,1,124.240,267.54,268.2,268.63,-58.1,276.3,276.54,-65.9
6.2116,1,120.141,263.44,266.2,265.80,-50.0,274.3,273.97,-44.1
6.2764,1,117.132,260.43,260.2,260.90,-64.3,268.3,268.69,-75.0
6.3443,1,112.202,255.50,257.2,257.01,-60.3,265.3,265.06,-56.8
6.4065,1,109.058,252.36,252.7,252.87,-63.7,260.8,260.92,-64.7
6.4713,1,105.084,248.38,249.2,249.06,-60.8,257.3,257.23,-58.1
6.5387,1,100.996,244.30,245.7,245.49,-56.3,253.8,253.77,-52.5
6.6024,1,96.910,240.21,242.2,242.11,-54.4,250.4,250.37,-53.2
6.6673,1,92.985,236.29,238.2,238.31,-56.8,246.4,246.47,-59.0
6.7370,1,88.896,232.20,232.7,233.15,-67.3,240.9,241.12,-74.3
6.7975,1,84.814,228.11,229.2,229.17,-66.6,237.5,237.33,-65.1
6.8662,1,80.722,224.02,225.2,225.03,-62.6,233.5,233.41,-58.1
6.9276,1,77.722,221.02,220.2,220.49,-68.9,228.6,228.76,-72.3
6.9926,1,73.639,216.94,217.7,217.22,-58.0,226.1,225.78,-50.2
7.0590,1,69.710,213.01,213.2,213.25,-59.1,221.6,221.75,-59.0
7.1235,1,65.562,208.86,208.2,208.55,-67.1,216.7,216.88,-72.6
7.1875,1,61.508,204.81,205.7,205.29,-57.6,214.2,213.94,-50.7
7.2550,1,57.491,200.79,201.7,201.62,-55.7,210.3,210.33,-53.1
7.3186,1,53.437,196.74,198.2,198.17,-54.9,206.9,206.87,-54.2
