time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3188,52.826,-508.784,475.022,2.90230,-1.20219,0.00004
0.3840,52.837,-508.726,474.206,2.90241,-1.20222,0.00007
0.4488,52.822,-508.788,472.328,2.90226,-1.20213,0.00010
0.5137,52.827,-508.767,470.173,2.90224,-1.20200,0.00011
0.5812,52.785,-508.788,466.185,2.90231,-1.20223,0.00001
0.6437,52.794,-508.786,462.238,2.90227,-1.20222,0.00004
0.7087,52.777,-508.772,458.108,-2.90231,1.20228,0.00007
0.7767,52.818,-508.831,454.139,2.90215,-1.20209,0.00012
0.8388,52.817,-508.754,450.010,-2.90233,1.20225,0.00004
0.9037,52.812,-508.796,445.990,2.90230,-1.20220,-0.00000
0.9737,52.827,-508.783,441.947,2.90238,-1.20216,0.00002
1.0338,52.839,-508.772,437.950,-2.90248,1.20213,-0.00000
1.1010,52.808,-508.764,433.828,2.90241,-1.20227,0.00000
1.1639,52.827,-508.795,430.794,2.90236,-1.20216,0.00006
1.2298,52.826,-508.728,426.824,2.90242,-1.20221,-0.00003
1.2975,52.815,-508.752,422.605,-2.90231,1.20214,0.00008
1.3598,52.803,-508.822,418.783,2.90209,-1.20215,0.00011
1.4248,52.817,-508.772,414.660,-2.90241,1.20221,0.00001
1.4914,52.816,-508.776,410.622,2.90233,-1.20218,0.00005
1.5548,52.813,-508.812,406.556,2.90234,-1.20219,0.00006
1.6198,52.819,-508.775,402.402,-2.90234,1.20228,0.00001
1.6899,52.821,-508.761,398.495,2.90236,-1.20223,-0.00003
1.7498,52.801,-508.808,395.435,2.90227,-1.20222,0.00005
1.8243,52.821,-508.771,390.325,-2.90243,1.20223,0.00006
1.8809,52.817,-508.774,387.294,2.90239,-1.20229,-0.00001
1.9448,52.833,-508.782,383.316,2.90234,-1.20215,0.00005
2.0128,52.803,-508.794,379.210,2.90239,-1.20228,0.00002
2.0759,52.807,-508.804,375.128,-2.90241,1.20229,0.00002
2.1407,52.796,-508.790,371.209,2.90225,-1.20220,0.00001
2.2071,52.820,-508.752,367.092,2.90240,-1.20225,-0.00002
2.2708,52.821,-508.791,362.967,-2.90231,1.20223,0.00001
2.3357,52.800,-508.815,360.003,2.90242,-1.20232,0.00002
2.4009,52.824,-508.743,355.944,2.90241,-1.20219,-0.00001
2.4658,52.815,-508.747,351.886,-2.90241,1.20223,0.00003
2.5317,52.802,-508.817,347.837,2.90227,-1.20223,0.00006
2.5958,52.828,-508.777,343.824,2.90233,-1.20219,0.00004
2.6618,52.822,-508.756,339.730,-2.90231,1.20220,0.00003
2.7281,52.791,-508.844,335.627,-2.90243,1.20226,0.00002
2.7918,52.813,-508.816,331.591,-2.90233,1.20222,0.00004
