phase,dx_m,dy_m,z_abs_m,seed
3,0.01249,0.01724,-0.12651,5
3,0.01439,-0.00669,0.00660,
3,-0.02455,-0.02266,-0.08783,
3,0.02276,-0.01517,0.04869,
3,0.02148,0.02210,-0.04901,
3,-0.00726,0.00124,0.05341,
3,-0.01960,0.01242,0.05854,
3,0.01798,-0.02317,0.09383,
3,-0.02044,-0.00796,0.01427,
3,0.02090,-0.00800,0.08870,
4,0.00615,0.01209,0.05806,
4,0.02212,0.01199,0.08825,
4,-0.02355,-0.00172,0.09325,
4,0.00745,0.02005,-0.10391,
4,-0.00155,-0.01267,-0.00166,
4,0.00370,-0.02434,-0.07933,
4,-0.01103,0.02082,0.05106,
4,-0.01702,0.01486,-0.09784,
4,0.00587,-0.01867,-0.13038,
4,0.01857,-0.01453,-0.07962,
4,0.02412,0.01862,-0.06209,
4,0.02307,0.00196,0.03018,
4,-0.01476,0.02205,0.03323,
4,0.02333,0.01969,-0.05984,
4,-0.00694,-0.01670,-0.09620,
4,-0.02174,-0.00993,0.01244,
4,-0.02483,0.00890,-0.05055,
4,-0.00950,0.01593,-0.01662,
4,-0.00921,-0.00094,0.03656,
4,-0.02215,0.02375,-0.12537,
