time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3284,1,474.948,618.25,629.7,629.70,0.0,623.6,623.58,0.0
0.3961,1,473.862,617.16,626.2,626.20,-51.6,620.1,620.09,-51.7
0.4634,1,471.678,614.98,626.7,626.06,-21.0,620.6,620.12,-8.9
0.5239,1,469.282,612.58,625.7,625.43,-16.2,619.6,619.58,-8.9
0.5904,1,465.197,608.50,625.7,625.25,-9.9,619.6,619.50,-2.4
0.6540,1,461.209,604.51,618.2,620.57,-38.5,612.2,613.29,-80.4
0.7190,1,457.040,600.34,616.7,617.27,-44.2,610.7,610.35,-51.2
0.7865,1,453.123,596.42,612.7,613.31,-51.0,606.8,606.83,-52.0
0.8490,1,449.062,592.36,604.2,606.53,-76.1,598.5,599.26,-108.1
0.9149,1,445.001,588.30,605.7,603.96,-58.9,599.9,598.83,-23.1
0.9823,1,440.967,584.27,601.7,601.01,-51.9,596.0,596.19,-36.7
1.0450,1,437.969,581.27,595.7,596.53,-60.3,590.1,590.69,-78.2
1.1100,1,433.857,577.16,593.7,593.27,-55.8,588.1,587.77,-50.5
1.1794,1,428.895,572.20,587.7,588.34,-62.9,582.2,582.50,-72.4
1.2399,1,425.711,569.01,585.2,584.93,-60.2,579.8,579.50,-54.2
1.3066,1,421.670,564.97,580.2,580.48,-63.2,574.8,574.98,-65.7
1.3700,1,417.774,561.07,576.2,576.31,-64.4,570.9,570.87,-64.9
1.4349,1,413.495,556.80,571.2,571.56,-68.3,565.9,566.05,-72.7
1.5018,1,409.649,552.95,567.2,567.12,-67.4,562.0,561.88,-64.0
1.5650,1,405.429,548.73,563.2,563.07,-66.0,558.0,558.00,-61.8
1.6299,1,402.395,545.69,556.2,557.19,-77.2,551.1,551.52,-93.3
1.6976,1,397.525,540.83,554.7,553.68,-65.1,549.6,549.01,-45.7
1.7610,1,394.432,537.73,551.2,550.57,-57.9,546.1,546.14,-45.3
1.8259,1,390.298,533.60,549.7,548.61,-45.1,544.7,544.45,-29.4
1.8962,1,386.315,529.62,545.7,545.61,-43.9,540.7,540.92,-47.4
1.9559,1,382.240,525.54,540.7,541.59,-54.0,535.7,536.12,-73.4
2.0217,1,378.184,521.48,535.7,536.57,-64.6,530.8,530.85,-79.1
2.0861,1,374.165,517.47,531.2,531.65,-70.1,526.3,526.22,-73.1
2.1509,1,370.140,513.44,525.7,526.22,-76.6,520.8,520.93,-80.1
2.2167,1,366.088,509.39,526.2,524.37,-53.3,521.3,520.52,-18.4
2.2810,1,362.974,506.27,522.2,521.71,-47.7,517.4,517.65,-40.0
2.3470,1,358.916,502.22,515.7,516.77,-60.7,510.9,511.48,-84.8
2.4143,1,353.988,497.29,517.7,515.86,-37.9,512.9,511.89,-7.9
2.4770,1,350.951,494.25,507.7,510.03,-62.9,502.9,504.23,-100.9
2.5420,1,346.908,490.21,504.7,505.21,-68.1,499.9,499.60,-76.1
2.6112,1,342.840,486.14,502.2,501.55,-60.8,497.4,497.03,-42.7
2.6720,1,338.651,481.95,494.2,495.66,-76.1,489.5,490.27,-97.5
2.7378,1,334.689,477.99,493.7,492.50,-63.2,489.0,488.24,-41.7
2.8020,1,330.660,473.96,490.2,489.51,-55.7,485.5,485.49,-42.5
2.8669,1,326.500,469.80,485.2,485.47,-58.7,480.5,480.82,-67.0
2.9338,1,322.570,465.87,480.2,480.71,-64.5,475.5,475.62,-76.1
2.9980,1,319.517,462.82,478.2,477.57,-57.5,473.5,473.09,-45.8
3.0619,1,315.373,458.67,473.7,473.78,-58.3,469.0,469.18,-58.4
3.1299,1,311.447,454.75,470.2,470.06,-56.6,465.5,465.47,-55.1
3.1930,1,307.434,450.73,463.7,464.76,-68.8,459.0,459.48,-87.7
3.2579,1,303.341,446.64,462.7,461.79,-58.2,458.0,457.40,-41.4
3.3290,1,299.426,442.73,455.7,456.39,-67.1,451.0,451.47,-78.0
3.3880,1,295.253,438.55,449.7,450.77,-79.1,445.0,445.34,-98.4
3.4542,1,291.189,434.49,449.7,448.14,-60.1,445.0,444.15,-30.7
3.5180,1,287.192,430.49,445.7,445.16,-53.9,441.0,441.20,-43.4
3.5830,1,284.079,427.38,442.2,442.00,-51.5,437.5,437.66,-52.7
3.6505,1,279.096,422.40,438.2,438.32,-52.9,433.5,433.61,-58.8
3.7130,1,276.043,419.34,433.2,433.88,-61.1,428.5,428.75,-74.2
3.7790,1,271.961,415.26,428.2,428.81,-68.6,423.5,423.57,-77.7
3.8459,1,267.892,411.19,427.2,426.12,-54.8,422.5,421.94,-32.7
3.9090,1,263.764,407.06,420.2,421.12,-66.1,415.5,416.19,-80.5
3.9739,1,259.851,403.15,415.2,415.80,-73.7,410.5,410.58,-85.3
4.0442,1,255.853,399.15,414.7,413.29,-54.3,410.0,409.31,-27.2
4.1040,1,251.709,395.01,411.2,410.75,-49.1,406.5,406.71,-40.1
4.1705,1,247.666,390.97,405.2,406.04,-59.8,400.5,401.01,-78.5
4.2340,1,244.660,387.96,400.7,401.27,-66.9,396.0,396.01,-78.7
4.2989,1,240.576,383.88,396.7,396.78,-68.0,392.0,391.84,-66.6
4.3665,1,236.588,379.89,393.2,392.84,-63.1,388.5,388.34,-54.1
4.4300,1,232.482,375.78,388.7,388.75,-63.8,384.0,384.14,-64.0
4.4940,1,228.495,371.80,386.7,385.96,-54.1,382.0,381.71,-42.6
4.5638,1,224.487,367.79,382.7,382.53,-51.6,378.0,378.09,-50.5
4.6250,1,220.301,363.60,378.2,378.63,-57.2,373.5,373.74,-67.1
4.6899,1,216.363,359.66,374.7,374.78,-58.2,370.0,369.90,-60.4
4.7595,1,212.383,355.68,370.2,370.38,-60.8,365.5,365.52,-62.6
4.8200,1,209.280,352.58,366.2,366.38,-63.3,361.5,361.53,-65.3
4.8857,1,205.216,348.52,362.7,362.53,-60.9,358.0,357.88,-57.1
4.9500,1,201.146,344.45,359.7,359.32,-55.4,355.0,354.88,-48.6
5.0150,1,197.095,340.39,352.7,353.74,-70.8,348.0,348.54,-89.2
5.0840,1,192.996,336.30,349.2,349.09,-69.0,344.5,344.21,-66.5
5.1450,1,189.078,332.38,347.2,346.37,-57.4,342.5,342.12,-40.7
5.2109,1,184.880,328.18,343.2,342.99,-54.2,338.5,338.64,-50.9
5.2776,1,180.996,324.30,338.2,338.59,-60.3,333.5,333.75,-69.7
5.3410,1,176.773,320.07,334.7,334.72,-60.7,330.0,329.91,-62.3
5.4059,1,172.900,316.20,328.7,329.41,-71.5,324.0,324.29,-82.4
5.4729,1,168.872,312.17,327.2,326.35,-57.9,322.5,322.00,-41.8
5.5360,1,165.845,309.14,323.2,323.03,-55.3,318.5,318.66,-50.9
5.6038,1,161.641,304.94,319.7,319.56,-53.0,315.0,315.07,-52.7
5.6660,1,157.690,300.99,314.7,315.23,-61.3,310.1,310.33,-71.7
5.7310,1,153.562,296.86,310.7,310.88,-64.2,306.1,306.01,-67.3
5.7979,1,149.526,292.83,308.2,307.68,-55.5,303.6,303.29,-44.9
5.8620,1,145.596,288.90,302.7,303.17,-63.2,298.1,298.44,-70.1
5.9259,1,141.441,284.74,300.7,300.18,-54.6,296.1,295.78,-46.6
5.9947,1,137.468,280.77,295.2,295.58,-61.4,290.6,290.89,-67.6
6.0570,1,133.307,276.61,292.2,292.05,-59.0,287.6,287.49,-57.0
6.1219,1,130.339,273.64,288.2,288.21,-59.1,283.7,283.68,-58.4
6.1871,1,126.244,269.54,283.7,283.91,-62.8,279.2,279.29,-65.9
6.2520,1,122.122,265.42,280.7,280.42,-57.9,276.2,276.03,-52.9
6.3184,1,118.173,261.47,276.2,276.32,-60.1,271.7,271.85,-61.4
6.3820,1,114.190,257.49,271.2,271.61,-67.4,266.8,266.95,-74.2
6.4469,1,110.142,253.44,268.2,267.90,-61.9,263.8,263.55,-56.1
6.5150,1,106.102,249.40,264.7,264.40,-56.0,260.3,260.24,-49.7
6.5770,1,101.905,245.21,260.7,260.77,-57.3,256.4,256.48,-58.6
6.6429,1,97.881,241.18,256.2,256.44,-62.0,251.9,252.00,-66.5
6.7114,1,93.952,237.25,253.7,253.26,-53.1,249.4,249.15,-45.2
6.7730,1,90.943,234.24,250.2,250.13,-51.9,246.0,246.02,-49.8
6.8379,1,86.888,230.19,246.2,246.37,-55.2,242.0,242.11,-58.4
6.9030,1,82.849,226.15,242.7,242.72,-55.7,238.5,238.50,-56.0
6.9680,1,78.662,221.96,236.2,237.07,-73.2,232.1,232.51,-86.0
7.0346,1,74.651,217.95,232.2,232.20,-73.2,228.2,227.96,-71.1
7.0980,1,70.706,214.01,229.7,229.04,-60.4,225.7,225.35,-46.6
7.1630,1,66.651,209.95,225.2,225.17,-59.9,221.2,221.41,-58.3
7.2299,1,62.593,205.89,220.7,220.84,-62.7,216.8,216.91,-65.8
7.2941,1,58.422,201.72,217.7,217.43,-57.3,213.9,213.68,-53.0
7.3581,1,55.399,198.70,213.7,213.72,-57.7,209.9,209.97,-57.1
7.4290,1,50.511,193.81,209.7,209.68,-57.3,206.0,205.97,-56.5
7.4891,1,47.487,190.79,205.2,205.52,-63.6,201.6,201.72,-67.8
7.5555,1,43.294,186.59,201.7,201.58,-61.1,198.1,197.99,-58.0
7.6192,1,39.234,182.53,197.2,197.35,-64.2,193.7,193.79,-64.6
7.6841,1,35.179,178.48,193.7,193.55,-60.9,190.3,190.17,-57.3
7.7508,1,31.291,174.59,189.2,189.28,-62.7,185.9,185.92,-62.6
7.8142,1,27.267,170.57,186.2,185.94,-57.0,182.9,182.77,-52.1
7.8790,1,23.038,166.34,182.2,182.21,-57.3,179.0,179.06,-56.4
7.9475,1,19.050,162.35,177.2,177.49,-64.3,174.1,174.26,-68.1
8.0091,1,16.073,159.37,174.7,174.36,-56.8,171.7,171.41,-50.4
8.0741,1,11.951,155.25,170.7,170.69,-56.6,167.8,167.82,-54.6
8.1447,1,6.959,150.26,166.2,166.33,-59.8,163.4,163.45,-60.9
8.2051,1,3.837,147.14,161.2,161.64,-69.7,158.5,158.70,-74.9
8.2715,1,-0.116,143.18,156.2,156.42,-75.2,153.6,153.64,-76.0
8.3352,1,-4.173,139.13,152.7,152.40,-68.1,150.2,150.01,-60.5
8.4001,1,-8.336,134.96,149.2,148.87,-59.9,146.8,146.71,-52.4
8.4673,1,-12.350,130.95,146.2,145.84,-50.7,143.9,143.81,-44.7
8.5302,1,-16.229,127.07,141.2,141.60,-60.5,139.1,139.36,-65.9
8.5951,1,-20.414,122.89,136.7,136.96,-67.2,134.7,134.75,-70.1
8.6624,1,-24.519,118.78,133.7,133.37,-58.6,131.8,131.55,-51.1
8.7252,1,-27.463,115.84,129.7,129.70,-58.5,127.9,127.99,-55.7
8.7901,1,-31.476,111.82,125.7,125.75,-59.9,124.1,124.10,-59.1
8.8611,1,-36.564,106.74,121.2,121.27,-62.0,119.7,119.74,-61.1
8.9202,1,-39.702,103.60,116.7,116.96,-68.3,115.4,115.50,-69.5
8.9890,1,-43.719,99.58,113.7,113.34,-58.1,112.5,112.25,-50.4
9.0512,1,-47.630,95.67,109.2,109.34,-61.8,108.2,108.31,-60.9
9.1161,1,-51.822,91.48,104.2,104.49,-69.8,103.4,103.50,-71.8
9.1842,1,-55.859,87.44,100.7,100.46,-63.0,100.0,99.80,-56.9
9.2463,1,-59.891,83.41,96.7,96.66,-61.9,96.2,96.18,-58.2
9.3112,1,-62.922,80.38,93.2,93.06,-57.9,92.8,92.75,-53.8
9.3785,1,-67.946,75.35,89.2,89.19,-57.6,89.0,89.00,-55.4
9.4411,1,-70.912,72.39,85.2,85.30,-60.4,85.2,85.22,-59.5
9.5061,1,-75.086,68.21,81.2,81.25,-61.7,81.3,81.34,-59.6
9.5710,1,-79.155,64.15,77.2,77.21,-62.0,77.5,77.52,-59.0
9.6370,1,-83.176,60.12,71.7,72.05,-72.5,72.3,72.48,-73.5
9.7052,1,-87.088,56.21,68.2,67.94,-64.4,69.0,68.76,-57.4
9.7671,1,-91.244,52.06,63.7,63.77,-66.3,64.7,64.77,-63.0
9.8321,1,-95.305,48.00,60.2,60.02,-60.7,61.4,61.27,-55.4
9.8993,1,-99.198,44.10,56.2,56.14,-58.7,57.6,57.58,-55.0
9.9621,1,-102.331,40.97,51.7,51.89,-64.4,53.3,53.46,-63.7
10.0270,1,-106.437,36.86,45.7,46.19,-79.7,47.7,47.91,-81.7
10.0951,1,-110.323,32.98,43.7,43.01,-57.4,45.8,45.31,-44.7
10.1581,1,-114.479,28.82,38.7,38.89,-62.5,41.1,41.29,-60.2
10.2230,1,-118.649,24.65,34.2,34.36,-67.1,36.8,36.93,-66.1
10.2932,1,-122.536,20.76,30.7,30.46,-59.4,33.6,33.40,-52.5
10.3531,1,-126.403,16.90,27.2,27.12,-57.2,30.3,30.28,-52.1
10.4208,1,-129.008,14.29,22.7,22.83,-61.3,26.1,26.16,-59.5
10.4833,1,-130.426,12.87,18.7,18.78,-63.5,22.3,22.35,-60.7
10.5482,2,-130.770,12.53,17.2,16.57,-44.4,20.9,20.56,-33.2
10.6158,2,-130.760,12.54,16.7,15.92,-21.3,20.5,20.17,-10.0
10.6782,2,-130.738,12.56,16.7,16.09,-6.4,20.5,20.32,0.1
10.7432,2,-130.766,12.53,17.2,16.79,4.3,20.9,20.84,6.7
10.8126,2,-130.759,12.54,16.7,16.80,1.6,20.5,20.58,-2.4
10.8742,2,-130.749,12.55,16.7,16.75,0.2,20.5,20.46,-2.0
10.9393,2,-130.791,12.51,16.7,16.72,-0.3,20.5,20.44,-0.5
11.0043,2,-130.799,12.50,17.2,17.07,3.3,20.9,20.85,5.1
11.0693,2,-130.811,12.49,16.7,16.85,-0.9,20.5,20.57,-2.8
11.1367,2,-130.807,12.49,16.7,16.72,-1.5,20.5,20.45,-1.9
11.1992,2,-130.802,12.50,16.7,16.68,-1.0,20.5,20.44,-0.5
11.2642,2,-130.812,12.49,16.7,16.68,-0.4,20.5,20.46,0.1
11.3328,2,-130.790,12.51,16.7,16.69,-0.0,20.5,20.46,0.1
11.3942,2,-130.814,12.49,16.2,16.33,-3.6,20.0,20.07,-5.1
11.4602,2,-130.805,12.50,16.7,16.55,0.9,20.5,20.36,2.8
11.5292,2,-130.810,12.49,16.7,16.68,1.6,20.5,20.48,1.8
11.5902,2,-130.799,12.50,16.7,16.72,1.0,20.5,20.48,0.5
11.6560,2,-130.792,12.51,16.7,16.72,0.4,20.5,20.47,-0.1
11.7202,2,-130.801,12.50,16.2,16.33,-3.7,20.0,20.07,-5.2
11.7852,2,-130.812,12.49,16.2,16.17,-2.9,20.0,19.96,-2.3
11.8515,2,-130.809,12.49,16.2,16.15,-1.2,20.0,19.97,-0.2
11.9153,2,-130.812,12.49,16.2,16.17,-0.2,20.0,19.99,0.2
11.9812,2,-130.792,12.51,17.2,16.95,7.8,20.9,20.80,10.3
12.0485,2,-130.808,12.49,16.2,16.49,-2.0,20.0,20.20,-5.9
