time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0056,52.817,-508.806,475.003,2.90245,-1.20222,0.00003
0.0101,52.816,-508.817,475.011,2.90239,-1.20229,0.00011
0.0261,52.806,-508.815,475.004,2.90244,-1.20221,0.00001
0.0441,52.813,-508.807,475.019,2.90241,-1.20224,0.00002
0.0601,52.805,-508.794,475.007,2.90247,-1.20216,-0.00005
0.0761,52.790,-508.805,475.002,2.90243,-1.20229,0.00001
0.0942,52.796,-508.796,475.009,-2.90243,1.20227,0.00004
0.1100,52.807,-508.806,475.013,2.90241,-1.20226,0.00001
0.1262,52.808,-508.803,475.005,-2.90241,1.20230,-0.00000
0.1442,52.799,-508.800,475.031,2.90239,-1.20223,0.00001
0.1601,52.816,-508.807,474.996,-2.90244,1.20223,-0.00002
0.1761,52.806,-508.811,475.003,2.90245,-1.20221,0.00001
0.1942,52.793,-508.798,475.020,2.90243,-1.20225,-0.00005
0.2101,52.808,-508.796,475.034,2.90240,-1.20219,-0.00001
0.2281,52.784,-508.801,475.024,2.90239,-1.20227,-0.00002
0.2441,52.798,-508.817,474.994,-2.90242,1.20224,-0.00005
0.2601,52.803,-508.791,475.015,2.90245,-1.20222,-0.00003
0.2782,52.802,-508.800,475.009,-2.90244,1.20227,0.00004
0.2944,52.827,-508.817,475.022,2.90242,-1.20214,0.00009
0.3105,52.806,-508.816,475.000,2.90236,-1.20220,0.00004
0.3284,52.811,-508.801,474.948,2.90227,-1.20207,0.00011
0.3443,52.813,-508.747,474.829,2.90223,-1.20214,0.00011
0.3611,52.829,-508.735,474.569,2.90233,-1.20215,0.00009
0.3783,52.816,-508.721,474.206,2.90243,-1.20215,-0.00003
0.3942,52.802,-508.759,473.862,2.90230,-1.20217,0.00004
0.4102,52.801,-508.783,473.451,2.90225,-1.20212,0.00006
0.4284,52.792,-508.763,472.859,2.90235,-1.20216,-0.00001
0.4443,52.793,-508.793,472.306,2.90231,-1.20211,0.00003
0.4613,52.786,-508.776,471.678,2.90236,-1.20212,-0.00000
0.4781,52.796,-508.780,470.898,2.90232,-1.20207,0.00002
0.4945,52.791,-508.779,470.130,2.90230,-1.20202,0.00003
0.5103,52.797,-508.755,469.282,2.90238,-1.20204,0.00006
0.5283,52.783,-508.803,468.247,2.90239,-1.20202,0.00000
0.5442,52.769,-508.802,467.263,2.90241,-1.20215,-0.00002
0.5632,52.774,-508.823,466.159,2.90236,-1.20221,0.00003
0.5782,52.765,-508.859,465.197,2.90230,-1.20218,0.00002
0.5942,52.762,-508.812,464.247,2.90233,-1.20225,0.00003
0.6123,52.742,-508.825,463.203,2.90219,-1.20225,0.00006
0.6283,52.757,-508.814,462.232,2.90223,-1.20223,0.00007
0.6442,52.739,-508.770,461.209,2.90237,-1.20237,-0.00009
0.6647,52.747,-508.776,460.135,2.90233,-1.20230,-0.00006
0.6789,52.763,-508.768,459.125,-2.90234,1.20231,0.00002
0.6942,52.762,-508.775,458.153,-2.90239,1.20237,0.00001
0.7124,52.749,-508.819,457.040,-2.90235,1.20239,-0.00000
0.7283,52.751,-508.806,456.071,-2.90233,1.20234,0.00006
0.7443,52.742,-508.855,455.186,2.90218,-1.20231,0.00009
0.7637,52.765,-508.858,454.118,2.90216,-1.20218,0.00010
0.7782,52.757,-508.833,453.123,2.90228,-1.20220,0.00000
0.7942,52.760,-508.819,452.148,2.90229,-1.20229,0.00001
0.8124,52.777,-508.812,451.024,2.90237,-1.20224,-0.00000
0.8282,52.818,-508.772,450.027,-2.90241,1.20217,0.00001
0.8443,52.828,-508.749,449.062,-2.90237,1.20218,0.00003
0.8623,52.800,-508.775,447.958,-2.90236,1.20219,0.00001
0.8782,52.805,-508.807,447.051,2.90241,-1.20215,0.00002
0.8962,52.797,-508.799,445.992,2.90233,-1.20217,0.00001
0.9124,52.803,-508.788,445.001,2.90236,-1.20220,0.00004
0.9283,52.798,-508.791,444.020,2.90239,-1.20217,0.00002
0.9462,52.786,-508.825,442.940,2.90225,-1.20219,0.00005
0.9622,52.798,-508.821,441.981,2.90226,-1.20213,0.00010
0.9783,52.793,-508.807,440.967,2.90235,-1.20220,-0.00003
0.9962,52.798,-508.827,439.886,2.90236,-1.20219,0.00007
1.0124,52.800,-508.798,438.940,2.90240,-1.20218,-0.00001
1.0283,52.817,-508.792,437.969,2.90243,-1.20215,-0.00001
1.0462,52.789,-508.782,436.881,2.90239,-1.20221,-0.00002
1.0623,52.779,-508.771,435.887,2.90239,-1.20225,-0.00008
1.0782,52.796,-508.792,434.959,2.90231,-1.20217,0.00007
1.0962,52.791,-508.786,433.857,2.90232,-1.20219,-0.00003
1.1124,52.767,-508.790,432.855,2.90240,-1.20230,-0.00005
1.1283,52.784,-508.792,431.852,-2.90245,1.20224,0.00005
1.1462,52.764,-508.818,430.803,2.90229,-1.20225,-0.00003
1.1623,52.801,-508.815,429.851,2.90233,-1.20218,0.00006
1.1782,52.798,-508.827,428.895,2.90228,-1.20214,0.00013
1.1962,52.795,-508.783,427.843,2.90228,-1.20212,0.00006
1.2125,52.813,-508.764,426.829,2.90241,-1.20223,0.00003
