time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3322,1,474.969,618.27,634.5,634.50,0.0,627.4,627.40,0.0
0.4003,1,473.844,617.14,628.0,628.01,-95.3,620.9,620.91,-95.4
0.4582,1,472.200,615.50,633.0,631.03,-11.1,625.9,624.38,22.0
0.5242,1,469.129,612.43,627.5,628.49,-24.9,620.4,621.17,-37.0
0.5917,1,465.258,608.56,626.5,626.61,-26.2,619.4,619.30,-29.1
0.6542,1,461.150,604.45,617.0,620.21,-56.7,610.1,611.21,-110.7
0.7192,1,457.112,600.41,618.0,617.33,-51.5,611.0,610.00,-34.1
0.7900,1,453.165,596.46,617.5,615.92,-37.4,610.5,610.16,-2.6
0.8492,1,450.057,593.36,610.0,611.63,-50.5,603.3,604.39,-77.2
0.9162,1,444.950,588.25,604.5,606.10,-64.2,597.9,598.10,-91.3
0.9797,1,441.988,585.29,605.0,603.72,-53.4,598.4,597.48,-24.6
1.0442,1,437.929,581.23,602.0,601.26,-47.1,595.5,595.54,-29.0
1.1106,1,433.809,577.11,596.5,597.18,-53.2,590.1,590.62,-66.9
1.1752,1,429.855,573.15,589.0,590.99,-70.8,582.8,583.32,-105.0
1.2391,1,425.671,568.97,584.0,585.07,-79.8,577.9,577.72,-90.7
1.3059,1,421.685,564.99,584.5,582.52,-62.0,578.4,577.46,-17.6
1.3729,1,417.753,561.05,581.0,579.89,-52.3,575.0,575.16,-31.6
1.4370,1,413.604,556.90,573.5,574.78,-63.5,567.6,568.45,-91.8
1.5011,1,409.531,552.83,572.0,571.46,-58.7,566.2,565.63,-52.5
1.5667,1,406.522,549.82,569.0,568.42,-53.5,563.2,563.07,-41.2
1.6308,1,402.506,545.81,561.5,562.96,-66.6,555.9,556.54,-91.3
1.6952,1,398.430,541.73,556.5,557.41,-74.8,550.9,550.89,-88.2
1.7616,1,394.475,537.78,555.0,553.95,-65.0,549.5,548.83,-40.3
1.8263,1,390.304,533.60,549.5,549.60,-65.9,544.0,544.36,-64.1
1.8912,1,386.322,529.62,549.0,547.49,-51.7,543.5,543.05,-27.6
1.9576,1,382.174,525.47,539.5,541.36,-69.4,534.2,535.17,-104.1
2.0213,1,378.181,521.48,537.5,537.26,-67.3,532.2,531.64,-64.1
2.0861,1,374.282,517.58,534.5,533.84,-61.1,529.2,528.97,-45.1
2.1528,1,370.068,513.37,529.0,529.31,-64.1,523.8,524.10,-68.7
2.2163,1,367.021,510.32,524.0,524.51,-68.9,518.8,518.98,-78.5
2.2812,1,363.119,506.42,525.0,522.98,-49.4,519.8,518.96,-13.6
2.3509,1,359.002,502.30,514.5,516.53,-69.2,509.4,510.56,-105.7
2.4112,1,354.947,498.25,511.5,511.88,-72.4,506.5,506.08,-80.7
2.4784,1,350.915,494.21,507.0,507.00,-72.4,502.0,501.80,-66.3
2.5413,1,346.855,490.16,502.0,502.19,-74.2,497.0,497.11,-73.1
2.6072,1,342.900,486.20,500.0,498.90,-63.6,495.0,494.64,-43.3
2.6749,1,338.693,481.99,495.5,495.14,-60.0,490.6,490.71,-55.7
2.7372,1,334.651,477.95,496.5,494.41,-40.1,491.5,490.88,-8.4
2.8022,1,330.710,474.01,487.0,489.02,-58.7,482.1,483.30,-98.4
2.8688,1,327.517,470.82,479.0,481.56,-82.2,474.1,474.50,-126.7
2.9322,1,323.550,466.85,479.0,477.83,-72.5,474.1,472.96,-42.8
2.9971,1,319.571,462.87,475.5,474.49,-63.6,470.6,470.57,-37.9
3.0663,1,315.377,458.68,474.5,472.72,-46.9,469.6,469.42,-19.7
3.1283,1,311.376,454.68,465.5,467.35,-62.7,460.7,461.84,-102.5
3.1927,1,307.305,450.61,464.5,463.99,-58.3,459.7,459.01,-54.1
3.2582,1,303.300,446.60,462.5,461.52,-49.6,457.7,457.35,-30.1
3.3232,1,299.283,442.58,455.5,456.67,-60.1,450.7,451.37,-81.5
3.3901,1,295.177,438.48,457.0,455.22,-43.5,452.2,451.30,-13.7
3.4532,1,291.239,434.54,447.0,449.33,-63.9,442.2,443.44,-104.1
3.5181,1,288.240,431.54,447.0,446.21,-57.3,442.2,441.38,-44.0
3.5842,1,284.193,427.49,441.5,441.89,-60.7,436.7,436.94,-63.4
3.6501,1,280.115,423.42,436.5,437.08,-65.9,431.7,431.84,-75.2
3.7135,1,276.058,419.36,434.5,433.83,-59.9,429.7,429.29,-46.6
3.7800,1,271.943,415.24,427.5,428.46,-68.8,422.7,423.17,-84.7
3.8443,1,267.927,411.23,426.0,425.19,-61.4,421.2,420.66,-47.1
3.9101,1,263.849,407.15,421.0,421.06,-61.9,416.2,416.37,-62.3
3.9750,1,259.882,403.18,417.0,417.02,-62.1,412.2,412.19,-64.0
4.0391,1,255.807,399.11,412.5,412.72,-64.2,407.7,407.72,-68.7
4.1041,1,252.786,396.09,409.0,408.82,-62.4,404.2,404.02,-58.9
4.1732,1,247.719,391.02,404.0,404.20,-64.4,399.1,399.26,-67.6
4.2342,1,244.704,388.00,401.0,400.70,-61.5,396.1,395.98,-56.4
4.3019,1,240.522,383.82,394.5,395.30,-69.8,389.6,389.98,-83.8
4.3643,1,236.529,379.83,390.0,390.38,-73.6,385.1,385.06,-79.7
4.4302,1,232.593,375.89,389.5,387.93,-57.3,384.6,383.93,-27.4
4.4970,1,228.506,371.81,384.5,384.34,-55.7,379.6,379.96,-54.3
4.5602,1,224.373,367.67,380.0,380.33,-59.0,375.1,375.32,-70.0
4.6252,1,220.265,363.56,374.0,374.99,-69.3,369.1,369.33,-88.3
4.6915,1,216.392,359.69,370.0,370.15,-70.9,365.1,364.85,-70.9
4.7551,1,213.366,356.67,369.5,367.98,-54.9,364.6,363.94,-24.5
4.8201,1,209.187,352.49,358.5,360.85,-79.4,353.6,354.84,-120.4
4.8880,1,205.230,348.53,357.5,356.66,-71.2,352.6,351.75,-56.8
4.9502,1,201.190,344.49,354.5,353.57,-62.2,349.6,349.35,-42.1
5.0164,1,197.042,340.34,352.5,351.29,-49.8,347.6,347.41,-31.3
5.0813,1,193.140,336.44,350.0,349.23,-41.9,345.0,345.10,-34.9
5.1461,1,189.136,332.44,345.5,345.90,-46.0,340.5,340.88,-59.9
5.2146,1,184.962,328.26,339.0,340.43,-61.7,334.0,334.41,-89.4
5.2761,1,180.984,324.28,335.0,335.67,-68.4,330.0,329.86,-77.0
5.3412,1,177.918,321.22,333.0,332.30,-61.0,328.0,327.57,-42.2
5.4091,1,172.845,316.14,328.0,328.06,-61.6,323.0,323.26,-60.2
5.4712,1,169.734,313.03,323.5,323.79,-64.7,318.5,318.69,-71.1
5.5361,1,165.723,309.02,320.5,320.15,-60.8,315.5,315.32,-55.1
5.6056,1,161.615,304.92,316.0,315.97,-60.5,311.0,311.10,-60.0
5.6661,1,157.704,301.00,311.5,311.82,-63.9,306.5,306.69,-70.2
5.7321,1,153.558,296.86,304.5,305.69,-77.4,299.6,299.91,-97.5
5.7973,1,149.598,292.90,306.5,304.26,-51.9,301.5,300.38,-10.5
5.8621,1,145.511,288.81,302.0,301.54,-47.3,297.1,297.44,-39.3
5.9285,1,141.472,284.77,298.0,298.16,-49.0,293.1,293.32,-58.5
5.9922,1,137.463,280.76,290.5,292.28,-68.0,285.6,286.19,-102.3
6.0571,1,134.403,277.70,287.5,287.65,-69.5,282.6,282.15,-69.1
6.1242,1,130.274,273.57,284.5,283.91,-63.2,279.6,279.31,-46.4
6.1872,1,126.257,269.56,278.5,279.07,-69.1,273.6,274.05,-76.7
6.2531,1,122.181,265.48,276.5,275.73,-60.7,271.6,271.26,-47.9
6.3227,1,118.253,261.55,273.5,272.76,-52.1,268.7,268.56,-40.1
6.3832,1,114.257,257.56,267.0,268.03,-63.1,262.2,262.83,-83.6
6.4497,1,110.092,253.39,264.5,264.25,-60.2,259.7,259.37,-57.1
6.5133,1,106.105,249.41,258.0,258.93,-70.7,253.3,253.63,-84.2
6.5781,1,101.891,245.19,255.5,255.06,-65.7,250.8,250.39,-55.8
6.6452,1,97.938,241.24,250.0,250.24,-68.6,245.3,245.51,-70.2
6.7082,1,94.896,238.20,248.5,247.52,-57.2,243.8,243.41,-40.0
6.7741,1,90.926,234.23,244.0,243.91,-56.0,239.4,239.58,-55.2
6.8399,1,86.877,230.18,241.0,240.71,-52.5,236.4,236.34,-50.2
6.9042,1,82.827,226.13,236.5,236.81,-56.3,232.0,232.13,-62.8
6.9691,1,78.638,221.94,232.0,232.43,-61.6,227.5,227.59,-68.7
7.0389,1,74.660,217.96,229.0,228.69,-57.5,224.5,224.31,-49.9
7.0992,1,70.704,214.00,223.5,224.15,-65.4,219.1,219.47,-74.1
7.1664,1,66.603,209.90,219.0,219.27,-69.0,214.7,214.65,-72.1
7.2293,1,62.662,205.96,215.5,215.29,-66.3,211.2,211.06,-59.9
7.2942,1,59.567,202.87,211.0,210.99,-66.3,206.8,206.85,-63.9
7.3632,1,54.416,197.72,206.5,206.47,-65.9,202.4,202.38,-64.7
7.4243,1,51.356,194.66,204.5,203.74,-56.2,200.4,200.09,-42.9
7.4893,1,47.450,190.75,199.5,199.71,-59.0,195.5,195.76,-62.7
7.5567,1,43.390,186.69,195.0,195.25,-62.6,191.1,191.14,-67.5
7.6193,1,39.362,182.66,192.0,191.76,-59.4,188.1,187.95,-54.1
7.6852,1,35.181,178.48,187.5,187.62,-61.1,183.7,183.82,-61.2
7.7559,1,31.164,174.46,182.0,182.43,-67.7,178.3,178.50,-73.4
7.8153,1,27.178,170.48,177.5,177.83,-72.1,174.0,173.98,-75.5
7.8815,1,23.108,166.41,174.5,174.00,-64.8,171.0,170.73,-53.3
7.9454,1,19.113,162.41,170.0,169.95,-64.1,166.6,166.74,-60.9
8.0104,1,16.038,159.34,165.5,165.60,-65.6,162.3,162.33,-66.7
8.0789,1,11.859,155.16,161.0,161.03,-66.1,157.9,157.86,-65.4
8.1403,1,7.914,151.21,157.0,156.99,-66.0,154.0,153.96,-63.8
8.2063,1,3.876,147.18,152.5,152.55,-66.7,149.6,149.64,-65.3
8.2724,1,-0.126,143.17,149.5,149.05,-59.5,146.7,146.51,-50.2
8.3363,1,-4.207,139.09,145.5,145.41,-58.2,142.8,142.91,-55.3
8.4013,1,-8.380,134.92,141.0,141.21,-61.6,138.5,138.60,-64.4
8.4712,1,-12.282,131.02,137.0,136.97,-61.0,134.6,134.55,-58.8
8.5314,1,-16.365,126.94,133.0,133.10,-62.6,130.8,130.80,-61.6
8.7594,1,-29.485,113.82,130.0,129.31,-14.2,127.9,127.74,-1.3
8.9449,1,-37.668,105.63,125.0,125.26,-21.6,123.1,123.13,-29.3
8.9504,1,-41.670,101.63,120.0,122.68,-35.1,118.2,120.52,-53.7
8.9528,1,-41.670,101.63,115.0,120.24,-48.5,113.5,117.93,-85.8
8.9555,1,-41.670,101.63,111.5,118.35,-59.3,110.1,115.59,-123.0
8.9572,1,-41.670,101.63,107.5,116.71,-69.2,106.3,113.29,-167.0
9.0323,1,-46.680,96.62,104.0,109.21,-90.5,102.9,102.66,-140.6
9.0640,1,-47.639,95.66,98.5,103.77,-111.9,97.7,97.84,-146.2
9.1243,1,-51.796,91.50,94.0,95.72,-121.0,93.4,92.64,-96.9
9.1827,1,-55.868,87.43,90.5,89.55,-115.4,90.1,89.54,-62.9
9.2533,1,-59.958,83.34,87.5,84.67,-96.9,87.2,86.93,-40.2
9.3142,1,-62.890,80.41,83.0,80.94,-84.8,82.9,83.19,-57.3
9.3837,1,-67.878,75.42,79.0,77.15,-73.1,79.2,79.16,-57.9
9.4512,1,-71.018,72.28,74.0,73.18,-67.7,74.4,74.54,-66.8
9.5842,1,-80.090,63.21,70.0,68.26,-48.0,70.6,70.45,-26.8
9.5859,1,-80.090,63.21,65.5,67.06,-53.4,66.4,68.41,-45.2
9.6382,1,-83.197,60.10,61.5,63.08,-60.4,62.6,63.44,-88.6
9.7072,1,-87.262,56.04,57.5,58.19,-64.8,58.9,58.69,-71.6
9.7682,1,-91.153,52.15,52.5,53.33,-70.2,54.2,54.22,-72.9
9.8333,1,-95.186,48.11,49.0,48.89,-69.4,50.9,50.72,-57.1
9.8982,1,-98.306,44.99,45.0,44.72,-67.5,47.2,47.16,-55.1
9.9633,1,-102.361,40.94,39.5,39.88,-70.1,42.1,42.29,-71.6
