time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0023,52.843,-508.753,474.969,-2.67555,1.10839,-0.14579
0.0132,52.825,-508.762,474.941,-2.67552,1.10841,-0.14573
0.0293,52.820,-508.753,474.948,-2.67552,1.10839,-0.14570
0.0475,52.828,-508.764,474.952,-2.67555,1.10842,-0.14576
0.0637,52.821,-508.751,474.966,-2.67562,1.10840,-0.14572
0.0793,52.868,-508.722,475.004,-2.67563,1.10837,-0.14576
0.0973,52.856,-508.721,475.025,-2.67571,1.10838,-0.14580
0.1133,52.850,-508.725,475.017,-2.67571,1.10836,-0.14584
0.1292,52.875,-508.711,475.037,-2.67577,1.10830,-0.14590
0.1472,52.870,-508.745,475.025,-2.67580,1.10831,-0.14593
0.1632,52.893,-508.726,475.019,-2.67575,1.10819,-0.14590
0.1812,52.853,-508.730,475.009,-2.67572,1.10830,-0.14590
0.1972,52.877,-508.737,474.998,-2.67570,1.10824,-0.14586
0.2132,52.879,-508.712,475.002,-2.67571,1.10815,-0.14580
0.2312,52.855,-508.748,474.979,-2.67564,1.10826,-0.14591
0.2474,52.846,-508.768,474.964,-2.67564,1.10828,-0.14585
0.2632,52.852,-508.755,474.969,-2.67561,1.10827,-0.14586
0.2814,52.865,-508.744,475.001,-2.67567,1.10824,-0.14594
0.2976,52.879,-508.747,475.007,-2.67577,1.10818,-0.14594
0.3134,52.863,-508.738,475.026,-2.67584,1.10828,-0.14596
0.3313,52.875,-508.739,474.969,-2.67597,1.10831,-0.14603
0.3474,52.862,-508.735,474.844,-2.67602,1.10837,-0.14601
0.3634,52.872,-508.762,474.622,-2.67609,1.10834,-0.14605
0.3835,52.845,-508.802,474.243,-2.67598,1.10833,-0.14600
0.3975,52.840,-508.817,473.844,-2.67590,1.10828,-0.14591
0.4155,52.826,-508.885,473.385,-2.67602,1.10824,-0.14597
0.4315,52.823,-508.900,472.786,-2.67583,1.10829,-0.14600
0.4475,52.820,-508.904,472.200,-2.67585,1.10824,-0.14597
0.4634,52.814,-508.870,471.547,-2.67571,1.10821,-0.14594
0.4813,52.833,-508.829,470.812,-2.67585,1.10820,-0.14593
0.4974,52.843,-508.799,470.094,-2.67595,1.10817,-0.14596
0.5156,52.846,-508.759,469.129,-2.67578,1.10816,-0.14593
0.5314,52.846,-508.747,468.268,-2.67584,1.10822,-0.14598
0.5474,52.836,-508.773,467.300,-2.67588,1.10825,-0.14599
0.5653,52.829,-508.730,466.237,-2.67580,1.10832,-0.14593
0.5815,52.819,-508.763,465.258,-2.67588,1.10830,-0.14592
0.5975,52.817,-508.781,464.229,-2.67573,1.10830,-0.14595
0.6153,52.790,-508.806,463.111,-2.67568,1.10837,-0.14588
0.6314,52.808,-508.820,462.112,-2.67565,1.10830,-0.14594
0.6474,52.799,-508.800,461.150,-2.67562,1.10836,-0.14587
0.6653,52.785,-508.788,460.061,-2.67552,1.10839,-0.14588
0.6821,52.813,-508.785,459.125,-2.67560,1.10831,-0.14592
0.6973,52.804,-508.789,458.178,-2.67569,1.10835,-0.14589
0.7153,52.802,-508.776,457.112,-2.67579,1.10838,-0.14587
0.7314,52.788,-508.785,456.194,-2.67590,1.10845,-0.14596
0.7475,52.791,-508.745,455.228,-2.67581,1.10849,-0.14596
0.7653,52.795,-508.782,454.095,-2.67585,1.10841,-0.14599
0.7845,52.810,-508.792,453.165,-2.67598,1.10841,-0.14599
0.7974,52.808,-508.794,452.176,-2.67590,1.10842,-0.14594
0.8154,52.777,-508.803,451.079,-2.67589,1.10851,-0.14595
0.8314,52.791,-508.768,450.057,-2.67568,1.10838,-0.14591
0.8494,52.777,-508.769,448.925,-2.67556,1.10836,-0.14586
0.8653,52.788,-508.801,447.941,-2.67557,1.10835,-0.14590
0.8822,52.799,-508.775,446.962,-2.67553,1.10831,-0.14587
0.8994,52.808,-508.771,445.897,-2.67560,1.10829,-0.14591
0.9153,52.821,-508.766,444.950,-2.67560,1.10837,-0.14592
0.9313,52.803,-508.797,444.024,-2.67578,1.10844,-0.14593
0.9495,52.842,-508.784,442.926,-2.67581,1.10830,-0.14597
0.9654,52.824,-508.780,441.988,-2.67591,1.10834,-0.14599
0.9815,52.832,-508.779,441.020,-2.67591,1.10833,-0.14594
0.9994,52.835,-508.762,439.943,-2.67593,1.10829,-0.14596
1.0166,52.825,-508.754,438.925,-2.67571,1.10833,-0.14593
1.0314,52.839,-508.752,437.929,-2.67562,1.10829,-0.14589
1.0494,52.789,-508.789,436.836,-2.67571,1.10836,-0.14585
1.0654,52.790,-508.815,435.860,-2.67568,1.10836,-0.14594
1.0814,52.810,-508.807,434.903,-2.67574,1.10835,-0.14596
1.0993,52.802,-508.797,433.809,-2.67572,1.10835,-0.14592
1.1158,52.805,-508.806,432.845,-2.67580,1.10838,-0.14591
1.1314,52.820,-508.810,431.894,-2.67585,1.10835,-0.14600
1.1494,52.793,-508.777,430.805,-2.67577,1.10841,-0.14591
1.1654,52.787,-508.790,429.855,-2.67580,1.10843,-0.14592
1.1835,52.831,-508.760,428.789,-2.67575,1.10834,-0.14598
1.2002,52.845,-508.733,427.808,-2.67574,1.10830,-0.14593
1.2153,52.837,-508.742,426.822,-2.67572,1.10833,-0.14595
1.2334,52.819,-508.776,425.671,-2.67565,1.10834,-0.14593
1.2494,52.804,-508.771,424.708,-2.67563,1.10833,-0.14589
1.2653,52.837,-508.750,423.738,-2.67557,1.10823,-0.14590
1.2834,52.808,-508.755,422.615,-2.67550,1.10833,-0.14589
1.2993,52.821,-508.799,421.685,-2.67576,1.10829,-0.14597
1.3153,52.788,-508.798,420.727,-2.67575,1.10835,-0.14590
1.3347,52.804,-508.781,419.692,-2.67581,1.10842,-0.14593
1.3493,52.829,-508.780,418.722,-2.67586,1.10833,-0.14599
1.3654,52.824,-508.761,417.753,-2.67578,1.10838,-0.14593
1.3834,52.824,-508.759,416.674,-2.67579,1.10829,-0.14595
1.3993,52.839,-508.749,415.692,-2.67573,1.10833,-0.14595
1.4153,52.808,-508.771,414.692,-2.67576,1.10837,-0.14591
1.4334,52.829,-508.777,413.604,-2.67574,1.10835,-0.14597
1.4494,52.832,-508.766,412.601,-2.67562,1.10834,-0.14596
1.4653,52.809,-508.803,411.681,-2.67580,1.10841,-0.14602
1.4834,52.828,-508.802,410.567,-2.67583,1.10830,-0.14597
1.4993,52.819,-508.793,409.531,-2.67563,1.10834,-0.14594
1.5174,52.810,-508.787,408.448,-2.67564,1.10831,-0.14587
1.5334,52.820,-508.779,407.515,-2.67570,1.10832,-0.14602
1.5492,52.832,-508.777,406.522,-2.67562,1.10828,-0.14593
1.5673,52.826,-508.725,405.430,-2.67551,1.10828,-0.14589
1.5835,52.827,-508.738,404.503,-2.67562,1.10833,-0.14592
1.5994,52.839,-508.752,403.568,-2.67573,1.10833,-0.14594
1.6173,52.817,-508.778,402.506,-2.67585,1.10837,-0.14594
1.6334,52.831,-508.797,401.533,-2.67590,1.10834,-0.14597
1.6497,52.824,-508.791,400.566,-2.67586,1.10836,-0.14596
1.6673,52.807,-508.821,399.442,-2.67586,1.10841,-0.14597
1.6835,52.836,-508.818,398.430,-2.67576,1.10831,-0.14596
1.6993,52.802,-508.804,397.450,-2.67575,1.10835,-0.14588
1.7174,52.837,-508.759,396.343,-2.67563,1.10828,-0.14585
1.7349,52.811,-508.757,395.395,-2.67564,1.10836,-0.14588
1.7494,52.854,-508.750,394.475,-2.67572,1.10825,-0.14595
1.7675,52.827,-508.761,393.386,-2.67569,1.10838,-0.14594
1.7835,52.822,-508.775,392.420,-2.67576,1.10836,-0.14597
1.7993,52.826,-508.784,391.391,-2.67565,1.10835,-0.14595
1.8173,52.827,-508.777,390.304,-2.67565,1.10834,-0.14589
1.8335,52.808,-508.775,389.376,-2.67569,1.10839,-0.14596
1.8514,52.810,-508.826,388.262,-2.67583,1.10839,-0.14595
1.8672,52.839,-508.787,387.298,-2.67578,1.10834,-0.14598
1.8835,52.816,-508.804,386.322,-2.67579,1.10836,-0.14594
1.9013,52.821,-508.804,385.255,-2.67581,1.10840,-0.14598
1.9173,52.802,-508.780,384.320,-2.67581,1.10838,-0.14594
1.9335,52.832,-508.775,383.326,-2.67573,1.10834,-0.14594
1.9513,52.834,-508.778,382.174,-2.67562,1.10829,-0.14591
1.9674,52.823,-508.786,381.210,-2.67570,1.10828,-0.14586
1.9834,52.819,-508.775,380.262,-2.67565,1.10831,-0.14590
2.0013,52.819,-508.758,379.175,-2.67567,1.10826,-0.14587
2.0173,52.809,-508.756,378.181,-2.67556,1.10837,-0.14586
2.0333,52.840,-508.759,377.198,-2.67558,1.10827,-0.14591
2.0514,52.824,-508.788,376.138,-2.67574,1.10836,-0.14592
2.0682,52.828,-508.787,375.224,-2.67587,1.10833,-0.14596
2.0834,52.818,-508.782,374.282,-2.67589,1.10841,-0.14596
2.1013,52.827,-508.784,373.179,-2.67587,1.10834,-0.14595
2.1173,52.844,-508.760,372.131,-2.67563,1.10828,-0.14592
2.1333,52.842,-508.750,371.140,-2.67559,1.10822,-0.14583
2.1514,52.847,-508.764,370.068,-2.67564,1.10820,-0.14590
2.1674,52.829,-508.789,369.110,-2.67571,1.10829,-0.14588
2.1855,52.850,-508.759,368.001,-2.67567,1.10822,-0.14592
2.2013,52.821,-508.797,367.021,-2.67570,1.10828,-0.14594
2.2174,52.830,-508.790,366.061,-2.67568,1.10833,-0.14595
2.2354,52.810,-508.821,365.051,-2.67591,1.10842,-0.14597
2.2518,52.819,-508.819,364.083,-2.67591,1.10841,-0.14599
2.2675,52.828,-508.811,363.119,-2.67592,1.10840,-0.14601
2.2855,52.819,-508.774,362.025,-2.67588,1.10835,-0.14595
2.3014,52.815,-508.755,361.059,-2.67580,1.10837,-0.14590
2.3174,52.811,-508.758,360.090,-2.67575,1.10841,-0.14596
2.3353,52.828,-508.764,359.002,-2.67576,1.10836,-0.14597
2.3515,52.843,-508.757,357.983,-2.67567,1.10838,-0.14596
2.3673,52.819,-508.774,357.014,-2.67570,1.10835,-0.14594
2.3856,52.836,-508.794,355.913,-2.67572,1.10832,-0.14594
2.4014,52.822,-508.791,354.947,-2.67572,1.10833,-0.14587
2.4173,52.816,-508.795,353.961,-2.67564,1.10835,-0.14598
2.4353,52.823,-508.850,352.867,-2.67582,1.10836,-0.14598
2.4516,52.823,-508.819,351.898,-2.67577,1.10834,-0.14598
2.4674,52.811,-508.786,350.915,-2.67565,1.10837,-0.14592
2.4855,52.819,-508.794,349.848,-2.67572,1.10837,-0.14594
2.5014,52.834,-508.753,348.896,-2.67564,1.10835,-0.14596
2.5194,52.852,-508.731,347.818,-2.67569,1.10825,-0.14591
2.5354,52.820,-508.745,346.855,-2.67568,1.10835,-0.14591
2.5512,52.831,-508.751,345.887,-2.67575,1.10833,-0.14591
2.5693,52.843,-508.774,344.822,-2.67584,1.10837,-0.14596
2.5854,52.838,-508.774,343.855,-2.67585,1.10834,-0.14596
2.6013,52.804,-508.793,342.900,-2.67584,1.10840,-0.14592
2.6193,52.828,-508.786,341.764,-2.67579,1.10838,-0.14593
2.6353,52.821,-508.810,340.775,-2.67582,1.10834,-0.14595
2.6529,52.811,-508.821,339.813,-2.67586,1.10840,-0.14593
2.6701,52.821,-508.811,338.693,-2.67572,1.10835,-0.14591
2.6853,52.836,-508.808,337.724,-2.67571,1.10834,-0.14597
2.7013,52.827,-508.774,336.705,-2.67556,1.10836,-0.14588
2.7193,52.820,-508.772,335.633,-2.67558,1.10836,-0.14590
2.7353,52.820,-508.738,334.651,-2.67548,1.10829,-0.14584
2.7513,52.835,-508.786,333.716,-2.67567,1.10831,-0.14590
2.7694,52.836,-508.777,332.637,-2.67563,1.10835,-0.14594
2.7853,52.832,-508.775,331.703,-2.67574,1.10836,-0.14596
2.8014,52.835,-508.758,330.710,-2.67566,1.10831,-0.14591
2.8193,52.836,-508.759,329.606,-2.67567,1.10828,-0.14593
2.8352,52.800,-508.815,328.649,-2.67576,1.10844,-0.14596
2.8532,52.814,-508.791,327.517,-2.67563,1.10837,-0.14594
2.8693,52.807,-508.813,326.605,-2.67578,1.10841,-0.14599
2.8852,52.798,-508.793,325.604,-2.67568,1.10840,-0.14590
2.9034,52.808,-508.781,324.504,-2.67564,1.10835,-0.14591
2.9193,52.845,-508.764,323.550,-2.67561,1.10833,-0.14591
2.9353,52.815,-508.772,322.621,-2.67565,1.10837,-0.14593
2.9533,52.827,-508.800,321.546,-2.67576,1.10833,-0.14593
2.9693,52.836,-508.837,320.569,-2.67584,1.10829,-0.14599
2.9853,52.806,-508.814,319.571,-2.67578,1.10832,-0.14590
3.0034,52.819,-508.791,318.430,-2.67563,1.10827,-0.14588
3.0194,52.804,-508.801,317.455,-2.67563,1.10836,-0.14586
3.0354,52.812,-508.831,316.459,-2.67566,1.10828,-0.14596
3.0533,52.799,-508.850,315.377,-2.67571,1.10839,-0.14591
3.0698,52.837,-508.785,314.386,-2.67558,1.10823,-0.14586
