time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3163,52.846,-508.807,474.953,-2.82754,1.17129,-0.05112
0.3839,52.871,-508.652,474.386,-2.82797,1.17142,-0.05125
0.4436,52.872,-508.646,472.974,-2.82780,1.17129,-0.05118
0.5086,52.822,-508.766,470.017,-2.82753,1.17127,-0.05106
0.5766,52.832,-508.781,466.270,-2.82764,1.17131,-0.05114
0.6387,52.867,-508.802,462.207,-2.82779,1.17127,-0.05128
0.7046,52.863,-508.781,458.104,-2.82752,1.17119,-0.05111
0.7742,52.856,-508.833,454.200,-2.82785,1.17132,-0.05117
0.8346,52.850,-508.768,450.088,-2.82777,1.17127,-0.05115
0.9026,52.849,-508.782,446.067,-2.82766,1.17124,-0.05116
0.9647,52.847,-508.794,442.947,-2.82754,1.17123,-0.05107
1.0296,52.847,-508.768,438.858,-2.82752,1.17126,-0.05112
1.0964,52.841,-508.795,434.959,-2.82780,1.17125,-0.05116
1.1597,52.835,-508.829,430.728,-2.82764,1.17130,-0.05113
1.2256,52.859,-508.765,426.758,-2.82753,1.17126,-0.05109
1.2924,52.858,-508.771,422.748,-2.82756,1.17120,-0.05109
1.3557,52.844,-508.817,418.710,-2.82781,1.17130,-0.05122
1.4206,52.841,-508.788,414.627,-2.82748,1.17127,-0.05110
1.4872,52.879,-508.779,410.572,-2.82775,1.17118,-0.05117
1.5506,52.825,-508.824,407.493,-2.82768,1.17130,-0.05116
1.6183,52.860,-508.782,402.505,-2.82755,1.17119,-0.05114
1.6806,52.865,-508.774,399.513,-2.82758,1.17123,-0.05115
1.7466,52.879,-508.796,395.380,-2.82763,1.17121,-0.05123
1.8137,52.865,-508.776,391.406,-2.82758,1.17120,-0.05110
1.8767,52.867,-508.764,387.300,-2.82765,1.17123,-0.05112
1.9415,52.839,-508.816,383.219,-2.82754,1.17125,-0.05108
2.0087,52.862,-508.764,379.271,-2.82752,1.17127,-0.05115
2.0717,52.880,-508.754,375.181,-2.82764,1.17126,-0.05120
2.1366,52.859,-508.812,371.146,-2.82770,1.17124,-0.05111
2.2068,52.851,-508.791,366.944,-2.82733,1.17129,-0.05113
2.2676,52.862,-508.757,363.991,-2.82753,1.17121,-0.05112
2.3330,52.853,-508.845,360.173,-2.82806,1.17141,-0.05131
2.3976,52.857,-508.789,355.984,-2.82755,1.17121,-0.05115
2.4626,52.847,-508.776,351.796,-2.82738,1.17118,-0.05101
2.5295,52.843,-508.806,347.883,-2.82764,1.17128,-0.05117
2.5926,52.847,-508.760,343.804,-2.82759,1.17126,-0.05112
2.6576,52.861,-508.771,339.811,-2.82765,1.17128,-0.05114
2.7246,52.870,-508.823,335.779,-2.82777,1.17123,-0.05123
2.7876,52.860,-508.745,331.592,-2.82739,1.17117,-0.05102
2.8526,52.848,-508.817,328.525,-2.82743,1.17110,-0.05104
2.9205,52.835,-508.828,324.530,-2.82745,1.17124,-0.05105
