time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned UNFITTED (using wood),filt_learned UNFITTED (using wood),vel_learned UNFITTED (using wood)
0.3488,1,474.820,618.12,617.2,617.20,0.0,622.1,622.11,0.0
0.4141,1,473.399,616.70,615.7,615.70,-22.9,620.6,620.61,-22.9
0.4805,1,470.891,614.19,614.7,614.62,-18.8,619.6,619.55,-17.3
0.5447,1,467.200,610.50,611.7,612.18,-28.1,616.6,616.88,-37.2
0.6096,1,463.311,606.61,609.7,609.92,-31.1,614.6,614.59,-35.6
0.6763,1,460.163,603.46,606.2,606.79,-38.5,611.2,611.37,-46.3
0.7397,1,456.005,599.31,602.2,603.01,-48.1,607.4,607.58,-57.4
0.8046,1,452.095,595.39,598.7,599.14,-53.5,604.1,604.05,-54.8
0.8715,1,448.027,591.33,590.2,592.15,-78.1,596.0,596.58,-102.8
0.9347,1,443.944,587.24,588.2,587.80,-73.8,594.0,593.44,-59.4
0.9996,1,439.945,583.25,586.2,584.98,-59.7,592.1,591.75,-31.7
1.0695,1,435.842,579.14,578.2,579.15,-71.3,584.4,585.10,-86.4
1.1307,1,431.790,575.09,578.2,576.88,-56.4,584.4,583.70,-35.6
1.1974,1,427.912,571.21,575.7,574.72,-45.0,582.0,581.92,-28.0
1.2607,1,423.692,566.99,567.7,569.29,-63.5,574.3,575.19,-92.0
1.3257,1,420.682,563.98,563.2,563.97,-72.1,569.9,569.84,-84.0
1.3926,1,416.708,560.01,562.2,561.06,-58.5,569.0,568.31,-32.5
1.4557,1,412.546,555.85,556.2,556.65,-63.6,563.2,563.63,-66.4
1.5207,1,408.593,551.89,549.2,550.45,-78.4,556.4,556.79,-98.8
1.5888,1,404.558,547.86,549.2,547.69,-60.0,556.4,555.50,-30.8
1.6517,1,400.444,543.74,544.7,544.39,-56.6,552.0,552.22,-48.2
1.7166,1,396.469,539.77,540.7,540.71,-56.7,548.1,548.23,-59.3
1.7850,1,392.306,535.61,534.7,535.48,-66.3,542.2,542.48,-80.4
1.8467,1,388.266,531.57,535.2,533.74,-49.4,542.7,541.89,-23.3
1.9127,1,384.353,527.65,527.2,528.45,-64.0,534.9,535.66,-82.9
1.9768,1,381.270,524.57,527.2,526.11,-51.4,534.9,534.20,-33.4
2.0417,1,377.136,520.44,517.7,519.62,-74.0,525.6,526.50,-104.1
2.1090,1,373.111,516.41,517.2,516.20,-62.8,525.1,524.29,-43.8
2.1727,1,369.186,512.49,516.2,514.65,-45.5,524.1,523.69,-15.6
2.2376,1,365.070,508.37,512.7,512.31,-41.2,520.6,520.94,-37.9
2.3037,1,360.864,504.16,505.2,506.87,-60.2,513.3,513.99,-94.2
2.3677,1,356.935,500.24,502.2,502.52,-63.7,510.3,509.94,-68.7
2.4326,1,352.969,496.27,498.2,498.27,-64.5,506.3,506.22,-59.3
2.5006,1,348.863,492.16,490.7,491.89,-78.4,498.9,499.38,-94.5
2.5627,1,344.841,488.14,489.2,488.35,-69.1,497.4,496.83,-51.2
2.6295,1,341.799,485.10,485.2,484.64,-62.6,493.5,493.47,-50.4
2.6937,1,337.676,480.98,480.2,480.36,-64.5,488.5,488.78,-69.1
2.7587,1,333.634,476.93,477.7,477.12,-57.7,486.0,485.79,-50.0
2.8250,1,329.610,472.91,475.7,474.80,-47.0,484.1,483.84,-32.7
2.8887,1,325.494,468.79,470.2,470.81,-54.2,478.6,479.08,-67.2
2.9537,1,321.516,464.82,466.7,466.92,-56.8,475.1,475.06,-62.7
3.0227,1,317.417,460.72,461.7,462.16,-62.8,470.1,470.23,-69.0
3.0847,1,313.456,456.76,456.7,457.29,-69.9,465.2,465.29,-77.6
3.1496,1,309.468,452.77,454.2,453.66,-63.2,462.7,462.33,-51.1
3.2189,1,305.381,448.68,448.2,448.58,-68.3,456.7,456.98,-73.5
3.2797,1,302.350,445.65,445.7,445.22,-62.5,454.2,453.93,-54.8
3.3463,1,298.411,441.71,440.2,440.51,-66.5,448.7,448.93,-71.8
3.4107,1,294.177,437.48,438.2,437.49,-57.2,446.7,446.36,-45.6
3.4747,1,290.179,433.48,435.7,435.02,-48.3,444.2,444.10,-37.1
3.5418,1,286.232,429.53,432.2,432.05,-46.2,440.7,440.84,-46.8
3.6057,1,282.042,425.34,425.7,426.92,-62.6,434.2,434.76,-86.5
3.6706,1,278.049,421.35,422.7,422.76,-63.4,431.2,430.91,-64.0
3.7379,1,273.969,417.27,419.2,418.95,-59.9,427.7,427.56,-52.0
3.8007,1,269.954,413.25,416.2,415.84,-55.0,424.7,424.64,-47.5
3.8656,1,265.919,409.22,411.2,411.58,-60.3,419.7,419.97,-67.8
3.9366,1,261.834,405.13,405.7,406.23,-68.3,414.2,414.31,-78.2
3.9967,1,258.882,402.18,403.7,403.13,-60.6,412.2,411.76,-49.8
4.0644,1,254.831,398.13,399.7,399.47,-57.2,408.2,408.19,-52.2
