time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3640,55.107,-508.837,474.819,2.90227,-1.20213,0.00008
0.4324,55.098,-508.892,472.866,2.90242,-1.20218,-0.00001
0.4965,55.094,-508.887,470.867,2.90246,-1.20219,-0.00002
0.5563,55.099,-508.840,467.224,2.90238,-1.20224,0.00002
0.6225,55.071,-508.871,463.322,2.90210,-1.20214,0.00011
0.6863,55.074,-508.817,459.077,-2.90238,1.20229,0.00007
0.7553,55.054,-508.894,455.134,2.90229,-1.20224,0.00010
0.8173,55.055,-508.861,451.134,2.90231,-1.20226,0.00004
0.8812,55.111,-508.800,448.040,-2.90236,1.20219,0.00007
0.9526,55.110,-508.849,442.996,2.90237,-1.20216,0.00004
1.0123,55.084,-508.879,439.949,2.90237,-1.20227,0.00006
1.0805,55.092,-508.808,435.829,-2.90237,1.20230,0.00003
1.1424,55.084,-508.826,431.801,-2.90238,1.20224,0.00003
1.2073,55.091,-508.828,427.919,2.90227,-1.20212,0.00001
1.2753,55.097,-508.858,423.684,-2.90247,1.20218,0.00001
1.3384,55.080,-508.884,419.786,2.90216,-1.20219,0.00009
1.4023,55.096,-508.831,415.626,2.90239,-1.20221,-0.00002
1.4719,55.089,-508.841,411.592,-2.90245,1.20224,0.00001
1.5333,55.061,-508.849,408.581,2.90234,-1.20233,-0.00001
1.5982,55.076,-508.856,404.587,2.90235,-1.20225,0.00002
1.6679,55.084,-508.876,400.460,2.90239,-1.20221,-0.00003
1.7283,55.093,-508.866,396.480,2.90233,-1.20213,0.00004
1.7956,55.098,-508.843,392.284,-2.90245,1.20222,0.00012
1.8594,55.110,-508.833,388.276,-2.90230,1.20223,0.00005
1.9243,55.098,-508.856,384.368,2.90230,-1.20218,0.00001
1.9908,55.126,-508.873,380.281,2.90236,-1.20207,0.00011
2.0543,55.054,-508.874,376.140,-2.90231,1.20230,0.00010
2.1192,55.079,-508.831,373.127,-2.90230,1.20228,0.00009
2.1871,55.070,-508.843,368.187,2.90220,-1.20219,0.00001
2.2503,55.084,-508.819,365.079,-2.90241,1.20228,0.00005
2.3142,55.100,-508.826,360.871,-2.90227,1.20214,0.00013
2.3857,55.134,-508.861,356.912,-2.90244,1.20219,-0.00008
2.4454,55.114,-508.819,353.002,2.90240,-1.20221,0.00005
2.5123,55.107,-508.853,348.870,2.90237,-1.20221,0.00007
2.5754,55.066,-508.860,344.827,2.90239,-1.20230,-0.00005
2.6403,55.077,-508.805,340.704,-2.90236,1.20225,0.00005
2.7077,55.098,-508.841,336.712,-2.90246,1.20218,0.00003
2.7713,55.083,-508.910,332.683,2.90242,-1.20222,-0.00001
2.8362,55.053,-508.887,329.596,-2.90218,1.20227,0.00013
2.9032,55.095,-508.886,325.512,-2.90238,1.20220,0.00009
2.9663,55.104,-508.872,321.508,-2.90240,1.20218,0.00003
3.0323,55.104,-508.816,317.424,-2.90231,1.20222,0.00005
3.0964,55.112,-508.852,313.427,-2.90240,1.20223,-0.00001
3.1614,55.087,-508.873,309.479,2.90234,-1.20220,-0.00004
3.2286,55.096,-508.818,305.389,2.90243,-1.20223,0.00005
3.2924,55.087,-508.826,301.427,2.90230,-1.20226,0.00006
3.3563,55.080,-508.893,297.298,2.90218,-1.20214,0.00008
3.4244,55.120,-508.853,293.248,2.90245,-1.20223,0.00009
3.4873,55.120,-508.819,290.178,-2.90246,1.20215,-0.00001
3.5522,55.119,-508.881,286.252,2.90226,-1.20218,0.00008
3.6201,55.114,-508.830,282.079,2.90246,-1.20216,-0.00001
3.6823,55.087,-508.855,278.076,2.90241,-1.20227,0.00001
3.7497,55.105,-508.856,273.960,2.90241,-1.20218,0.00003
3.8134,55.084,-508.864,269.949,2.90241,-1.20229,0.00002
3.8783,55.078,-508.890,265.954,-2.90244,1.20227,-0.00000
3.9445,55.100,-508.880,261.850,2.90238,-1.20217,0.00010
4.0084,55.091,-508.847,257.892,2.90232,-1.20223,0.00007
4.0733,55.103,-508.811,254.792,-2.90236,1.20223,0.00001
4.1397,55.110,-508.870,250.664,-2.90246,1.20216,0.00003
4.2033,55.117,-508.886,246.645,2.90249,-1.20214,0.00001
4.2683,55.116,-508.853,242.764,2.90234,-1.20213,0.00007
4.3376,55.118,-508.855,238.626,2.90234,-1.20215,0.00001
4.3993,55.109,-508.855,234.489,-2.90240,1.20211,0.00005
4.4666,55.114,-508.872,230.534,2.90232,-1.20212,0.00009
4.5294,55.102,-508.855,226.508,2.90235,-1.20218,0.00003
4.5943,55.086,-508.891,222.465,2.90237,-1.20223,0.00002
4.6618,55.103,-508.836,218.388,2.90239,-1.20224,0.00006
4.7254,55.093,-508.852,214.417,2.90231,-1.20223,0.00008
4.7892,55.079,-508.867,211.292,2.90239,-1.20229,0.00004
4.8584,55.107,-508.835,206.242,-2.90238,1.20228,-0.00004
4.9203,55.124,-508.848,203.163,-2.90239,1.20219,-0.00006
4.9853,55.072,-508.918,199.114,2.90221,-1.20225,0.00007
5.0557,55.089,-508.823,195.036,-2.90230,1.20221,0.00013
5.1153,55.118,-508.842,191.046,-2.90242,1.20219,0.00001
5.1824,55.109,-508.847,186.896,-2.90244,1.20218,0.00002
5.2464,55.128,-508.871,182.987,2.90243,-1.20217,0.00007
5.3113,55.103,-508.845,178.832,-2.90243,1.20223,0.00003
5.3781,55.105,-508.885,174.908,2.90227,-1.20214,0.00010
