time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned UNFITTED (using wood),filt_learned UNFITTED (using wood),vel_learned UNFITTED (using wood)
0.3414,1,474.820,618.12,614.2,614.20,0.0,619.1,619.11,0.0
0.4080,1,473.404,616.70,607.2,607.21,-105.0,612.2,612.19,-103.9
0.4740,1,470.865,614.16,612.7,610.69,-7.8,617.6,616.14,28.9
0.5358,1,467.230,610.53,605.7,607.53,-28.1,610.8,611.88,-49.8
0.6020,1,463.299,606.60,602.2,603.58,-41.7,607.4,607.59,-62.4
0.6658,1,459.097,602.40,601.2,601.08,-40.7,606.5,606.04,-31.1
0.7318,1,455.128,598.43,600.2,599.44,-34.2,605.5,605.30,-14.5
0.7995,1,451.138,594.44,591.2,593.66,-55.8,596.9,597.94,-94.5
0.8619,1,447.912,591.21,588.2,589.09,-62.8,594.0,593.73,-72.6
0.9267,1,443.947,587.25,583.2,583.99,-69.3,589.2,589.21,-70.2
0.9934,1,439.993,583.29,581.7,580.72,-60.8,587.8,587.34,-34.8
1.0569,1,435.847,579.15,576.2,576.48,-63.2,582.5,582.90,-63.5
1.1218,1,431.820,575.12,573.2,572.85,-60.2,579.6,579.49,-54.4
1.1908,1,427.816,571.12,567.7,568.11,-63.9,574.3,574.49,-69.8
1.2528,1,423.697,567.00,564.2,564.18,-63.7,570.9,570.80,-61.6
1.3196,1,419.796,563.10,559.7,559.79,-64.6,566.6,566.58,-63.0
1.3829,1,415.610,558.91,558.2,557.16,-55.2,565.1,564.72,-35.4
1.4478,1,411.605,554.90,552.7,553.06,-58.5,559.8,560.15,-64.4
1.5140,1,408.574,551.87,547.7,548.31,-64.2,554.9,555.04,-75.2
1.5779,1,404.439,547.74,545.2,544.79,-60.4,552.5,552.13,-50.8
1.6438,1,400.477,543.78,540.7,540.74,-60.8,548.1,548.18,-58.5
1.7109,1,396.484,539.78,536.7,536.68,-60.7,544.2,544.18,-59.4
1.7738,1,392.290,535.59,530.2,531.29,-71.1,537.8,538.22,-88.3
1.8388,1,388.286,531.59,526.7,526.69,-71.0,534.4,534.11,-67.5
