time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3414,55.113,-508.796,474.820,2.90225,-1.20215,0.00008
0.4080,55.145,-508.856,473.404,2.90232,-1.20211,0.00012
0.4740,55.128,-508.829,470.865,-2.90247,1.20214,-0.00001
0.5358,55.114,-508.791,467.230,2.90244,-1.20211,-0.00004
0.6020,55.093,-508.845,463.299,2.90218,-1.20209,0.00009
0.6658,55.075,-508.774,459.097,-2.90239,1.20227,0.00006
0.7318,55.064,-508.845,455.128,2.90229,-1.20232,0.00007
0.7995,55.061,-508.839,451.138,2.90225,-1.20229,0.00003
0.8619,55.067,-508.814,447.912,-2.90231,1.20235,0.00003
0.9267,55.110,-508.806,443.947,2.90242,-1.20225,0.00002
0.9934,55.084,-508.831,439.993,2.90231,-1.20219,-0.00003
1.0569,55.118,-508.759,435.847,-2.90241,1.20226,-0.00001
1.1218,55.054,-508.820,431.820,2.90238,-1.20234,-0.00008
1.1908,55.108,-508.800,427.816,2.90221,-1.20213,0.00010
1.2528,55.088,-508.850,423.697,2.90240,-1.20221,-0.00004
1.3196,55.107,-508.849,419.796,2.90222,-1.20207,0.00011
1.3829,55.086,-508.801,415.610,2.90240,-1.20227,-0.00001
1.4478,55.098,-508.799,411.605,-2.90240,1.20232,-0.00001
1.5140,55.107,-508.813,408.574,2.90243,-1.20224,0.00003
1.5779,55.109,-508.813,404.439,2.90244,-1.20225,0.00000
1.6438,55.113,-508.831,400.477,2.90237,-1.20224,0.00003
1.7109,55.095,-508.826,396.484,2.90232,-1.20218,-0.00003
1.7738,55.093,-508.813,392.290,-2.90243,1.20223,0.00001
1.8388,55.107,-508.793,388.286,-2.90230,1.20223,0.00003
1.9089,55.106,-508.813,384.234,2.90234,-1.20220,0.00007
1.9689,55.106,-508.839,380.294,2.90228,-1.20218,0.00008
2.0353,55.092,-508.825,376.161,-2.90233,1.20224,0.00006
2.0989,55.115,-508.773,373.113,-2.90229,1.20215,0.00009
2.1648,55.106,-508.816,369.185,2.90216,-1.20217,0.00010
2.2313,55.100,-508.771,365.082,-2.90241,1.20222,0.00004
2.2949,55.098,-508.784,360.881,-2.90224,1.20223,0.00011
2.3598,55.124,-508.808,356.936,-2.90244,1.20221,-0.00004
2.4262,55.101,-508.801,352.994,2.90235,-1.20227,0.00004
2.4899,55.103,-508.815,348.854,2.90240,-1.20227,-0.00000
2.5558,55.083,-508.832,344.844,2.90235,-1.20229,-0.00003
2.6258,55.116,-508.768,340.675,-2.90233,1.20217,0.00006
2.6859,55.096,-508.815,336.713,-2.90244,1.20225,0.00003
2.7529,55.124,-508.851,332.677,-2.90242,1.20220,-0.00003
2.8159,55.092,-508.830,329.613,-2.90224,1.20211,0.00013
2.8809,55.082,-508.836,325.517,-2.90231,1.20223,0.00009
2.9489,55.090,-508.844,321.531,-2.90244,1.20222,0.00005
3.0109,55.102,-508.794,317.430,-2.90230,1.20230,0.00004
3.0768,55.117,-508.817,313.436,-2.90239,1.20225,-0.00001
3.1435,55.102,-508.841,309.476,2.90236,-1.20227,0.00004
3.2069,55.112,-508.784,305.429,2.90235,-1.20223,0.00003
3.2725,55.100,-508.789,301.406,2.90232,-1.20225,-0.00001
3.3385,55.104,-508.841,297.297,2.90222,-1.20212,0.00009
3.4019,55.095,-508.811,293.269,2.90239,-1.20229,0.00002
3.4692,55.086,-508.772,289.224,-2.90236,1.20226,0.00003
3.5319,55.107,-508.819,286.140,2.90229,-1.20220,0.00005
3.5978,55.120,-508.796,282.067,-2.90247,1.20215,-0.00001
3.6644,55.094,-508.831,278.104,2.90237,-1.20226,0.00004
3.7279,55.097,-508.832,273.969,2.90233,-1.20227,0.00005
3.7928,55.108,-508.827,269.970,2.90242,-1.20223,0.00002
3.8600,55.089,-508.854,265.840,2.90241,-1.20226,0.00002
3.9229,55.098,-508.853,261.857,2.90236,-1.20218,0.00006
3.9894,55.109,-508.800,257.882,2.90236,-1.20217,-0.00001
4.0540,55.101,-508.787,253.716,-2.90239,1.20223,0.00006
4.1189,55.113,-508.837,250.654,-2.90239,1.20218,0.00002
4.1855,55.102,-508.862,246.647,2.90240,-1.20229,-0.00002
4.2489,55.123,-508.810,242.626,2.90236,-1.20219,0.00009
4.3139,55.116,-508.813,238.622,2.90237,-1.20218,0.00005
4.3804,55.102,-508.803,234.488,-2.90231,1.20214,0.00010
