time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.2965,1,474.999,618.30,623.0,623.00,0.0,615.9,615.90,0.0
0.3617,1,474.687,617.99,619.0,619.00,-61.3,612.0,612.00,-59.9
0.4261,1,473.362,616.66,622.0,620.87,-5.8,614.9,614.08,13.8
0.4886,1,470.967,614.27,620.0,620.16,-8.5,613.0,613.27,-7.8
0.5535,1,467.143,610.44,619.0,619.21,-11.2,612.0,612.11,-16.2
0.6226,1,463.232,606.53,613.5,615.29,-32.4,606.7,607.24,-62.7
0.6845,1,459.169,602.47,608.0,610.16,-53.9,601.3,601.64,-85.1
0.7509,1,455.090,598.39,604.5,605.36,-62.4,597.9,597.64,-64.2
0.8147,1,451.075,594.38,601.5,601.45,-61.9,595.0,594.78,-48.4
0.8796,1,448.074,591.37,595.5,596.27,-69.8,589.1,589.51,-75.5
0.9474,1,443.006,586.31,589.5,590.28,-78.3,583.3,583.44,-87.4
1.0096,1,439.942,583.24,584.5,584.87,-82.0,578.4,578.34,-83.0
1.0745,1,435.969,579.27,587.5,584.37,-48.7,581.3,580.11,8.5
1.1422,1,431.780,575.08,581.5,581.31,-47.1,575.5,576.19,-47.8
1.2046,1,427.866,571.17,577.5,577.87,-50.5,571.6,571.81,-66.0
1.2695,1,423.700,567.00,575.5,575.13,-46.9,569.6,569.29,-43.5
1.3411,1,419.750,563.05,568.0,569.45,-62.0,562.2,562.74,-85.4
1.4006,1,415.690,558.99,565.5,565.61,-63.0,559.8,559.43,-61.9
1.4673,1,411.618,554.92,559.5,560.27,-70.6,553.9,554.08,-77.3
1.5306,1,408.573,551.87,558.0,557.10,-61.9,552.4,551.92,-42.1
1.5956,1,404.526,547.83,554.0,553.63,-58.2,548.5,548.58,-49.9
1.6623,1,400.488,543.79,549.0,549.30,-61.3,543.5,543.78,-68.4
1.7256,1,396.473,539.77,547.5,546.67,-52.8,542.1,541.67,-39.8
1.7905,1,392.239,535.54,542.0,542.49,-57.9,536.6,537.00,-66.5
1.8592,1,388.271,531.57,537.5,537.89,-62.1,532.2,532.23,-69.1
1.9206,1,384.323,527.62,534.5,534.33,-60.4,529.2,529.03,-55.4
1.9865,1,380.232,523.53,530.5,530.44,-59.7,525.3,525.29,-56.5
2.0568,1,376.133,519.43,527.5,527.04,-54.3,522.3,522.18,-46.0
2.1166,1,373.135,516.43,519.5,521.21,-72.3,514.4,515.21,-101.7
2.1836,1,368.144,511.44,516.5,516.45,-71.7,511.4,510.99,-68.9
2.2467,1,365.039,508.34,516.5,514.70,-52.4,511.4,510.68,-16.7
2.3115,1,360.971,504.27,509.5,510.23,-59.9,504.5,505.22,-72.7
2.3797,1,356.957,500.26,506.0,506.06,-60.5,501.0,500.89,-64.8
2.4416,1,352.990,496.29,505.0,503.93,-49.3,500.0,499.51,-30.5
2.5075,1,348.827,492.13,498.5,499.35,-58.6,493.5,494.10,-73.6
2.5750,1,344.832,488.13,494.5,494.84,-62.4,489.6,489.50,-69.1
2.6376,1,340.787,484.09,489.5,490.06,-68.5,484.6,484.68,-75.6
2.7025,1,336.654,479.95,485.0,485.23,-71.2,480.1,480.06,-71.9
2.7678,1,332.636,475.94,482.0,481.46,-65.0,477.1,476.86,-52.8
2.8326,1,329.601,472.90,480.0,478.96,-52.9,475.1,474.88,-34.4
2.9007,1,324.554,467.85,474.0,474.50,-58.9,469.1,469.61,-71.0
2.9627,1,321.526,464.83,471.0,470.94,-58.3,466.2,466.00,-60.6
3.0285,1,317.516,460.82,466.0,466.41,-63.2,461.2,461.28,-69.8
3.0967,1,313.416,456.72,461.5,461.72,-66.0,456.7,456.65,-68.3
3.1586,1,309.463,452.76,460.0,459.10,-55.3,455.2,454.74,-38.0
3.2235,1,305.359,448.66,454.0,454.56,-62.3,449.2,449.63,-71.8
3.2920,1,301.392,444.69,454.0,452.69,-45.0,449.2,448.57,-23.8
3.3536,1,297.396,440.70,447.0,448.12,-58.2,442.2,442.96,-78.0
3.4206,1,293.208,436.51,439.5,441.24,-80.0,434.7,435.11,-111.1
3.4836,1,290.123,433.42,437.5,436.98,-74.2,432.7,431.98,-60.9
3.5496,1,286.208,429.51,434.0,433.29,-65.6,429.2,429.01,-47.7
3.6174,1,282.047,425.35,430.5,429.90,-58.0,425.7,425.69,-48.7
3.6796,1,278.082,421.38,427.0,426.73,-54.8,422.2,422.25,-54.0
3.7446,1,274.061,417.36,423.5,423.38,-53.3,418.7,418.68,-54.8
3.8122,1,269.927,413.23,422.0,421.20,-42.9,417.2,416.87,-31.1
3.8746,1,265.908,409.21,414.5,416.00,-61.5,409.7,410.48,-88.9
3.9395,1,261.820,405.12,410.0,410.76,-70.7,405.2,405.09,-84.0
4.0097,1,257.856,401.16,407.5,406.90,-62.7,402.7,402.20,-47.0
4.0706,1,253.852,397.15,403.0,403.03,-63.1,398.1,398.34,-60.2
4.1376,1,249.664,392.96,399.0,398.93,-62.2,394.1,394.16,-62.0
4.2006,1,246.611,389.91,393.5,394.05,-69.3,388.6,388.88,-79.8
4.2656,1,242.680,385.98,392.0,391.12,-57.7,387.1,386.62,-42.4
4.3336,1,238.654,381.95,386.5,386.74,-61.0,381.6,381.91,-65.3
4.3956,1,234.476,377.78,382.5,382.67,-63.2,377.6,377.64,-68.0
4.4605,1,230.456,373.76,379.0,378.84,-61.1,374.1,373.97,-58.5
4.5275,1,226.474,369.77,376.0,375.57,-55.0,371.1,370.95,-47.3
4.5916,1,222.439,365.74,371.5,371.69,-57.6,366.6,366.78,-61.8
4.6556,1,218.388,361.69,367.0,367.36,-62.6,362.1,362.19,-70.1
4.7269,1,214.382,357.68,361.0,361.62,-72.1,356.1,356.21,-82.0
4.7866,1,211.309,354.61,359.5,358.71,-61.4,354.6,354.03,-46.1
4.8543,1,207.181,350.48,357.0,356.17,-48.9,352.1,351.90,-33.6
4.9166,1,203.236,346.54,351.5,352.07,-57.1,346.6,347.06,-69.3
4.9816,1,199.177,342.48,347.0,347.47,-64.1,342.0,342.12,-74.9
5.0487,1,195.025,338.33,345.0,344.39,-54.6,340.0,339.63,-42.9
5.1116,1,190.993,334.29,338.5,339.35,-67.2,333.5,334.06,-80.2
5.1765,1,186.921,330.22,334.5,334.67,-69.7,329.5,329.43,-72.7
5.2459,1,182.894,326.19,332.0,331.30,-58.3,327.0,326.68,-44.3
5.3066,1,178.968,322.27,328.5,328.24,-54.5,323.5,323.61,-49.4
5.3726,1,175.923,319.22,326.0,325.55,-47.3,321.0,320.93,-41.9
5.4377,1,171.869,315.17,320.0,320.82,-60.5,315.0,315.50,-76.4
5.5026,1,167.850,311.15,318.0,317.63,-54.6,313.0,312.67,-49.2
5.5688,1,163.686,306.99,311.0,311.98,-70.8,306.0,306.52,-85.8
5.6327,1,159.616,302.92,310.0,309.14,-57.3,305.0,304.44,-42.0
5.6975,1,155.664,298.96,305.5,305.47,-56.9,300.5,300.72,-54.8
5.7654,1,151.561,294.86,301.0,301.20,-60.2,296.1,296.19,-65.0
5.8276,1,147.564,290.86,296.0,296.49,-68.0,291.1,291.24,-76.8
5.8935,1,143.456,286.76,294.0,293.35,-57.1,289.1,288.66,-45.2
5.9631,1,139.492,282.79,291.5,290.85,-45.4,286.6,286.44,-33.7
6.0236,1,135.515,278.81,285.5,286.38,-59.5,280.6,281.22,-75.7
6.0904,1,132.421,275.72,283.0,282.81,-56.2,278.1,277.84,-54.5
6.1536,1,128.278,271.58,278.5,278.75,-60.4,273.6,273.75,-62.8
6.2186,1,124.312,267.61,275.0,274.94,-59.4,270.2,270.08,-57.6
6.2864,1,120.175,263.48,271.0,270.97,-58.9,266.2,266.17,-57.6
6.3486,1,116.202,259.50,266.5,266.76,-63.4,261.7,261.84,-67.4
6.4145,1,112.206,255.51,262.0,262.18,-66.8,257.2,257.25,-69.2
6.4824,1,108.043,251.34,257.0,257.20,-70.5,252.3,252.30,-72.3
6.5446,1,104.073,247.37,254.5,253.96,-60.9,249.8,249.48,-50.6
6.6095,1,99.877,243.18,251.0,250.69,-55.1,246.3,246.29,-49.3
6.6795,1,95.981,239.28,247.0,246.95,-54.1,242.3,242.41,-54.6
6.7396,1,92.944,236.24,244.0,243.90,-52.4,239.4,239.34,-51.9
6.8060,1,88.884,232.18,239.5,239.78,-57.9,234.9,235.06,-62.4
6.8696,1,84.835,228.13,236.0,236.03,-58.5,231.5,231.40,-58.3
6.9355,1,80.763,224.06,231.5,231.70,-62.5,227.0,227.09,-64.3
7.0011,1,76.609,219.91,226.5,226.83,-69.1,222.1,222.19,-73.0
7.0656,1,72.696,216.00,222.5,222.46,-68.4,218.1,218.03,-65.9
7.1306,1,68.650,211.95,219.5,219.06,-59.3,215.2,214.96,-50.4
7.1977,1,64.595,207.90,215.5,215.38,-56.7,211.2,211.28,-54.2
7.2607,1,60.534,203.83,211.0,211.24,-61.6,206.8,206.96,-65.9
7.3257,1,57.481,200.78,207.0,207.07,-63.1,202.9,202.83,-63.9
7.3968,1,52.493,195.79,204.5,203.98,-51.1,200.4,200.13,-41.3
7.4558,1,49.456,192.76,200.0,200.30,-57.0,196.0,196.27,-60.3
7.5225,1,45.344,188.64,196.5,196.50,-57.0,192.5,192.51,-57.0
7.5858,1,41.311,184.61,190.5,191.20,-72.1,186.7,187.01,-81.4
