time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0047,52.737,-508.797,475.060,2.90224,-1.20231,0.00003
0.0107,52.732,-508.813,475.019,2.90235,-1.20240,0.00007
0.0287,52.725,-508.803,475.020,-2.90234,1.20250,-0.00008
0.0446,52.725,-508.804,475.056,2.90226,-1.20238,0.00013
0.0606,52.727,-508.807,475.009,-2.90235,1.20244,-0.00006
0.0786,52.733,-508.826,474.995,-2.90235,1.20244,-0.00004
0.0947,52.719,-508.815,474.971,-2.90228,1.20243,0.00001
0.1126,52.716,-508.833,474.985,-2.90232,1.20249,-0.00001
0.1286,52.705,-508.827,474.991,-2.90231,1.20248,0.00003
0.1446,52.719,-508.832,475.000,2.90235,-1.20248,0.00001
0.1627,52.742,-508.826,474.976,-2.90230,1.20242,-0.00003
0.1786,52.761,-508.816,474.996,-2.90240,1.20234,0.00002
0.1946,52.766,-508.813,474.981,-2.90228,1.20245,-0.00005
0.2126,52.774,-508.817,475.010,2.90235,-1.20242,0.00007
0.2286,52.805,-508.806,475.020,2.90241,-1.20222,0.00004
0.2447,52.811,-508.808,475.008,2.90243,-1.20223,0.00003
0.2627,52.825,-508.793,475.025,2.90240,-1.20225,0.00004
0.2787,52.834,-508.809,474.993,-2.90243,1.20221,-0.00001
0.2948,52.836,-508.802,474.999,-2.90240,1.20228,-0.00005
0.3147,52.813,-508.841,474.920,-2.90244,1.20221,0.00000
0.3328,52.811,-508.832,474.824,2.90241,-1.20217,0.00004
0.3459,52.839,-508.769,474.687,2.90243,-1.20224,0.00003
0.3627,52.850,-508.714,474.409,-2.90237,1.20219,-0.00000
0.3788,52.827,-508.684,474.105,-2.90234,1.20219,0.00009
0.3948,52.846,-508.678,473.812,2.90246,-1.20217,0.00003
0.4130,52.822,-508.704,473.362,2.90231,-1.20214,-0.00002
0.4288,52.837,-508.642,472.871,2.90239,-1.20220,-0.00008
0.4467,52.811,-508.696,472.291,2.90218,-1.20223,0.00003
0.4629,52.827,-508.664,471.678,2.90224,-1.20218,-0.00001
0.4788,52.839,-508.675,470.967,2.90226,-1.20209,0.00002
0.4968,52.819,-508.702,470.083,2.90223,-1.20218,0.00005
0.5162,52.805,-508.716,469.175,2.90237,-1.20234,-0.00007
0.5287,52.803,-508.757,468.270,2.90239,-1.20225,-0.00003
0.5467,52.813,-508.763,467.143,-2.90239,1.20226,0.00008
0.5628,52.785,-508.788,466.141,-2.90234,1.20234,0.00006
0.5788,52.817,-508.805,465.221,2.90240,-1.20225,0.00002
0.5968,52.807,-508.793,464.175,2.90232,-1.20225,0.00003
0.6128,52.803,-508.784,463.232,2.90227,-1.20221,0.00004
0.6287,52.824,-508.767,462.260,2.90233,-1.20217,0.00001
0.6467,52.821,-508.725,461.102,-2.90234,1.20227,0.00007
0.6627,52.832,-508.721,460.165,-2.90243,1.20223,0.00004
0.6787,52.844,-508.697,459.169,-2.90231,1.20224,0.00002
0.6968,52.826,-508.727,458.070,-2.90237,1.20220,0.00002
0.7129,52.810,-508.741,457.133,-2.90240,1.20231,-0.00001
0.7301,52.811,-508.750,456.119,-2.90231,1.20223,0.00006
0.7467,52.802,-508.793,455.090,2.90235,-1.20228,0.00002
0.7629,52.795,-508.839,454.163,2.90214,-1.20223,0.00012
0.7809,52.803,-508.827,453.035,2.90225,-1.20227,0.00006
0.7968,52.798,-508.785,452.062,2.90235,-1.20228,-0.00003
0.8127,52.831,-508.776,451.075,2.90241,-1.20220,-0.00001
0.8308,52.828,-508.742,449.992,-2.90242,1.20230,0.00003
0.8468,52.846,-508.732,449.001,-2.90236,1.20225,-0.00003
0.8629,52.824,-508.742,448.074,2.90240,-1.20231,-0.00000
0.8808,52.834,-508.767,447.010,2.90234,-1.20218,-0.00000
0.8968,52.835,-508.755,446.069,2.90228,-1.20217,0.00006
0.9128,52.836,-508.753,445.043,2.90242,-1.20216,0.00001
0.9308,52.827,-508.772,443.970,2.90233,-1.20210,0.00007
0.9467,52.817,-508.779,443.006,2.90228,-1.20212,0.00001
0.9627,52.813,-508.801,441.996,2.90233,-1.20222,0.00006
0.9809,52.825,-508.797,440.912,2.90231,-1.20217,0.00003
0.9969,52.805,-508.794,439.942,2.90235,-1.20222,-0.00003
1.0127,52.825,-508.778,438.961,2.90243,-1.20227,0.00002
1.0308,52.827,-508.759,437.889,2.90242,-1.20221,-0.00006
1.0466,52.809,-508.736,436.965,2.90236,-1.20222,-0.00001
1.0632,52.817,-508.728,435.969,2.90241,-1.20222,-0.00004
1.0808,52.831,-508.741,434.849,2.90244,-1.20227,-0.00001
1.0967,52.830,-508.758,433.913,2.90235,-1.20218,0.00002
1.1147,52.810,-508.762,432.805,2.90237,-1.20219,-0.00004
1.1328,52.819,-508.756,431.780,-2.90239,1.20224,0.00007
1.1467,52.818,-508.804,430.840,2.90237,-1.20214,-0.00002
1.1647,52.808,-508.812,429.771,2.90229,-1.20221,-0.00003
1.1809,52.833,-508.789,428.824,2.90232,-1.20214,0.00007
1.1968,52.809,-508.774,427.866,2.90228,-1.20220,0.00004
1.2147,52.837,-508.725,426.758,2.90239,-1.20228,0.00006
1.2306,52.814,-508.752,425.759,2.90245,-1.20222,-0.00004
1.2467,52.830,-508.761,424.797,2.90243,-1.20223,0.00001
1.2647,52.819,-508.761,423.700,2.90240,-1.20225,0.00005
1.2808,52.851,-508.739,422.701,-2.90240,1.20219,0.00003
1.2968,52.824,-508.762,421.718,-2.90238,1.20222,0.00004
1.3148,52.811,-508.777,420.690,2.90237,-1.20225,0.00004
1.3307,52.814,-508.813,419.750,2.90222,-1.20213,0.00004
1.3467,52.815,-508.818,418.811,2.90213,-1.20215,0.00010
1.3651,52.831,-508.768,417.664,2.90235,-1.20223,0.00004
1.3810,52.822,-508.761,416.689,2.90241,-1.20224,0.00004
1.3968,52.823,-508.762,415.690,-2.90241,1.20223,-0.00000
1.4148,52.828,-508.758,414.581,-2.90236,1.20225,0.00000
1.4307,52.824,-508.737,413.573,-2.90227,1.20221,0.00003
1.4490,52.829,-508.751,412.519,-2.90234,1.20223,-0.00003
1.4651,52.824,-508.771,411.618,2.90234,-1.20225,0.00003
1.4809,52.821,-508.779,410.695,2.90222,-1.20218,0.00005
1.4988,52.815,-508.773,409.625,2.90221,-1.20215,0.00011
1.5148,52.823,-508.759,408.573,2.90236,-1.20220,-0.00000
1.5307,52.822,-508.780,407.600,2.90234,-1.20217,-0.00000
1.5487,52.805,-508.811,406.494,2.90232,-1.20214,-0.00000
1.5650,52.803,-508.788,405.495,2.90241,-1.20228,-0.00000
1.5808,52.810,-508.770,404.526,-2.90244,1.20222,0.00005
1.5988,52.822,-508.758,403.417,-2.90234,1.20216,0.00008
1.6148,52.832,-508.750,402.470,-2.90235,1.20222,-0.00000
1.6307,52.823,-508.786,401.532,2.90245,-1.20224,0.00007
1.6494,52.824,-508.797,400.488,2.90232,-1.20218,0.00005
1.6648,52.827,-508.776,399.521,2.90236,-1.20219,0.00005
1.6807,52.823,-508.755,398.528,2.90241,-1.20221,-0.00000
1.6988,52.819,-508.769,397.458,2.90233,-1.20215,0.00004
1.7148,52.818,-508.785,396.473,2.90228,-1.20221,0.00008
1.7307,52.824,-508.800,395.496,2.90226,-1.20217,0.00008
1.7489,52.818,-508.787,394.344,2.90243,-1.20224,0.00003
1.7647,52.810,-508.791,393.384,2.90238,-1.20226,0.00001
1.7829,52.808,-508.801,392.239,-2.90234,1.20225,-0.00000
1.7988,52.822,-508.780,391.315,-2.90237,1.20228,-0.00003
1.8148,52.847,-508.771,390.355,-2.90242,1.20216,-0.00004
1.8327,52.820,-508.757,389.243,-2.90232,1.20223,0.00003
1.8504,52.825,-508.748,388.271,-2.90239,1.20217,0.00009
1.8647,52.829,-508.743,387.320,-2.90241,1.20216,0.00005
1.8827,52.836,-508.732,386.231,-2.90235,1.20221,-0.00002
1.8989,52.830,-508.745,385.333,2.90236,-1.20223,0.00005
1.9148,52.806,-508.772,384.323,2.90234,-1.20224,0.00003
1.9328,52.816,-508.792,383.285,2.90222,-1.20214,0.00007
1.9486,52.797,-508.790,382.299,2.90228,-1.20218,-0.00002
1.9647,52.810,-508.818,381.364,2.90225,-1.20219,0.00004
1.9827,52.832,-508.804,380.232,2.90240,-1.20218,0.00002
1.9990,52.839,-508.817,379.266,2.90240,-1.20214,0.00006
2.0147,52.829,-508.777,378.225,-2.90235,1.20216,0.00007
2.0327,52.814,-508.775,377.093,-2.90225,1.20219,0.00003
2.0487,52.817,-508.800,376.133,-2.90239,1.20218,0.00003
2.0653,52.830,-508.789,375.212,2.90244,-1.20222,-0.00002
2.0828,52.825,-508.761,374.114,-2.90246,1.20220,0.00000
2.0990,52.807,-508.749,373.135,-2.90240,1.20225,0.00008
2.1167,52.825,-508.766,372.080,2.90237,-1.20213,0.00005
2.1327,52.818,-508.809,371.189,2.90212,-1.20214,0.00014
2.1487,52.837,-508.781,370.213,2.90222,-1.20212,0.00011
2.1671,52.835,-508.769,369.121,2.90230,-1.20215,0.00011
2.1828,52.840,-508.766,368.144,2.90230,-1.20210,0.00005
2.1989,52.796,-508.732,367.131,2.90243,-1.20226,-0.00008
2.2168,52.823,-508.718,366.022,-2.90233,1.20223,0.00001
