time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.2965,52.836,-508.802,474.999,-2.90240,1.20228,-0.00005
0.3617,52.839,-508.769,474.687,2.90243,-1.20224,0.00003
0.4261,52.822,-508.704,473.362,2.90231,-1.20214,-0.00002
0.4886,52.839,-508.675,470.967,2.90226,-1.20209,0.00002
0.5535,52.813,-508.763,467.143,-2.90239,1.20226,0.00008
0.6226,52.803,-508.784,463.232,2.90227,-1.20221,0.00004
0.6845,52.844,-508.697,459.169,-2.90231,1.20224,0.00002
0.7509,52.802,-508.793,455.090,2.90235,-1.20228,0.00002
0.8147,52.831,-508.776,451.075,2.90241,-1.20220,-0.00001
0.8796,52.824,-508.742,448.074,2.90240,-1.20231,-0.00000
0.9474,52.817,-508.779,443.006,2.90228,-1.20212,0.00001
1.0096,52.805,-508.794,439.942,2.90235,-1.20222,-0.00003
1.0745,52.817,-508.728,435.969,2.90241,-1.20222,-0.00004
1.1422,52.819,-508.756,431.780,-2.90239,1.20224,0.00007
1.2046,52.809,-508.774,427.866,2.90228,-1.20220,0.00004
1.2695,52.819,-508.761,423.700,2.90240,-1.20225,0.00005
1.3411,52.814,-508.813,419.750,2.90222,-1.20213,0.00004
1.4006,52.823,-508.762,415.690,-2.90241,1.20223,-0.00000
1.4673,52.824,-508.771,411.618,2.90234,-1.20225,0.00003
1.5306,52.823,-508.759,408.573,2.90236,-1.20220,-0.00000
1.5956,52.810,-508.770,404.526,-2.90244,1.20222,0.00005
1.6623,52.824,-508.797,400.488,2.90232,-1.20218,0.00005
1.7256,52.818,-508.785,396.473,2.90228,-1.20221,0.00008
1.7905,52.808,-508.801,392.239,-2.90234,1.20225,-0.00000
1.8592,52.825,-508.748,388.271,-2.90239,1.20217,0.00009
1.9206,52.806,-508.772,384.323,2.90234,-1.20224,0.00003
1.9865,52.832,-508.804,380.232,2.90240,-1.20218,0.00002
2.0568,52.817,-508.800,376.133,-2.90239,1.20218,0.00003
2.1166,52.807,-508.749,373.135,-2.90240,1.20225,0.00008
2.1836,52.840,-508.766,368.144,2.90230,-1.20210,0.00005
