time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3367,1,474.945,618.25,622.0,622.00,0.0,614.9,614.90,0.0
0.4016,1,473.795,617.10,619.5,619.50,-38.5,612.5,612.48,-37.3
0.4644,1,471.633,614.93,623.5,622.43,13.3,616.4,615.61,31.5
0.5291,1,469.266,612.57,618.0,619.56,-15.1,611.0,612.00,-40.6
0.5930,1,465.244,608.54,611.5,614.11,-46.2,604.7,605.42,-91.8
0.6608,1,461.164,604.46,613.0,612.16,-38.2,606.2,605.22,-16.4
0.7240,1,457.030,600.33,606.5,607.84,-50.9,599.9,600.52,-63.7
0.7890,1,453.128,596.43,603.0,603.63,-56.9,596.5,596.45,-62.9
0.8559,1,449.046,592.35,599.0,599.33,-60.2,592.6,592.52,-59.4
0.9190,1,444.961,588.26,595.5,595.51,-60.3,589.1,589.09,-55.2
0.9855,1,440.957,584.26,591.0,591.20,-62.3,584.8,584.85,-62.4
1.0501,1,437.961,581.26,585.5,586.17,-69.1,579.4,579.60,-78.0
1.1140,1,433.843,577.14,585.5,584.00,-53.9,579.4,578.67,-25.8
1.1814,1,429.848,573.15,578.0,578.94,-63.6,572.0,572.72,-78.7
1.2451,1,425.844,569.14,576.0,575.56,-59.0,570.1,569.73,-52.7
1.3100,1,421.660,564.96,571.0,571.29,-62.0,565.2,565.35,-65.0
1.3776,1,417.759,561.06,563.5,564.88,-77.1,557.8,558.25,-98.9
1.4401,1,413.519,556.82,560.0,560.03,-77.3,554.4,554.02,-73.6
1.5062,1,409.622,552.92,560.0,558.02,-56.0,554.4,553.63,-16.8
1.5711,1,405.590,548.89,554.0,554.16,-57.5,548.5,549.07,-61.2
1.6350,1,401.462,544.76,552.0,551.39,-51.3,546.5,546.30,-46.5
1.7043,1,397.498,540.80,544.5,545.77,-65.3,539.1,539.64,-89.2
1.7661,1,394.460,537.76,542.0,541.89,-64.2,536.6,536.24,-61.5
1.8310,1,390.299,533.60,537.0,537.29,-67.2,531.7,531.78,-67.5
1.8978,1,386.308,529.61,534.0,533.54,-62.1,528.7,528.53,-51.7
1.9611,1,382.273,525.57,527.5,528.33,-71.0,522.3,522.76,-84.0
2.0260,1,378.196,521.50,527.0,525.73,-57.0,521.8,521.15,-34.8
2.0946,1,374.140,517.44,524.5,523.49,-45.4,519.3,519.26,-28.6
2.1561,1,370.145,513.44,521.5,521.18,-42.0,516.4,516.55,-41.1
2.2244,1,366.103,509.40,515.5,516.55,-54.3,510.4,510.87,-76.9
2.2871,1,361.912,505.21,512.0,512.45,-59.2,506.9,506.81,-67.0
2.3521,1,358.902,502.20,507.5,507.92,-64.1,502.5,502.48,-66.8
2.4203,1,353.996,497.30,503.5,503.52,-64.3,498.5,498.43,-60.4
2.4821,1,350.966,494.27,497.5,498.29,-73.3,492.5,492.88,-84.1
2.5471,1,346.875,490.18,493.5,493.51,-73.4,488.6,488.40,-71.5
2.6152,1,342.846,486.15,491.5,490.42,-59.8,486.6,486.16,-38.7
2.6781,1,338.679,481.98,487.0,486.87,-58.2,482.1,482.35,-56.5
2.7430,1,334.650,477.95,485.0,484.29,-49.6,480.1,479.90,-40.9
2.8120,1,330.647,473.95,479.0,479.66,-58.2,474.1,474.52,-72.6
2.8731,1,326.509,469.81,478.5,477.60,-47.3,473.6,473.06,-33.6
2.9399,1,322.569,465.87,470.5,471.92,-65.7,465.7,466.38,-89.7
3.0032,1,319.492,462.79,466.0,466.68,-73.8,461.2,461.09,-84.7
3.0680,1,315.380,458.68,461.5,461.64,-75.6,456.7,456.51,-73.0
3.1371,1,310.484,453.78,462.5,460.36,-47.1,457.7,456.84,-6.4
3.1991,1,307.412,450.71,456.5,456.89,-51.1,451.7,452.42,-58.8
3.2640,1,303.374,446.67,451.5,452.30,-60.3,446.7,446.96,-79.8
3.3311,1,299.442,442.74,448.0,448.09,-61.4,443.2,442.96,-62.8
3.3940,1,295.238,438.54,442.0,442.85,-71.3,437.2,437.46,-82.8
3.4590,1,291.179,434.48,437.0,437.46,-76.8,432.2,432.17,-81.8
3.5259,1,287.195,430.50,437.0,435.29,-55.4,432.2,431.41,-22.4
3.5890,1,283.124,426.42,432.0,431.92,-54.5,427.2,427.61,-53.3
3.6567,1,279.098,422.40,427.0,427.45,-60.0,422.2,422.43,-73.0
3.7201,1,276.035,419.33,423.0,423.25,-62.9,418.2,418.12,-68.9
3.7851,1,271.976,415.28,421.0,420.31,-54.6,416.2,415.80,-41.3
3.8516,1,267.940,411.24,414.5,415.30,-64.6,409.7,410.14,-78.1
3.9151,1,263.915,407.22,412.0,411.70,-60.9,407.2,406.86,-56.5
3.9800,1,259.839,403.14,408.0,407.91,-59.7,403.2,403.16,-56.9
4.0481,1,255.849,399.15,403.5,403.62,-61.3,398.6,398.73,-63.8
4.1101,1,251.662,394.96,400.5,400.25,-58.2,395.6,395.51,-54.3
4.1760,1,247.657,390.96,396.0,396.15,-60.1,391.1,391.25,-63.0
4.2412,1,243.708,387.01,392.0,392.08,-61.2,387.1,387.13,-63.1
4.3061,1,240.579,383.88,388.0,388.04,-61.7,383.1,383.10,-62.2
4.3733,1,235.561,378.86,385.5,384.94,-53.9,380.6,380.38,-43.9
4.4361,1,232.497,375.80,377.5,378.96,-73.4,372.6,373.37,-99.0
4.5010,1,228.467,371.77,378.0,376.59,-55.3,373.1,372.19,-31.8
4.5694,1,224.462,367.76,373.0,372.93,-54.4,368.1,368.35,-52.6
4.6321,1,220.325,363.62,368.0,368.56,-61.5,363.1,363.38,-74.3
4.6971,1,216.363,359.66,364.0,364.20,-64.2,359.1,359.00,-68.7
4.7653,1,212.388,355.69,360.5,360.26,-60.9,355.6,355.39,-55.1
4.8271,1,208.232,351.53,356.5,356.50,-60.9,351.6,351.63,-59.9
4.8931,1,204.227,347.53,353.5,353.14,-56.0,348.6,348.43,-50.3
4.9571,1,201.161,344.46,348.5,348.88,-61.1,343.5,343.79,-68.4
5.0221,1,197.096,340.40,344.0,344.32,-65.6,339.0,339.09,-71.8
5.0897,1,192.998,336.30,341.0,340.62,-60.0,336.0,335.79,-52.3
5.1531,1,189.093,332.39,339.0,338.23,-49.2,334.0,333.80,-35.1
5.2180,1,184.870,328.17,332.5,333.38,-61.9,327.5,328.12,-78.7
5.2861,1,180.981,324.28,330.0,329.72,-57.7,325.0,324.72,-54.2
5.3481,1,176.760,320.06,326.0,326.05,-58.4,321.0,321.08,-57.8
5.4130,1,172.928,316.23,321.5,321.76,-62.3,316.5,316.65,-66.5
5.4822,1,168.877,312.18,318.0,317.82,-59.5,313.0,312.90,-55.9
5.5431,1,164.735,308.03,314.0,314.07,-60.5,309.0,309.11,-61.0
5.6102,1,160.717,304.02,308.5,309.00,-68.4,303.5,303.75,-77.0
5.6741,1,157.669,300.97,306.5,305.87,-58.6,301.5,301.14,-47.3
5.7390,1,153.578,296.88,300.5,301.02,-66.9,295.6,295.93,-74.7
5.8059,1,149.494,292.79,296.0,296.18,-69.8,291.1,291.05,-73.2
5.8691,1,145.568,288.87,293.5,292.92,-60.6,288.6,288.25,-49.6
5.9340,1,141.477,284.78,290.0,289.66,-55.1,285.1,285.08,-49.0
6.0015,1,137.522,280.82,286.0,285.98,-54.8,281.1,281.19,-56.2
6.0641,1,133.293,276.59,281.5,281.85,-60.5,276.6,276.78,-67.8
6.1301,1,129.300,272.60,279.5,278.97,-51.5,274.6,274.30,-42.6
6.2003,1,125.331,268.63,275.5,275.46,-50.7,270.6,270.73,-49.6
6.2602,1,121.170,264.47,270.0,270.82,-63.9,265.2,265.60,-78.2
6.3282,1,117.207,260.51,267.0,266.83,-60.9,262.2,261.93,-57.5
6.3902,1,114.226,257.53,262.5,262.68,-64.0,257.7,257.83,-64.6
6.4551,1,110.135,253.44,259.0,258.85,-61.4,254.2,254.16,-57.9
6.5216,1,106.105,249.41,255.0,254.93,-60.0,250.3,250.28,-58.2
6.5851,1,102.004,245.30,251.5,251.38,-57.8,246.8,246.78,-55.8
6.6510,1,97.889,241.19,247.0,247.18,-61.1,242.3,242.46,-64.0
6.7173,1,93.958,237.26,244.0,243.73,-56.0,239.4,239.21,-51.4
6.7811,1,89.857,233.16,240.5,240.39,-54.1,235.9,235.92,-51.6
6.8471,1,85.858,229.16,235.5,235.90,-61.8,231.0,231.19,-68.4
6.9111,1,81.784,225.08,230.0,230.60,-73.3,225.5,225.72,-82.4
6.9760,1,78.656,221.96,228.0,227.34,-60.5,223.6,223.09,-47.7
7.0451,1,73.712,217.01,224.5,224.11,-52.5,220.1,220.06,-44.4
7.1062,1,70.726,214.03,220.0,220.28,-57.9,215.7,215.93,-63.0
7.1711,1,66.622,209.92,216.0,216.16,-61.0,211.7,211.74,-64.3
7.2376,1,62.561,205.86,212.5,212.38,-58.6,208.3,208.16,-55.5
7.3023,1,58.386,201.69,207.0,207.48,-68.3,202.9,203.11,-74.1
7.3671,1,54.458,197.76,204.0,203.72,-62.4,199.9,199.68,-56.6
7.4361,1,50.555,193.86,200.0,199.83,-58.8,196.0,195.96,-54.3
7.4972,1,46.372,189.67,195.5,195.73,-63.3,191.6,191.74,-66.1
7.5637,1,42.283,185.58,191.0,191.15,-66.6,187.2,187.18,-68.1
7.6273,1,39.266,182.57,188.5,188.03,-56.7,184.7,184.43,-47.8
7.6922,1,35.181,178.48,184.5,184.46,-55.8,180.8,180.87,-53.6
7.7597,1,31.249,174.55,179.0,179.47,-66.5,175.4,175.67,-73.5
7.8223,1,27.247,170.55,175.5,175.44,-65.3,172.0,171.86,-63.3
7.8872,1,23.026,166.33,171.5,171.41,-63.4,168.1,168.05,-59.5
7.9567,1,19.044,162.34,167.5,167.37,-60.2,164.2,164.16,-56.4
8.0172,1,15.008,158.31,163.5,163.57,-61.7,160.3,160.38,-61.3
8.0832,1,10.958,154.26,159.5,159.50,-61.6,156.4,156.40,-60.4
8.1528,1,6.919,150.22,155.5,155.42,-59.7,152.5,152.49,-56.8
8.2132,1,3.864,147.16,152.0,151.95,-58.5,149.1,149.12,-55.9
8.2801,1,-1.071,142.23,147.0,147.28,-65.4,144.3,144.44,-67.8
8.3433,1,-4.157,139.14,142.5,142.68,-69.7,139.9,139.97,-70.3
8.4082,1,-8.361,134.94,139.5,139.13,-60.7,137.0,136.80,-52.5
8.4748,1,-12.344,130.96,135.0,135.02,-61.3,132.7,132.77,-59.1
8.5383,1,-16.210,127.09,131.0,131.04,-62.2,128.8,128.86,-61.2
8.6041,1,-20.437,122.86,128.0,127.72,-54.9,125.9,125.78,-49.1
8.6714,1,-24.547,118.75,124.0,124.01,-55.1,122.1,122.15,-53.3
8.7342,1,-28.503,114.80,119.0,119.42,-65.7,117.3,117.52,-69.9
8.7991,1,-32.461,110.84,115.0,115.04,-66.8,113.5,113.38,-64.8
8.8697,1,-36.602,106.70,111.5,111.21,-58.6,110.1,109.93,-51.0
8.9292,1,-39.589,103.71,106.5,106.85,-67.1,105.3,105.57,-68.5
8.9971,1,-43.673,99.63,102.5,102.45,-65.6,101.5,101.41,-62.4
9.0593,1,-47.660,95.64,98.0,98.10,-68.2,97.2,97.25,-66.1
9.1252,1,-51.831,91.47,95.0,94.64,-58.3,94.3,94.13,-50.4
9.1918,1,-55.839,87.46,91.0,90.94,-56.6,90.5,90.57,-53.0
9.2553,1,-59.759,83.54,87.0,87.09,-59.1,86.7,86.81,-58.1
9.3202,1,-63.985,79.32,83.0,83.07,-60.9,82.9,82.95,-59.1
