time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0013,52.758,-508.941,475.011,2.90246,-1.20222,-0.00001
0.0142,52.740,-508.960,475.030,2.90236,-1.20226,-0.00001
0.0301,52.749,-508.961,475.011,2.90238,-1.20227,0.00000
0.0481,52.747,-508.958,475.009,2.90244,-1.20227,0.00001
0.0641,52.751,-508.947,475.026,2.90242,-1.20224,-0.00000
0.0801,52.759,-508.962,475.050,2.90232,-1.20222,0.00009
0.0981,52.763,-508.956,475.004,-2.90244,1.20223,-0.00002
0.1141,52.763,-508.971,475.003,2.90244,-1.20219,0.00001
0.1301,52.780,-508.958,475.017,2.90244,-1.20219,0.00004
0.1481,52.754,-508.969,475.018,2.90241,-1.20222,0.00004
0.1641,52.737,-508.950,475.052,2.90234,-1.20219,-0.00005
0.1801,52.748,-508.956,475.015,2.90243,-1.20227,0.00005
0.1982,52.758,-508.947,475.013,-2.90244,1.20223,-0.00002
0.2141,52.739,-508.966,475.015,2.90240,-1.20223,0.00002
0.2301,52.765,-508.960,475.015,2.90243,-1.20218,0.00006
0.2482,52.748,-508.969,475.001,2.90246,-1.20218,-0.00001
0.2641,52.749,-508.961,475.013,2.90242,-1.20220,-0.00000
0.2822,52.769,-508.967,475.008,2.90244,-1.20217,0.00002
0.2983,52.746,-508.962,475.001,2.90244,-1.20225,0.00001
0.3143,52.747,-508.968,474.987,2.90243,-1.20208,-0.00002
0.3323,52.752,-508.961,474.945,2.90225,-1.20215,0.00012
0.3546,52.752,-508.934,474.808,2.90228,-1.20210,0.00006
0.3651,52.752,-508.893,474.580,2.90232,-1.20217,0.00007
0.3843,52.775,-508.862,474.178,-2.90241,1.20216,0.00003
0.3982,52.759,-508.893,473.795,-2.90242,1.20218,0.00001
0.4144,52.731,-508.959,473.402,2.90233,-1.20221,0.00002
0.4324,52.738,-508.946,472.807,2.90246,-1.20215,-0.00004
0.4503,52.734,-508.968,472.238,2.90244,-1.20213,-0.00002
0.4642,52.734,-508.952,471.633,2.90243,-1.20217,0.00000
0.4822,52.714,-508.949,470.856,2.90236,-1.20213,0.00000
0.4984,52.732,-508.928,470.119,2.90230,-1.20210,0.00005
0.5143,52.723,-508.908,469.266,2.90238,-1.20212,-0.00003
0.5322,52.718,-508.926,468.268,2.90230,-1.20215,-0.00000
0.5495,52.724,-508.933,467.272,2.90240,-1.20217,0.00002
0.5642,52.713,-508.941,466.314,2.90232,-1.20217,-0.00002
0.5822,52.709,-508.969,465.244,2.90222,-1.20221,0.00007
0.5983,52.699,-508.958,464.241,2.90229,-1.20223,-0.00001
0.6163,52.687,-508.971,463.229,2.90210,-1.20219,0.00002
0.6323,52.707,-508.949,462.252,2.90218,-1.20223,0.00003
0.6482,52.708,-508.931,461.164,-2.90238,1.20229,0.00004
0.6662,52.705,-508.944,460.063,-2.90236,1.20229,0.00010
0.6822,52.682,-508.924,459.080,-2.90226,1.20234,0.00012
0.6984,52.679,-508.949,458.094,-2.90225,1.20233,0.00010
0.7164,52.697,-508.951,457.030,-2.90234,1.20230,0.00005
0.7322,52.691,-508.930,456.061,-2.90228,1.20232,0.00014
0.7482,52.679,-508.991,455.172,2.90225,-1.20230,-0.00003
0.7662,52.683,-509.013,454.121,2.90211,-1.20224,0.00013
0.7823,52.700,-508.978,453.128,2.90227,-1.20220,-0.00001
0.7984,52.710,-508.984,452.153,2.90226,-1.20224,0.00007
0.8163,52.686,-508.972,451.030,2.90231,-1.20227,-0.00009
0.8322,52.714,-508.945,450.019,-2.90241,1.20225,0.00006
0.8482,52.735,-508.913,449.046,-2.90235,1.20221,0.00008
0.8670,52.747,-508.934,447.973,-2.90241,1.20215,0.00006
0.8822,52.724,-508.974,447.043,2.90237,-1.20227,0.00002
0.8984,52.726,-508.950,446.085,2.90235,-1.20222,-0.00010
0.9163,52.735,-508.948,444.961,2.90242,-1.20228,0.00001
0.9323,52.709,-508.977,443.988,2.90233,-1.20227,-0.00007
0.9502,52.724,-508.968,442.915,2.90231,-1.20221,0.00001
0.9662,52.749,-508.972,441.961,2.90228,-1.20216,0.00009
0.9823,52.734,-508.972,440.957,2.90235,-1.20222,-0.00001
1.0003,52.726,-508.974,439.903,2.90232,-1.20220,0.00005
1.0163,52.713,-508.957,438.926,2.90236,-1.20220,-0.00004
1.0323,52.737,-508.954,437.961,2.90240,-1.20220,-0.00001
1.0502,52.750,-508.912,436.890,2.90242,-1.20218,-0.00002
1.0662,52.737,-508.920,435.874,-2.90244,1.20225,0.00006
1.0822,52.748,-508.917,434.913,2.90245,-1.20221,-0.00004
1.1004,52.745,-508.931,433.843,2.90236,-1.20227,0.00006
1.1163,52.757,-508.940,432.831,-2.90242,1.20221,-0.00001
1.1322,52.732,-508.950,431.835,-2.90238,1.20229,0.00001
1.1502,52.725,-508.976,430.786,2.90238,-1.20218,0.00005
1.1686,52.740,-508.990,429.848,2.90228,-1.20218,0.00013
1.1822,52.734,-508.979,428.898,2.90223,-1.20218,0.00011
1.2002,52.758,-508.945,427.835,2.90224,-1.20216,0.00014
1.2164,52.753,-508.893,426.834,2.90240,-1.20220,0.00005
1.2323,52.721,-508.926,425.844,2.90233,-1.20234,0.00002
1.2503,52.746,-508.929,424.741,2.90243,-1.20225,0.00003
1.2664,52.740,-508.951,423.732,2.90245,-1.20223,-0.00001
1.2855,52.722,-508.920,422.596,-2.90226,1.20226,0.00008
1.3002,52.730,-508.932,421.660,-2.90234,1.20227,0.00004
1.3162,52.739,-508.979,420.701,-2.90245,1.20220,0.00001
1.3342,52.726,-508.994,419.679,2.90224,-1.20219,0.00006
1.3502,52.735,-509.022,418.756,2.90208,-1.20214,0.00015
1.3662,52.740,-508.966,417.759,2.90227,-1.20210,0.00008
1.3851,52.754,-508.941,416.618,2.90243,-1.20222,0.00006
1.4001,52.718,-508.962,415.662,2.90233,-1.20226,0.00002
1.4163,52.721,-508.932,414.664,-2.90241,1.20225,0.00006
1.4342,52.757,-508.908,413.519,-2.90232,1.20213,0.00005
1.4502,52.760,-508.940,412.593,-2.90240,1.20220,-0.00002
1.4662,52.733,-508.941,411.648,2.90243,-1.20227,-0.00002
1.4848,52.756,-508.964,410.618,2.90230,-1.20210,0.00011
1.5003,52.719,-508.969,409.622,2.90231,-1.20223,0.00001
1.5163,52.742,-508.957,408.642,2.90234,-1.20220,0.00006
1.5343,52.747,-508.963,407.509,2.90239,-1.20215,0.00004
1.5502,52.717,-508.990,406.509,2.90241,-1.20224,-0.00001
1.5662,52.724,-508.993,405.590,2.90230,-1.20219,0.00003
1.5842,52.721,-508.981,404.457,2.90244,-1.20220,-0.00003
1.6002,52.757,-508.929,403.502,-2.90239,1.20218,0.00000
1.6183,52.747,-508.952,402.401,-2.90238,1.20219,0.00005
1.6341,52.732,-508.965,401.462,2.90246,-1.20222,-0.00005
1.6502,52.735,-508.960,400.495,-2.90245,1.20223,-0.00002
1.6682,52.723,-508.973,399.454,2.90232,-1.20225,0.00005
1.6842,52.741,-508.930,398.431,-2.90242,1.20219,0.00000
1.7002,52.751,-508.957,397.498,2.90237,-1.20214,0.00009
1.7183,52.735,-508.985,396.421,2.90227,-1.20214,0.00011
1.7342,52.731,-508.982,395.454,2.90223,-1.20216,0.00007
1.7502,52.736,-508.978,394.460,2.90226,-1.20216,0.00004
1.7682,52.729,-508.999,393.340,2.90233,-1.20223,0.00011
1.7843,52.745,-508.970,392.313,-2.90239,1.20223,-0.00006
1.8003,52.755,-508.973,391.373,-2.90245,1.20217,0.00000
1.8184,52.733,-508.943,390.299,-2.90240,1.20221,0.00008
1.8342,52.720,-508.960,389.351,2.90241,-1.20225,-0.00005
1.8502,52.742,-508.940,388.331,-2.90235,1.20222,0.00001
1.8681,52.739,-508.931,387.246,-2.90234,1.20227,0.00002
1.8856,52.733,-508.917,386.308,-2.90239,1.20221,0.00008
1.9001,52.737,-508.927,385.345,-2.90243,1.20220,0.00002
1.9182,52.737,-508.940,384.268,2.90239,-1.20217,0.00002
1.9343,52.729,-508.961,383.300,2.90231,-1.20220,0.00003
1.9522,52.747,-508.974,382.273,2.90224,-1.20208,0.00010
1.9682,52.732,-509.007,381.302,2.90220,-1.20216,0.00010
1.9841,52.740,-508.988,380.309,2.90233,-1.20216,0.00003
2.0022,52.727,-508.965,379.198,2.90239,-1.20227,-0.00002
2.0182,52.739,-508.942,378.196,-2.90236,1.20228,0.00003
2.0343,52.734,-508.954,377.163,-2.90229,1.20219,0.00003
2.0522,52.737,-508.960,376.087,-2.90238,1.20219,0.00003
2.0681,52.758,-508.980,375.113,-2.90242,1.20219,-0.00003
2.0842,52.733,-508.939,374.140,-2.90231,1.20226,0.00006
2.1022,52.735,-508.955,373.082,2.90247,-1.20218,-0.00004
