time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.3367,52.752,-508.961,474.945,2.90225,-1.20215,0.00012
0.4016,52.759,-508.893,473.795,-2.90242,1.20218,0.00001
0.4644,52.734,-508.952,471.633,2.90243,-1.20217,0.00000
0.5291,52.723,-508.908,469.266,2.90238,-1.20212,-0.00003
0.5930,52.709,-508.969,465.244,2.90222,-1.20221,0.00007
0.6608,52.708,-508.931,461.164,-2.90238,1.20229,0.00004
0.7240,52.697,-508.951,457.030,-2.90234,1.20230,0.00005
0.7890,52.700,-508.978,453.128,2.90227,-1.20220,-0.00001
0.8559,52.735,-508.913,449.046,-2.90235,1.20221,0.00008
0.9190,52.735,-508.948,444.961,2.90242,-1.20228,0.00001
0.9855,52.734,-508.972,440.957,2.90235,-1.20222,-0.00001
1.0501,52.737,-508.954,437.961,2.90240,-1.20220,-0.00001
1.1140,52.745,-508.931,433.843,2.90236,-1.20227,0.00006
1.1814,52.740,-508.990,429.848,2.90228,-1.20218,0.00013
1.2451,52.721,-508.926,425.844,2.90233,-1.20234,0.00002
1.3100,52.730,-508.932,421.660,-2.90234,1.20227,0.00004
1.3776,52.740,-508.966,417.759,2.90227,-1.20210,0.00008
1.4401,52.757,-508.908,413.519,-2.90232,1.20213,0.00005
1.5062,52.719,-508.969,409.622,2.90231,-1.20223,0.00001
1.5711,52.724,-508.993,405.590,2.90230,-1.20219,0.00003
1.6350,52.732,-508.965,401.462,2.90246,-1.20222,-0.00005
1.7043,52.751,-508.957,397.498,2.90237,-1.20214,0.00009
1.7661,52.736,-508.978,394.460,2.90226,-1.20216,0.00004
1.8310,52.733,-508.943,390.299,-2.90240,1.20221,0.00008
1.8978,52.733,-508.917,386.308,-2.90239,1.20221,0.00008
1.9611,52.747,-508.974,382.273,2.90224,-1.20208,0.00010
2.0260,52.739,-508.942,378.196,-2.90236,1.20228,0.00003
2.0946,52.733,-508.939,374.140,-2.90231,1.20226,0.00006
2.1561,52.720,-508.978,370.145,2.90220,-1.20217,0.00007
2.2244,52.745,-508.911,366.103,2.90242,-1.20226,-0.00005
2.2871,52.754,-508.941,361.912,-2.90237,1.20216,0.00003
2.3521,52.739,-509.006,358.902,2.90240,-1.20226,0.00008
2.4203,52.736,-508.921,353.996,2.90239,-1.20225,-0.00004
2.4821,52.736,-508.940,350.966,2.90234,-1.20221,0.00004
2.5471,52.710,-509.039,346.875,2.90216,-1.20217,0.00014
2.6152,52.756,-508.931,342.846,2.90243,-1.20216,0.00006
2.6781,52.747,-508.931,338.679,-2.90242,1.20221,0.00003
2.7430,52.730,-509.035,334.650,2.90240,-1.20224,0.00002
2.8120,52.713,-508.996,330.647,-2.90231,1.20230,0.00002
2.8731,52.729,-508.980,326.509,-2.90234,1.20217,0.00006
2.9399,52.730,-509.012,322.569,2.90236,-1.20221,0.00004
3.0032,52.731,-508.954,319.492,-2.90238,1.20224,0.00003
3.0680,52.737,-508.955,315.380,-2.90234,1.20220,0.00003
3.1371,52.725,-509.013,310.484,2.90233,-1.20217,0.00001
3.1991,52.753,-508.947,307.412,-2.90244,1.20222,-0.00002
3.2640,52.735,-508.931,303.374,2.90232,-1.20222,0.00004
3.3311,52.729,-508.964,299.442,2.90221,-1.20219,0.00009
3.3940,52.734,-508.966,295.238,2.90229,-1.20221,0.00007
3.4590,52.742,-508.953,291.179,-2.90238,1.20226,-0.00004
3.5259,52.751,-508.946,287.195,2.90247,-1.20219,0.00001
3.5890,52.727,-508.973,283.124,2.90225,-1.20222,0.00006
3.6567,52.744,-508.948,279.098,2.90243,-1.20220,0.00001
3.7201,52.737,-508.940,276.035,-2.90243,1.20218,0.00010
3.7851,52.740,-508.992,271.976,2.90227,-1.20218,0.00010
3.8516,52.721,-508.962,267.940,-2.90244,1.20220,0.00004
3.9151,52.738,-508.961,263.915,-2.90242,1.20220,0.00001
3.9800,52.747,-508.992,259.839,2.90229,-1.20219,0.00008
4.0481,52.734,-508.911,255.849,2.90245,-1.20225,-0.00006
4.1101,52.725,-508.945,251.662,-2.90231,1.20223,0.00005
4.1760,52.726,-509.039,247.657,2.90239,-1.20220,0.00009
4.2412,52.752,-508.964,243.708,2.90246,-1.20222,0.00005
4.3061,52.765,-508.915,240.579,2.90244,-1.20223,0.00008
4.3733,52.746,-508.982,235.561,2.90241,-1.20229,0.00005
4.4361,52.732,-508.955,232.497,-2.90229,1.20219,-0.00000
4.5010,52.738,-508.949,228.467,2.90239,-1.20217,-0.00001
4.5694,52.736,-508.994,224.462,2.90234,-1.20223,0.00006
4.6321,52.740,-508.958,220.325,2.90244,-1.20226,0.00002
4.6971,52.767,-508.953,216.363,2.90236,-1.20216,0.00007
4.7653,52.708,-508.983,212.388,2.90220,-1.20219,0.00002
4.8271,52.710,-508.964,208.232,2.90239,-1.20226,-0.00002
4.8931,52.745,-508.944,204.227,2.90240,-1.20220,0.00005
4.9571,52.735,-508.973,201.161,2.90244,-1.20225,0.00006
5.0221,52.751,-508.965,197.096,2.90245,-1.20214,0.00006
5.0897,52.748,-508.967,192.998,-2.90235,1.20216,-0.00001
5.1531,52.725,-508.992,189.093,2.90232,-1.20223,-0.00001
5.2180,52.735,-508.960,184.870,-2.90232,1.20213,0.00010
5.2861,52.743,-509.005,180.981,2.90234,-1.20213,0.00010
5.3481,52.724,-508.957,176.760,-2.90238,1.20233,-0.00002
