time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.2955,1,475.032,618.33,620.0,620.00,0.0,613.0,612.97,0.0
0.3603,1,474.509,617.81,622.0,622.00,30.8,614.9,614.90,29.9
0.4297,1,472.828,616.13,620.5,621.04,2.4,613.5,613.84,-7.7
0.4903,1,470.077,613.38,622.0,621.76,6.7,614.9,614.66,9.2
0.5563,1,466.253,609.55,616.5,618.44,-19.8,609.6,610.39,-52.9
0.6231,1,462.190,605.49,613.0,614.60,-37.4,606.2,606.27,-60.1
0.6862,1,458.074,601.37,604.5,607.61,-69.8,597.9,598.61,-110.1
0.7512,1,454.207,597.51,605.0,604.15,-62.4,598.4,597.39,-34.3
0.8213,1,449.999,593.30,602.0,601.11,-53.4,595.5,595.42,-28.9
0.8813,1,446.050,589.35,596.5,597.09,-58.9,590.1,590.71,-68.3
0.9482,1,441.933,585.23,592.0,592.46,-63.5,585.7,585.79,-72.7
1.0113,1,438.872,582.17,588.5,588.48,-63.3,582.3,582.15,-60.5
1.0773,1,434.873,578.17,586.0,585.33,-56.4,579.9,579.63,-41.8
1.1449,1,430.779,574.08,582.0,581.81,-54.4,576.0,576.08,-50.9
1.2074,1,426.793,570.09,577.0,577.57,-60.1,571.1,571.35,-71.0
1.2723,1,422.723,566.02,572.5,572.96,-64.9,566.7,566.67,-71.9
1.3398,1,418.720,562.02,569.0,568.84,-63.2,563.2,563.02,-56.7
1.4023,1,414.639,557.94,565.0,564.95,-62.7,559.3,559.32,-58.7
1.4673,1,410.591,553.89,558.5,559.43,-72.7,552.9,553.28,-87.2
1.5376,1,406.494,549.79,558.5,556.95,-54.7,552.9,552.15,-25.6
1.5984,1,402.465,545.77,552.0,552.66,-61.4,546.5,547.16,-70.7
1.6646,1,399.536,542.84,550.5,549.76,-53.3,545.0,544.66,-43.0
1.7284,1,395.432,538.73,546.0,546.14,-54.8,540.6,540.79,-57.6
1.7933,1,391.351,534.65,542.5,542.53,-55.2,537.1,537.12,-56.6
1.8591,1,387.236,530.54,538.0,538.34,-59.1,532.7,532.79,-64.3
1.9234,1,383.289,526.59,531.5,532.67,-72.3,526.3,526.62,-90.5
1.9883,1,379.307,522.61,530.0,529.22,-63.5,524.8,524.19,-46.5
2.0554,1,375.088,518.39,524.0,524.36,-67.7,518.8,519.15,-70.6
2.1194,1,371.177,514.48,521.5,520.94,-61.2,516.4,516.11,-51.7
2.1843,1,367.040,510.34,519.0,518.23,-52.2,513.9,513.72,-39.3
2.2549,1,362.937,506.24,513.0,513.55,-59.2,507.9,508.33,-71.4
2.3143,1,360.000,503.30,509.5,509.71,-61.6,504.5,504.40,-67.2
2.3806,1,356.014,499.31,505.5,505.55,-62.2,500.5,500.42,-61.3
2.4444,1,351.878,495.18,500.0,500.59,-69.4,495.0,495.25,-77.4
2.5094,1,347.919,491.22,497.0,496.66,-65.1,492.0,491.78,-57.5
2.5758,1,343.784,487.08,494.0,493.40,-57.3,489.1,488.91,-45.5
2.6404,1,339.730,483.03,487.5,488.30,-67.6,482.6,483.09,-82.4
2.7043,1,335.724,479.02,481.5,482.41,-79.3,476.6,476.80,-95.6
2.7716,1,331.563,474.86,481.5,479.93,-58.1,476.6,475.75,-27.9
2.8354,1,327.584,470.88,476.0,476.09,-59.2,471.1,471.56,-58.9
2.9007,1,324.575,467.88,475.0,473.98,-46.2,470.1,469.79,-32.5
2.9654,1,320.450,463.75,469.5,470.05,-53.1,464.7,465.10,-65.5
3.0303,1,316.459,459.76,464.5,465.26,-63.0,459.7,459.84,-78.4
3.0967,1,312.448,455.75,461.0,461.03,-63.4,456.2,455.95,-61.8
3.1614,1,308.385,451.69,456.0,456.33,-67.8,451.2,451.29,-70.3
3.2253,1,304.409,447.71,452.5,452.32,-65.4,447.7,447.55,-60.6
3.2928,1,300.332,443.63,448.5,448.29,-62.5,443.7,443.65,-58.2
3.3564,1,296.374,439.67,448.5,447.01,-42.2,443.7,443.12,-17.3
3.4213,1,292.234,435.53,442.0,442.84,-53.0,437.2,437.89,-69.9
3.4905,1,288.160,431.46,437.0,437.75,-63.6,432.2,432.30,-79.2
3.5514,1,285.151,428.45,433.5,433.64,-65.4,428.7,428.49,-66.0
3.6180,1,281.155,424.45,429.0,429.10,-66.8,424.2,424.17,-65.0
3.6815,1,276.984,420.28,426.5,425.92,-58.8,421.7,421.43,-47.1
3.7464,1,273.034,416.33,421.5,421.71,-61.7,416.7,416.92,-65.7
3.8139,1,268.865,412.17,419.0,418.50,-54.5,414.2,413.94,-47.5
3.8774,1,264.861,408.16,414.0,414.37,-59.6,409.2,409.43,-66.7
3.9423,1,260.854,404.15,410.0,410.17,-62.1,405.2,405.15,-66.1
4.0113,1,256.812,400.11,406.5,406.30,-59.0,401.7,401.51,-54.7
4.0724,1,252.823,396.12,403.5,403.21,-54.9,398.6,398.57,-49.4
4.1373,1,249.690,392.99,400.0,399.88,-53.1,395.1,395.17,-51.9
4.2073,1,244.627,387.93,394.5,395.03,-61.8,389.6,389.88,-72.3
4.2673,1,241.632,384.93,391.5,391.44,-60.9,386.6,386.45,-60.3
4.3355,1,237.643,380.94,386.5,386.76,-65.1,381.6,381.71,-68.1
4.3974,1,233.470,376.77,383.5,383.23,-61.0,378.6,378.43,-55.9
4.4634,1,229.518,372.82,381.5,380.74,-48.8,376.6,376.34,-35.6
4.5296,1,225.388,368.69,375.5,376.16,-59.6,370.6,371.07,-72.4
4.5933,1,221.402,364.70,369.5,370.46,-74.9,364.6,364.86,-93.0
4.6584,1,217.421,360.72,365.5,365.53,-75.3,360.6,360.32,-73.8
4.7268,1,213.322,356.62,365.0,363.53,-50.3,360.1,359.42,-22.0
4.7884,1,209.260,352.56,360.5,360.48,-49.9,355.6,355.96,-49.5
4.8532,1,206.250,349.55,354.5,355.44,-64.2,349.6,350.02,-84.4
4.9231,1,201.108,344.41,350.5,350.65,-66.6,345.5,345.36,-69.1
4.9843,1,198.130,341.43,347.0,346.85,-64.4,342.0,341.90,-59.1
5.0502,1,194.061,337.36,344.0,343.53,-57.1,339.0,338.89,-47.8
5.1144,1,190.001,333.30,341.0,340.62,-51.1,336.0,336.01,-45.5
5.1793,1,186.007,329.31,338.0,337.77,-47.4,333.0,333.04,-45.7
5.2463,1,181.881,325.18,330.5,331.83,-69.4,325.5,326.16,-93.8
5.3094,1,177.863,321.16,327.5,327.48,-69.1,322.5,322.18,-68.7
5.3744,1,173.962,317.26,323.5,323.33,-66.4,318.5,318.41,-59.8
5.4420,1,169.826,313.13,319.0,318.95,-65.6,314.0,314.08,-63.4
5.5053,1,166.806,310.11,316.5,315.92,-56.6,311.5,311.31,-47.3
