time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
-0.0169,52.812,-508.793,474.990,2.90246,-1.20220,-0.00001
0.0000,52.833,-508.781,475.018,2.90242,-1.20220,0.00004
0.0119,52.840,-508.787,475.003,2.90245,-1.20213,0.00002
0.0279,52.831,-508.785,474.998,2.90245,-1.20217,-0.00001
0.0459,52.836,-508.771,475.023,2.90242,-1.20216,-0.00002
0.0619,52.822,-508.768,475.009,2.90244,-1.20223,-0.00005
0.0779,52.804,-508.785,475.012,2.90238,-1.20229,-0.00002
0.0959,52.824,-508.776,475.014,2.90241,-1.20220,-0.00002
0.1120,52.837,-508.774,475.006,2.90245,-1.20221,0.00001
0.1299,52.834,-508.787,475.029,2.90240,-1.20217,0.00003
0.1458,52.836,-508.780,475.008,-2.90244,1.20227,-0.00004
0.1619,52.833,-508.765,475.027,2.90242,-1.20224,0.00006
0.1799,52.839,-508.788,475.025,2.90240,-1.20221,0.00012
0.1960,52.833,-508.779,475.020,2.90239,-1.20223,0.00004
0.2119,52.830,-508.763,475.021,2.90242,-1.20225,0.00003
0.2298,52.820,-508.762,475.036,2.90240,-1.20222,-0.00001
0.2460,52.841,-508.770,475.017,2.90247,-1.20220,0.00002
0.2619,52.828,-508.770,475.034,2.90240,-1.20216,0.00001
0.2801,52.815,-508.782,475.032,2.90238,-1.20229,0.00008
0.2960,52.807,-508.782,474.966,2.90242,-1.20226,-0.00005
0.3121,52.821,-508.777,474.926,2.90233,-1.20222,0.00006
0.3300,52.830,-508.756,474.738,2.90238,-1.20228,0.00008
0.3461,52.840,-508.710,474.509,2.90243,-1.20222,-0.00005
0.3622,52.826,-508.713,474.151,-2.90234,1.20217,0.00007
0.3801,52.831,-508.746,473.744,-2.90238,1.20218,0.00003
0.3961,52.839,-508.775,473.356,2.90242,-1.20215,0.00004
0.4120,52.833,-508.741,472.828,-2.90238,1.20220,0.00000
0.4300,52.815,-508.768,472.238,2.90238,-1.20221,0.00003
0.4460,52.825,-508.737,471.639,2.90239,-1.20218,-0.00000
0.4641,52.821,-508.741,470.844,2.90233,-1.20222,0.00004
0.4801,52.807,-508.735,470.077,2.90231,-1.20230,-0.00004
0.4960,52.812,-508.731,469.244,2.90227,-1.20234,0.00001
0.5154,52.809,-508.775,468.230,2.90224,-1.20228,0.00004
0.5302,52.798,-508.750,467.249,2.90232,-1.20232,-0.00003
0.5460,52.794,-508.791,466.253,2.90230,-1.20224,-0.00001
0.5642,52.801,-508.806,465.203,2.90220,-1.20220,0.00007
0.5801,52.799,-508.770,464.251,2.90225,-1.20222,0.00006
0.5959,52.788,-508.802,463.273,2.90221,-1.20224,0.00005
0.6157,52.776,-508.796,462.190,2.90222,-1.20222,-0.00000
0.6299,52.789,-508.758,461.093,-2.90227,1.20224,0.00012
0.6459,52.822,-508.757,460.179,-2.90239,1.20221,-0.00002
0.6641,52.802,-508.763,459.045,-2.90229,1.20227,0.00002
0.6800,52.785,-508.741,458.074,-2.90224,1.20233,0.00007
0.6960,52.773,-508.759,457.125,-2.90231,1.20231,0.00008
0.7139,52.782,-508.762,456.045,-2.90233,1.20228,0.00007
0.7311,52.765,-508.820,455.125,2.90231,-1.20234,0.00004
0.7459,52.764,-508.832,454.207,2.90216,-1.20224,0.00009
0.7641,52.785,-508.795,453.107,2.90224,-1.20225,0.00003
0.7801,52.834,-508.796,452.123,2.90235,-1.20209,0.00004
0.7980,52.804,-508.789,451.019,2.90232,-1.20220,-0.00002
0.8140,52.819,-508.756,449.999,-2.90242,1.20222,0.00008
0.8299,52.813,-508.744,449.001,-2.90233,1.20218,0.00011
0.8480,52.827,-508.753,447.933,-2.90236,1.20221,0.00009
0.8641,52.841,-508.790,447.017,2.90240,-1.20214,0.00004
0.8800,52.823,-508.776,446.050,2.90239,-1.20223,0.00004
0.8979,52.813,-508.758,444.916,-2.90240,1.20224,0.00006
0.9139,52.804,-508.787,443.963,2.90237,-1.20226,0.00002
0.9305,52.819,-508.808,443.016,2.90230,-1.20211,0.00005
0.9480,52.824,-508.798,441.933,2.90231,-1.20213,0.00005
0.9642,52.809,-508.792,440.943,2.90235,-1.20220,0.00005
0.9802,52.809,-508.806,439.992,2.90225,-1.20220,0.00001
0.9981,52.811,-508.787,438.872,2.90245,-1.20222,-0.00001
1.0141,52.816,-508.778,437.936,2.90237,-1.20225,0.00001
1.0300,52.809,-508.755,436.996,2.90234,-1.20225,0.00001
1.0480,52.807,-508.727,435.857,-2.90241,1.20224,0.00009
1.0642,52.802,-508.755,434.873,-2.90240,1.20231,-0.00000
1.0801,52.804,-508.765,433.913,2.90242,-1.20222,-0.00001
1.0981,52.801,-508.771,432.830,2.90239,-1.20222,0.00001
1.1140,52.815,-508.763,431.828,-2.90243,1.20223,0.00004
1.1331,52.799,-508.798,430.779,2.90230,-1.20221,0.00005
1.1479,52.813,-508.798,429.839,2.90229,-1.20216,0.00009
1.1642,52.816,-508.801,428.891,2.90218,-1.20216,0.00010
1.1821,52.812,-508.771,427.804,2.90225,-1.20214,0.00004
1.1981,52.851,-508.729,426.793,2.90245,-1.20216,0.00004
1.2141,52.813,-508.743,425.791,-2.90240,1.20228,0.00003
1.2320,52.834,-508.757,424.700,-2.90244,1.20222,-0.00005
1.2480,52.833,-508.786,423.718,2.90242,-1.20220,0.00001
1.2641,52.834,-508.762,422.723,-2.90241,1.20218,0.00006
1.2821,52.840,-508.752,421.597,-2.90231,1.20215,0.00009
1.2981,52.828,-508.799,420.729,2.90233,-1.20220,0.00004
1.3140,52.842,-508.814,419.774,2.90227,-1.20209,0.00009
1.3320,52.811,-508.819,418.720,2.90215,-1.20211,0.00007
1.3480,52.836,-508.777,417.724,2.90231,-1.20214,0.00006
1.3640,52.848,-508.751,416.739,2.90239,-1.20219,0.00006
1.3821,52.827,-508.755,415.642,2.90238,-1.20224,0.00002
1.3981,52.808,-508.770,414.639,2.90241,-1.20233,0.00003
1.4140,52.837,-508.728,413.630,-2.90232,1.20215,0.00006
1.4328,52.825,-508.756,412.580,-2.90241,1.20226,0.00001
1.4492,52.829,-508.778,411.618,2.90243,-1.20227,0.00004
1.4661,52.793,-508.804,410.591,2.90223,-1.20226,0.00007
1.4822,52.815,-508.789,409.606,2.90236,-1.20211,0.00004
1.4981,52.806,-508.778,408.609,2.90234,-1.20224,0.00002
1.5160,52.814,-508.816,407.466,2.90240,-1.20223,0.00011
1.5319,52.811,-508.799,406.494,2.90238,-1.20225,-0.00002
1.5480,52.809,-508.801,405.558,2.90235,-1.20221,0.00001
1.5660,52.796,-508.779,404.437,2.90244,-1.20226,-0.00004
1.5824,52.812,-508.778,403.477,-2.90236,1.20233,-0.00005
1.5981,52.819,-508.765,402.465,-2.90234,1.20216,0.00011
1.6161,52.831,-508.789,401.457,2.90244,-1.20219,0.00006
1.6321,52.804,-508.788,400.504,2.90238,-1.20220,-0.00003
1.6480,52.812,-508.792,399.536,2.90236,-1.20225,0.00004
1.6660,52.836,-508.765,398.410,2.90246,-1.20219,0.00000
1.6822,52.827,-508.790,397.470,2.90234,-1.20219,0.00003
1.6981,52.836,-508.806,396.500,2.90231,-1.20213,0.00006
1.7161,52.803,-508.812,395.432,2.90223,-1.20220,0.00005
1.7320,52.816,-508.811,394.393,2.90237,-1.20215,-0.00000
1.7489,52.834,-508.816,393.418,2.90238,-1.20222,0.00007
1.7670,52.820,-508.795,392.273,-2.90238,1.20221,0.00003
1.7822,52.812,-508.796,391.351,-2.90246,1.20220,0.00003
1.8000,52.836,-508.773,390.271,-2.90240,1.20221,0.00002
1.8161,52.839,-508.775,389.300,-2.90243,1.20216,-0.00001
1.8320,52.807,-508.769,388.328,2.90242,-1.20225,-0.00007
1.8500,52.817,-508.744,387.236,-2.90237,1.20230,0.00001
1.8659,52.821,-508.719,386.291,-2.90241,1.20222,0.00009
1.8823,52.815,-508.763,385.366,2.90233,-1.20226,0.00005
1.9001,52.809,-508.769,384.238,2.90237,-1.20223,-0.00000
1.9161,52.833,-508.804,383.289,2.90231,-1.20210,0.00009
1.9320,52.818,-508.798,382.311,2.90236,-1.20218,0.00005
1.9502,52.815,-508.810,381.264,2.90230,-1.20215,0.00004
1.9661,52.815,-508.820,380.265,2.90236,-1.20215,0.00005
1.9821,52.805,-508.797,379.307,2.90236,-1.20224,-0.00002
2.0001,52.820,-508.774,378.144,-2.90235,1.20220,0.00004
2.0161,52.797,-508.778,377.127,-2.90228,1.20222,0.00011
2.0320,52.816,-508.786,376.172,-2.90235,1.20223,0.00006
2.0503,52.829,-508.798,375.088,-2.90241,1.20219,0.00001
2.0660,52.829,-508.755,374.123,-2.90236,1.20222,0.00001
2.0820,52.830,-508.743,373.175,-2.90244,1.20221,0.00001
2.1001,52.832,-508.776,372.102,2.90240,-1.20219,0.00001
2.1161,52.818,-508.803,371.177,2.90223,-1.20215,0.00007
2.1341,52.813,-508.794,370.132,2.90218,-1.20214,0.00010
2.1521,52.813,-508.785,369.175,2.90220,-1.20217,0.00006
2.1670,52.836,-508.754,368.183,2.90234,-1.20208,0.00004
2.1841,52.823,-508.750,367.040,2.90244,-1.20220,-0.00000
2.2001,52.846,-508.734,366.065,-2.90243,1.20215,0.00004
2.2161,52.843,-508.752,365.070,-2.90238,1.20215,0.00004
2.2340,52.821,-508.796,363.966,-2.90238,1.20224,0.00000
2.2499,52.813,-508.771,362.937,-2.90230,1.20220,0.00012
2.2660,52.825,-508.776,361.982,-2.90229,1.20217,0.00007
2.2841,52.814,-508.771,360.899,-2.90227,1.20222,0.00002
2.3001,52.814,-508.813,360.000,2.90240,-1.20219,-0.00002
2.3160,52.822,-508.819,359.038,2.90232,-1.20219,0.00004
2.3341,52.818,-508.825,357.957,2.90227,-1.20220,0.00009
2.3500,52.815,-508.768,356.980,2.90238,-1.20226,0.00006
2.3660,52.803,-508.760,356.014,2.90237,-1.20227,-0.00001
2.3843,52.855,-508.758,354.943,2.90239,-1.20219,0.00011
2.4004,52.833,-508.729,353.950,-2.90245,1.20217,0.00007
2.4160,52.839,-508.756,352.990,2.90243,-1.20222,0.00002
2.4341,52.827,-508.766,351.878,2.90243,-1.20223,0.00001
2.4500,52.797,-508.779,350.915,2.90234,-1.20233,-0.00002
2.4680,52.822,-508.770,349.767,-2.90236,1.20219,0.00003
2.4845,52.809,-508.786,348.879,2.90237,-1.20221,-0.00005
2.5003,52.815,-508.812,347.919,2.90231,-1.20220,0.00005
2.5180,52.823,-508.834,346.854,2.90220,-1.20217,0.00011
2.5341,52.810,-508.802,345.889,2.90222,-1.20223,0.00010
2.5500,52.814,-508.790,344.899,2.90230,-1.20218,0.00004
2.5680,52.819,-508.772,343.784,2.90236,-1.20218,-0.00003
2.5840,52.819,-508.755,342.790,2.90244,-1.20225,0.00001
2.6001,52.824,-508.761,341.869,2.90238,-1.20224,0.00001
2.6181,52.804,-508.751,340.713,-2.90239,1.20224,0.00005
2.6341,52.810,-508.782,339.730,-2.90242,1.20222,0.00006
2.6500,52.815,-508.762,338.738,-2.90233,1.20228,-0.00001
2.6680,52.783,-508.797,337.655,-2.90233,1.20234,0.00009
2.6844,52.827,-508.794,336.699,-2.90240,1.20216,-0.00000
2.7001,52.812,-508.831,335.724,-2.90243,1.20224,-0.00002
2.7182,52.804,-508.854,334.642,2.90235,-1.20224,0.00002
2.7341,52.795,-508.833,333.623,-2.90236,1.20228,0.00003
2.7501,52.804,-508.834,332.682,2.90244,-1.20225,-0.00005
2.7681,52.822,-508.820,331.563,-2.90232,1.20225,0.00002
2.7839,52.820,-508.818,330.621,-2.90240,1.20212,0.00011
2.8020,52.834,-508.780,329.528,-2.90227,1.20218,0.00006
2.8181,52.820,-508.790,328.565,-2.90230,1.20219,0.00007
2.8339,52.835,-508.810,327.584,-2.90236,1.20220,0.00003
2.8519,52.831,-508.793,326.487,-2.90232,1.20220,0.00003
2.8699,52.826,-508.802,325.550,-2.90240,1.20219,0.00005
2.8839,52.830,-508.786,324.575,-2.90236,1.20218,0.00001
2.9019,52.813,-508.827,323.508,2.90244,-1.20219,-0.00004
2.9182,52.829,-508.821,322.503,2.90242,-1.20219,-0.00004
2.9340,52.837,-508.799,321.538,-2.90242,1.20223,-0.00001
2.9520,52.821,-508.777,320.450,-2.90243,1.20220,0.00006
2.9684,52.833,-508.789,319.466,-2.90241,1.20215,-0.00002
2.9840,52.823,-508.791,318.532,-2.90241,1.20225,0.00004
3.0020,52.818,-508.779,317.412,-2.90234,1.20219,0.00010
3.0181,52.813,-508.775,316.459,-2.90232,1.20226,0.00008
3.0340,52.820,-508.765,315.434,-2.90227,1.20217,0.00014
3.0520,52.823,-508.794,314.384,-2.90235,1.20225,0.00000
3.0680,52.809,-508.810,313.410,-2.90235,1.20225,-0.00001
3.0853,52.830,-508.794,312.448,-2.90233,1.20220,0.00002
3.1020,52.811,-508.837,311.412,2.90232,-1.20230,0.00007
3.1181,52.802,-508.836,310.429,2.90237,-1.20221,0.00003
3.1361,52.798,-508.829,309.364,2.90230,-1.20232,0.00009
3.1520,52.803,-508.792,308.385,2.90234,-1.20233,-0.00003
3.1680,52.809,-508.779,307.398,2.90243,-1.20224,-0.00005
3.1862,52.806,-508.785,306.360,2.90235,-1.20228,0.00001
3.2020,52.829,-508.736,305.360,-2.90242,1.20220,0.00004
3.2181,52.820,-508.730,304.409,-2.90242,1.20228,0.00007
3.2361,52.831,-508.739,303.331,2.90235,-1.20228,-0.00002
3.2520,52.843,-508.753,302.361,2.90237,-1.20220,0.00004
3.2680,52.839,-508.783,301.435,2.90227,-1.20219,0.00009
3.2859,52.844,-508.764,300.332,2.90233,-1.20212,0.00004
3.3020,52.815,-508.798,299.408,2.90215,-1.20222,0.00007
3.3180,52.812,-508.820,298.425,2.90214,-1.20213,0.00006
3.3360,52.836,-508.802,297.348,2.90213,-1.20210,0.00010
3.3520,52.844,-508.824,296.374,2.90217,-1.20203,0.00017
3.3680,52.835,-508.781,295.317,2.90230,-1.20218,0.00003
3.3860,52.835,-508.770,294.256,2.90233,-1.20220,0.00005
3.4019,52.848,-508.765,293.272,2.90241,-1.20221,0.00004
3.4182,52.841,-508.739,292.234,-2.90236,1.20218,0.00004
3.4361,52.820,-508.758,291.172,-2.90239,1.20227,0.00004
3.4520,52.819,-508.749,290.165,-2.90237,1.20223,0.00005
3.4700,52.813,-508.767,289.093,-2.90238,1.20224,0.00005
3.4871,52.812,-508.775,288.160,2.90242,-1.20223,-0.00007
3.5020,52.829,-508.778,287.191,2.90241,-1.20230,0.00003
