time_s,x_mm,y_mm,z_mm,rx_rad,ry_rad,rz_rad
0.2955,52.815,-508.782,475.032,2.90238,-1.20229,0.00008
0.3603,52.840,-508.710,474.509,2.90243,-1.20222,-0.00005
0.4297,52.833,-508.741,472.828,-2.90238,1.20220,0.00000
0.4903,52.807,-508.735,470.077,2.90231,-1.20230,-0.00004
0.5563,52.794,-508.791,466.253,2.90230,-1.20224,-0.00001
0.6231,52.776,-508.796,462.190,2.90222,-1.20222,-0.00000
0.6862,52.785,-508.741,458.074,-2.90224,1.20233,0.00007
0.7512,52.764,-508.832,454.207,2.90216,-1.20224,0.00009
0.8213,52.819,-508.756,449.999,-2.90242,1.20222,0.00008
0.8813,52.823,-508.776,446.050,2.90239,-1.20223,0.00004
0.9482,52.824,-508.798,441.933,2.90231,-1.20213,0.00005
1.0113,52.811,-508.787,438.872,2.90245,-1.20222,-0.00001
1.0773,52.802,-508.755,434.873,-2.90240,1.20231,-0.00000
1.1449,52.799,-508.798,430.779,2.90230,-1.20221,0.00005
1.2074,52.851,-508.729,426.793,2.90245,-1.20216,0.00004
1.2723,52.834,-508.762,422.723,-2.90241,1.20218,0.00006
1.3398,52.811,-508.819,418.720,2.90215,-1.20211,0.00007
1.4023,52.808,-508.770,414.639,2.90241,-1.20233,0.00003
1.4673,52.793,-508.804,410.591,2.90223,-1.20226,0.00007
1.5376,52.811,-508.799,406.494,2.90238,-1.20225,-0.00002
1.5984,52.819,-508.765,402.465,-2.90234,1.20216,0.00011
1.6646,52.812,-508.792,399.536,2.90236,-1.20225,0.00004
1.7284,52.803,-508.812,395.432,2.90223,-1.20220,0.00005
1.7933,52.812,-508.796,391.351,-2.90246,1.20220,0.00003
1.8591,52.817,-508.744,387.236,-2.90237,1.20230,0.00001
1.9234,52.833,-508.804,383.289,2.90231,-1.20210,0.00009
1.9883,52.805,-508.797,379.307,2.90236,-1.20224,-0.00002
2.0554,52.829,-508.798,375.088,-2.90241,1.20219,0.00001
2.1194,52.818,-508.803,371.177,2.90223,-1.20215,0.00007
2.1843,52.823,-508.750,367.040,2.90244,-1.20220,-0.00000
2.2549,52.813,-508.771,362.937,-2.90230,1.20220,0.00012
2.3143,52.814,-508.813,360.000,2.90240,-1.20219,-0.00002
2.3806,52.803,-508.760,356.014,2.90237,-1.20227,-0.00001
2.4444,52.827,-508.766,351.878,2.90243,-1.20223,0.00001
2.5094,52.815,-508.812,347.919,2.90231,-1.20220,0.00005
2.5758,52.819,-508.772,343.784,2.90236,-1.20218,-0.00003
2.6404,52.810,-508.782,339.730,-2.90242,1.20222,0.00006
2.7043,52.812,-508.831,335.724,-2.90243,1.20224,-0.00002
2.7716,52.822,-508.820,331.563,-2.90232,1.20225,0.00002
2.8354,52.835,-508.810,327.584,-2.90236,1.20220,0.00003
2.9007,52.830,-508.786,324.575,-2.90236,1.20218,0.00001
2.9654,52.821,-508.777,320.450,-2.90243,1.20220,0.00006
3.0303,52.813,-508.775,316.459,-2.90232,1.20226,0.00008
3.0967,52.830,-508.794,312.448,-2.90233,1.20220,0.00002
3.1614,52.803,-508.792,308.385,2.90234,-1.20233,-0.00003
3.2253,52.820,-508.730,304.409,-2.90242,1.20228,0.00007
3.2928,52.844,-508.764,300.332,2.90233,-1.20212,0.00004
3.3564,52.844,-508.824,296.374,2.90217,-1.20203,0.00017
3.4213,52.841,-508.739,292.234,-2.90236,1.20218,0.00004
3.4905,52.812,-508.775,288.160,2.90242,-1.20223,-0.00007
3.5514,52.819,-508.814,285.151,2.90230,-1.20216,0.00009
3.6180,52.837,-508.760,281.155,2.90241,-1.20224,0.00007
3.6815,52.804,-508.770,276.984,-2.90241,1.20231,0.00001
3.7464,52.813,-508.848,273.034,2.90225,-1.20220,0.00006
3.8139,52.843,-508.757,268.865,-2.90243,1.20212,0.00004
