time_s,phase,robot_z_mm,truth_mm,raw_kalman,filt_kalman,vel_kalman,raw_learned,filt_learned,vel_learned
0.3422,1,474.839,618.14,621.8,621.80,0.0,612.3,612.34,0.0
0.4094,1,473.450,616.75,622.8,622.80,14.9,613.3,613.34,14.9
0.4722,1,470.899,614.20,622.3,622.55,3.5,612.8,613.03,-0.8
0.5372,1,468.312,611.61,618.3,619.54,-20.9,609.0,609.57,-44.2
0.6052,1,464.190,607.49,614.8,615.93,-36.1,605.7,605.78,-54.0
0.6682,1,460.162,603.46,608.8,610.64,-57.1,599.9,600.30,-80.9
0.7321,1,456.016,599.32,607.8,607.47,-53.7,599.0,598.40,-38.8
0.8007,1,452.102,595.40,602.8,603.17,-58.0,594.2,594.40,-55.5
0.8632,1,448.046,591.35,600.8,600.31,-52.6,592.3,592.06,-40.8
0.9281,1,443.932,587.23,593.8,594.99,-66.1,585.5,586.11,-83.0
0.9985,1,439.963,583.26,589.3,589.68,-70.6,581.2,581.09,-72.9
1.0581,1,435.853,579.15,586.8,586.27,-64.9,578.8,578.47,-50.1
1.1262,1,431.787,575.09,583.8,583.08,-56.3,575.9,575.80,-40.8
1.1892,1,428.849,572.15,580.8,580.32,-50.7,573.0,573.05,-43.1
1.2541,1,424.801,568.10,574.3,575.33,-62.9,566.7,567.24,-81.6
1.3216,1,420.672,563.97,571.8,571.54,-59.6,564.3,563.95,-53.8
1.3842,1,416.716,560.02,566.8,567.18,-64.1,559.5,559.62,-66.2
1.4491,1,412.544,555.84,561.3,561.94,-72.0,554.1,554.28,-79.6
1.5166,1,408.573,551.87,559.3,558.50,-61.7,552.2,551.71,-44.5
1.5801,1,404.551,547.85,553.8,554.09,-65.3,546.8,547.11,-67.3
1.6441,1,400.464,543.76,550.3,550.16,-63.5,543.4,543.29,-61.0
1.7159,1,396.465,539.77,547.3,546.72,-55.3,540.4,540.25,-44.7
1.7751,1,393.418,536.72,542.8,543.04,-58.3,536.0,536.30,-62.0
1.8441,1,388.273,531.57,540.8,540.18,-49.8,534.1,533.81,-39.8
1.9052,1,385.306,528.61,534.8,535.66,-60.8,528.2,528.71,-74.8
1.9701,1,381.363,524.66,533.8,533.05,-50.7,527.2,526.73,-38.0
2.0375,1,377.130,520.43,527.8,528.43,-59.7,521.3,521.72,-68.7
2.1012,1,373.100,516.40,524.8,524.74,-58.9,518.4,518.22,-57.4
2.1661,1,369.185,512.49,518.3,519.23,-71.8,512.0,512.34,-85.0
2.2337,1,365.088,508.39,514.8,514.65,-69.7,508.5,508.26,-64.2
2.2961,1,360.977,504.28,509.8,509.98,-72.2,503.6,503.69,-71.5
2.3626,1,356.909,500.21,508.8,507.56,-53.9,502.6,502.08,-31.7
2.4283,1,352.986,496.29,502.8,503.23,-60.0,496.7,497.15,-67.9
2.4921,1,349.887,493.19,499.8,499.66,-58.0,493.7,493.56,-58.2
2.5597,1,345.881,489.18,495.3,495.45,-60.2,489.2,489.29,-62.4
2.6222,1,341.797,485.10,491.3,491.44,-62.1,485.3,485.29,-63.8
2.6871,1,337.649,480.95,487.3,487.34,-62.7,481.3,481.28,-62.1
2.7567,1,333.633,476.93,482.3,482.52,-66.1,476.3,476.42,-68.7
2.8172,1,329.600,472.90,478.8,478.70,-64.7,472.9,472.76,-62.2
2.8820,1,325.520,468.82,476.3,475.68,-55.4,470.4,470.13,-44.2
2.9527,1,321.527,464.83,473.3,472.81,-47.3,467.4,467.34,-40.2
3.0131,1,317.402,460.70,469.8,469.85,-48.1,463.9,464.06,-51.3
